condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
"ChAd-BNT (V2, D0)",CELLULAR ADAPTIVE IMMUNE SYSTEM,CELLULAR ADAPTIVE IMMUNE SYSTEM...54,CELLULAR ADAPTIVE IMMUNE SYSTEM,102,-0.5176555966608245,-1.8748500086680544,3.069892077294285e-5,8.18637887278476e-5,2.1543102296802e-5,1110,"tags=67%, list=31%, signal=47%",LBH/CD52/UBE2M/TECR/GIMAP6/RHOH/EIF2B2/PPP3CA/IL7R/SPN/CRK/PDE4B/RBX1/TSPAN5/PPP2R1A/TRAT1/CTLA4/PIK3R1/MAPK14/CTPS1/IL21R/SH2D1A/CCR5/FKBP1B/SLA2/SRC/BCL3/CD70/BCL6/SLC40A1/IL15/CD151/CCR2/CRTAM/ICOS/TNFRSF9/NFKBID/XCL2/FASLG/CXCR3/S1PR1/GPR171/IFNGR1/SIT1/GRAP2/IL23A/IRF1/TNFAIP8L2/CASP3/GIMAP7/IL2/XCL1/CXCR6/CD83/EGR1/IFNG/LFNG/CEBPB/PBX1/KITLG/SNCA/TNFSF4/TNF/CLU/BTNL8/CCL3/CD99/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",T CELL,T CELL...55,T CELL,97,-0.5053332781357105,-1.821472165932927,6.96340084964325e-5,1.6712162039143798e-4,4.397937378722052e-5,1183,"tags=66%, list=33%, signal=45%",LBH/CD52/UBE2M/TECR/GIMAP6/RHOH/EIF2B2/PPP3CA/IL7R/SPN/CRK/PDE4B/RBX1/TSPAN5/PPP2R1A/TRAT1/CTLA4/PIK3R1/MAPK14/CTPS1/IL21R/SH2D1A/CCR5/FKBP1B/SLA2/SRC/BCL3/CD70/BCL6/SLC40A1/IL15/CD151/CCR2/CRTAM/ICOS/TNFRSF9/NFKBID/XCL2/FASLG/CXCR3/S1PR1/GPR171/SIT1/GRAP2/IL23A/IRF1/TNFAIP8L2/CASP3/GIMAP7/IL2/XCL1/CXCR6/CD83/EGR1/IFNG/LFNG/CEBPB/KITLG/TNFSF4/TNF/BTNL8/CCL3/CD99/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",HUMORAL ADAPTIVE IMMUNE SYSTEM,HUMORAL ADAPTIVE IMMUNE SYSTEM...56,HUMORAL ADAPTIVE IMMUNE SYSTEM,90,-0.5136395196328651,-1.8307403452963353,9.933306927833092e-5,2.1672669660726746e-4,5.703334121243881e-5,583,"tags=44%, list=16%, signal=38%",EBF1/GPR18/NFKB2/CCR9/CCR6/JAM3/PTX3/CASP3/CDKN2B/CD180/CXCR4/CXCR5/XCL1/CD83/NR4A3/LFNG/WFDC3/ADM/PBX1/MPL/F2RL3/TRHDE/CXCL8/CCL18/PDZK1IP1/PF4V1/TNF/CXCL2/ADGRG3/CXCL3/CXCL5/GABRE/EGF/SLC12A1/AVPR1A/CXCL1/CXCL6/CNTNAP3/CCL20/PI3,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",INFLAMMATION,INFLAMMATION...57,INFLAMMATION,14,-0.7721357538987637,-1.9295797306148341,1.1105454486208553e-4,2.2210908972417106e-4,5.8449760453729225e-5,442,"tags=57%, list=12%, signal=50%",IL1RN/IFNG/CCL4/TNF/IL1B/CXCR2/TNFAIP6/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",ADAPTIVE IMMUNE SYSTEM,ADAPTIVE IMMUNE SYSTEM...58,ADAPTIVE IMMUNE SYSTEM,166,-0.44028667823715084,-1.6746628926209235,2.9172448430279957e-4,5.385682787128607e-4,1.4172849439812125e-4,748,"tags=43%, list=21%, signal=36%",CCR5/FKBP1B/SLA2/SRC/BCL3/CD70/BCL6/SLC40A1/IL15/CD151/CCR2/CRTAM/ICOS/TNFRSF9/NFKBID/ELOVL4/XCL2/FASLG/CXCR3/EBF1/S1PR1/GPR171/GPR18/NFKB2/SIT1/GRAP2/IL23A/CCR9/CCR6/IRF1/TNFAIP8L2/SH2D2A/JAM3/PTX3/CASP3/CDKN2B/CD9/CD180/CXCR4/CXCR5/GIMAP7/IL2/XCL1/CXCR6/CD83/EGR1/IFNG/NR4A3/LFNG/CEBPB/RAP1GAP/PBX1/KITLG/TNFSF4/MPL/F2RL3/CCL4/TRHDE/CCL18/PDZK1IP1/CCL3L1/TNF/ADGRG3/BTNL8/CCL3/CD99/GABRE/EGF/SLC12A1/AVPR1A/CNTNAP3/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",NK CELL,NK CELL...59,NK CELL,22,-0.6662555747372336,-1.869303428405573,0.0010309167650397594,0.0017672858829253018,4.6507523234876356e-4,690,"tags=68%, list=19%, signal=55%",IL15/SYNGR3/XCL2/FASLG/TNFSF11/GPR18/SH2D2A/TNFSF14/GIMAP7/IL2/XCL1/PBX1/CCL4/KIR3DL3/FCGR3B,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",EOSINOPHIL,EOSINOPHIL...60,EOSINOPHIL,7,-0.8129440522510143,-1.7280234334821185,0.003556171477609043,0.005689874364174469,0.001497335358993281,427,"tags=86%, list=12%, signal=76%",XCL1/MPL/CCL4/CCL18/CCL3L1/CCL3,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",ANTIMICROBIAL,ANTIMICROBIAL...61,ANTIMICROBIAL,15,-0.661281761913165,-1.6934952591784052,0.008252471152220399,0.012378706728330597,0.0032575544021922623,320,"tags=73%, list=9%, signal=67%",XCL1/ADM/CXCL8/CCL18/PF4V1/CXCL2/CXCL3/CXCL5/CXCL1/CXCL6/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",ANTIVIRAL & IFN,ANTIVIRAL & IFN...62,ANTIVIRAL & IFN,28,-0.5460590790750703,-1.6459735448768416,0.014801811967658887,0.020896675719047842,0.005499125189223115,601,"tags=46%, list=17%, signal=39%",FASLG/IFITM2/IFNGR1/IRF1/PTX3/GBP6/XCL1/CCL4/CCL18/CCL3L1/CCL3/IL1B/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",B CELL,B CELL...63,B CELL,66,-0.41307053414426637,-1.4080040918823187,0.04470588235294118,0.0596078431372549,0.01568627450980392,583,"tags=35%, list=16%, signal=30%",EBF1/GPR18/CCR9/CCR6/JAM3/PTX3/CASP3/CD180/CXCR4/CXCR5/NR4A3/LFNG/MPL/F2RL3/TRHDE/PDZK1IP1/TNF/ADGRG3/GABRE/EGF/SLC12A1/AVPR1A/CNTNAP3,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",COMPLEMENT,COMPLEMENT...64,COMPLEMENT,10,-0.6360495910858279,-1.5114510078797503,0.06037151702786378,0.07625875835098582,0.02006809430289101,575,"tags=70%, list=16%, signal=59%",CD55/FPR1/C3AR1/FPR2/PROS1/CLU/MASP1,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",MACROPHAGE,MACROPHAGE...65,MACROPHAGE,5,-0.6596171108432544,-1.2869745812620528,0.21532846715328466,0.2583941605839416,0.06799846331156358,667,"tags=60%, list=19%, signal=49%",CCR2/CSF1/CCL3,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",IMMUNE SYSTEM,IMMUNE SYSTEM...66,IMMUNE SYSTEM,21,-0.3929251017976548,-1.0831948000278793,0.381635581061693,0.42820730671197954,0.11268613334525779,959,"tags=52%, list=27%, signal=39%",TRAT1/CTLA4/MAPK14/PLEK/NFKBIA/SLA2/TLR1/GRAP2/TLR8/ICAM1/SLA,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",LYMPHOCYTE,LYMPHOCYTE...67,LYMPHOCYTE,15,0.34692150101122765,1.0571329503003086,0.3925233644859813,0.42820730671197954,0.11268613334525779,15,"tags=13%, list=0%, signal=13%",GXYLT2/CSRP2,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",MAST CELL,MAST CELL...68,MAST CELL,4,-0.48782937862959286,-0.9089654997882047,0.5850467289719626,0.6104835432750915,0.16065356401976091,900,"tags=50%, list=25%, signal=37%",SERPINB9/KITLG,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",IMMUNOGLOBULIN MEDIATED RESPONSE,IMMUNOGLOBULIN MEDIATED RESPONSE...69,IMMUNOGLOBULIN MEDIATED RESPONSE,33,-0.28856901185909545,-0.8867193962115182,0.6357702349869452,0.6357702349869452,0.16730795657551187,890,"tags=42%, list=25%, signal=32%",CTLA4/PIK3R1/CTPS1/NFKBIA/SRC/BCL3/CD70/BCL6/PTX3/CASP3/CXCR5/LFNG/MPL/ADGRG3,ImmuneGO_BTM_general
