condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
Influenza/IN (D1),T CELL,T CELL...754,T CELL,187,-0.4440702180654353,-2.6210652036014412,1e-10,2.476519176937426e-10,6.517155728782699e-11,501,"tags=43%, list=14%, signal=39%",LIME1/CD3E/IL2RB/GZMM/KLF12/DENND2D/RASGRP1/ABLIM1/TRAF3IP3/JUN/BCL11B/LCK/IL21R/SLC38A1/TOX/SLAMF1/CD6/UBASH3A/GZMB/RPS6/CLDND1/ZMYND11/LEF1/TMEM106C/FASLG/ETS1/SKAP1/ITPR3/CD8A/CLEC2D/PRKCH/CCR7/CD28/CD96/CAMK4/CD5/PKIA/MAZ/PRKCQ/SPOCK2/TCF7/GZMH/CD8B/ZAP70/CCL5/ATP8B2/CD2/CD3D/CD52/STAT4/CXCR3/CD40LG/NKG7/CTLA4/RORC/CD247/ITM2A/ITK/SLC4A7/CD320/GNLY/CD27/PTPN22/NELL2/TXK/GPR183/TRAT1/SH2D1A/LRRN3/GZMA/GFI1/FCER1A/CD160/RORA/PDE4D/IL7R/GZMK/IL23A/PRDX2/KLRB1/CXCR6,ImmuneGO_BTM_general
Influenza/IN (D1),CELLULAR ADAPTIVE IMMUNE SYSTEM,CELLULAR ADAPTIVE IMMUNE SYSTEM...755,CELLULAR ADAPTIVE IMMUNE SYSTEM,194,-0.4317648492418585,-2.587250125585414,1e-10,2.476519176937426e-10,6.517155728782699e-11,501,"tags=42%, list=14%, signal=38%",LIME1/CD3E/IL2RB/GZMM/KLF12/DENND2D/RASGRP1/ABLIM1/TRAF3IP3/JUN/BCL11B/LCK/IL21R/SLC38A1/TOX/SLAMF1/CD6/UBASH3A/GZMB/RPS6/CLDND1/ZMYND11/LEF1/TMEM106C/FASLG/ETS1/SKAP1/ITPR3/CD8A/CLEC2D/PRKCH/CCR7/CD28/CD96/CAMK4/CD5/PKIA/MAZ/PRKCQ/SPOCK2/TCF7/GZMH/CD8B/ZAP70/CCL5/ATP8B2/CD2/CD3D/CD52/STAT4/CXCR3/CD40LG/NKG7/CTLA4/RORC/CD247/ITM2A/ITK/SLC4A7/CD320/GNLY/CD27/PTPN22/NELL2/TXK/GPR183/TRAT1/SH2D1A/LRRN3/GZMA/GFI1/FCER1A/CD160/RORA/PDE4D/IL7R/GZMK/IL23A/PRDX2/KLRB1/CXCR6,ImmuneGO_BTM_general
Influenza/IN (D1),ARPP,ARPP...756,ARPP,152,0.49756828969517547,2.5166224388462197,1.0318829903905942e-10,2.476519176937426e-10,6.517155728782699e-11,653,"tags=47%, list=18%, signal=40%",CXCL10/IFI35/CCL2/IFIT2/IFIH1/AIM2/TLR7/DDX58/MT1G/DHX58/IRF7/SRC/CCL8/IL1B/KCNJ15/BST2/CD40/PLAUR/RIPK2/PSMB10/KYNU/KCNJ2/CCR1/DYSF/ASGR2/S100A12/RELB/TNF/FGL2/RTN1/PSMB8/FAR2/HLA-DMB/HLA-DMA/CASP1/DUSP6/CD36/MEF2A/HLA-DPA1/LTBR/PTGS2/TICAM1/HLA-DRA/PLEK/ASGR1/WDFY3/MPL/LILRB2/TLR2/CD74/IRAK3/ICAM1/TLR1/NOTCH2/CCR2/NFKBIA/CD86/LCP2/TLR8/PILRA/LYN/ITGB2/TRIM25/FCER1G/XIAP/HCK/FGR/MYD88/CTSS/HLA-C/SELL/VASP,ImmuneGO_BTM_general
Influenza/IN (D1),ADAPTIVE IMMUNE SYSTEM,ADAPTIVE IMMUNE SYSTEM...757,ADAPTIVE IMMUNE SYSTEM,308,-0.31345476108771453,-2.013797811455194,3.6889079701224307e-9,8.048526480267121e-9,2.118033284280821e-9,608,"tags=35%, list=16%, signal=31%",IL32/KIT/ELOVL4/TAS2R10/ADCY9/FAM30A/PRKCZ/ABCB4/P2RX5/CXCR5/LIME1/CD3E/IL2RB/GPR18/GZMM/KLF12/DENND2D/RASGRP1/ABLIM1/ADAM28/TRAF3IP3/JUN/BLK/BCL11B/LCK/IL21R/SLC38A1/TOX/SLAMF1/CD6/NR3C2/UBASH3A/GZMB/RPS6/CLDND1/ZMYND11/AFF3/LEF1/TNFRSF17/TMEM106C/GRAMD1C/FASLG/ETS1/SKAP1/ITPR3/TCL1A/CD8A/CLEC2D/TRPC1/PRKCH/CCR7/CD28/CD96/CAMK4/CD5/PKIA/MAZ/PRKCQ/SPOCK2/TCF7/GZMH/LAX1/CD8B/ZAP70/CCL5/ATP8B2/CD2/CD3D/CD52/STAT4/CXCR3/CD40LG/NKG7/CTLA4/RORC/LY9/CD247/ITM2A/ITK/SLC4A7/CD320/CD69/GNLY/CD27/OSBPL10/PTPN22/NELL2/TXK/GPR183/TRAT1/NT5E/SH2D1A/LRRN3/DTX3/GZMA/GFI1/FCER1A/CXCR4/CD160/RORA/PDE4D/IL7R/GZMK/IL23A/PRDX2/KLRB1/CXCR6,ImmuneGO_BTM_general
Influenza/IN (D1),MYELOID CELL,MYELOID CELL...758,MYELOID CELL,40,0.658267460792149,2.5453298469861996,4.746799377133512e-7,9.493598754267024e-7,2.498315461649217e-7,749,"tags=76%, list=20%, signal=61%",MYOF/SECTM1/MARCO/TLR7/LILRA1/CCR1/CLEC5A/MTMR11/SLC2A6/NLRP3/IGSF6/MARCKS/IL1RN/GSN/HHEX/ASGR1/ITGA2B/SLC8A1/PROS1/CCR2/SLC15A3/SPARC/CD86/SLC7A7/TLR8/FCER1G/ITGB3/MMRN1/CD1D/KCTD12/TLR4,ImmuneGO_BTM_general
Influenza/IN (D1),LYMPHOCYTE,LYMPHOCYTE...759,LYMPHOCYTE,26,-0.6141076266319625,-2.3559296532293956,1.561255802123904e-5,2.882318403921054e-5,7.585048431371194e-6,1162,"tags=85%, list=31%, signal=59%",ADARB1/FCER2/CD19/SH2D2A/VPREB3/CD79A/CD7/KIT/ELOVL4/ADCY9/PRKCZ/CD3E/BLK/UBASH3A/TCL1A/CD28/CD2/CTLA4/TRAT1/SH2D1A/DTX3/IL23A,ImmuneGO_BTM_general
Influenza/IN (D1),COMPLEMENT,COMPLEMENT...760,COMPLEMENT,13,0.7383232179313923,2.1511825381390097,4.249978420709063e-4,7.285677292644107e-4,1.9172834980642388e-4,519,"tags=54%, list=14%, signal=46%",SERPING1/C1QB/C3AR1/C1QA/CFB/PROS1/CFP,ImmuneGO_BTM_general
Influenza/IN (D1),INFLAMMATION,INFLAMMATION...761,INFLAMMATION,27,0.5596061320173447,1.9908348448292084,0.003004693346355068,0.0048075093541681095,0.0012651340405705547,561,"tags=46%, list=15%, signal=40%",GCH1/TNFAIP6/IL1B/NOD2/RIPK2/TNF/NLRP3/PDE4B/IL1RN/SERPINB9/NOTCH2/NFKBIA/FCER1G,ImmuneGO_BTM_general
Influenza/IN (D1),NEUTROPHIL,NEUTROPHIL...762,NEUTROPHIL,44,0.43266640920427246,1.7067795844341629,0.014490205376612147,0.02173530806491822,0.005719817911820584,1080,"tags=57%, list=29%, signal=41%",CCL2/IL15/CXCL9/CCL8/KCNJ15/FFAR2/S100A12/PDE4B/MTHFD1/MPL/CCR2/F2RL1/FCGR2A/FCER1G/SLC22A4/FPR2/PRKCD/NCKAP1L/CCL1/MBOAT7/TYROBP/BEST1/REPS2/IL6R/FPR1,ImmuneGO_BTM_general
Influenza/IN (D1),MACROPHAGE,MACROPHAGE...763,MACROPHAGE,7,0.6803059936046046,1.628724720271517,0.03297356141644707,0.0465509102349841,0.01225023953552213,473,"tags=57%, list=13%, signal=50%",IFI35/CCL2/TICAM1/CCR2,ImmuneGO_BTM_general
Influenza/IN (D1),IMMUNE SYSTEM,IMMUNE SYSTEM...764,IMMUNE SYSTEM,82,0.32793957116713635,1.4730660124428712,0.04072398190045249,0.05429864253393665,0.014289116456299118,865,"tags=48%, list=23%, signal=38%",TLR7/PLAUR/FGL2/RTN1/FAR2/HLA-DMB/HLA-DMA/DUSP6/CD36/MEF2A/HLA-DPA1/PTGS2/HLA-DRA/PLEK/LILRB2/TLR2/CD74/IRAK3/ICAM1/TLR1/NFKBIA/CD86/LCP2/TLR8/LYN/ITGB2/FCER1G/HCK/FGR/MYD88/HLA-C/SELL/VASP/CD1D/HLA-G/TLR4/NCKAP1L/TLR5/HMOX1/MAPK14,ImmuneGO_BTM_general
Influenza/IN (D1),HUMORAL ADAPTIVE IMMUNE SYSTEM,HUMORAL ADAPTIVE IMMUNE SYSTEM...765,HUMORAL ADAPTIVE IMMUNE SYSTEM,156,0.23973607343311543,1.2237043472478644,0.13561643835616438,0.17130497476568132,0.045080256517284555,810,"tags=35%, list=22%, signal=29%",P2RY14/CCL2/CIITA/CXCL9/SRC/CCL8/CD38/BST2/CD40/PSMB10/CIITA/SCARB2/PI3/SP140/S100A12/TNF/HLA-DMA/DUSP6/HLA-DPA1/SSPN/SOS1/TICAM1/HLA-DRA/NFKB2/ADM/BTC/HHEX/MPL/CSF2RB/CXCL14/NOTCH2/PTPRJ/CCR2/NFKBIA/CD86/LYN/FCER1G/HCK/FGR/HDAC4/NKX2-5/LIMK1/TNFAIP3/CD83/CBFA2T3/PBX1/HLA-G/TFE3/TLR4/F2RL3/GRB2/PRKCD/NCKAP1L/FCGR2B/CCL1,ImmuneGO_BTM_general
Influenza/IN (D1),ANTIMICROBIAL,ANTIMICROBIAL...766,ANTIMICROBIAL,13,0.459864158013114,1.3398627086460309,0.15019011406844107,0.18022813688212927,0.04742845707424455,423,"tags=38%, list=11%, signal=34%",CXCL9/CCL8/S100A12/ADM/CXCL14,ImmuneGO_BTM_general
Influenza/IN (D1),EOSINOPHIL,EOSINOPHIL...767,EOSINOPHIL,8,0.4951817891373964,1.2510953266586473,0.23137254901960785,0.26442577030812325,0.06958572902845349,399,"tags=38%, list=11%, signal=34%",CCL2/CCL8/MPL,ImmuneGO_BTM_general
Influenza/IN (D1),B CELL,B CELL...768,B CELL,126,-0.19975344386066116,-1.1264536405776366,0.24367088607594936,0.26582278481012656,0.06995336442371752,806,"tags=31%, list=22%, signal=26%",P2RY14/CIITA/SRC/CD38/BST2/CD40/CIITA/SCARB2/SP140/TNF/HLA-DMA/DUSP6/HLA-DPA1/SSPN/SOS1/TICAM1/HLA-DRA/BTC/HHEX/MPL/CSF2RB/NOTCH2/PTPRJ/NFKBIA/CD86/LYN/FCER1G/HCK/FGR/HDAC4/LIMK1/TNFAIP3/CBFA2T3/HLA-G/TLR4/F2RL3/GRB2/PRKCD/NCKAP1L/FCGR2B,ImmuneGO_BTM_general
Influenza/IN (D1),IMMUNOGLOBULIN MEDIATED RESPONSE,IMMUNOGLOBULIN MEDIATED RESPONSE...769,IMMUNOGLOBULIN MEDIATED RESPONSE,66,0.23872823982573607,1.0236913449975742,0.4353312302839117,0.45425867507886436,0.11954175659970113,806,"tags=38%, list=22%, signal=30%",SRC/CD38/BST2/CD40/SOS1/TICAM1/HHEX/MPL/CSF2RB/NOTCH2/PTPRJ/NFKBIA/CD86/FCER1G/HCK/FGR/HDAC4/LIMK1/TNFAIP3/HLA-G/TLR4/GRB2/PRKCD/NCKAP1L/FCGR2B,ImmuneGO_BTM_general
Influenza/IN (D1),MAST CELL,MAST CELL...770,MAST CELL,11,-0.2641468612978002,-0.7802549855288761,0.728421052631579,0.728421052631579,0.19168975069252078,601,"tags=27%, list=16%, signal=23%",KIT/RASGRP1/FCER1A,ImmuneGO_BTM_general
Ebola/VV (D1),ANTIVIRAL & IFN,ANTIVIRAL & IFN...771,ANTIVIRAL & IFN,55,0.8610712358990621,2.9993503707992706,1e-10,3.4285714285714286e-10,9.022556390977443e-11,231,"tags=60%, list=6%, signal=57%",RSAD2/IFIT1/HERC5/CCL8/SERPING1/OAS3/CXCL10/MX1/IFIT2/DDX58/CCL2/GBP1/OAS2/OAS1/IFIH1/DHX58/CCL7/PML/EIF2AK2/CCL1/PLSCR1/IRF7/DDX60/IFITM3/STAT2/IFI27/STAT1/IFITM1/SP100/GBP2/IL1B/ANXA3/CASP1,ImmuneGO_BTM_general
Ebola/VV (D1),SIGNALING,SIGNALING...772,SIGNALING,56,0.7854115523030978,2.735080685414041,1e-10,3.4285714285714286e-10,9.022556390977443e-11,225,"tags=52%, list=5%, signal=50%",RSAD2/IFIT1/HERC5/CCL8/SERPING1/OAS3/CXCL10/DDX58/CCL2/OAS1/IFIH1/DHX58/TNFAIP6/CCL7/PML/CCL1/PLSCR1/IRF7/DDX60/CXCL11/CCL13/STAT1/GCH1/IFITM1/CCR1/IL1B/LIF/IL15RA/ANXA3,ImmuneGO_BTM_general
Ebola/VV (D1),DENDRITIC CELL,DENDRITIC CELL...773,DENDRITIC CELL,104,0.7012167537476408,2.6522758551208594,1e-10,3.4285714285714286e-10,9.022556390977443e-11,678,"tags=60%, list=17%, signal=51%",RSAD2/IFIT1/HERC5/LAMP3/CCL8/SERPING1/IFI6/SIGLEC1/IFIT3/IFIT2/DDX58/IL1RN/CH25H/ATF3/HESX1/IFIH1/TNFAIP6/PLSCR1/IRF7/DDX60/PDGFRL/CXCL11/MX2/IFI27/GCH1/RIN2/DOCK4/SLC27A3/MSR1/TMEM140/CCR1/LHFPL2/SERPINB9/IL1B/CD38/PDCD1LG2/TACSTD2/P2RY6/LAG3/EMP1/PRRG4/EREG/SLC1A3/TMEM51/SLC31A2/C1QB/SLCO5A1/ATP1B2/HLX/GRINA/PDE4B/CD86/FZD5/PSEN2/PLXDC2/ICAM1/IGSF6/AGPAT3/IL13RA1/SLAMF8/RELB/RBM47,ImmuneGO_BTM_general
Ebola/VV (D1),CELLULAR ADAPTIVE IMMUNE SYSTEM,CELLULAR ADAPTIVE IMMUNE SYSTEM...774,CELLULAR ADAPTIVE IMMUNE SYSTEM,185,-0.43383781235714153,-2.514894679231778,1e-10,3.4285714285714286e-10,9.022556390977443e-11,682,"tags=48%, list=17%, signal=42%",BCL2/DENND2D/TSC2/ARHGDIB/IKZF1/CD40LG/STAT4/UBASH3A/CD8B/CD320/JUN/MAZ/RORC/RASGRP1/CD28/FYN/PRKDC/KLF12/RORA/ASXL1/TECR/C5AR1/DPP4/STAT6/CD96/RPL22/CD81/CLEC2D/GZMA/SIRPG/ITM2A/CD1C/SKAP1/KLRB1/PRKCH/CXCR6/IL21R/GPR183/LRRN3/CCR7/CD44/TXK/ITGAL/CD2/TRAF3IP3/MYH9/SH2B1/ITPKB/BCL11B/PTPN7/IL4R/ITPR3/LFNG/CXCR3/SLC11A1/DGKZ/CAMK4/PLCG1/ITK/CD4/CCL5/CD27/ABLIM1/SLC38A1/CD8A/EPHB3/LEF1/NKG7/ATP8B2/GZMM/IL32/CD247/RPS6/CD5/IL2RB/APBB1/CD6/CD3E/NELL2/LTB/LCK/CD7/ZAP70/GNLY/ETS1/IL7R/TCF7/SPOCK2,ImmuneGO_BTM_general
Ebola/VV (D1),T CELL,T CELL...775,T CELL,176,-0.4350183575166375,-2.4941117345712445,1e-10,3.4285714285714286e-10,9.022556390977443e-11,682,"tags=48%, list=17%, signal=42%",BCL2/DENND2D/TSC2/ARHGDIB/IKZF1/CD40LG/STAT4/UBASH3A/CD8B/CD320/JUN/MAZ/RORC/RASGRP1/CD28/FYN/PRKDC/KLF12/RORA/TECR/DPP4/STAT6/CD96/RPL22/CD81/CLEC2D/GZMA/SIRPG/ITM2A/CD1C/SKAP1/KLRB1/PRKCH/CXCR6/IL21R/GPR183/LRRN3/CCR7/CD44/TXK/ITGAL/CD2/TRAF3IP3/MYH9/SH2B1/ITPKB/BCL11B/PTPN7/IL4R/ITPR3/LFNG/CXCR3/SLC11A1/DGKZ/CAMK4/PLCG1/ITK/CD4/CCL5/CD27/ABLIM1/SLC38A1/CD8A/LEF1/NKG7/ATP8B2/GZMM/IL32/CD247/RPS6/CD5/IL2RB/APBB1/CD6/CD3E/NELL2/LTB/LCK/CD7/ZAP70/GNLY/ETS1/IL7R/TCF7/SPOCK2,ImmuneGO_BTM_general
Ebola/VV (D1),INNATE IMMUNE SYSTEM,INNATE IMMUNE SYSTEM...776,INNATE IMMUNE SYSTEM,426,0.5719404519318553,2.375347735237088,1e-10,3.4285714285714286e-10,9.022556390977443e-11,669,"tags=42%, list=16%, signal=40%",RSAD2/IFIT1/HERC5/LAMP3/CCL8/OASL/SERPING1/IFI6/SIGLEC1/OAS3/IFIT3/CXCL10/MX1/IFIT2/DDX58/CCL2/IL1RN/GBP1/OAS2/OAS1/IFI35/CH25H/ATF3/HESX1/IFIH1/DHX58/DEFB1/TNFAIP6/CCL7/PML/EIF2AK2/CCL1/PLSCR1/IRF7/DDX60/IFITM3/PDGFRL/STAT2/CXCL11/TRIM22/BST2/MX2/IFI27/STAT1/GCH1/RIN2/IFITM1/DOCK4/LMO2/ZC3HAV1/TFEC/MAP2K6/AIM2/SLC27A3/CFB/MSR1/FAR2/TMEM140/APOBEC3F/MAFB/SP100/MYOF/SECTM1/TRIM21/TLR7/FFAR2/GBP2/CCR1/LHFPL2/SERPINB9/TYMP/AXL/IL1B/EDNRB/HPSE/CD38/MT1G/TRIM26/ANXA3/TRIM25/CASP1/PDCD1LG2/FCGR2B/PLAUR/EPB41L3/MS4A4A/TACSTD2/TSPAN2/CD163/RIPK2/PRKCE/CSF1/DYSF/SAMHD1/P2RY6/ADRB2/SORT1/RNF19B/MYD88/LAG3/CLEC4E/ADAR/HHEX/C3/MARCO/CASP4/EMP1/PSMB8/ADAP2/FGL2/LILRB1/PRRG4/EREG/IRF1/FXYD6/TBKBP1/TLR4/WDFY3/ATP8B4/NOD2/XIAP/SLC22A4/SLC1A3/PSMB10/MARCKS/ACSL1/MEF2A/TICAM1/ERAP2/TMEM51/TNFAIP3/IL15/S100A12/SLC31A2/C1QB/ABCA1/SLCO5A1/ATP1B2/HLX/ASGR2/KCNJ2/NLRP3/SRC/GSDMD/GRINA/IL10/SLC8A1/LYN/MS4A6A/PDE4B/TLR5/CHGA/CD86/FZD5/DUSP6/LCN2/FZD2/KYNU/PSEN2/TLR1/F5/GCA/HLA-G/RAB31/PSME1/PLA2G7/MXD1/DRAM1/PLXDC2/ICAM1/TNS3/NAIP/IGSF6/PLEK/AGPAT3/IL13RA1/FPR2/DEFA4/ARHGEF10L/SLAMF8/RELB,ImmuneGO_BTM_general
Ebola/VV (D1),LEUKOCYTES,LEUKOCYTES...777,LEUKOCYTES,457,0.5699647858184117,2.3702754456102944,1e-10,3.4285714285714286e-10,9.022556390977443e-11,669,"tags=44%, list=16%, signal=41%",RSAD2/IFIT1/HERC5/LAMP3/CCL8/OASL/SERPING1/IFI6/SIGLEC1/OAS3/IFIT3/CXCL10/MX1/IFIT2/DDX58/CCL2/IL1RN/GBP1/OAS2/OAS1/IFI35/CH25H/ATF3/HESX1/IFIH1/DHX58/DEFB1/TNFSF10/TNFAIP6/CCL7/CEACAM1/PML/EIF2AK2/CCL1/PLSCR1/IRF7/DDX60/IFITM3/PDGFRL/CXCL11/TRIM22/BST2/CCL13/MX2/IFI27/JUP/GCH1/RIN2/IFITM1/DOCK4/LMO2/ZC3HAV1/TFEC/STX11/AIM2/SLC27A3/CFB/MSR1/TMEM140/APOBEC3F/EXOSC9/MAFB/KLF5/BRCA2/SP100/MYOF/ADM/SECTM1/TLR7/FFAR2/GTPBP1/PSMB9/GBP2/CCR1/LHFPL2/SERPINB9/TYMP/AXL/RGS1/IL1B/LIF/IRF2/HPSE/IL15RA/LILRB4/CD38/TRIM26/ANXA3/TRIM25/C3AR1/CASP1/PDCD1LG2/FCGR2B/PLAUR/EPB41L3/MS4A4A/TACSTD2/TSPAN2/CD163/RIPK2/IRF9/PRKCE/CSF1/DYSF/SAMHD1/P2RY6/ADRB2/SORT1/RNF19B/MYD88/LAG3/CLEC4E/ADAR/HHEX/C3/MARCO/CASP4/EMP1/PSMB8/ADAP2/FGL2/LILRB1/PRRG4/EREG/IRF1/CD164/FXYD6/TBKBP1/TCN1/TLR4/WDFY3/ATP8B4/ANXA5/NOD2/SLC22A4/SLC1A3/PSMB10/MARCKS/GCNT1/ACSL1/TICAM1/ERAP2/TMEM51/TNFAIP3/IL15/S100A12/SIGLEC5/SMAD3/SLC31A2/ABCA1/SLCO5A1/ATP1B2/HLX/ASGR2/KCNJ2/NLRP3/SRC/GSDMD/GRINA/IL10/SLC8A1/LYN/MS4A6A/PDE4B/TLR5/CD86/FZD5/DUSP6/MMP8/LCN2/FZD2/KYNU/PSEN2/TLR1/OLFM4/F5/BARD1/GCA/HLA-G/RAB31/CDK14/PLA2G7/MXD1/RETN/DRAM1/PLXDC2/ICAM1/TNS3/NAIP/IGSF6/CEACAM8/AGPAT3/IL13RA1/FPR2/TNFSF15/CD300C/DEFA4/ARHGEF10L/SLAMF8/RELB,ImmuneGO_BTM_general
Ebola/VV (D1),MONOCYTE,MONOCYTE...778,MONOCYTE,123,0.584904234461477,2.254769225377559,3.118833316043957e-10,9.35649994813187e-10,2.4622368284557556e-10,891,"tags=66%, list=22%, signal=53%",CCL8/CCL2/IL1RN/CCL7/CCL1/RIN2/LMO2/TFEC/MAFB/MYOF/SECTM1/CCR1/TYMP/IL1B/HPSE/MT1G/PLAUR/EPB41L3/MS4A4A/CD163/CSF1/DYSF/SAMHD1/SORT1/CLEC4E/HHEX/MARCO/ADAP2/FGL2/LILRB1/FXYD6/TLR4/NOD2/MARCKS/ACSL1/S100A12/SLC31A2/ABCA1/ASGR2/NLRP3/LYN/MS4A6A/TLR5/CD86/DUSP6/FZD2/KYNU/TLR1/F5/GCA/RAB31/PLA2G7/DRAM1/PLXDC2/TNS3/NAIP/IGSF6/IL13RA1/FPR2/ARHGEF10L/RBM47/MTMR11/MAML3/DPYD/P2RY13/ALDH1A1/FCGR2A/EMILIN2/AOAH/AZU1/FCER1G/CCR2/P2RY2/MNDA/LTBR/CYBB/LILRB2/DPYSL2/PRKCD/CTSG/LY86,ImmuneGO_BTM_general
Ebola/VV (D1),ADAPTIVE IMMUNE SYSTEM,ADAPTIVE IMMUNE SYSTEM...779,ADAPTIVE IMMUNE SYSTEM,303,-0.28830024449491476,-1.7884689128410347,1.81746946258864e-7,4.846585233569706e-7,1.2754171667288702e-7,656,"tags=35%, list=16%, signal=31%",TSC2/ARHGDIB/SH2D2A/IKZF1/CD40LG/STAT4/UBASH3A/CD8B/PRKCZ/GNG7/CD320/JUN/ADAM8/MAZ/TOP2B/RORC/CD19/RASGRP1/CD28/FYN/PRKDC/CXCR4/KLF12/P2RX5/TCL1A/RORA/ASXL1/TECR/DPP4/STAT6/CD96/RPL22/CD81/CLEC2D/DTX3/GZMA/SIRPG/ITM2A/CD1C/SKAP1/KLRB1/PRKCH/CXCR6/IL21R/GPR183/LRRN3/CCR7/CD44/TXK/ITGAL/CD2/IMPDH2/TRAF3IP3/MYH9/SH2B1/ITPKB/BCL11B/PACS1/HLA-DOA/FCER2/PTPN7/IL4R/ITPR3/LFNG/BLK/CXCR3/SLC11A1/DGKZ/LY9/CAMK4/PLCG1/ITK/CD4/CCL5/CD27/CD79A/ABLIM1/CD22/SLC38A1/CD8A/EPHB3/LEF1/NKG7/ATP8B2/GZMM/IL32/CD79B/CD247/RPS6/CD5/IL2RB/APBB1/CD1E/CD6/CD3E/NELL2/LTB/LCK/CD7/ZAP70/GNLY/ETS1/IL7R/TCF7/SPOCK2,ImmuneGO_BTM_general
Ebola/VV (D1),ARPP,ARPP...780,ARPP,138,0.5038168948151376,1.96619378555675,1.2522871735944139e-6,3.005489216626593e-6,7.909182149017351e-7,669,"tags=40%, list=16%, signal=35%",CCL8/CXCL10/IFIT2/DDX58/CCL2/IFI35/IFIH1/DHX58/CCL7/CCL1/IRF7/BST2/MAP2K6/AIM2/FAR2/TLR7/CCR1/IL1B/EDNRB/MT1G/TRIM25/CASP1/PLAUR/RIPK2/PRKCE/CSF1/DYSF/MYD88/LAG3/PSMB8/FGL2/LILRB1/EREG/TLR4/WDFY3/XIAP/PSMB10/MEF2A/TICAM1/TNFAIP3/S100A12/ASGR2/KCNJ2/SRC/LYN/TLR5/CD86/DUSP6/KYNU/TLR1/HLA-G/ICAM1/PLEK/FPR2/RELB,ImmuneGO_BTM_general
Ebola/VV (D1),LYMPHOCYTE,LYMPHOCYTE...781,LYMPHOCYTE,19,-0.6922952156715647,-2.3620870787839334,5.558297514011505e-6,1.2127194576025101e-5,3.1913669936908164e-6,654,"tags=68%, list=16%, signal=58%",SH2D2A/UBASH3A/PRKCZ/CD19/CD28/TCL1A/DTX3/CD2/FCER2/BLK/CD79A/CD3E/CD7,ImmuneGO_BTM_general
Ebola/VV (D1),MYELOID CELL,MYELOID CELL...782,MYELOID CELL,26,0.7164440756836274,2.181254550309471,2.0713300387537814e-5,4.142660077507563e-5,1.0901737046072533e-5,846,"tags=77%, list=21%, signal=61%",IL1RN/MYOF/SECTM1/TLR7/CCR1/HHEX/MARCO/TLR4/SLC1A3/MARCKS/NLRP3/IL10/SLC8A1/TLR5/CD86/F5/IGSF6/MTMR11/FCER1G/CCR2,ImmuneGO_BTM_general
Ebola/VV (D1),NK CELL,NK CELL...783,NK CELL,44,-0.48637968589397884,-2.118012346614798,7.337739165336652e-5,1.3546595382159972e-4,3.564893521621045e-5,488,"tags=52%, list=12%, signal=47%",RASGRP1/RORA/CD96/PTGDR/GZMA/S1PR5/KLRB1/PRKCH/SYNGR3/ARL4C/CD244/ITK/CCL5/KLRD1/CTSW/NKG7/GZMM/CD247/MATK/IL2RB/CD7/ZAP70/GNLY,ImmuneGO_BTM_general
Ebola/VV (D1),EOSINOPHIL,EOSINOPHIL...784,EOSINOPHIL,6,0.8896153813948346,1.8617828530835434,3.2737556328647766e-4,5.612152513482473e-4,1.4768822403901245e-4,42,"tags=67%, list=1%, signal=66%",CCL8/CCL2/CCL7/CCL1,ImmuneGO_BTM_general
Ebola/VV (D1),INFLAMMATION,INFLAMMATION...785,INFLAMMATION,24,0.6118589215328183,1.839107167328387,0.0035933655682229893,0.0057493849091567835,0.0015129960287254692,537,"tags=50%, list=13%, signal=44%",IL1RN/TNFAIP6/GCH1/SERPINB9/IL1B/RIPK2/TLR4/NOD2/TNFAIP3/NLRP3/IL10/PDE4B,ImmuneGO_BTM_general
Ebola/VV (D1),COMPLEMENT,COMPLEMENT...786,COMPLEMENT,15,0.6525337760328203,1.7242875556294652,0.010444125327813617,0.015666187991720426,0.004122681050452743,861,"tags=53%, list=21%, signal=42%",SERPING1/CFB/C3AR1/C3/C1QB/FPR2/FPR3/C4BPB,ImmuneGO_BTM_general
Ebola/VV (D1),MACROPHAGE,MACROPHAGE...787,MACROPHAGE,16,0.6268062483230246,1.6960805200964728,0.014915247840774436,0.021056820481093322,0.005541268547656137,440,"tags=44%, list=11%, signal=39%",CCL2/IFI35/EDNRB/PRKCE/CSF1/TLR4/TICAM1,ImmuneGO_BTM_general
Ebola/VV (D1),NEUTROPHIL,NEUTROPHIL...788,NEUTROPHIL,51,0.4551649261539568,1.5694174150584954,0.026170745813049134,0.034894327750732174,0.009182717829140045,882,"tags=51%, list=21%, signal=41%",CCL8/CCL2/CCL7/CCL1/FFAR2/AXL/ANXA3/TSPAN2/CSF1/SLC22A4/IL15/S100A12/PDE4B/MXD1/FPR2/RNF24/FCGR2A/CD177/AZU1/ELANE/FCER1G/CCR2/SRP54/MERTK/PRKCD/CTSG,ImmuneGO_BTM_general
Ebola/VV (D1),ANTIMICROBIAL,ANTIMICROBIAL...789,ANTIMICROBIAL,21,0.4808989465201995,1.3953705188347025,0.11884057971014493,0.15011441647597254,0.039503793809466455,150,"tags=19%, list=4%, signal=18%",CCL8/DEFB1/CCL1/ADM,ImmuneGO_BTM_general
