"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"84","BBIBP (V3, D28)","ChAd-BNT (V3, D1)",18,251,841,336,1149,"HLA-DMB, PSMD6-AS2, CD83, BRSK2, BACH1-IT1, BLZF2P, AREG, DISC1-IT1, PRKCG, ADAMTSL4-AS1, RIBC1, MTCO2P11, SIPA1L1, MIR194-2HG, MYH7B, MIR181A1HG, FAR1-IT1, TXLNB",5.36,1.57,3.38678897633282e-229,1.01682366063167e-229,228.992754356669
"85","BBIBP (V3, D28)","ZF2001 (V3, D07)",5,264,257,336,325,"BABAM2, AREG, ARHGAP15, ZNF433, ALKBH7",1.49,1.54,1.48584765516002e-147,2.24908525145627e-148,147.647994082343
"86","BBIBP (V3, D28)","ZF2001 (V3, D14)",5,264,228,336,275,"NNAT, CD83, ALOX5, ARHGAP15, BAG5",1.49,1.82,2.0286024768144e-138,2.90139000698725e-139,138.537393889088
"87","BBIBP (V3, D28)","ZF2001 (V3, D28)",3,266,63,336,78,"CD83, AREG, LOC100133244",0.89,3.85,7.21319143303693e-65,6.55104138501749e-66,65.1836896569827
"88","BBIBP (V3, D28)","BNT-I-BNT (D51, mild)",0,269,124,336,124,"",0,0,9.01975910754187e-106,1.04687174285904e-106,105.980106522505
"89","BBIBP (V3, D28)","BNT-I-BNT (D51, severe)",0,269,52,336,52,"",0,0,2.92991342847192e-61,2.62163140437779e-62,61.5814283692049
"90","BBIBP (V3, D28)","H-BNT-I (D1)",14,255,845,336,859,"C9orf131, PSMD6-AS2, CD83, LOC727896, AREG, HBA1, GK3P, TSPAN4, SLC6A8, MIR181A1HG, ALKBH7, GDF15, HSP90AB4P, TCTEX1D4",4.17,1.63,1.62375912375706e-236,5.22018671410978e-237,236.282313963002
"91","BBIBP (V3, D28)","H-BNT-I (D10, mild)",13,256,1755,336,1768,"ARPC3, CCNB2, PSMD6-AS2, ALOX5, SLC25A37, FKBPL, PELI2, FAM49B, NPFF, SMTNL1, MIR181A1HG, HSP90AB4P, CCDC17",3.87,0.74,3.36172484845416e-311,2.26157648871129e-311,310.645588719409
"92","BBIBP (V3, D28)","H-BNT-I (D10, severe)",19,250,2334,336,2353,"CCNB2, ALOX5, BNIPL, DISC1-IT1, SLC25A37, FKBPL, ADAMTSL4-AS1, SRGAP2-AS1, FAM49B, PPP1R1A, GK3P, NPFF, PLXDC2, SMTNL1, CHRNA2, MIR181A1HG, HSP90AB4P, TXLNB, CCDC17",5.65,0.81,0,0,0
"93","BBIBP (V3, D28)","H-BNT-I (D26, mild)",9,260,1149,336,1158,"ARPC3, CCNB2, ALOX5, SLC25A37, FAM49B, GK3P, NPFF, ALKBH7, HSP90AB4P",2.68,0.78,2.52748678450967e-276,1.10625100238729e-276,275.956146322774
"94","BBIBP (V3, D28)","H-BNT-I (D26, severe)",3,266,342,336,345,"CCNB2, FAM49B, HSP90AB4P",0.89,0.87,1.94433991693805e-174,3.51413960818061e-175,174.454180989039
"95","BBIBP (V3, D28)","H-BNT-I (D3)",9,260,580,336,589,"C9orf131, LOC727896, AREG, PPP1R1A, GK3P, ALKBH7, GDF15, HSP90AB4P, TCTEX1D4",2.68,1.53,4.21650671644916e-210,1.07871651605721e-210,209.967092671803
"96","BBIBP (V3, D28)","H-BNT-I (D4)",4,265,104,336,108,"SNCA, HBB, OR2W3, SLC6A8",1.19,3.7,1.56149871258307e-88,1.66352804772995e-89,88.7789698723595
"97","BBIBP (V3, D28)","H-I (D10, moderate)",14,255,1775,336,1789,"CCNB2, FAM71A, PRKCG, FKBPL, HEMGN, FAM49B, PPP1R1A, GK3P, PLXDC2, SMTNL1, CHRNA2, MIR181A1HG, HSP90AB4P, CCDC17",4.17,0.78,2.9171395777596e-310,1.92680336521418e-310,309.71516260385
"98","BBIBP (V3, D28)","H-I (D10, severe)",20,249,2253,336,2273,"VASN, C9orf131, ARPC3, CCNB2, AREG, ALOX5, SLC25A37, PELI2, FAM49B, LAPTM5, GK3P, PLXDC2, CELF2, PREX1, MIR181A1HG, HSP90AB4P, TXLNB, TCTEX1D4, ZRANB1, CCDC17",5.95,0.88,2.96439387504748e-322,2.61854792295861e-322,321.581939473515
"99","BBIBP (V3, D28)","H-I (D26, moderate)",8,261,1123,336,1131,"ARPC3, CCNB2, SNCA, ALOX5, GK3P, MIR181A1HG, HSP90AB4P, CCDC17",2.38,0.71,4.10105797828196e-276,1.77361559670563e-276,275.751140500806
