"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue"
"1336","FLUMIST (D7)","BNT-MO (V3, D1)",34,2055,738,2089,772,"AREG,B3GNT5,BCL2A1,CSRNP1,DOCK4,DUSP5,DYNLT1,EGR2,EGR3,FAM8A1,G0S2,GCOM1,GK,HBEGF,HOXA5,LIMK2,NR4A2,PLAUR,PTGS2,SOCS1,SOCS3,STX11,TNFAIP6,TRIB1,XRN1,ZCCHC2,C2orf74,DAPP1,FCRL3,GALM,SAMD9L,SP140,TDRD7,TFEC",1.63,4.4,0,0
"1337","FLUMIST (D7)","ChAd (V1, D3)",10,2079,525,2089,535,"CMTM2,G0S2,HCAR3,HBG2,MGAM,MME,TNFRSF10C,ADAP2,ASCL2,TCF7L2",0.48,1.87,0,0
"1338","FLUMIST (D7)","ChAd (V1, D6)",1,2088,81,2089,82,"PRC1",0.05,1.22,1.20336754749406e-147,1.20336754749406e-147
"1339","FLUMIST (D7)","ChAd (V1, D7)",5,2084,232,2089,237,"ELL2,HBA1,HBA2,HBB,HBG2",0.24,2.11,5.59570301957252e-317,5.59570301957252e-317
"1340","FLUMIST (D7)","ChAd (V2, D1)",29,2060,577,2089,606,"DOCK4,DYNLT1,HBA1,HBA2,HBG2,LYPD3,PHF11,SNORD89,SOCS1,TNFAIP6,XRN1,ZCCHC2,ZNG1B,ZNG1C,ZNG1E,CLIC3,DAPP1,FAM111A,GALM,MS4A14,NEAT1,PNPT1,SAMD9L,SCARB2,SP140,SRGAP2,SRGAP2C,TDRD7,TFEC",1.39,4.79,0,0
"1341","FLUMIST (D7)","ChAd (V2, D3)",4,2085,187,2089,191,"C6orf226,POLR2M,PTGS2,RASGEF1B",0.19,2.09,3.22483227104174e-272,3.22483227104174e-272
"1342","FLUMIST (D7)","ChAd (V2, D7)",2,2087,6,2089,8,"RASGEF1B,ZFC3H1",0.1,25,2.40158850209844e-16,2.40158850209844e-16
"1343","FLUMIST (D7)","ChAd-BNT (V2, D3)",20,2069,732,2089,752,"C6orf226,CMTM2,CREM,DUSP8,EGR2,ELAVL3,PET117,PHACTR1,POLR2M,SPARC,TMCC3,ZNF331,ZNF571,ADAP2,IDH1,NID1,PNPT1,SAMD9L,SCARB2,TFEC",0.96,2.66,0,0
"1344","FLUMIST (D7)","ChAd-BNT (V2, D7)",35,2054,649,2089,684,"ACSL1,AQP9,BASP1,BCL2A1,CMTM2,EGR2,EGR3,ELAVL3,G0S2,HCAR3,HBA1,HBA2,HBB,HBG1,HBG2,LONRF1,LRG1,MGAM,MMD,MME,NAMPT,NFE2L2,PHACTR1,PROK2,RASGEF1B,S100P,SERPINB2,SOD2,SPARC,TMCC3,TNFAIP6,TNFRSF10C,ZFY,ZNF331,NSUN5P2",1.68,5.12,0,0
"1345","FLUMIST (D7)","ChAd-BNT (V3, D1)",44,2045,780,2089,824,"AREG,BEX5,C18orf25,CLEC2B,CSRNP1,CUL1,DOCK4,DUSP2,DUSP5,DYNLT1,EGR2,EGR3,GK,HBEGF,HBG2,LIMK2,LYPD3,PHF11,PLAUR,RASGEF1B,SNORD89,SOCS1,STX11,TMEM70,TNFAIP6,TRIB1,XRN1,ZCCHC2,ANKFY1,ANXA2P2,BAZ1A,CD163,CLIC3,DAPP1,FAM111A,FGD2,OLIG1,SAMD9L,SCARB2,SP140,SRGAP2,TDRD7,TFEC,VCAN",2.11,5.34,0,0
