"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"36","ChAd-BNT (V3, D1)","ChAd (V2, D1)",344,515,133,1149,641,"AATBC, ABTB2, ADAMTSL4-AS2, AGRN, AIM2, ALMS1P1, ANKRD22, APOBEC3A, APOL1, APOL2, APOL6, ATF3, BACH1-IT1, BACH1-IT2, BACH1-IT3, BATF2, BISPR, BNIP5, BST2, C15orf48, C1QB, C1QC, C2, CACNA1A, CACNA1E, CALHM6, CARD17P, CASP1, CASP5, CBX3P10, CCDC194, CCL2, CCL8, CD209, CD274, CD300E, CDC27P1, CDCA4P4, CDHR5, CEACAM1, CFAP58-DT, CFB, CHMP5, CIBAR1, CIR1, CLEC18B, CLEC6A, CMPK2, CMTR1, COL7A1, COPG2IT1, CSNK1G2P1, CTRL, CXCL10, CXCL11, CXCL2, DAPP1, DDX10P1, DDX60, DDX60L, DHRS9, DHX58, DISC1, DISC1-IT1, DNAJC19P5, DOCK4, DTX3L, DYNLT1, DZIP1L, EIF2AK2, EPB41L3, EPSTI1, ETV7, ETV7-AS1, EXOC3L1, FAM111A, FAM156B, FAM225A, FAM72A, FAM72D, FAP, FAR1-IT1, FBXO39, FBXO6, FCGR1A, FCGR1BP, FCGR1CP, FCGR2C, FDPSP3, FGL2, FMNL2, FMR1-IT1, FN1, FRMD3, GARIN4, GBP1, GBP1P1, GBP2, GBP3, GBP4, GBP5, GBP6, GCH1, GK-IT1, GNB4, GPR84, GRAMD1B, GRIN3A, H4C15, HELZ2, HERC5, HERC6, HES4, HESX1, HMGB1P3, HNRNPKP2, HORMAD1, HSPA7, HSPA8P5, HYMAI, IDO1, IDO2, IFI16, IFI30, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFIT5, IFITM1, IFITM3, IGHEP2, IL1RN, IL27, IL31RA, IRF1-AS1, IRF7, IRF9, ISG15, ISG20, KIAA1958, KPTN, LACTB, LAMP3, LAP3, LAP3P2, LGALS3BP, LHFPL2, LIF, LINC00487, LINC00937, LINC01359, LINC01703, LINC02033, LINC02068, LINC02287, LINC02362, LINC02363, LINC02471, LINC02555, LINC02574, LINC02773, LINC03016, LMNB1-DT, LNMICC, LRRK2-DT, LY6E, LYPD5, MARCO, MIR222HG, MIR320E, MIR4308, MIR4477B, MIR4736, MIR601, MIR7150, MLKL, MOV10, MSR1, MT2A, MTATP6P11, MTCO1P11, MTCO2P11, MTCO3P11, MTND1P11, MTND4P14, MTND5P14, MTND6P5, MX1, MX2, MYOF, NAIPP3, NASPP1, NBN, NCAPGP1, NCF1C, NEXN, NMI, NRN1, NUB1, NUDT16-DT, OAS1, OAS2, OAS3, OASL, ODF3B, OR51R1P, OR52K1, OR52K3P, OR56B1, OR7E140P, P2RY14, PAIP1P1, PARP12, PARP14, PARP9, PDCD1LG2, PGAP1, PHF11, PKN2-AS1, PLSCR1, PML, PRAL, PRLR, PRRG4, PSMD6-AS1, PSME2, PSME2P1, PSME2P2, PSORS1C3, PSTPIP2, PTPRU, RAB1AP1, RAB39A, REC8, RERE-AS1, RHBDF2, RIGI, RMI2, RN7SKP26, RN7SL124P, RN7SL344P, RN7SL834P, RNA5SP237, RNA5SP307, RNA5SP383, RNA5SP68, RNF213, RNF213-AS1, RNF31, RNU6-1176P, RNU6-611P, RNU6-917P, RNU7-195P, RNU7-40P, RNU7-96P, RNVU1-18, RPL17P28, RPL36AP15, RPL7AP42, RPS15AP29, RPS29P14, RPS2P36, RPS2P44, RPS3AP32, RSAD2, RSPH9, RTP4, RUFY4, SAMD4A, SAMD9, SAMD9L, SAT1, SCARB2, SCARF1, SCO2, SCUBE2, SDAD1P2, SDC3, SEPTIN4, SERPING1, SIGLEC1, SIMALR, SIRPD, SLAMF8, SLC1A3, SLC2A3P2, SLC30A4-AS1, SLC6A12, SMCHD1, SOCS1, SP100, SP110, SP140, SPATA45, SPATS2L, SRGAP2, SRGAP2B, STAT1, STAT2, SYNPO2, TAP1, TAP2, TCF3P1, TCN2, TDRD7, TENT5A, TFEC, TLR7, TMEM268, TMSB4XP1, TMSB4XP8, TNFAIP6, TNFSF10, TNFSF13B, TOR1B, TRAFD1, TRIM21, TRIM22, TRIM36, TRIM38, TRIM5, TRIM6, TTC21A, TTC26, TYMP, UBE2L6, UBQLNL, UPF3AP3, USP18, VAMP5, WARS1, WDFY1, XAF1, XRN1, YWHABP2, ZBP1, ZCCHC2, ZEB2-AS1, ZNF684",29.94,53.67,7.54064577293118e-48,7.65110756575869e-49,48.116275692313
"37","ChAd-BNT (V3, D1)","ChAd (V1, D7)",3,856,205,1149,260,"C1orf167, FER1L4, NES",0.26,1.15,1.66803070921127e-219,1.84632593645454e-219,218.73369162947
"38","ChAd-BNT (V3, D1)","ChAd-BNT (V2, D7)",5,854,280,1149,301,"C1orf167, FER1L4, MIR4518, NES, UNC13A",0.44,1.66,7.33030220764089e-265,8.9252192508246e-264,263.049381106504
"39","ChAd-BNT (V3, D1)","ChAd-BNT (V2, D3)",199,660,433,1149,823,"ABTB2, ADAMTSL4-AS1, ADPGK-AS1, AGRN, AIM2, AK4, ANKRD22, ANO5, APOBEC3A, APOL1, APOL4, APOL6, ATF3, BACH1-IT2, BATF2, BISPR, BST2, C15orf48, C1QB, C1QC, C2, CASP5, CCL2, CCL8, CD274, CDHR5, CDKN1A, CFB, CLEC6A, CMPK2, CXCL10, CXCL11, CXCL3, CXCL9, DDX60, DDX60L, DHRS9, DHX58, DISC1, DMXL2, DTX3L, EGR2, EIF2AK2, EPB41L3, EPHB2, EPSTI1, EREG, ETV7, EXOC3L1, FAM20A, FAM225A, FBXO39, FBXO6, FCGR1A, FCGR2C, FFAR3, FGL2, FLVCR2, FMNL2, FN1, FPR3, FRMD3, GBP1, GBP1P1, GBP2, GBP4, GBP5, GCH1, GPR84, HELZ2, HERC5, HERC6, HES4, HESX1, HORMAD1, IDO1, IDO2, IFI16, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFITM3, IL1RN, IL27, IL31RA, IL4I1, IRF7, ISG15, JAK2, JPH4, KCNJ2-AS1, KIAA1958, KIF1A, KLF10, KLF4, KLHDC7B, LAMP3, LAP3, LGALS3BP, LINC00487, LINC00937, LPCAT2, LY6E, LYPD5, MARCO, METTL7B, MIR181A1HG, MIR5194, MS4A4A, MSANTD1, MSR1, MT2A, MUC1, MX1, MX2, MYOF, NEXN, NFKBIZ, NMI, NRN1, OAS1, OAS2, OAS3, OASL, ODF3B, OR56B1, P2RX7, P2RY6, PARP12, PARP14, PARP9, PDCD1LG2, PGAP1, PHLDA2, PKN2-AS1, PLEKHH1, PLSCR1, PRLR, PSME2, PSTPIP2, PTPRU, RAB39A, RGL1, RIN2, RNF213, RSAD2, RUFY4, SAMD4A, SAMD9L, SCARB2, SCARF1, SCIMP, SCO2, SCUBE2, SDC3, SECTM1, SERPING1, SIGLEC1, SIGLEC11, SIRPD, SLAMF8, SLC1A3, SLC26A1, SLC6A12, SLIT2, SMCO4, SORT1, SP110, SPATS2L, STAT1, STAT2, SUCNR1, TAP1, TCN2, TFEC, TLR7, TMEM106A, TMEM150B, TNFSF10, TNFSF13B, TRIM22, TRIM25, TRIM5, TRPV4, TYMP, UBE2L6, UNC5A, USP18, VAMP5, VSIG10L, XAF1, ZBP1, ZEB2-AS1, ZNF702P",17.32,24.18,1.96145431768809e-187,9.55289937028498e-188,187.019864797064
"40","ChAd-BNT (V3, D1)","ZF2001 (V3, D07)",7,852,255,1149,325,"AREG, CCL2, DDX60, LINC01703, MARCO, NASPP1, PDIA3P1",0.61,2.15,2.98135641846141e-246,1.21001194520487e-245,244.917210342319
"41","ChAd-BNT (V3, D1)","BBIBP (V3, D14)",17,842,261,1149,350,"ARHGAP26-IT1, BACH1-IT1, DCLRE1A, DHX58, DUOX1, EPSTI1, FAM225A, KPTN, MARCO, NLRC5, PAIP1P1, PDIA3P1, SIPA1L1, TMEM132A, TTC21A, TXLNB, UBQLNL",1.48,4.86,1.77811892057592e-236,5.41249895660411e-236,235.26660217436
"42","ChAd-BNT (V3, D1)","BBIBP (V3, D28)",18,841,251,1149,336,"ADAMTSL4-AS1, AREG, BACH1-IT1, BLZF2P, BRSK2, CD83, DISC1-IT1, FAR1-IT1, HLA-DMB, MIR181A1HG, MIR194-2HG, MTCO2P11, MYH7B, PRKCG, PSMD6-AS2, RIBC1, SIPA1L1, TXLNB",1.57,5.36,3.38678897633244e-229,5.89097407169735e-229,228.229812888747
"43","ChAd-BNT (V3, D1)","BBIBP (V3, D07)",1,858,38,1149,63,"HLA-DMB",0.09,1.59,2.80985464910484e-66,3.28963360369691e-67,66.4828524706682
"44","ChAd-BNT (V3, D1)","ZF2001 (V3, D28)",3,856,63,1149,78,"AREG, CD83, LINC01703",0.26,3.85,1.32168456700541e-94,1.8712265953609e-95,94.7278736186164
"45","ChAd-BNT (V3, D1)","BNT-MO (V3, D1)",388,471,304,1149,929,"ADAMTSL4-AS1, ADAMTSL4-AS2, ADORA2A-AS1, ADPGK-AS1, AGRN, AIM2, AK4, ALDH1A1, ALMS1P1, ALPK1, ANKRD22, APOBEC3A, APOL1, APOL2, APOL4, APOL6, AREG, ASPHD2, ATF3, BACH1-IT1, BACH1-IT2, BATF2, BISPR, BMAL2, BNIP5, BST2, C15orf48, C1QA, C1QB, C1QC, C2, C3AR1, CACNA1A, CACNA1E, CALHM6, CALM2P2, CARD17P, CASP1, CASP5, CCDC194, CCL2, CCL3, CCL3L1, CCL3L3, CCL8, CD274, CDCA4P4, CDCP1, CDHR5, CEACAM1, CFAP58-DT, CIBAR1, CLEC18B, CLEC6A, CMPK2, CMTR1, CNDP1, COL1A1, CPNE9, CSNK1G2P1, CSRNP1, CTRL, CXCL10, CXCL11, CXCL2, CXCL9, DAPP1, DCST1, DDX10P1, DDX60, DDX60L, DHRS12, DHRS9, DHX58, DISC1, DISC1-IT1, DMXL2, DNM1P33, DOCK4, DTX3L, DUSP5, DYNLT1, EGR1, EGR2, EGR3, EIF2AK2, ENSG00000234290, EPSTI1, ETV7, ETV7-AS1, EXOC3L1, F3, FAM20A, FAM225A, FAM225B, FANCA, FAP, FAS, FBXO39, FBXO6, FCGR1A, FCGR1BP, FCGR1CP, FDPSP3, FFAR3, FGF13, FGL2, FLVCR2, FMNL2, FOSL1, FRMD3, GADD45B, GALNT3, GARIN4, GAS6, GBP1, GBP1P1, GBP2, GBP3, GBP4, GBP5, GBP6, GCH1, GK, GK-IT1, GK4P, GPR84, GRAMD1B, GRIN3A, GSDMC, GSG1L, H2BP2, H3P47, H4C14, HBEGF, HELZ2, HERC5, HES4, HESX1, HMGB1P3, HORMAD1, HYMAI, ICAM1, IDO1, IDO2, IER2, IFI16, IFI30, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFIT5, IFITM1, IFITM3, IGHEP2, IL1B, IL1RN, IL27, IL31RA, IRF1, IRF1-AS1, IRF2-DT, IRF7, IRF9, ISG15, ISG20, JAK2, KCNJ2, KCNJ2-AS1, KIAA1958, KLHDC7B-DT, KPTN, LACTB, LAMP3, LAP3, LAP3P2, LGALS3BP, LHFPL2, LIF, LIMK2, LINC00487, LINC00968, LINC01232, LINC01415, LINC01703, LINC01841, LINC02033, LINC02068, LINC02287, LINC02321, LINC02362, LINC02363, LINC02471, LINC02555, LINC02574, LINC02773, LMNB1, LMNB1-DT, LPCAT2, LRRK2-DT, LY6E, LYPD5, LYSMD2, MAFF, METTL7B, MICB, MIR222HG, MIR3183, MIR4308, MIR4736, MIR601, MOV10, MSR1, MT2A, MTCO1P11, MTCO2P11, MTCO3P11, MTHFD2, MTND4P14, MTND5P14, MUC1, MX1, MX2, MYOF, NAIPP3, NASPP1, NBN, NCF1C, NMI, NRN1, NUB1, OAS1, OAS2, OAS3, OASL, ODF3B, OR51R1P, OR52K1, OR52K2, OR52K3P, OR7E140P, P2RX7, P2RY14, P2RY6, PARP12, PARP14, PARP9, PCBP1-AS1, PDCD1LG2, PDE4B, PIK3AP1, PLAUR, PLSCR1, PML, POLB, PRAL, PRRG4, PRUNE2, PSMB9, PSME2, PSME2P1, PSME2P2, PSTPIP2, PTGES3P1, PTTG2, RAB1AP1, RAB20, RAB39A, REC8, RGS1, RHBDF2, RIGI, RIPK2, RMI2, RN7SKP26, RN7SL124P, RN7SL288P, RN7SL473P, RN7SL600P, RNA5SP237, RNF138P1, RNF213, RNF213-AS1, RNU6-190P, RNU6-275P, RNU6-611P, RNU7-181P, RNU7-195P, RNU7-40P, RPL17P28, RPL35AP2, RPL7AP42, RPL9P33, RPS14P4, RPS15AP30, RPS16P5, RPS26P21, RPS29P14, RPS2P36, RPS3AP32, RSAD2, RSPH9, RTEL1P1, RTP4, RUFY4, SAMD4A, SAMD9, SAMD9L, SAT1, SCARF1, SCO2, SDC3, SECTM1, SEMA3B, SEPTIN4, SERPING1, SIGLEC1, SIGLEC11, SIGLEC16, SIMALR, SIPA1L1, SLAMF8, SLC1A3, SLC26A8, SLC2A3P2, SLC30A4-AS1, SLC6A12, SLC8A2, SLIT2, SMCO4, SOCS1, SORT1, SP140, SPATA20P1, SPATS2L, SQOR, STAT1, STAT2, STAT4-AS1, STX11, SUCNR1, TAP1, TAP2, TASL, TATDN2P2, TCF3P1, TCN2, TDRD7, TFEC, TIFA, TMEM140, TMEM150B, TMEM268, TMSB4XP1, TMSB4XP6, TNFAIP3, TNFAIP6, TNFSF10, TNFSF13B, TOR1B, TOX4P1, TRAFD1, TRANK1, TRD-AS1, TRIB1, TRIM21, TRIM22, TRIM5, TRIM6, TRIM69, TRPV4, TTC26, TYMP, UBE2L6, USP18, VAMP5, VPS9D1, WARS1, WDFY1, XAF1, XRN1, ZBP1, ZCCHC2",33.77,41.77,1.24182647315774e-84,1.66156193874362e-85,84.7794834647054
