"genes","cluster","gene_set"
"UBE2J1","cluster 2","All genes, shared > 16 conditions"
"TNPO3","cluster 2","All genes, shared > 16 conditions"
"UBQLN2","cluster 2","All genes, shared > 16 conditions"
"CDK9","cluster 2","All genes, shared > 16 conditions"
"TBK1","cluster 2","All genes, shared > 16 conditions"
"DUSP6","cluster 2","All genes, shared > 16 conditions"
"PRDM10","cluster 2","All genes, shared > 16 conditions"
"KIAA0319L","cluster 2","All genes, shared > 16 conditions"
"MMP9","cluster 2","All genes, shared > 16 conditions"
"ZNF200","cluster 2","All genes, shared > 16 conditions"
"SUZ12","cluster 2","All genes, shared > 16 conditions"
"ARNTL2","cluster 2","All genes, shared > 16 conditions"
"BST1","cluster 2","All genes, shared > 16 conditions"
"TLR5","cluster 2","All genes, shared > 16 conditions"
"PRRG4","cluster 2","All genes, shared > 16 conditions"
"UBE2D1","cluster 2","All genes, shared > 16 conditions"
"SPATA5L1","cluster 2","All genes, shared > 16 conditions"
"DENND3","cluster 2","All genes, shared > 16 conditions"
"LRRC59","cluster 2","All genes, shared > 16 conditions"
"SIAH2","cluster 2","All genes, shared > 16 conditions"
"RB1","cluster 2","All genes, shared > 16 conditions"
"ITM2C","cluster 2","All genes, shared > 16 conditions"
"CHRNA2","cluster 2","All genes, shared > 16 conditions"
"ORC6","cluster 2","All genes, shared > 16 conditions"
"ZXDC","cluster 2","All genes, shared > 16 conditions"
"SAMHD1","cluster 2","All genes, shared > 16 conditions"
"CD1C","cluster 2","All genes, shared > 16 conditions"
"TFG","cluster 2","All genes, shared > 16 conditions"
"CASP6","cluster 2","All genes, shared > 16 conditions"
"TMED10","cluster 2","All genes, shared > 16 conditions"
"KDM5B","cluster 2","All genes, shared > 16 conditions"
"CUL3","cluster 2","All genes, shared > 16 conditions"
"KDM3A","cluster 2","All genes, shared > 16 conditions"
"CHD7","cluster 2","All genes, shared > 16 conditions"
"HSPBAP1","cluster 2","All genes, shared > 16 conditions"
"HNRNPA0","cluster 2","All genes, shared > 16 conditions"
"NUP153","cluster 2","All genes, shared > 16 conditions"
"ISCA1","cluster 2","All genes, shared > 16 conditions"
"MEX3C","cluster 2","All genes, shared > 16 conditions"
"DYRK2","cluster 2","All genes, shared > 16 conditions"
"MTERF4","cluster 2","All genes, shared > 16 conditions"
"PHLPP2","cluster 2","All genes, shared > 16 conditions"
"PXMP4","cluster 2","All genes, shared > 16 conditions"
"WDR59","cluster 2","All genes, shared > 16 conditions"
"HSF2","cluster 2","All genes, shared > 16 conditions"
"TOP2B","cluster 2","All genes, shared > 16 conditions"
"NOL9","cluster 2","All genes, shared > 16 conditions"
"CD244","cluster 2","All genes, shared > 16 conditions"
"RNGTT","cluster 2","All genes, shared > 16 conditions"
"TSEN2","cluster 2","All genes, shared > 16 conditions"
"RBM15B","cluster 2","All genes, shared > 16 conditions"
"ZBTB5","cluster 2","All genes, shared > 16 conditions"
"CRY2","cluster 2","All genes, shared > 16 conditions"
"ZNF329","cluster 2","All genes, shared > 16 conditions"
"RPL14","cluster 2","All genes, shared > 16 conditions"
"AAK1","cluster 2","All genes, shared > 16 conditions"
"PIP4K2B","cluster 2","All genes, shared > 16 conditions"
"NELFCD","cluster 2","All genes, shared > 16 conditions"
"MPRIP","cluster 2","All genes, shared > 16 conditions"
"NDRG2","cluster 2","All genes, shared > 16 conditions"
"JAKMIP2","cluster 2","All genes, shared > 16 conditions"
"TRMT13","cluster 2","All genes, shared > 16 conditions"
"SACS","cluster 2","All genes, shared > 16 conditions"
"ALDH6A1","cluster 2","All genes, shared > 16 conditions"
"SOS1","cluster 2","All genes, shared > 16 conditions"
"METTL3","cluster 2","All genes, shared > 16 conditions"
"CPSF6","cluster 2","All genes, shared > 16 conditions"
"GZMH","cluster 2","All genes, shared > 16 conditions"
"PIGL","cluster 2","All genes, shared > 16 conditions"
"IL21R","cluster 2","All genes, shared > 16 conditions"
"OSGEPL1","cluster 2","All genes, shared > 16 conditions"
"CD28","cluster 2","All genes, shared > 16 conditions"
"CDC37L1","cluster 2","All genes, shared > 16 conditions"
"ZNF571","cluster 2","All genes, shared > 16 conditions"
"DFFA","cluster 2","All genes, shared > 16 conditions"
"BRD1","cluster 2","All genes, shared > 16 conditions"
"STT3A","cluster 2","All genes, shared > 16 conditions"
"GSPT2","cluster 2","All genes, shared > 16 conditions"
"ZNF606","cluster 2","All genes, shared > 16 conditions"
"SH3PXD2A","cluster 2","All genes, shared > 16 conditions"
"SLC7A6","cluster 2","All genes, shared > 16 conditions"
"VRK1","cluster 2","All genes, shared > 16 conditions"
"RPL22","cluster 2","All genes, shared > 16 conditions"
"GORASP1","cluster 2","All genes, shared > 16 conditions"
"ACP6","cluster 2","All genes, shared > 16 conditions"
"EIF4B","cluster 2","All genes, shared > 16 conditions"
"ADPRH","cluster 2","All genes, shared > 16 conditions"
"CHST12","cluster 2","All genes, shared > 16 conditions"
"RPL10A","cluster 2","All genes, shared > 16 conditions"
"ZNF248","cluster 2","All genes, shared > 16 conditions"
"HNRNPK","cluster 2","All genes, shared > 16 conditions"
"MEF2D","cluster 2","All genes, shared > 16 conditions"
"PI4KA","cluster 2","All genes, shared > 16 conditions"
"SCPEP1","cluster 2","All genes, shared > 16 conditions"
"TUBA1C","cluster 2","All genes, shared > 16 conditions"
"TNFRSF1B","cluster 2","All genes, shared > 16 conditions"
"ELMO2","cluster 2","All genes, shared > 16 conditions"
"PTPRE","cluster 2","All genes, shared > 16 conditions"
"FGR","cluster 2","All genes, shared > 16 conditions"
"TBXAS1","cluster 2","All genes, shared > 16 conditions"
"RNMT","cluster 2","All genes, shared > 16 conditions"
"FYN","cluster 2","All genes, shared > 16 conditions"
"CACNA2D2","cluster 2","All genes, shared > 16 conditions"
"RUNX3","cluster 2","All genes, shared > 16 conditions"
"FKBP2","cluster 2","All genes, shared > 16 conditions"
"STIP1","cluster 2","All genes, shared > 16 conditions"
"NECAP1","cluster 2","All genes, shared > 16 conditions"
"TMED2","cluster 2","All genes, shared > 16 conditions"
"WDR37","cluster 2","All genes, shared > 16 conditions"
"CCT7","cluster 2","All genes, shared > 16 conditions"
"POLG","cluster 2","All genes, shared > 16 conditions"
"COLGALT2","cluster 2","All genes, shared > 16 conditions"
"ZBTB14","cluster 2","All genes, shared > 16 conditions"
"MRPL46","cluster 2","All genes, shared > 16 conditions"
"HIBCH","cluster 2","All genes, shared > 16 conditions"
"STK38","cluster 2","All genes, shared > 16 conditions"
"TMEM39A","cluster 2","All genes, shared > 16 conditions"
"IER2","cluster 2","All genes, shared > 16 conditions"
"MRPS31","cluster 2","All genes, shared > 16 conditions"
"METTL7A","cluster 2","All genes, shared > 16 conditions"
"CAMKK2","cluster 2","All genes, shared > 16 conditions"
"ANKRD28","cluster 2","All genes, shared > 16 conditions"
"SLC25A24","cluster 2","All genes, shared > 16 conditions"
"RBM7","cluster 2","All genes, shared > 16 conditions"
"NAIP","cluster 2","All genes, shared > 16 conditions"
"DAZAP2","cluster 2","All genes, shared > 16 conditions"
"ADAR","cluster 2","All genes, shared > 16 conditions"
"CPQ","cluster 2","All genes, shared > 16 conditions"
"NLRP3","cluster 2","All genes, shared > 16 conditions"
"RNF103","cluster 2","All genes, shared > 16 conditions"
"ACOT9","cluster 2","All genes, shared > 16 conditions"
"VIM","cluster 2","All genes, shared > 16 conditions"
"DAD1","cluster 2","All genes, shared > 16 conditions"
"SLC31A2","cluster 2","All genes, shared > 16 conditions"
"CD300A","cluster 2","All genes, shared > 16 conditions"
"FCER1G","cluster 2","All genes, shared > 16 conditions"
"PPP1R15A","cluster 2","All genes, shared > 16 conditions"
"GADD45B","cluster 2","All genes, shared > 16 conditions"
"KLF10","cluster 2","All genes, shared > 16 conditions"
"NFKBIA","cluster 2","All genes, shared > 16 conditions"
"FTL","cluster 2","All genes, shared > 16 conditions"
"COQ10B","cluster 2","All genes, shared > 16 conditions"
"VAMP3","cluster 2","All genes, shared > 16 conditions"
"TRAF6","cluster 2","All genes, shared > 16 conditions"
"HSPA5","cluster 2","All genes, shared > 16 conditions"
"IFITM2","cluster 2","All genes, shared > 16 conditions"
"ATF4","cluster 2","All genes, shared > 16 conditions"
"DYNLL1","cluster 2","All genes, shared > 16 conditions"
"BTG2","cluster 2","All genes, shared > 16 conditions"
"SNCA","cluster 2","All genes, shared > 16 conditions"
"XK","cluster 2","All genes, shared > 16 conditions"
"CARS2","cluster 2","All genes, shared > 16 conditions"
"SMPDL3A","cluster 2","All genes, shared > 16 conditions"
"DNMT1","cluster 2","All genes, shared > 16 conditions"
"EIF2S1","cluster 2","All genes, shared > 16 conditions"
"ITGAL","cluster 2","All genes, shared > 16 conditions"
"ADCY7","cluster 2","All genes, shared > 16 conditions"
"CANT1","cluster 2","All genes, shared > 16 conditions"
"TRIM5","cluster 2","All genes, shared > 16 conditions"
"YWHAH","cluster 2","All genes, shared > 16 conditions"
"EIF2B1","cluster 2","All genes, shared > 16 conditions"
"NECAP2","cluster 2","All genes, shared > 16 conditions"
"STAT6","cluster 2","All genes, shared > 16 conditions"
"CREB3L2","cluster 2","All genes, shared > 16 conditions"
"PDE4D","cluster 2","All genes, shared > 16 conditions"
"FEN1","cluster 2","All genes, shared > 16 conditions"
"SLC20A1","cluster 2","All genes, shared > 16 conditions"
"PITPNC1","cluster 2","All genes, shared > 16 conditions"
"TUBA1A","cluster 2","All genes, shared > 16 conditions"
"TFDP1","cluster 2","All genes, shared > 16 conditions"
"ZEB2","cluster 2","All genes, shared > 16 conditions"
"ANKRA2","cluster 2","All genes, shared > 16 conditions"
"NCSTN","cluster 2","All genes, shared > 16 conditions"
"CYB5R1","cluster 2","All genes, shared > 16 conditions"
"AAMP","cluster 2","All genes, shared > 16 conditions"
"PLEK","cluster 2","All genes, shared > 16 conditions"
"SLC25A28","cluster 2","All genes, shared > 16 conditions"
"ABR","cluster 2","All genes, shared > 16 conditions"
"IER5","cluster 2","All genes, shared > 16 conditions"
"NAAA","cluster 2","All genes, shared > 16 conditions"
"HSD17B11","cluster 2","All genes, shared > 16 conditions"
"CLCN7","cluster 2","All genes, shared > 16 conditions"
"ANKRD11","cluster 2","All genes, shared > 16 conditions"
"CHMP1B","cluster 2","All genes, shared > 16 conditions"
"TAGLN2","cluster 2","All genes, shared > 16 conditions"
"PABPC1","cluster 2","All genes, shared > 16 conditions"
"MTMR11","cluster 2","All genes, shared > 16 conditions"
"WDR73","cluster 2","All genes, shared > 16 conditions"
"TMX4","cluster 2","All genes, shared > 16 conditions"
"CD86","cluster 2","All genes, shared > 16 conditions"
"DPYSL2","cluster 2","All genes, shared > 16 conditions"
"FCN1","cluster 2","All genes, shared > 16 conditions"
"ANXA4","cluster 2","All genes, shared > 16 conditions"
"CYFIP1","cluster 2","All genes, shared > 16 conditions"
"BTK","cluster 2","All genes, shared > 16 conditions"
"HMOX1","cluster 2","All genes, shared > 16 conditions"
"ANXA5","cluster 2","All genes, shared > 16 conditions"
"ARRB1","cluster 2","All genes, shared > 16 conditions"
"SORL1","cluster 2","All genes, shared > 16 conditions"
"PLAGL2","cluster 2","All genes, shared > 16 conditions"
"CD79A","cluster 2","All genes, shared > 16 conditions"
"DYNLT1","cluster 2","All genes, shared > 16 conditions"
"BLVRA","cluster 2","All genes, shared > 16 conditions"
"GBP2","cluster 2","All genes, shared > 16 conditions"
"SORT1","cluster 2","All genes, shared > 16 conditions"
"CYSLTR1","cluster 2","All genes, shared > 16 conditions"
"ADAP2","cluster 2","All genes, shared > 16 conditions"
"BLK","cluster 2","All genes, shared > 16 conditions"
"SEC24D","cluster 2","All genes, shared > 16 conditions"
"KBTBD2","cluster 2","All genes, shared > 16 conditions"
"KDM6A","cluster 2","All genes, shared > 16 conditions"
"ARNTL","cluster 2","All genes, shared > 16 conditions"
"NDUFA8","cluster 2","All genes, shared > 16 conditions"
"ST3GAL5","cluster 2","All genes, shared > 16 conditions"
"HLA-DPA1","cluster 2","All genes, shared > 16 conditions"
"PMVK","cluster 2","All genes, shared > 16 conditions"
"GRN","cluster 2","All genes, shared > 16 conditions"
"CST3","cluster 2","All genes, shared > 16 conditions"
"CSF1R","cluster 2","All genes, shared > 16 conditions"
"BHLHE40","cluster 2","All genes, shared > 16 conditions"
"DENND5A","cluster 2","All genes, shared > 16 conditions"
"RTN1","cluster 2","All genes, shared > 16 conditions"
"LILRB2","cluster 2","All genes, shared > 16 conditions"
"CCR2","cluster 2","All genes, shared > 16 conditions"
"ADGRE2","cluster 2","All genes, shared > 16 conditions"
"ACVR1B","cluster 2","All genes, shared > 16 conditions"
"EIF1","cluster 2","All genes, shared > 16 conditions"
"STX16","cluster 2","All genes, shared > 16 conditions"
"LYN","cluster 2","All genes, shared > 16 conditions"
"ARPC3","cluster 2","All genes, shared > 16 conditions"
"UBE2G1","cluster 2","All genes, shared > 16 conditions"
"TK1","cluster 2","All genes, shared > 16 conditions"
"STMN1","cluster 2","All genes, shared > 16 conditions"
"S100A4","cluster 2","All genes, shared > 16 conditions"
"ALOX5","cluster 2","All genes, shared > 16 conditions"
"SYF2","cluster 2","All genes, shared > 16 conditions"
"TUBA4A","cluster 2","All genes, shared > 16 conditions"
"CHMP2B","cluster 2","All genes, shared > 16 conditions"
"CDKN1C","cluster 2","All genes, shared > 16 conditions"
"ADAMTSL4","cluster 2","All genes, shared > 16 conditions"
"BTG3","cluster 2","All genes, shared > 16 conditions"
"ZMYM5","cluster 2","All genes, shared > 16 conditions"
"GTF2H1","cluster 2","All genes, shared > 16 conditions"
"SMAD7","cluster 2","All genes, shared > 16 conditions"
"EIF4G2","cluster 2","All genes, shared > 16 conditions"
"FBXL5","cluster 2","All genes, shared > 16 conditions"
"FLI1","cluster 2","All genes, shared > 16 conditions"
"HDLBP","cluster 2","All genes, shared > 16 conditions"
"BNIP2","cluster 2","All genes, shared > 16 conditions"
"DERL1","cluster 2","All genes, shared > 16 conditions"
"EIF2AK3","cluster 2","All genes, shared > 16 conditions"
"RNF139","cluster 2","All genes, shared > 16 conditions"
"MAP4K4","cluster 2","All genes, shared > 16 conditions"
"CENPE","cluster 2","All genes, shared > 16 conditions"
"PTP4A1","cluster 2","All genes, shared > 16 conditions"
"ARF4","cluster 2","All genes, shared > 16 conditions"
"PHACTR1","cluster 2","All genes, shared > 16 conditions"
"NACC2","cluster 2","All genes, shared > 16 conditions"
"DYSF","cluster 2","All genes, shared > 16 conditions"
"CCR1","cluster 2","All genes, shared > 16 conditions"
"SECTM1","cluster 2","All genes, shared > 16 conditions"
"MNT","cluster 2","All genes, shared > 16 conditions"
"DCP1A","cluster 2","All genes, shared > 16 conditions"
"NANS","cluster 2","All genes, shared > 16 conditions"
"FGL2","cluster 2","All genes, shared > 16 conditions"
"GSPT1","cluster 2","All genes, shared > 16 conditions"
"PDLIM1","cluster 2","All genes, shared > 16 conditions"
"RAB20","cluster 2","All genes, shared > 16 conditions"
"GMPR","cluster 2","All genes, shared > 16 conditions"
"BARD1","cluster 2","All genes, shared > 16 conditions"
"NCOA3","cluster 2","All genes, shared > 16 conditions"
"TREM1","cluster 2","All genes, shared > 16 conditions"
"BANK1","cluster 2","All genes, shared > 16 conditions"
"TNFRSF13B","cluster 2","All genes, shared > 16 conditions"
"MAFB","cluster 2","All genes, shared > 16 conditions"
"DDIT3","cluster 2","All genes, shared > 16 conditions"
"CKAP4","cluster 2","All genes, shared > 16 conditions"
"CDK14","cluster 2","All genes, shared > 16 conditions"
"CDA","cluster 2","All genes, shared > 16 conditions"
"BAK1","cluster 2","All genes, shared > 16 conditions"
"USP32","cluster 2","All genes, shared > 16 conditions"
"MRPS18A","cluster 2","All genes, shared > 16 conditions"
"PTGER2","cluster 2","All genes, shared > 16 conditions"
"AGPAT3","cluster 2","All genes, shared > 16 conditions"
"GMPPA","cluster 2","All genes, shared > 16 conditions"
"MCTP1","cluster 2","All genes, shared > 16 conditions"
"SLC8A1","cluster 2","All genes, shared > 16 conditions"
"ABCA1","cluster 2","All genes, shared > 16 conditions"
"C1GALT1C1","cluster 2","All genes, shared > 16 conditions"
"CCNG2","cluster 2","All genes, shared > 16 conditions"
"ENC1","cluster 2","All genes, shared > 16 conditions"
"GFOD2","cluster 2","All genes, shared > 16 conditions"
"TESK2","cluster 2","All genes, shared > 16 conditions"
"TNF","cluster 2","All genes, shared > 16 conditions"
"CEBPB","cluster 2","All genes, shared > 16 conditions"
"B4GALT5","cluster 2","All genes, shared > 16 conditions"
"SERPINA1","cluster 2","All genes, shared > 16 conditions"
"TYROBP","cluster 2","All genes, shared > 16 conditions"
"NFE2L2","cluster 2","All genes, shared > 16 conditions"
"PIM2","cluster 2","All genes, shared > 16 conditions"
"PFKFB4","cluster 2","All genes, shared > 16 conditions"
"SPG21","cluster 2","All genes, shared > 16 conditions"
"B4GALT3","cluster 2","All genes, shared > 16 conditions"
"S1PR5","cluster 2","All genes, shared > 16 conditions"
"ADGRE5","cluster 2","All genes, shared > 16 conditions"
"PRMT1","cluster 2","All genes, shared > 16 conditions"
"LAX1","cluster 2","All genes, shared > 16 conditions"
"TRAF3IP3","cluster 2","All genes, shared > 16 conditions"
"ST6GAL1","cluster 2","All genes, shared > 16 conditions"
"TRIB2","cluster 2","All genes, shared > 16 conditions"
"PRSS23","cluster 2","All genes, shared > 16 conditions"
"PTGDS","cluster 2","All genes, shared > 16 conditions"
"FGF9","cluster 2","All genes, shared > 16 conditions"
"ZNF331","cluster 2","All genes, shared > 16 conditions"
"UBE2D2","cluster 2","All genes, shared > 16 conditions"
"JARID2","cluster 2","All genes, shared > 16 conditions"
"MLEC","cluster 2","All genes, shared > 16 conditions"
"NUP43","cluster 2","All genes, shared > 16 conditions"
"DUSP2","cluster 2","All genes, shared > 16 conditions"
"CXCR4","cluster 2","All genes, shared > 16 conditions"
"GRPEL1","cluster 2","All genes, shared > 16 conditions"
"FBXL12","cluster 2","All genes, shared > 16 conditions"
"SAMSN1","cluster 2","All genes, shared > 16 conditions"
"RAD23B","cluster 2","All genes, shared > 16 conditions"
"SRI","cluster 2","All genes, shared > 16 conditions"
"ARID4A","cluster 2","All genes, shared > 16 conditions"
"PAPOLA","cluster 2","All genes, shared > 16 conditions"
"NRBP1","cluster 2","All genes, shared > 16 conditions"
"AZIN1","cluster 2","All genes, shared > 16 conditions"
"CLEC16A","cluster 2","All genes, shared > 16 conditions"
"GART","cluster 2","All genes, shared > 16 conditions"
"SASH1","cluster 2","All genes, shared > 16 conditions"
"FAM98A","cluster 2","All genes, shared > 16 conditions"
"IL10RA","cluster 2","All genes, shared > 16 conditions"
"IDH2","cluster 2","All genes, shared > 16 conditions"
"ELF4","cluster 2","All genes, shared > 16 conditions"
"SP140","cluster 2","All genes, shared > 16 conditions"
"MAD2L1BP","cluster 2","All genes, shared > 16 conditions"
"PPM1F","cluster 2","All genes, shared > 16 conditions"
"HLA-DOA","cluster 2","All genes, shared > 16 conditions"
"ZNF134","cluster 2","All genes, shared > 16 conditions"
