"genes","cluster","gene_set"
"DHRS9","cluster 2","All genes, shared > 16 conditions"
"IL15","cluster 2","All genes, shared > 16 conditions"
"ARSD","cluster 2","All genes, shared > 16 conditions"
"CD163","cluster 2","All genes, shared > 16 conditions"
"ANKFY1","cluster 2","All genes, shared > 16 conditions"
"CNDP2","cluster 2","All genes, shared > 16 conditions"
"ANKRD49","cluster 2","All genes, shared > 16 conditions"
"TIMP2","cluster 2","All genes, shared > 16 conditions"
"ESYT1","cluster 2","All genes, shared > 16 conditions"
"CD36","cluster 2","All genes, shared > 16 conditions"
"LILRB1","cluster 2","All genes, shared > 16 conditions"
"COX15","cluster 2","All genes, shared > 16 conditions"
"APOBEC3G","cluster 2","All genes, shared > 16 conditions"
"SSR2","cluster 2","All genes, shared > 16 conditions"
"SNAPC3","cluster 2","All genes, shared > 16 conditions"
"IFRD1","cluster 2","All genes, shared > 16 conditions"
"SLC2A6","cluster 2","All genes, shared > 16 conditions"
"APOBEC3C","cluster 2","All genes, shared > 16 conditions"
"IGF1R","cluster 2","All genes, shared > 16 conditions"
"ATF7IP2","cluster 2","All genes, shared > 16 conditions"
"DHRS3","cluster 2","All genes, shared > 16 conditions"
"SIDT1","cluster 2","All genes, shared > 16 conditions"
"NKG7","cluster 2","All genes, shared > 16 conditions"
"KLRD1","cluster 2","All genes, shared > 16 conditions"
"LFNG","cluster 2","All genes, shared > 16 conditions"
"ADGRG1","cluster 2","All genes, shared > 16 conditions"
"RGS12","cluster 2","All genes, shared > 16 conditions"
"GNLY","cluster 2","All genes, shared > 16 conditions"
"KLF12","cluster 2","All genes, shared > 16 conditions"
"ZNF549","cluster 2","All genes, shared > 16 conditions"
"DERA","cluster 2","All genes, shared > 16 conditions"
"ITFG1","cluster 2","All genes, shared > 16 conditions"
"CORO1B","cluster 2","All genes, shared > 16 conditions"
"CWC25","cluster 2","All genes, shared > 16 conditions"
"RPS25","cluster 2","All genes, shared > 16 conditions"
"NAP1L4","cluster 2","All genes, shared > 16 conditions"
"ZNF14","cluster 2","All genes, shared > 16 conditions"
"CEP68","cluster 2","All genes, shared > 16 conditions"
"PARP3","cluster 2","All genes, shared > 16 conditions"
"ZNF33B","cluster 2","All genes, shared > 16 conditions"
"LUC7L","cluster 2","All genes, shared > 16 conditions"
"PLEKHA1","cluster 2","All genes, shared > 16 conditions"
"PFDN5","cluster 2","All genes, shared > 16 conditions"
"KLHDC2","cluster 2","All genes, shared > 16 conditions"
"FYCO1","cluster 2","All genes, shared > 16 conditions"
"PRDX4","cluster 2","All genes, shared > 16 conditions"
"ARHGEF3","cluster 2","All genes, shared > 16 conditions"
"BST2","cluster 2","All genes, shared > 16 conditions"
"PSTPIP2","cluster 2","All genes, shared > 16 conditions"
"VAMP5","cluster 2","All genes, shared > 16 conditions"
"LMO2","cluster 2","All genes, shared > 16 conditions"
"PSMB9","cluster 2","All genes, shared > 16 conditions"
"AHCTF1","cluster 2","All genes, shared > 16 conditions"
"LAMA5","cluster 2","All genes, shared > 16 conditions"
"MTHFD2","cluster 2","All genes, shared > 16 conditions"
"ADAM19","cluster 2","All genes, shared > 16 conditions"
"SPG11","cluster 2","All genes, shared > 16 conditions"
"MT1F","cluster 2","All genes, shared > 16 conditions"
"NUCB1","cluster 2","All genes, shared > 16 conditions"
"MCM3","cluster 2","All genes, shared > 16 conditions"
"RAB2A","cluster 2","All genes, shared > 16 conditions"
"PEA15","cluster 2","All genes, shared > 16 conditions"
"CYBB","cluster 2","All genes, shared > 16 conditions"
"NDEL1","cluster 2","All genes, shared > 16 conditions"
"GALNT3","cluster 2","All genes, shared > 16 conditions"
"CFLAR","cluster 2","All genes, shared > 16 conditions"
"CEBPA","cluster 2","All genes, shared > 16 conditions"
"ADA","cluster 2","All genes, shared > 16 conditions"
"PDE4B","cluster 2","All genes, shared > 16 conditions"
"PYCARD","cluster 2","All genes, shared > 16 conditions"
"HNRNPU","cluster 2","All genes, shared > 16 conditions"
"KCTD5","cluster 2","All genes, shared > 16 conditions"
"RTN4","cluster 2","All genes, shared > 16 conditions"
"NINJ1","cluster 2","All genes, shared > 16 conditions"
"NCF2","cluster 2","All genes, shared > 16 conditions"
"ATF6","cluster 2","All genes, shared > 16 conditions"
"PHC2","cluster 2","All genes, shared > 16 conditions"
"NOP10","cluster 2","All genes, shared > 16 conditions"
"PRKCD","cluster 2","All genes, shared > 16 conditions"
"AKR7A2","cluster 2","All genes, shared > 16 conditions"
"TSC22D3","cluster 2","All genes, shared > 16 conditions"
"TARDBP","cluster 2","All genes, shared > 16 conditions"
"KIAA0040","cluster 2","All genes, shared > 16 conditions"
"MCL1","cluster 2","All genes, shared > 16 conditions"
"RNF24","cluster 2","All genes, shared > 16 conditions"
"GABARAPL1","cluster 2","All genes, shared > 16 conditions"
"TRIB1","cluster 2","All genes, shared > 16 conditions"
"UBE2B","cluster 2","All genes, shared > 16 conditions"
"HBP1","cluster 2","All genes, shared > 16 conditions"
"CD4","cluster 2","All genes, shared > 16 conditions"
"TNFRSF8","cluster 2","All genes, shared > 16 conditions"
"CALML4","cluster 2","All genes, shared > 16 conditions"
"DOK2","cluster 2","All genes, shared > 16 conditions"
"DCAF7","cluster 2","All genes, shared > 16 conditions"
"UIMC1","cluster 2","All genes, shared > 16 conditions"
"KDM1A","cluster 2","All genes, shared > 16 conditions"
"KCNJ15","cluster 2","All genes, shared > 16 conditions"
"MXD1","cluster 2","All genes, shared > 16 conditions"
"NAMPT","cluster 2","All genes, shared > 16 conditions"
"SLC25A44","cluster 2","All genes, shared > 16 conditions"
"IQSEC1","cluster 2","All genes, shared > 16 conditions"
"IL1RAP","cluster 2","All genes, shared > 16 conditions"
"SLC9A8","cluster 2","All genes, shared > 16 conditions"
"RBBP6","cluster 2","All genes, shared > 16 conditions"
"RPS6KA5","cluster 2","All genes, shared > 16 conditions"
"ZNF552","cluster 2","All genes, shared > 16 conditions"
"PPID","cluster 2","All genes, shared > 16 conditions"
"RRAS","cluster 2","All genes, shared > 16 conditions"
"ACP2","cluster 2","All genes, shared > 16 conditions"
"NAGA","cluster 2","All genes, shared > 16 conditions"
"C1QA","cluster 2","All genes, shared > 16 conditions"
"MARCO","cluster 2","All genes, shared > 16 conditions"
"SCARB2","cluster 2","All genes, shared > 16 conditions"
"RIN2","cluster 2","All genes, shared > 16 conditions"
"TLR7","cluster 2","All genes, shared > 16 conditions"
"CMKLR1","cluster 2","All genes, shared > 16 conditions"
"FPR3","cluster 2","All genes, shared > 16 conditions"
"IGFBP7","cluster 2","All genes, shared > 16 conditions"
"BASP1","cluster 2","All genes, shared > 16 conditions"
"IER3","cluster 2","All genes, shared > 16 conditions"
"MLF2","cluster 2","All genes, shared > 16 conditions"
"CHIC2","cluster 2","All genes, shared > 16 conditions"
"ZNF281","cluster 2","All genes, shared > 16 conditions"
"ICAM2","cluster 2","All genes, shared > 16 conditions"
"PTGER4","cluster 2","All genes, shared > 16 conditions"
"PPP2CA","cluster 2","All genes, shared > 16 conditions"
"SMNDC1","cluster 2","All genes, shared > 16 conditions"
"SERINC1","cluster 2","All genes, shared > 16 conditions"
"MRPS27","cluster 2","All genes, shared > 16 conditions"
"PSMB2","cluster 2","All genes, shared > 16 conditions"
"KPNA1","cluster 2","All genes, shared > 16 conditions"
"PSMB8","cluster 2","All genes, shared > 16 conditions"
"ITGAM","cluster 2","All genes, shared > 16 conditions"
"ARFGAP3","cluster 2","All genes, shared > 16 conditions"
"TOB1","cluster 2","All genes, shared > 16 conditions"
"M6PR","cluster 2","All genes, shared > 16 conditions"
"CERK","cluster 2","All genes, shared > 16 conditions"
"ELL","cluster 2","All genes, shared > 16 conditions"
"DEDD","cluster 2","All genes, shared > 16 conditions"
"JUND","cluster 2","All genes, shared > 16 conditions"
"ING3","cluster 2","All genes, shared > 16 conditions"
"CHST11","cluster 2","All genes, shared > 16 conditions"
"TOE1","cluster 2","All genes, shared > 16 conditions"
"PI4K2A","cluster 2","All genes, shared > 16 conditions"
"PDZD8","cluster 2","All genes, shared > 16 conditions"
"ZBED4","cluster 2","All genes, shared > 16 conditions"
"IL23A","cluster 2","All genes, shared > 16 conditions"
"LIAS","cluster 2","All genes, shared > 16 conditions"
"BMP6","cluster 2","All genes, shared > 16 conditions"
"SPARC","cluster 2","All genes, shared > 16 conditions"
"GFI1B","cluster 2","All genes, shared > 16 conditions"
"CD74","cluster 2","All genes, shared > 16 conditions"
"PTCD3","cluster 2","All genes, shared > 16 conditions"
"RABGGTA","cluster 2","All genes, shared > 16 conditions"
"AKT3","cluster 2","All genes, shared > 16 conditions"
"ZNF623","cluster 2","All genes, shared > 16 conditions"
"MAGEH1","cluster 2","All genes, shared > 16 conditions"
"ZNF146","cluster 2","All genes, shared > 16 conditions"
"CDC123","cluster 2","All genes, shared > 16 conditions"
"DNAJB6","cluster 2","All genes, shared > 16 conditions"
"TLE3","cluster 2","All genes, shared > 16 conditions"
"CDC42SE1","cluster 2","All genes, shared > 16 conditions"
"LIMK2","cluster 2","All genes, shared > 16 conditions"
"CBX3","cluster 2","All genes, shared > 16 conditions"
"UTP6","cluster 2","All genes, shared > 16 conditions"
"RBM39","cluster 2","All genes, shared > 16 conditions"
"EIF1B","cluster 2","All genes, shared > 16 conditions"
"PPP2R2A","cluster 2","All genes, shared > 16 conditions"
"NPTN","cluster 2","All genes, shared > 16 conditions"
"POFUT2","cluster 2","All genes, shared > 16 conditions"
"BRD8","cluster 2","All genes, shared > 16 conditions"
"CETN2","cluster 2","All genes, shared > 16 conditions"
"BCL2L13","cluster 2","All genes, shared > 16 conditions"
"VAMP1","cluster 2","All genes, shared > 16 conditions"
"TSPYL2","cluster 2","All genes, shared > 16 conditions"
"XRCC2","cluster 2","All genes, shared > 16 conditions"
"KEAP1","cluster 2","All genes, shared > 16 conditions"
"APEX2","cluster 2","All genes, shared > 16 conditions"
"IFI16","cluster 2","All genes, shared > 16 conditions"
"ZCCHC2","cluster 2","All genes, shared > 16 conditions"
"ADIPOR1","cluster 2","All genes, shared > 16 conditions"
"E2F2","cluster 2","All genes, shared > 16 conditions"
"CSGALNACT2","cluster 2","All genes, shared > 16 conditions"
"MAZ","cluster 2","All genes, shared > 16 conditions"
"FOXO1","cluster 2","All genes, shared > 16 conditions"
"KLF9","cluster 2","All genes, shared > 16 conditions"
"RBM4B","cluster 2","All genes, shared > 16 conditions"
"HTATIP2","cluster 2","All genes, shared > 16 conditions"
"RAB1A","cluster 2","All genes, shared > 16 conditions"
"TEX10","cluster 2","All genes, shared > 16 conditions"
"RBM23","cluster 2","All genes, shared > 16 conditions"
"TTC31","cluster 2","All genes, shared > 16 conditions"
"BPHL","cluster 2","All genes, shared > 16 conditions"
"ISCU","cluster 2","All genes, shared > 16 conditions"
"PPP1R11","cluster 2","All genes, shared > 16 conditions"
"MFAP1","cluster 2","All genes, shared > 16 conditions"
"HEMK1","cluster 2","All genes, shared > 16 conditions"
"CAMK2N1","cluster 2","All genes, shared > 16 conditions"
"CCL5","cluster 2","All genes, shared > 16 conditions"
"IL2RB","cluster 2","All genes, shared > 16 conditions"
"LY9","cluster 2","All genes, shared > 16 conditions"
"CALHM2","cluster 2","All genes, shared > 16 conditions"
"GPR183","cluster 2","All genes, shared > 16 conditions"
