"","genes","infection_vaccination","n_conditions","comparison"
"1266","OAS2","Vaccination",7,"Vaccination only"
"1267","OAS3","Vaccination",7,"Vaccination only"
"1268","OASL","Vaccination",7,"Vaccination only"
"1269","PARP9","Vaccination",7,"Vaccination only"
"1270","PDCD1LG2","Vaccination",7,"Vaccination only"
"1271","PLSCR1","Vaccination",7,"Vaccination only"
"1272","SLAMF8","Vaccination",7,"Vaccination only"
"1273","SLIT2","Vaccination",7,"Vaccination only"
"1274","STAT1","Vaccination",7,"Vaccination only"
"1275","TNFAIP6","Vaccination",7,"Vaccination only"
"1276","TNFSF10","Vaccination",7,"Vaccination only"
"1277","USP18","Vaccination",7,"Vaccination only"
"1278","APOBEC3B","Vaccination",6,"Vaccination only"
"1279","APOL1","Vaccination",6,"Vaccination only"
"1280","CD274","Vaccination",6,"Vaccination only"
"1281","CFB","Vaccination",6,"Vaccination only"
"1282","CXCL8","Vaccination",6,"Vaccination only"
"1283","CXCL9","Vaccination",6,"Vaccination only"
"1284","DHX58","Vaccination",6,"Vaccination only"
"1285","DTX3L","Vaccination",6,"Vaccination only"
"1286","EIF2AK2","Vaccination",6,"Vaccination only"
"1287","FFAR2","Vaccination",6,"Vaccination only"
"1288","GBP2","Vaccination",6,"Vaccination only"
"1289","GCH1","Vaccination",6,"Vaccination only"
"1290","HERC5","Vaccination",6,"Vaccination only"
"1291","IFI16","Vaccination",6,"Vaccination only"
"1292","IL1B","Vaccination",6,"Vaccination only"
"1293","MARCO","Vaccination",6,"Vaccination only"
"1294","PARP14","Vaccination",6,"Vaccination only"
"1295","RNF213","Vaccination",6,"Vaccination only"
"1296","SECTM1","Vaccination",6,"Vaccination only"
"1297","SOCS1","Vaccination",6,"Vaccination only"
"1298","STAT2","Vaccination",6,"Vaccination only"
"1299","TAP1","Vaccination",6,"Vaccination only"
"1300","TLR7","Vaccination",6,"Vaccination only"
"1301","TNFSF13B","Vaccination",6,"Vaccination only"
"1302","TRIM22","Vaccination",6,"Vaccination only"
"1303","TRIM5","Vaccination",6,"Vaccination only"
"1304","TRPV4","Vaccination",6,"Vaccination only"
"1305","ZBP1","Vaccination",6,"Vaccination only"
"1306","APOBEC3A","Vaccination",5,"Vaccination only"
"1307","BST2","Vaccination",5,"Vaccination only"
"1308","C1QA","Vaccination",5,"Vaccination only"
"1309","CCL3L1","Vaccination",5,"Vaccination only"
"1310","CCRL2","Vaccination",5,"Vaccination only"
"1311","CEACAM1","Vaccination",5,"Vaccination only"
"1312","CXCL3","Vaccination",5,"Vaccination only"
"1313","FCGR1BP","Vaccination",5,"Vaccination only"
"1314","GBP6","Vaccination",5,"Vaccination only"
"1315","GBP7","Vaccination",5,"Vaccination only"
"1316","ICAM1","Vaccination",5,"Vaccination only"
"1317","IFI30","Vaccination",5,"Vaccination only"
"1318","IFIT5","Vaccination",5,"Vaccination only"
"1319","IFITM1","Vaccination",5,"Vaccination only"
"1320","ISG20","Vaccination",5,"Vaccination only"
"1321","LIF","Vaccination",5,"Vaccination only"
"1322","LILRB5","Vaccination",5,"Vaccination only"
"1323","MX2","Vaccination",5,"Vaccination only"
"1324","NMI","Vaccination",5,"Vaccination only"
"1325","NUB1","Vaccination",5,"Vaccination only"
"1326","P2RX7","Vaccination",5,"Vaccination only"
"1327","PML","Vaccination",5,"Vaccination only"
"1328","RHBDF2","Vaccination",5,"Vaccination only"
"1329","RIGI","Vaccination",5,"Vaccination only"
"1330","RIPK2","Vaccination",5,"Vaccination only"
"1331","TAP2","Vaccination",5,"Vaccination only"
"1332","TRAFD1","Vaccination",5,"Vaccination only"
"1333","TRIM6","Vaccination",5,"Vaccination only"
"1334","WDFY1","Vaccination",5,"Vaccination only"
"1335","C3AR1","Vaccination",4,"Vaccination only"
"1336","CCL20","Vaccination",4,"Vaccination only"
"1337","CCL25","Vaccination",4,"Vaccination only"
"1338","COLEC12","Vaccination",4,"Vaccination only"
"1339","CTSL","Vaccination",4,"Vaccination only"
"1340","CXCR1","Vaccination",4,"Vaccination only"
"1341","CYBB","Vaccination",4,"Vaccination only"
"1342","EGR3","Vaccination",4,"Vaccination only"
"1343","FAS","Vaccination",4,"Vaccination only"
"1344","FGL2","Vaccination",4,"Vaccination only"
"1345","FOSL1","Vaccination",4,"Vaccination only"
"1346","IGF1","Vaccination",4,"Vaccination only"
"1347","IGLV1-44","Vaccination",4,"Vaccination only"
"1348","IL4I1","Vaccination",4,"Vaccination only"
"1349","IRF1","Vaccination",4,"Vaccination only"
"1350","IRF9","Vaccination",4,"Vaccination only"
"1351","MAFB","Vaccination",4,"Vaccination only"
"1352","MZB1","Vaccination",4,"Vaccination only"
"1353","NFKBIA","Vaccination",4,"Vaccination only"
"1354","PI3","Vaccination",4,"Vaccination only"
"1355","PSMB9","Vaccination",4,"Vaccination only"
"1356","PTX3","Vaccination",4,"Vaccination only"
"1357","RAB20","Vaccination",4,"Vaccination only"
"1358","SAMD9","Vaccination",4,"Vaccination only"
"1359","SFRP1","Vaccination",4,"Vaccination only"
"1360","TIFA","Vaccination",4,"Vaccination only"
"1361","TNFAIP3","Vaccination",4,"Vaccination only"
"1362","TRIB1","Vaccination",4,"Vaccination only"
"1363","TRIM21","Vaccination",4,"Vaccination only"
"1364","ACOD1","Vaccination",3,"Vaccination only"
"1365","ADGRG3","Vaccination",3,"Vaccination only"
"1366","ADM","Vaccination",3,"Vaccination only"
"1367","ALOX15","Vaccination",3,"Vaccination only"
"1368","ALPK1","Vaccination",3,"Vaccination only"
"1369","ASS1","Vaccination",3,"Vaccination only"
"1370","AXL","Vaccination",3,"Vaccination only"
"1371","BTN1A1","Vaccination",3,"Vaccination only"
"1372","CASP1","Vaccination",3,"Vaccination only"
"1373","CAV1","Vaccination",3,"Vaccination only"
"1374","CCL3L3","Vaccination",3,"Vaccination only"
"1375","CCNB2","Vaccination",3,"Vaccination only"
"1376","CCR1","Vaccination",3,"Vaccination only"
"1377","CD276","Vaccination",3,"Vaccination only"
"1378","CD38","Vaccination",3,"Vaccination only"
"1379","CD83","Vaccination",3,"Vaccination only"
"1380","CDC42EP2","Vaccination",3,"Vaccination only"
"1381","CDKN1A","Vaccination",3,"Vaccination only"
"1382","CEBPB","Vaccination",3,"Vaccination only"
"1383","CFD","Vaccination",3,"Vaccination only"
"1384","CSF1","Vaccination",3,"Vaccination only"
"1385","CXCL1","Vaccination",3,"Vaccination only"
"1386","CXCR2","Vaccination",3,"Vaccination only"
"1387","DEFA1B","Vaccination",3,"Vaccination only"
"1388","EDNRB","Vaccination",3,"Vaccination only"
"1389","EPB42","Vaccination",3,"Vaccination only"
"1390","EPHB2","Vaccination",3,"Vaccination only"
"1391","EREG","Vaccination",3,"Vaccination only"
"1392","FANCA","Vaccination",3,"Vaccination only"
"1393","FCGR2C","Vaccination",3,"Vaccination only"
"1394","FCN2","Vaccination",3,"Vaccination only"
"1395","FN1","Vaccination",3,"Vaccination only"
"1396","GPR68","Vaccination",3,"Vaccination only"
"1397","HCAR2","Vaccination",3,"Vaccination only"
"1398","IGHV3-23","Vaccination",3,"Vaccination only"
"1399","IGHV3-30","Vaccination",3,"Vaccination only"
"1400","IGHV3-7","Vaccination",3,"Vaccination only"
"1401","IGLL5","Vaccination",3,"Vaccination only"
"1402","IL1A","Vaccination",3,"Vaccination only"
"1403","IL1R2","Vaccination",3,"Vaccination only"
"1404","IL36A","Vaccination",3,"Vaccination only"
"1405","JAK2","Vaccination",3,"Vaccination only"
"1406","JCHAIN","Vaccination",3,"Vaccination only"
"1407","JUNB","Vaccination",3,"Vaccination only"
"1408","KLF10","Vaccination",3,"Vaccination only"
"1409","KLF6","Vaccination",3,"Vaccination only"
"1410","MIR27A","Vaccination",3,"Vaccination only"
"1411","NBN","Vaccination",3,"Vaccination only"
"1412","NFKBIZ","Vaccination",3,"Vaccination only"
"1413","NR4A3","Vaccination",3,"Vaccination only"
"1414","PDE4B","Vaccination",3,"Vaccination only"
"1415","PIK3AP1","Vaccination",3,"Vaccination only"
"1416","PMAIP1","Vaccination",3,"Vaccination only"
"1417","PRLR","Vaccination",3,"Vaccination only"
"1418","RGCC","Vaccination",3,"Vaccination only"
"1419","RGS1","Vaccination",3,"Vaccination only"
"1420","SCIMP","Vaccination",3,"Vaccination only"
"1421","SCNN1B","Vaccination",3,"Vaccination only"
"1422","SUCNR1","Vaccination",3,"Vaccination only"
"1423","TNFRSF17","Vaccination",3,"Vaccination only"
"1424","XCR1","Vaccination",3,"Vaccination only"
"1425","A2M","Vaccination",2,"Vaccination only"
"1426","ADAMDEC1","Vaccination",2,"Vaccination only"
"1427","ADORA2A","Vaccination",2,"Vaccination only"
"1428","AHSP","Vaccination",2,"Vaccination only"
"1429","ALAS2","Vaccination",2,"Vaccination only"
"1430","BATF3","Vaccination",2,"Vaccination only"
"1431","BCAR1","Vaccination",2,"Vaccination only"
"1432","BMP6","Vaccination",2,"Vaccination only"
"1433","BTNL8","Vaccination",2,"Vaccination only"
"1434","C4BPA","Vaccination",2,"Vaccination only"
"1435","C4BPB","Vaccination",2,"Vaccination only"
"1436","CACNB4","Vaccination",2,"Vaccination only"
"1437","CCL1","Vaccination",2,"Vaccination only"
"1438","CCL4","Vaccination",2,"Vaccination only"
"1439","CCL7","Vaccination",2,"Vaccination only"
"1440","CD209","Vaccination",2,"Vaccination only"
"1441","CD300LD","Vaccination",2,"Vaccination only"
"1442","CD34","Vaccination",2,"Vaccination only"
"1443","CHRNB2","Vaccination",2,"Vaccination only"
"1444","CLEC4G","Vaccination",2,"Vaccination only"
"1445","CLNK","Vaccination",2,"Vaccination only"
"1446","CLU","Vaccination",2,"Vaccination only"
"1447","CPLX2","Vaccination",2,"Vaccination only"
"1448","CR1L","Vaccination",2,"Vaccination only"
"1449","CSF2","Vaccination",2,"Vaccination only"
"1450","CX3CR1","Vaccination",2,"Vaccination only"
"1451","CXADR","Vaccination",2,"Vaccination only"
"1452","CXCL5","Vaccination",2,"Vaccination only"
"1453","CXCL6","Vaccination",2,"Vaccination only"
"1454","CXCR4","Vaccination",2,"Vaccination only"
"1455","CYP26B1","Vaccination",2,"Vaccination only"
"1456","DCST1","Vaccination",2,"Vaccination only"
"1457","DEFA1","Vaccination",2,"Vaccination only"
"1458","DEFB1","Vaccination",2,"Vaccination only"
"1459","EGR1","Vaccination",2,"Vaccination only"
"1460","EMP2","Vaccination",2,"Vaccination only"
"1461","ERBB2","Vaccination",2,"Vaccination only"
"1462","EXO1","Vaccination",2,"Vaccination only"
"1463","FASLG","Vaccination",2,"Vaccination only"
"1464","FAXDC2","Vaccination",2,"Vaccination only"
"1465","FCRL4","Vaccination",2,"Vaccination only"
"1466","FOS","Vaccination",2,"Vaccination only"
"1467","FPR2","Vaccination",2,"Vaccination only"
"1468","FPR3","Vaccination",2,"Vaccination only"
"1469","FYB2","Vaccination",2,"Vaccination only"
"1470","GAS6","Vaccination",2,"Vaccination only"
"1471","GATA1","Vaccination",2,"Vaccination only"
"1472","GEM","Vaccination",2,"Vaccination only"
"1473","GFI1B","Vaccination",2,"Vaccination only"
"1474","GPR33","Vaccination",2,"Vaccination only"
"1475","H4C14","Vaccination",2,"Vaccination only"
"1476","H4C15","Vaccination",2,"Vaccination only"
"1477","HAMP","Vaccination",2,"Vaccination only"
"1478","HOXA3","Vaccination",2,"Vaccination only"
"1479","HOXB6","Vaccination",2,"Vaccination only"
"1480","HP","Vaccination",2,"Vaccination only"
"1481","IFNB1","Vaccination",2,"Vaccination only"
"1482","IFNG","Vaccination",2,"Vaccination only"
"1483","IGHG3","Vaccination",2,"Vaccination only"
"1484","IGHV3-74","Vaccination",2,"Vaccination only"
"1485","IGHV4-31","Vaccination",2,"Vaccination only"
"1486","IGHV4-59","Vaccination",2,"Vaccination only"
"1487","IGHV5-51","Vaccination",2,"Vaccination only"
"1488","IGKC","Vaccination",2,"Vaccination only"
"1489","IGKV1-5","Vaccination",2,"Vaccination only"
"1490","IGLC7","Vaccination",2,"Vaccination only"
"1491","IGLV3-10","Vaccination",2,"Vaccination only"
"1492","IGLV3-9","Vaccination",2,"Vaccination only"
"1493","IHH","Vaccination",2,"Vaccination only"
"1494","IL15","Vaccination",2,"Vaccination only"
"1495","IL1R1","Vaccination",2,"Vaccination only"
"1496","IL6","Vaccination",2,"Vaccination only"
"1497","INAVA","Vaccination",2,"Vaccination only"
"1498","ITGB3","Vaccination",2,"Vaccination only"
"1499","KIR3DL1","Vaccination",2,"Vaccination only"
"1500","LGALS9","Vaccination",2,"Vaccination only"
"1501","LILRA5","Vaccination",2,"Vaccination only"
"1502","LILRB1","Vaccination",2,"Vaccination only"
"1503","LILRB4","Vaccination",2,"Vaccination only"
"1504","LRRC19","Vaccination",2,"Vaccination only"
"1505","LRRC32","Vaccination",2,"Vaccination only"
"1506","LYL1","Vaccination",2,"Vaccination only"
"1507","LYVE1","Vaccination",2,"Vaccination only"
"1508","MDK","Vaccination",2,"Vaccination only"
"1509","MEIS1","Vaccination",2,"Vaccination only"
"1510","MICB","Vaccination",2,"Vaccination only"
"1511","MRC1","Vaccination",2,"Vaccination only"
"1512","NCF1","Vaccination",2,"Vaccination only"
"1513","NFIL3","Vaccination",2,"Vaccination only"
"1514","NKG7","Vaccination",2,"Vaccination only"
"1515","NLRP3","Vaccination",2,"Vaccination only"
"1516","ORM1","Vaccination",2,"Vaccination only"
"1517","ORM2","Vaccination",2,"Vaccination only"
"1518","OSM","Vaccination",2,"Vaccination only"
"1519","PDGFD","Vaccination",2,"Vaccination only"
"1520","PELI1","Vaccination",2,"Vaccination only"
"1521","PGLYRP1","Vaccination",2,"Vaccination only"
"1522","PIGR","Vaccination",2,"Vaccination only"
"1523","PITX2","Vaccination",2,"Vaccination only"
"1524","PLEC","Vaccination",2,"Vaccination only"
"1525","POLB","Vaccination",2,"Vaccination only"
"1526","POU2AF1","Vaccination",2,"Vaccination only"
"1527","PPBP","Vaccination",2,"Vaccination only"
"1528","PRTN3","Vaccination",2,"Vaccination only"
"1529","PTGDR","Vaccination",2,"Vaccination only"
"1530","RAB3C","Vaccination",2,"Vaccination only"
"1531","RAB43","Vaccination",2,"Vaccination only"
"1532","RNF31","Vaccination",2,"Vaccination only"
"1533","SBDS","Vaccination",2,"Vaccination only"
"1534","SCIN","Vaccination",2,"Vaccination only"
"1535","SELP","Vaccination",2,"Vaccination only"
"1536","SH2D1B","Vaccination",2,"Vaccination only"
"1537","SLC22A13","Vaccination",2,"Vaccination only"
"1538","SLC4A1","Vaccination",2,"Vaccination only"
"1539","SP100","Vaccination",2,"Vaccination only"
"1540","SPACA3","Vaccination",2,"Vaccination only"
"1541","SPHK1","Vaccination",2,"Vaccination only"
"1542","SPON2","Vaccination",2,"Vaccination only"
"1543","SVEP1","Vaccination",2,"Vaccination only"
"1544","TARM1","Vaccination",2,"Vaccination only"
"1545","TASL","Vaccination",2,"Vaccination only"
"1546","TBX1","Vaccination",2,"Vaccination only"
"1547","TMEM106A","Vaccination",2,"Vaccination only"
"1548","TMEM98","Vaccination",2,"Vaccination only"
"1549","TNF","Vaccination",2,"Vaccination only"
"1550","TNFRSF13B","Vaccination",2,"Vaccination only"
"1551","TNFSF11","Vaccination",2,"Vaccination only"
"1552","TNFSF18","Vaccination",2,"Vaccination only"
"1553","TREML1","Vaccination",2,"Vaccination only"
"1554","TRGV8","Vaccination",2,"Vaccination only"
"1555","TRIM25","Vaccination",2,"Vaccination only"
"1556","TRIM38","Vaccination",2,"Vaccination only"
"1557","TRIM40","Vaccination",2,"Vaccination only"
"1558","TRIM55","Vaccination",2,"Vaccination only"
"1559","TTBK1","Vaccination",2,"Vaccination only"
"1560","VEGFC","Vaccination",2,"Vaccination only"
"1561","VSIG4","Vaccination",2,"Vaccination only"
"1562","WNK4","Vaccination",2,"Vaccination only"
"1563","WNT4","Vaccination",2,"Vaccination only"
"1564","XCL1","Vaccination",2,"Vaccination only"
"1565","ZFP36","Vaccination",2,"Vaccination only"
"1566","ACKR2","Vaccination",1,"Vaccination only"
"1567","ACKR3","Vaccination",1,"Vaccination only"
"1568","ACTL6B","Vaccination",1,"Vaccination only"
"1569","ADAR","Vaccination",1,"Vaccination only"
"1570","ADGRF5","Vaccination",1,"Vaccination only"
"1571","ADIPOQ","Vaccination",1,"Vaccination only"
"1572","AHR","Vaccination",1,"Vaccination only"
"1573","AIF1","Vaccination",1,"Vaccination only"
"1574","AIRE","Vaccination",1,"Vaccination only"
"1575","AMBP","Vaccination",1,"Vaccination only"
"1576","ANGPT1","Vaccination",1,"Vaccination only"
"1577","ANXA3","Vaccination",1,"Vaccination only"
"1578","APOA2","Vaccination",1,"Vaccination only"
"1579","APOD","Vaccination",1,"Vaccination only"
"1580","APOE","Vaccination",1,"Vaccination only"
"1581","AQP3","Vaccination",1,"Vaccination only"
"1582","ATP1B1","Vaccination",1,"Vaccination only"
"1583","AZU1","Vaccination",1,"Vaccination only"
"1584","BCL3","Vaccination",1,"Vaccination only"
"1585","BCL6","Vaccination",1,"Vaccination only"
"1586","BMI1","Vaccination",1,"Vaccination only"
"1587","BMP4","Vaccination",1,"Vaccination only"
"1588","BMP5","Vaccination",1,"Vaccination only"
"1589","BMX","Vaccination",1,"Vaccination only"
"1590","BPIFB3","Vaccination",1,"Vaccination only"
"1591","BTN2A3P","Vaccination",1,"Vaccination only"
"1592","BTNL2","Vaccination",1,"Vaccination only"
"1593","BTNL9","Vaccination",1,"Vaccination only"
"1594","C4B","Vaccination",1,"Vaccination only"
"1595","C8G","Vaccination",1,"Vaccination only"
"1596","CACNA1C","Vaccination",1,"Vaccination only"
"1597","CASP4","Vaccination",1,"Vaccination only"
"1598","CCL13","Vaccination",1,"Vaccination only"
"1599","CCL14","Vaccination",1,"Vaccination only"
"1600","CCL16","Vaccination",1,"Vaccination only"
"1601","CCL17","Vaccination",1,"Vaccination only"
"1602","CCL18","Vaccination",1,"Vaccination only"
"1603","CCL19","Vaccination",1,"Vaccination only"
"1604","CCL24","Vaccination",1,"Vaccination only"
"1605","CCR2","Vaccination",1,"Vaccination only"
"1606","CCR3","Vaccination",1,"Vaccination only"
"1607","CD177","Vaccination",1,"Vaccination only"
"1608","CD1E","Vaccination",1,"Vaccination only"
"1609","CD247","Vaccination",1,"Vaccination only"
"1610","CD300C","Vaccination",1,"Vaccination only"
"1611","CD320","Vaccination",1,"Vaccination only"
"1612","CD40","Vaccination",1,"Vaccination only"
"1613","CD7","Vaccination",1,"Vaccination only"
"1614","CD9","Vaccination",1,"Vaccination only"
"1615","CDC42","Vaccination",1,"Vaccination only"
"1616","CEACAM3","Vaccination",1,"Vaccination only"
"1617","CEACAM4","Vaccination",1,"Vaccination only"
"1618","CEACAM8","Vaccination",1,"Vaccination only"
"1619","CEBPA","Vaccination",1,"Vaccination only"
"1620","CFI","Vaccination",1,"Vaccination only"
"1621","CHGA","Vaccination",1,"Vaccination only"
"1622","CHIT1","Vaccination",1,"Vaccination only"
"1623","CHST3","Vaccination",1,"Vaccination only"
"1624","CIITA","Vaccination",1,"Vaccination only"
"1625","CLDN18","Vaccination",1,"Vaccination only"
"1626","CLEC4A","Vaccination",1,"Vaccination only"
"1627","CLEC4D","Vaccination",1,"Vaccination only"
"1628","COLEC10","Vaccination",1,"Vaccination only"
"1629","CRISP3","Vaccination",1,"Vaccination only"
"1630","CTSG","Vaccination",1,"Vaccination only"
"1631","CTSW","Vaccination",1,"Vaccination only"
"1632","CX3CL1","Vaccination",1,"Vaccination only"
"1633","CXCL14","Vaccination",1,"Vaccination only"
"1634","CXCL17","Vaccination",1,"Vaccination only"
"1635","CXCR3","Vaccination",1,"Vaccination only"
"1636","CYBA","Vaccination",1,"Vaccination only"
"1637","CYP7B1","Vaccination",1,"Vaccination only"
"1638","DDT","Vaccination",1,"Vaccination only"
"1639","DEFA3","Vaccination",1,"Vaccination only"
"1640","DEFA4","Vaccination",1,"Vaccination only"
"1641","DPEP1","Vaccination",1,"Vaccination only"
"1642","DUSP1","Vaccination",1,"Vaccination only"
"1643","DUSP10","Vaccination",1,"Vaccination only"
"1644","DYSF","Vaccination",1,"Vaccination only"
"1645","EBI3","Vaccination",1,"Vaccination only"
"1646","EFNB3","Vaccination",1,"Vaccination only"
"1647","ELANE","Vaccination",1,"Vaccination only"
"1648","ENPP1","Vaccination",1,"Vaccination only"
"1649","ENPP2","Vaccination",1,"Vaccination only"
"1650","EPG5","Vaccination",1,"Vaccination only"
"1651","EPHB1","Vaccination",1,"Vaccination only"
"1652","EPHB3","Vaccination",1,"Vaccination only"
"1653","EPO","Vaccination",1,"Vaccination only"
"1654","EPS8","Vaccination",1,"Vaccination only"
"1655","ESR1","Vaccination",1,"Vaccination only"
"1656","EVPL","Vaccination",1,"Vaccination only"
"1657","F2","Vaccination",1,"Vaccination only"
"1658","F7","Vaccination",1,"Vaccination only"
"1659","FCER1G","Vaccination",1,"Vaccination only"
"1660","FCGR2B","Vaccination",1,"Vaccination only"
"1661","FCGR3B","Vaccination",1,"Vaccination only"
"1662","FCN1","Vaccination",1,"Vaccination only"
"1663","FCRL3","Vaccination",1,"Vaccination only"
"1664","FGF10","Vaccination",1,"Vaccination only"
"1665","FLT3","Vaccination",1,"Vaccination only"
"1666","FOXE1","Vaccination",1,"Vaccination only"
"1667","FOXI3","Vaccination",1,"Vaccination only"
"1668","FPR1","Vaccination",1,"Vaccination only"
"1669","FRK","Vaccination",1,"Vaccination only"
"1670","FTH1","Vaccination",1,"Vaccination only"
"1671","FUT4","Vaccination",1,"Vaccination only"
"1672","FUT9","Vaccination",1,"Vaccination only"
"1673","FZD5","Vaccination",1,"Vaccination only"
"1674","GARIN5A","Vaccination",1,"Vaccination only"
"1675","GATA6","Vaccination",1,"Vaccination only"
"1676","GCNT1","Vaccination",1,"Vaccination only"
"1677","GGT3P","Vaccination",1,"Vaccination only"
"1678","GLI2","Vaccination",1,"Vaccination only"
"1679","GLI3","Vaccination",1,"Vaccination only"
"1680","GNLY","Vaccination",1,"Vaccination only"
"1681","GP2","Vaccination",1,"Vaccination only"
"1682","GPR151","Vaccination",1,"Vaccination only"
"1683","GPR183","Vaccination",1,"Vaccination only"
"1684","GPR65","Vaccination",1,"Vaccination only"
"1685","GRN","Vaccination",1,"Vaccination only"
"1686","GSDMD","Vaccination",1,"Vaccination only"
"1687","H2BC7","Vaccination",1,"Vaccination only"
"1688","H4C1","Vaccination",1,"Vaccination only"
"1689","H4C13","Vaccination",1,"Vaccination only"
"1690","H4C5","Vaccination",1,"Vaccination only"
"1691","HES1","Vaccination",1,"Vaccination only"
"1692","HHLA2","Vaccination",1,"Vaccination only"
"1693","HLA-DMA","Vaccination",1,"Vaccination only"
"1694","HLA-DMB","Vaccination",1,"Vaccination only"
"1695","HLA-DPA1","Vaccination",1,"Vaccination only"
"1696","HLA-DQA1","Vaccination",1,"Vaccination only"
"1697","HLA-DQB1","Vaccination",1,"Vaccination only"
"1698","HLA-DRA","Vaccination",1,"Vaccination only"
"1699","HLA-DRB1","Vaccination",1,"Vaccination only"
"1700","HMOX1","Vaccination",1,"Vaccination only"
"1701","HOXA5","Vaccination",1,"Vaccination only"
"1702","HRG","Vaccination",1,"Vaccination only"
"1703","HRH1","Vaccination",1,"Vaccination only"
"1704","HSD3B7","Vaccination",1,"Vaccination only"
"1705","HSH2D","Vaccination",1,"Vaccination only"
"1706","HSPA1A","Vaccination",1,"Vaccination only"
"1707","HSPA1B","Vaccination",1,"Vaccination only"
"1708","HTN1","Vaccination",1,"Vaccination only"
"1709","HTN3","Vaccination",1,"Vaccination only"
"1710","IFNK","Vaccination",1,"Vaccination only"
"1711","IGF2","Vaccination",1,"Vaccination only"
"1712","IGHA1","Vaccination",1,"Vaccination only"
"1713","IGHG1","Vaccination",1,"Vaccination only"
"1714","IGHG2","Vaccination",1,"Vaccination only"
"1715","IGHG4","Vaccination",1,"Vaccination only"
"1716","IGHM","Vaccination",1,"Vaccination only"
"1717","IGHV1-18","Vaccination",1,"Vaccination only"
"1718","IGHV1-2","Vaccination",1,"Vaccination only"
"1719","IGHV1-24","Vaccination",1,"Vaccination only"
"1720","IGHV1-3","Vaccination",1,"Vaccination only"
"1721","IGHV2-26","Vaccination",1,"Vaccination only"
"1722","IGHV2-5","Vaccination",1,"Vaccination only"
"1723","IGHV2-70","Vaccination",1,"Vaccination only"
"1724","IGHV3-11","Vaccination",1,"Vaccination only"
"1725","IGHV3-13","Vaccination",1,"Vaccination only"
"1726","IGHV3-15","Vaccination",1,"Vaccination only"
"1727","IGHV3-20","Vaccination",1,"Vaccination only"
"1728","IGHV3-33","Vaccination",1,"Vaccination only"
"1729","IGHV3-48","Vaccination",1,"Vaccination only"
"1730","IGHV3-49","Vaccination",1,"Vaccination only"
"1731","IGHV3-53","Vaccination",1,"Vaccination only"
"1732","IGHV3-66","Vaccination",1,"Vaccination only"
"1733","IGHV4-28","Vaccination",1,"Vaccination only"
"1734","IGHV4-39","Vaccination",1,"Vaccination only"
"1735","IGHV4-61","Vaccination",1,"Vaccination only"
"1736","IGHV6-1","Vaccination",1,"Vaccination only"
"1737","IGKJ1","Vaccination",1,"Vaccination only"
"1738","IGKV1-12","Vaccination",1,"Vaccination only"
"1739","IGKV1-16","Vaccination",1,"Vaccination only"
"1740","IGKV1-17","Vaccination",1,"Vaccination only"
"1741","IGKV1-27","Vaccination",1,"Vaccination only"
"1742","IGKV1-39","Vaccination",1,"Vaccination only"
"1743","IGKV1-6","Vaccination",1,"Vaccination only"
"1744","IGKV1-9","Vaccination",1,"Vaccination only"
"1745","IGKV1D-12","Vaccination",1,"Vaccination only"
"1746","IGKV1D-17","Vaccination",1,"Vaccination only"
"1747","IGKV1D-33","Vaccination",1,"Vaccination only"
"1748","IGKV1D-39","Vaccination",1,"Vaccination only"
"1749","IGKV1D-8","Vaccination",1,"Vaccination only"
"1750","IGKV2-24","Vaccination",1,"Vaccination only"
"1751","IGKV2-28","Vaccination",1,"Vaccination only"
"1752","IGKV2-30","Vaccination",1,"Vaccination only"
"1753","IGKV2D-24","Vaccination",1,"Vaccination only"
"1754","IGKV2D-30","Vaccination",1,"Vaccination only"
"1755","IGKV3-15","Vaccination",1,"Vaccination only"
"1756","IGKV3-20","Vaccination",1,"Vaccination only"
"1757","IGKV3D-11","Vaccination",1,"Vaccination only"
"1758","IGKV3D-15","Vaccination",1,"Vaccination only"
"1759","IGKV3D-20","Vaccination",1,"Vaccination only"
"1760","IGKV4-1","Vaccination",1,"Vaccination only"
"1761","IGLC2","Vaccination",1,"Vaccination only"
"1762","IGLC3","Vaccination",1,"Vaccination only"
"1763","IGLV1-36","Vaccination",1,"Vaccination only"
"1764","IGLV1-40","Vaccination",1,"Vaccination only"
"1765","IGLV1-47","Vaccination",1,"Vaccination only"
"1766","IGLV2-11","Vaccination",1,"Vaccination only"
"1767","IGLV2-14","Vaccination",1,"Vaccination only"
"1768","IGLV2-18","Vaccination",1,"Vaccination only"
"1769","IGLV2-23","Vaccination",1,"Vaccination only"
"1770","IGLV2-8","Vaccination",1,"Vaccination only"
"1771","IGLV3-1","Vaccination",1,"Vaccination only"
"1772","IGLV3-12","Vaccination",1,"Vaccination only"
"1773","IGLV3-19","Vaccination",1,"Vaccination only"
"1774","IGLV3-21","Vaccination",1,"Vaccination only"
"1775","IGLV3-25","Vaccination",1,"Vaccination only"
"1776","IGLV3-27","Vaccination",1,"Vaccination only"
"1777","IGLV4-69","Vaccination",1,"Vaccination only"
"1778","IGLV5-37","Vaccination",1,"Vaccination only"
"1779","IGLV5-45","Vaccination",1,"Vaccination only"
"1780","IGLV6-57","Vaccination",1,"Vaccination only"
"1781","IGLV7-46","Vaccination",1,"Vaccination only"
"1782","IL10","Vaccination",1,"Vaccination only"
"1783","IL12B","Vaccination",1,"Vaccination only"
