"","genes","infection_vaccination","n_conditions","comparison"
"213","DNAJB9","Infection",6,"Infection only"
"214","DYSF","Infection",6,"Infection only"
"215","EIF2AK2","Infection",6,"Infection only"
"216","ENPP3","Infection",6,"Infection only"
"217","EXT1","Infection",6,"Infection only"
"218","FCGR1A","Infection",6,"Infection only"
"219","FNIP1","Infection",6,"Infection only"
"220","GPR174","Infection",6,"Infection only"
"221","GPX1","Infection",6,"Infection only"
"222","GZMM","Infection",6,"Infection only"
"223","HAVCR1","Infection",6,"Infection only"
"224","HLA-B","Infection",6,"Infection only"
"225","IFNGR2","Infection",6,"Infection only"
"226","IL2RB","Infection",6,"Infection only"
"227","INHBA","Infection",6,"Infection only"
"228","ITGA3","Infection",6,"Infection only"
"229","ITGA9","Infection",6,"Infection only"
"230","ITGB3","Infection",6,"Infection only"
"231","ITGB8","Infection",6,"Infection only"
"232","JAK3","Infection",6,"Infection only"
"233","KLRC3","Infection",6,"Infection only"
"234","LFNG","Infection",6,"Infection only"
"235","MERTK","Infection",6,"Infection only"
"236","MFHAS1","Infection",6,"Infection only"
"237","MIR222","Infection",6,"Infection only"
"238","N4BP3","Infection",6,"Infection only"
"239","NLRC3","Infection",6,"Infection only"
"240","NR1D1","Infection",6,"Infection only"
"241","PARP9","Infection",6,"Infection only"
"242","PLSCR1","Infection",6,"Infection only"
"243","PPP2CA","Infection",6,"Infection only"
"244","PTPRS","Infection",6,"Infection only"
"245","RAP1GAP","Infection",6,"Infection only"
"246","RASGRP1","Infection",6,"Infection only"
"247","RIOK3","Infection",6,"Infection only"
"248","RNF135","Infection",6,"Infection only"
"249","SEMA4A","Infection",6,"Infection only"
"250","SH2D2A","Infection",6,"Infection only"
"251","SLC4A1","Infection",6,"Infection only"
"252","SOS2","Infection",6,"Infection only"
"253","TBK1","Infection",6,"Infection only"
"254","TBKBP1","Infection",6,"Infection only"
"255","THEMIS","Infection",6,"Infection only"
"256","TLR10","Infection",6,"Infection only"
"257","TLR3","Infection",6,"Infection only"
"258","TNFRSF21","Infection",6,"Infection only"
"259","TRIM22","Infection",6,"Infection only"
"260","VPREB3","Infection",6,"Infection only"
"261","ZBTB6","Infection",6,"Infection only"
"262","ACVR1B","Infection",5,"Infection only"
"263","ADAM17","Infection",5,"Infection only"
"264","ADARB1","Infection",5,"Infection only"
"265","ADGRB1","Infection",5,"Infection only"
"266","APOA2","Infection",5,"Infection only"
"267","ASB2","Infection",5,"Infection only"
"268","BCL11B","Infection",5,"Infection only"
"269","CCR3","Infection",5,"Infection only"
"270","CCR4","Infection",5,"Infection only"
"271","CD22","Infection",5,"Infection only"
"272","CD28","Infection",5,"Infection only"
"273","CD3D","Infection",5,"Infection only"
"274","CD58","Infection",5,"Infection only"
"275","CD79B","Infection",5,"Infection only"
"276","CDKN2B","Infection",5,"Infection only"
"277","CEACAM1","Infection",5,"Infection only"
"278","CEACAM4","Infection",5,"Infection only"
"279","CHD7","Infection",5,"Infection only"
"280","CHGA","Infection",5,"Infection only"
"281","CHUK","Infection",5,"Infection only"
"282","CSF1R","Infection",5,"Infection only"
"283","CTSW","Infection",5,"Infection only"
"284","CXCR3","Infection",5,"Infection only"
