"","condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction_wide","x1","vaccine","day","dose","infection","type","regimen","disease_vac","severity","gse_id","variant","prior_infection","previous_vaccination"
"6895","ChAd-BNT (V2, D3)","CLEC4G",23.6315797055241,1.04888451106842,0.329706487653671,3.1812674313227,0.00146632202206564,0.0107678513707476,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6896","ChAd-BNT (V2, D3)","EBI3",12.8147110745133,1.50011501115192,0.395851408195819,3.789591195315,0.00015089540815228,0.00181168681672975,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6897","ChAd-BNT (V2, D3)","EIF2AK2",3806.65881132276,2.00927356369298,0.202617598120544,9.91657971632649,3.52633306048352e-23,2.60867269559e-20,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6898","ChAd-BNT (V2, D3)","LOC400927",1.2342963880955,2.36349655381242,0.661927809339287,3.57062586050219,0.00035612928072782,0.00355857907216113,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6899","ChAd-BNT (V2, D3)","SAMD4A",823.402027388168,2.26238670002203,0.240649054575807,9.40118673646961,5.39510819670313e-21,2.4707026441759e-18,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6900","ChAd-BNT (V2, D3)","KLF6",34579.2360311553,1.11207101511437,0.228463218746483,4.86761510765721,1.12953043408588e-06,3.31179700750118e-05,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6901","ChAd-BNT (V2, D3)","BST2",5515.88401378075,1.01366876906669,0.162178285986237,6.25033593678939,4.09570768118841e-10,3.24184533086328e-08,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6902","ChAd-BNT (V2, D3)","CFLAR-AS1",53.3264479755376,1.10017765761309,0.261493494717697,4.20728499881351,2.58457104742809e-05,0.00044188124023317,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6903","ChAd-BNT (V2, D3)","NUDT3",3.87398686483918,2.27043304989959,0.49631629724518,4.57456880320412,4.77201771906412e-06,0.0001099221422856,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6904","ChAd-BNT (V2, D3)","SPOCD1",87.7603750342648,-1.15904217007366,0.416760024731837,-2.78107808161171,0.00541787044910505,0.02907570318585,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6905","ChAd-BNT (V2, D3)","VEGFC",7.97923831219407,-1.86908989930907,0.52845871384484,-3.53687024235133,0.00040489854120972,0.00391887243633082,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6906","ChAd-BNT (V2, D3)","LINGO3",19.7686476214259,1.87536626074457,0.439208220690812,4.26987968894318,1.95578438499227e-05,0.00035156595197141,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
