"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"80","BNT (V1, D6)","BNT-I (D10, severe)",0,1,4404,1,4404,"",0,0,0.000227014755959125,5.73539504693973e-05,4.24143666306398
"81","BNT (V1, D6)","BNT-I (D26, mild)",0,1,2454,1,2454,"",0,0,0.000407331975560069,0.000100501850175469,3.99782594308329
"82","BNT (V1, D6)","BNT-I (D26, severe)",0,1,561,1,561,"",0,0,0.001779359430605,0.000416294402487626,3.38059942861618
"83","BNT (V1, D6)","BNT-I (D3)",0,1,623,1,623,"",0,0,0.0016025641025641,0.00037828941599186,3.42217580948874
"84","BNT (V1, D6)","BNT-I (D4)",0,1,144,1,144,"",0,0,0.00689655172413792,0.00156938962081743,2.80426922393057
"85","BNT (V1, D6)","BNT-I-BNT (D51, mild)",0,1,334,1,334,"",0,0,0.00298507462686566,0.000691222827463898,3.16038192782386
"86","BNT (V1, D6)","BNT-I-BNT (D51, severe)",0,1,108,1,108,"",0,0,0.00917431192660552,0.00206985092119878,2.68406093301277
"87","BNT (V1, D6)","BNT-MO (V3, D1)",1,0,862,1,863,"RNU1-4",100,0.12,1,0.21343487049646,0.670734625084813
"88","BNT (V1, D6)","ChAd (V1, D3)",0,1,594,1,594,"",0,0,0.00168067226890759,0.000394958580138798,3.403448447058
"89","BNT (V1, D6)","ChAd (V1, D6)",0,1,125,1,125,"",0,0,0.00793650793650794,0.00179828124616679,2.74514238484621
"90","BNT (V1, D6)","ChAd (V1, D7)",0,1,250,1,250,"",0,0,0.00398406374501992,0.000914514592069326,3.03880936049415
"91","BNT (V1, D6)","ChAd (V2, D1)",0,1,681,1,681,"",0,0,0.00146627565982405,0.000347674928747967,3.45882662567851
"92","BNT (V1, D6)","ChAd (V2, D3)",0,1,196,1,196,"",0,0,0.00507614213197967,0.00115846821395886,2.93611587787888
"93","BNT (V1, D6)","ChAd (V2, D7)",0,1,8,1,8,"",0,0,0.111111111111111,0.0242718291954998,1.61489749274196
"94","BNT (V1, D6)","ChAd-BNT (V2, D3)",0,1,840,1,840,"",0,0,0.00118906064209274,0.000284072764472372,3.5465704023431
"95","BNT (V1, D6)","ChAd-BNT (V2, D7)",0,1,727,1,727,"",0,0,0.00137362637362635,0.000327178023297603,3.48521587578655
"96","BNT (V1, D6)","ChAd-BNT (V3, D1)",0,1,940,1,940,"",0,0,0.00106269925611054,0.000255816521880572,3.59207141009252
"97","BNT (V1, D6)","I (D10, moderate)",0,1,2969,1,2969,"",0,0,0.000336700336700337,8.34653953526262e-05,4.07849354514386
"98","BNT (V1, D6)","I (D10, severe)",0,1,3901,1,3901,"",0,0,0.000256278831368541,6.41326579674674e-05,4.19292076044635
"99","BNT (V1, D6)","I (D26, moderate)",0,1,1906,1,1906,"",0,0,0.000524383848977457,0.00012759085074251,3.89418046679434
"100","BNT (V1, D6)","I (D26, severe)",0,1,3800,1,3800,"",0,0,0.000263088660878722,6.55257481093373e-05,4.18358801200056
"101","BNT (V1, D6)","I (D51, moderate)",0,1,47,1,47,"",0,0,0.0208333333333333,0.00467361817487817,2.33034677147247
"102","BNT (V1, D6)","I (D51, severe)",0,1,2154,1,2154,"",0,0,0.000464037122969816,0.000113431069715214,3.94526797227094
"103","BNT (V1, D6)","I-BNT-I (D2)",0,1,5,1,5,"",0,0,0.166666666666667,0.0362575055107467,1.44060207834817
"104","BNT (V1, D6)","I-BNT-I (D5)",0,1,1,1,1,"",0,0,1,0.21343487049646,0.670734625084813
"105","BNT (V1, D6)","I-I (D1)",0,1,32,1,32,"",0,0,0.0303030303030303,0.00673115590048847,2.17191035062023
"106","BNT (V1, D6)","I-I (D2)",0,1,1,1,1,"",0,0,1,0.21343487049646,0.670734625084813
"107","BNT (V1, D6)","I-I (D3)",0,1,3,1,3,"",0,0,0.25,0.0543115518674028,1.26510778774648
"108","BNT (V1, D6)","I-I (D5)",0,1,14,1,14,"",0,0,0.0666666666666667,0.0146236929299933,1.8349429408806
"109","BNT (V1, D6)","ZF2001 (V3, D07)",0,1,2360,1,2360,"",0,0,0.000423549343498528,0.000104016378362338,3.98289827154401
"110","BNT (V1, D6)","ZF2001 (V3, D14)",0,1,252,1,252,"",0,0,0.00395256916996047,0.000911252947359826,3.04036105398806
"111","BNT (V1, D6)","ZF2001 (V3, D28)",0,1,30,1,30,"",0,0,0.032258064516129,0.00713535930691979,2.14658415274084
"112","BNT (V2, D1)","BNT (V3, D1)",271,226,195,497,466,"IFIT3, GPR42, TFEC, LRP1B, SNORD3B-2, SNORD67, SNORD9, CLDN10, GRIN3A, GSDMC, MT2A, RGS9BP, ZBP1, LACTB, SORT1, TIMM10, CLXN, MTND4P14, PRAL, CMPK2, LAP3P2, SP140, SECTM1, H2BP2, RN7SKP26, SPATS2L, COL1A1, COLEC12, HCAR1, PRMT5-DT, AGRN, NALF2, MARCO, HELZ2, AIM2, HES4, HES7, TMEM268, ALMS1P1, PSTPIP2, STAT4-AS1, TNFAIP6, ANKRD22, NRIR, ISG20, METTL7B, CTSL, LINC01556, STX11, LINC02068, LINC02555, CXCL10, CXCL11, HMGA2-AS1, MIR130AHG, FAM225B, APOL1, APOL2, APOL4, APOL6, EPSTI1, CYBB, RPS29P14, KCNJ2, MMADHCP2, RSPH9, ASPHD2, DDX60L, RTP4, RBFOX3, IDO2, ATF3, NUB1, IFI16, TCN2, IFI44, IFI44L, SERPING1, IFIH1, ENSG00000272567, RCBTB2P1, KLF5, SAMD4A, BISPR, IFIT5, SAMD9L, DHX58, ODF3B, OOSP3, IMMP1LP2, RHBDF2, OTOF, SOCS1, SDC3, TRIM5, TRIM6, MTND5P14, DNM1P33, DOCK4, P2RY6, LYPD5, RIPK2, LINC01331, TRPV4, BCL2L14, RNA5SP237, MYOF, LGALS3BP, CCRL2, C2, RPL7AP31, RPL7AP42, KLHDC7B-DT, GBP3, SFRP1, NASPP1, BNIP5, RAB39A, PDCD1LG2, EEF1A1P35, RNU1-28P, EFCAB2, CD274, TMEM51, NCKAP5, KCNJ10, PSME2P1, CACNA1E, RNU7-41P, RNY1, ETV7, NDUFB4P11, EXOC3L4, ISG15, NRN1, SLAMF8, FCGR1BP, C15orf48, CASP5, PARP12, LINC02471, LINC02574, RPL38P4, FGF13, C1QA, C1QB, C1QC, DHRS9, OASL, CDC45, XXYLT1-AS2, TYMP, NMRAL2P, LINC00487, LRRK2-DT, PLA1A, SCO2, PSME2P2, UBE2L6, KCNMA1, GK-IT1, SIGLEC1, RNVU1-28, VPS9D1, ETV7-AS1, LY6E, CALHM6, LAP3, EXOC3L1, FBXO6, VWA3B, RSAD2, FAM20A, CAPNS1P1, CAPNS2, F3, PLSCR2, RN7SL124P, CARD17P, SMCO4, TDRD7, XAF1, LIF, RN7SKP230, OAS1, FAM225A, LPCAT2, SNORD15B, CCDC194, SNORD3A, HESX1, GRAMD1B, MSR1, OR52B4, OR7E100P, KPTN, RPS3AP43, PSME2, FRMD3, SIGLEC11, LAMP3, FBXO39, SIMALR, P2RX7, P2RY14, HTR3A, GBP5, TNFSF10, TNFSF13B, MYBPHL, OAS3, TLR7, FCGR1CP, ZDHHC19, FDPSP3, RAB1AP1, SEPTIN4, RNA5SP202, PHF24, PARP14, TRAFD1, DTX3L, LINC02773, NGFR, GBP1P1, GK, TIFA, GPR84, RNA5S9, LMNB1-DT, VAMP5, MIR4308, WARS1, SLIT2, SCARF1, RNU1-4, PLSCR1, CEACAM1, MOV10, CFAP97D1, PLAAT4, GADD45G, RPL21P57, SLC6A12, WDFY1, IRF7, LHFPL2, RNU5B-1, LINC03080, RNU6-275P, CDHR5, RNF213, SAT1, SLC30A4-AS1, SMTNL1, SLC1A3, RMI2, GLRX3P2, USP18, MIR4736, GBP4, HERC5, MAMDC2, LINC01415, SLC8A2, FAP, RUFY4, RNU7-40P, PRRG4, GARIN4, SIGLEC16",54.53,58.15,8.95398495728531e-42,3.27805470199309e-42,41.4843838034881
"113","BNT (V2, D1)","BNT-I (D1)",13,484,1033,497,1046,"SNORD15A, SNORD89, RGS9BP, HBG2, SYP-AS1, MUC5B, GBP3, TMEM51, SDC2, FAM20A, CAPNS2, NFATC4, SCARF1",2.62,1.24,0,0,0
"114","BNT (V2, D1)","BNT-I (D10, mild)",121,376,4087,497,4208,"IFIT3, TFEC, SNORD9, GSDMC, MT2A, ZBP1, LACTB, SORT1, TIMM10, CMPK2, ZCCHC2, SPATS2L, AGRN, IL36A, HELZ2, AIM2, HERC6, PSTPIP2, TNFAIP6, ANKRD22, IRF9, NRIR, METTL7B, STX11, CXCL10, CXCL11, APOL2, APOL4, APOL6, EPSTI1, MLKL, RSPH9, DDX60L, RTP4, ATF3, IFI16, TCN2, IFI44, IFI44L, SERPING1, IFIH1, KLF5, SAMD4A, BISPR, IFIT5, ODF3B, TRIM6, MUC1, RIPK2, LGALS3BP, RAB39A, EFCAB2, CD274, CACNA1A, CACNA1E, ETV7, ISG15, NRN1, GALNT14, PARP12, FGF13, C1QB, C1QC, OASL, EPB41L3, CDC45, XXYLT1-AS2, TYMP, LINC00487, UBE2L6, KCNMA1, SIGLEC1, VPS9D1, LY6E, LAP3, FBXO6, RSAD2, PLSCR2, CARD16, SMCO4, TDRD7, XAF1, OAS1, FAM225A, LPCAT2, HESX1, OR52B4, KPTN, PSME2, FRMD3, GLDN, LAMP3, FBXO39, HTR3A, TNFSF13B, OAS3, ZDHHC19, PARP14, TRAFD1, DTX3L, GBP1P1, GK, TIFA, GPR84, VAMP5, NMI, PLSCR1, CEACAM1, GADD45G, WDFY1, LHFPL2, SAT1, SMTNL1, SLC1A3, RMI2, USP18, INSC, HERC5, FAP, RUFY4, PRRG4",24.35,2.88,0,0,0
"115","BNT (V2, D1)","BNT-I (D10, severe)",149,348,4255,497,4404,"IFIT3, LRP1B, SNORD89, SNORD9, GSDMC, DNAAF1, MT2A, ZBP1, LACTB, SORT1, TIMM10, CMPK2, ZCCHC2, SPATS2L, AGRN, IL36A, HELZ2, AIM2, HERC6, HES4, PSTPIP2, TNFAIP6, ANKRD22, NRIR, METTL7B, CTSL, LINC01556, STX11, CXCL10, CXCL11, APOBEC3B-AS1, APOL1, APOL2, APOL6, EPSTI1, KCNJ2, MLKL, RSPH9, DDX60L, RTP4, RBFOX3, ATF3, IFI16, TCN2, IFI44, IFI44L, SERPING1, IFIH1, KLF5, BISPR, IFIT5, SAMD9L, DHX58, ODF3B, OTOF, TRIM6, DOCK4, MUC1, RIPK2, LGALS3BP, CCRL2, C2, SFRP1, PDCD1LG2, EFCAB2, CD274, NCKAP5, CACNA1A, CACNA1E, ETV7, ISG15, NRN1, GALNT14, C15orf48, CASP5, PARP12, FGF13, C1QA, C1QB, C1QC, DHRS9, OASL, CDC45, TYMP, LINC00487, UBE2L6, KCNMA1, SIGLEC1, VPS9D1, LY6E, LAP3, FBXO6, RSAD2, FAM20A, CAPNS2, PLSCR2, CARD16, SMCO4, TDRD7, RNU4ATAC, XAF1, OAS1, FAM225A, LPCAT2, HESX1, TYMS, OR52B4, KPTN, FRMD3, SLC7A10, GLDN, LAMP3, FBXO39, HTR3A, GBP5, TNFSF10, TNFSF13B, MYBPHL, OAS3, ZDHHC19, PARP14, TRAFD1, DTX3L, GBP1P1, GK, TIFA, GPR84, VAMP5, NMI, PLSCR1, CEACAM1, MOV10, GADD45G, WDFY1, IRF7, LHFPL2, RNF213, SAT1, SMTNL1, SLC1A3, RMI2, USP18, INSC, PLEKHG4B, HERC5, SLC8A2, FAP, RUFY4, PRRG4",29.98,3.38,0,0,0
"116","BNT (V2, D1)","BNT-I (D26, mild)",24,473,2430,497,2454,"SNORD89, SNORD9, DLSTP1, LACTB, SORT1, MARCO, METTL7B, RSPH9, DDX60L, RBFOX3, TCN2, KLF5, SAMD9L, EFCAB2, CACNA1E, GALNT14, FGF13, FAM20A, HTR3A, GPR84, GADD45G, SLC1A3, RMI2, INSC",4.83,0.98,0,0,0
"117","BNT (V2, D1)","BNT-I (D26, severe)",4,493,557,497,561,"SNORD89, GSDMC, SDC3, RIPK2",0.8,0.71,4.74602017438004e-306,5.56005892709379e-306,305.254920605617
"118","BNT (V2, D1)","BNT-I (D3)",30,467,593,497,623,"SNORD89, GSDMC, LACTB, SORT1, SECTM1, PSTPIP2, ANKRD22, STX11, KLF5, MUC1, MUC5B, SFRP1, EFCAB2, CACNA1E, NRN1, GALNT14, FGF13, VPS9D1, FAM20A, CAPNS2, LPCAT2, SNORD15B, P2RY14, GBP5, MYBPHL, ZDHHC19, GBP1P1, GK, GPR84, CEACAM1",6.04,4.82,2.71454842163619e-274,2.63386536505376e-274,273.57940642858
"119","BNT (V2, D1)","BNT-I (D4)",1,496,143,497,144,"SNORD89",0.2,0.69,8.46200380301971e-145,4.83144488883035e-145,144.315922969993
"120","BNT (V2, D1)","BNT-I-BNT (D51, mild)",0,497,334,497,334,"",0,0,2.40698190727262e-242,2.1266860273997e-242,241.672296622289
"121","BNT (V2, D1)","BNT-I-BNT (D51, severe)",0,497,108,497,108,"",0,0,1.28925715185649e-122,6.66348931480901e-123,122.176298294353
