"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"71","BBIBP (V3, D14)","H-I (D51, severe)",46,250,2254,374,2300,"CCND3, FEM1C, OTUD1, TMEM132A, RNF19B, KIF24, ATG3, DENND3, CR1, FZD5, ULBP2, TRIM22, TSPO, MAP10, THNSL1, SREBF1, FAM157A, SMG1P1, C12orf76, NLRC5, LDLRAD4, UPK3B, CBY1, UPP1, GLS, JDP2, LOC101928008, KPTN, TTC21A, FAAHP1, NEDD9, DCHS1, NAPA-AS1, CYSLTR2, CDC5L, SEMA3B-AS1, TXLNB, TCN1, CCIN, SIPA1L1, IER5, CCNL1, ARHGAP26-IT1, PLK2, BASP1, SLC29A2",12.3,2,4.93454114679367e-300,2.89032036157654e-300,299.539054017605
"72","BBIBP (V3, D14)","H-I-I (D2)",0,296,1,374,1,"",0,0,0.00336700336700337,0.000446020465371926,3.35064521349821
"73","BBIBP (V3, D14)","I-BNT-I (D2)",0,296,5,374,10,"",0,0,5.02168647064517e-11,8.12423388729688e-12,11.0902175822514
"74","BBIBP (V3, D14)","I-BNT-I (D5)",0,296,1,374,2,"",0,0,0.00336700336700337,0.000446020465371926,3.35064521349821
"75","BBIBP (V3, D14)","I-I (D1)",1,295,38,374,39,"CNTNAP2",0.27,2.56,2.27818233660657e-49,4.46595249981325e-50,49.3500859004268
"76","BBIBP (V3, D14)","I-I (D3)",0,296,3,374,3,"",0,0,2.26729144149628e-07,3.36568404834935e-08,7.47292665559096
"77","BBIBP (V3, D14)","I-I (D5)",0,296,14,374,14,"",0,0,1.55139723793538e-24,2.76272505902981e-25,24.5586623330667
"78","BBIBP (V3, D28)","BNT (V1, D6)",0,287,3,399,9,"",0,0,2.48578133078789e-07,3.67878873672688e-08,7.4342951518558
"79","BBIBP (V3, D28)","BNT (V2, D1)",2,285,537,399,694,"RNU5B-1, SMTNL1",0.5,0.29,2.40335754497053e-225,9.81858092231964e-226,225.007951276178
"80","BBIBP (V3, D28)","BNT (V3, D1)",8,279,509,399,708,"LINC00513, CCL3, PRR36, DISC1-IT1, RNU5B-1, CCL3L1, FFAR2, SMTNL1",2.01,1.13,4.11630078904703e-208,1.55733224079096e-208,207.807618725293
"81","BBIBP (V3, D28)","BNT-MO (V3, D1)",15,272,928,399,1254,"LINC00513, CCL3, BACH1-IT1, AREG, DISC1-IT1, RNU5B-1, G0S2, CCL3L1, FFAR2, ADAMTSL4-AS1, CADM4, MTCO2P11, SIPA1L1, SMTNL1, CHRNA2",3.76,1.2,3.61967324368615e-255,1.71681224505136e-255,254.76527719779
"82","BBIBP (V3, D28)","ChAd (V1, D3)",6,281,652,399,903,"CXCL8, G0S2, CCL3L1, CXCL1, EGOT, GDF15",1.5,0.66,3.6274833639404e-236,1.56758177993392e-236,235.804769792987
"83","BBIBP (V3, D28)","ChAd (V1, D6)",5,282,160,399,302,"CCNB2, IGKV2D-24, IGHV6-1, IGLV1-36, APOBEC2",1.25,1.66,5.89823718697623e-117,1.46673876839643e-117,116.833647228724
"84","BBIBP (V3, D28)","ChAd (V1, D7)",6,281,262,399,337,"CCL3, CCNB2, FAM71A, HBB, HBA1, HIST1H2AD",1.5,1.78,1.36905217699559e-152,3.97358482906457e-153,152.400817511123
"85","BBIBP (V3, D28)","ChAd (V2, D1)",10,277,723,399,916,"BACH1-IT1, IGLV5-45, DISC1-IT1, RNU5B-1, HBA1, TRAV18, FFAR2, MTCO2P11, GPR68, FAR1-IT1",2.51,1.09,6.67704384612145e-239,2.91129799183303e-239,238.53591333919
"86","BBIBP (V3, D28)","ChAd (V2, D3)",7,280,194,399,215,"MTRNR2L3, LOC727896, LOC100294362, ZBED2, ADAMTSL4-AS1, SMTNL1, MIR181A1HG",1.75,3.26,8.69011547442104e-128,2.26529106148359e-128,127.644875988673
"87","BBIBP (V3, D28)","ChAd (V2, D7)",0,287,9,399,18,"",0,0,2.35217801375333e-17,3.97058958002229e-18,17.4011450014638
"88","BBIBP (V3, D28)","ChAd-BNT (V2, D3)",14,273,894,399,1156,"VASN, PTGES, IL1A, MTRNR2L3, FAM71A, LOC100294362, ADAMTSL4-AS1, CXCL1, SRGAP2-AS1, SMTNL1, MIR181A1HG, ALKBH7, TCTEX1D4, GPR152",3.51,1.21,3.77988696595084e-253,1.77547991252351e-253,252.750684236868
