"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"31","BNT (V2, D1) UP","ChAd (V1, D7) UP",5,354,220,359,225,"TYMS, CDC45, IFI27, FBXO16, CCL25",1.39,2.22,1.41260211131738e-156,155.849980148975
"32","BNT (V2, D1) UP","ChAd (V2, D2) UP",14,345,301,359,315,"SCO2, ODF3B, TYMP, EXOC3L1, FBXO39, HELZ2, SIGLEC1, DOCK4, AGRN, MT2A, TRIM6, NRIR, CDHR5, SMTNL1",3.9,4.44,6.97243161192458e-173,172.156615736755
"33","BNT (V2, D1) UP","ChAd (V2, D7) UP",0,359,6,359,6,"",0,0,3.17331620913559e-13,12.4984866499165
"34","BNT (V2, D1) UP","ChAd-BNT (V2, D3) UP",160,199,551,359,711,"ANKRD22, GBP1P1, SERPING1, GBP1, BATF2, GBP4, CXCL10, GBP5, FBXO6, LAMP3, LAP3, IDO1, CD274, PSME2, UBE2L6, SAMD4A, STAT1, EPSTI1, APOL6, FCGR1A, TRIM22, PDCD1LG2, MYOF, ATF3, ETV7, STAT2, GCH1, APOL4, AIM2, VAMP5, SAMD9L, IFIH1, SPATS2L, IFI35, C2, XAF1, DDX60, PARP12, APOL1, CMPK2, PARP9, OAS1, TAP1, PARP14, IFI44, CYBB, IFIT3, PSTPIP2, RNF213, ZBP1, TNFSF10, OAS2, GBP2, OAS3, SCO2, IFI6, DHX58, TRIM5, SCARF1, SLAMF8, ISG15, IRF7, RSAD2, LGALS3BP, BISPR, BST2, TFEC, IFIT2, OTOF, PLSCR1, EIF2AK2, ODF3B, TYMP, P2RX7, IFI44L, DTX3L, SDC3, HERC5, SORT1, IFITM3, SLC6A12, OASL, NMI, TNFSF13B, CTSL, IFI16, LY6E, SMCO4, RUFY4, SECTM1, MX1, EPB41L3, RAB39A, TLR7, CXCL9, DHRS9, DDX60L, TCN2, USP18, IFIT1, EXOC3L1, C1QC, C1QB, IL31RA, GPR84, FBXO39, HELZ2, HERC6, IL27, CLEC6A, FRMD3, SIGLEC1, AGRN, MT2A, TRPV4, FAM225A, KCNJ10, CXCL11, HES4, LPCAT2, NRIR, NRN1, CCL2, MSR1, CASP5, C15orf48, GADD45G, FAM20A, MUC1, IDO2, MARCO, P2RY6, CCL8, HESX1, CDHR5, KCNJ2, CDC45, SLC1A3, KCNMA1, BCL2L14, GBP7, SIGLEC11, IFI27, JPH4, CFB, LYPD5, LINC00487, SMTNL1, METTL7B, SLIT2, DNAAF1, FAM225B, EXOC3L4, LINC01474, PLA1A, APOBEC3B-AS1, CD276, RXFP1, CCL25, DPYS",44.57,22.5,4.93305555215111e-101,100.306883993831
"35","BNT (V2, D1) UP","ChAd-BNT (V2, D7) UP",3,356,321,359,324,"TYMS, CDC45, FBXO16",0.84,0.93,1.05732745017138e-196,195.975790492561
"36","ChAd (V1, D6) UP","ChAd (V2, D1) UP",3,164,540,167,543,"IFI27, EPSTI1, ZNF559-ZNF177",1.8,0.55,1.05382488489331e-159,158.977231550265
"37","ChAd (V1, D6) UP","BNT (V3, D1) UP",5,162,444,167,449,"IFI27, IGLV3-10, CDT1, CDC45, EPSTI1",2.99,1.11,9.42352741470796e-144,143.025786501667
"38","ChAd (V1, D6) UP","BNT-MO (V3, D1) UP",3,164,762,167,765,"IFI27, EPSTI1, IGLV7-46",1.8,0.39,1.97474795823459e-181,180.704488326535
"39","ChAd (V1, D6) UP","ChAd-BNT (V3, D1) UP",4,163,1138,167,1142,"EPSTI1, IL21-AS1, SLCO4A1, TTYH1",2.4,0.35,3.474810139855e-205,204.459068919841
"40","ChAd (V1, D6) UP","BBIBP (V3, D07) UP",0,167,95,167,95,"",0,0,5.9302598420659e-74,73.2269262770399
"41","ChAd (V1, D6) UP","BBIBP (V3, D14) UP",3,164,484,167,492,"IGHV2-5, IGHV1OR15-1, EPSTI1",1.8,0.61,5.5674218577332e-153,152.254345869847
"42","ChAd (V1, D6) UP","BBIBP (V3, D28) UP",1,166,475,167,492,"CCNB2",0.6,0.2,2.03468966657156e-156,155.691501820529
"43","ChAd (V1, D6) UP","ZF2001 (V3, D07) UP",1,166,471,167,476,"PRC1",0.6,0.21,6.75510376261622e-156,155.170367975556
"44","ChAd (V1, D6) UP","ZF2001 (V3, D14) UP",1,166,390,167,395,"IGKV2D-29",0.6,0.25,1.96326027720539e-144,143.70702212044
"45","ChAd (V1, D6) UP","ZF2001 (V3, D28) UP",0,167,132,167,133,"",0,0,1.64813841113107e-88,87.7830063189336
"46","ChAd (V1, D6) UP","ChAd (V1, D3) UP",4,163,346,167,350,"IFI27, PKMYT1, CDC45, EPSTI1",2.4,1.14,4.34052049043921e-131,130.36245818925
"47","ChAd (V1, D6) UP","ChAd (V1, D7) UP",48,119,177,167,225,"MZB1, TXNDC5, ITM2C, JCHAIN, IFI27, RRM2, CAV1, SHCBP1, CDC20, TNFRSF17, CCNA2, BHLHA15, GLDC, NT5DC2, IGF1, CCNB2, BHLHE41, CDC6, BIRC5, CDT1, TYMS, CEP55, TK1, SDC1, CDK1, GPRC5D, ALDH1L2, GINS2, GGH, CDCA5, IGLL5, TNFRSF13B, PYCR1, TSHR, MOXD1, PKMYT1, KLHL14, KCNN3, UCHL1, CENPM, CDC45, MET, KIF20A, ACOXL, MIXL1, CDC25A, BVES, LINC01358",28.74,21.33,2.17320980823759e-53,52.6628983435546
"48","ChAd (V1, D6) UP","ChAd (V2, D2) UP",1,166,314,167,315,"SHCBP1",0.6,0.32,1.08189765824074e-131,130.965813819233
"49","ChAd (V1, D6) UP","ChAd (V2, D7) UP",0,167,6,167,6,"",0,0,2.93168245734808e-11,10.532883071715
"50","ChAd (V1, D6) UP","ChAd-BNT (V2, D3) UP",4,163,707,167,711,"IFI27, PKMYT1, CDC45, EPSTI1",2.4,0.56,2.18982277963613e-174,173.659591030795
"51","ChAd (V1, D6) UP","ChAd-BNT (V2, D7) UP",37,130,287,167,324,"MZB1, TXNDC5, JCHAIN, RRM2, CAV1, SHCBP1, CDC20, TNFRSF17, CCNA2, BHLHA15, GLDC, NT5DC2, IGF1, CCNB2, CDC6, BIRC5, TYMS, CEP55, SDC1, CDK1, GPRC5D, ALDH1L2, GINS2, CDCA5, IGLL5, PYCR1, TSHR, PKMYT1, KCNN3, UCHL1, CENPM, CDC45, MET, KIF20A, ACOXL, MIXL1, CDC25A",22.16,11.42,3.44100683089519e-80,79.463314465241
