genes,infection_vaccination,n_conditions,comparison
PCOLCE2,Infection,11,Infection and vaccination
RNASE1,Infection,11,Infection and vaccination
SCN1B,Infection,11,Infection and vaccination
ZNF208,Infection,11,Infection and vaccination
AIM2,Infection,11,Infection and vaccination
C5orf47,Infection,11,Infection and vaccination
EPHX2,Infection,11,Infection and vaccination
FOXC1,Infection,11,Infection and vaccination
GGH,Infection,11,Infection and vaccination
HMP19,Infection,11,Infection and vaccination
ITGA7,Infection,11,Infection and vaccination
LOC100506985,Infection,11,Infection and vaccination
NPHP1,Infection,11,Infection and vaccination
PMEL,Infection,11,Infection and vaccination
PPAP2B,Infection,11,Infection and vaccination
SNORA31,Infection,11,Infection and vaccination
SPATS2L,Infection,11,Infection and vaccination
SPTY2D1-AS1,Infection,11,Infection and vaccination
TSPAN6,Infection,11,Infection and vaccination
ZNF470,Infection,11,Infection and vaccination
ZNF667-AS1,Infection,11,Infection and vaccination
AARS2,Infection,10,Infection only
ABCB1,Infection,10,Infection only
ABHD3,Infection,10,Infection only
ADAM9,Infection,10,Infection only
AKIRIN2,Infection,10,Infection only
ALOX15P1,Infection,10,Infection only
ALPK2,Infection,10,Infection only
ALS2CL,Infection,10,Infection only
ANKRD22,Infection,10,Infection only
AP3S1,Infection,10,Infection only
APBA1,Infection,10,Infection only
ARG1,Infection,10,Infection only
ARGFXP2,Infection,10,Infection only
ASB9P1,Infection,10,Infection only
ATN1,Infection,10,Infection only
ATP6V0E2-AS1,Infection,10,Infection only
BLOC1S2,Infection,10,Infection only
BRI3,Infection,10,Infection only
C5orf67,Infection,10,Infection only
CALHM2,Infection,10,Infection only
CBWD6,Infection,10,Infection only
CCR4,Infection,10,Infection only
CKAP4,Infection,10,Infection only
CLEC4E,Infection,10,Infection only
CNGA4,Infection,10,Infection only
COL6A2,Infection,10,Infection only
CREG1,Infection,10,Infection only
CSGALNACT2,Infection,10,Infection only
CSNK1A1L,Infection,10,Infection only
CTGLF12P,Infection,10,Infection only
DBP,Infection,10,Infection only
DCHS1,Infection,10,Infection only
DNAJC25,Infection,10,Infection only
DRAM1,Infection,10,Infection only
DSCC1,Infection,10,Infection only
ELOVL4,Infection,10,Infection only
FAHD2CP,Infection,10,Infection only
FAP,Infection,10,Infection only
FGF9,Infection,10,Infection only
GADD45B,Infection,10,Infection only
GATA2-AS1,Infection,10,Infection only
GCM1,Infection,10,Infection only
GK,Infection,10,Infection only
GPR84,Infection,10,Infection only
GRB10,Infection,10,Infection only
GSDMC,Infection,10,Infection only
GYLTL1B,Infection,10,Infection only
HERC5,Infection,10,Infection only
HIST1H2BF,Infection,10,Infection only
HK3,Infection,10,Infection only
IFIH1,Infection,10,Infection only
IGF2BP3,Infection,10,Infection only
JAK2,Infection,10,Infection only
JAKMIP2,Infection,10,Infection only
KCND1,Infection,10,Infection only
KCNJ2,Infection,10,Infection only
KCNJ2-AS1,Infection,10,Infection only
KIAA1958,Infection,10,Infection only
KLHDC7B,Infection,10,Infection only
KLHL2,Infection,10,Infection only
KRT1,Infection,10,Infection only
KRT73,Infection,10,Infection only
LAPTM4A,Infection,10,Infection only
LGALSL,Infection,10,Infection only
LHFPL2,Infection,10,Infection only
LINC00996,Infection,10,Infection only
LINC01506,Infection,10,Infection only
LOC101928093,Infection,10,Infection only
LOC101929698,Infection,10,Infection only
LOC102723766,Infection,10,Infection only
LOC284798,Infection,10,Infection only
LONRF2,Infection,10,Infection only
LPCAT2,Infection,10,Infection only
LY96,Infection,10,Infection only
MAP1LC3B,Infection,10,Infection only
MEF2A,Infection,10,Infection only
MELK,Infection,10,Infection only
MGAT3,Infection,10,Infection only
MIR3605,Infection,10,Infection only
MIR4434,Infection,10,Infection only
MIR616,Infection,10,Infection only
MIR6514,Infection,10,Infection only
MIR8085,Infection,10,Infection only
MKS1,Infection,10,Infection only
MYLIP,Infection,10,Infection only
NAIP,Infection,10,Infection only
NECAB1,Infection,10,Infection only
NMI,Infection,10,Infection only
NOG,Infection,10,Infection only
NTNG2,Infection,10,Infection only
OASL,Infection,10,Infection only
OR6W1P,Infection,10,Infection only
OTOF,Infection,10,Infection only
PBK,Infection,10,Infection only
PCAT18,Infection,10,Infection only
PIWIL4,Infection,10,Infection only
PLD4,Infection,10,Infection only
PLK1,Infection,10,Infection only
PPP2R3C,Infection,10,Infection only
PRRG4,Infection,10,Infection only
PRRT4,Infection,10,Infection only
PTPRCAP,Infection,10,Infection only
RAB1A,Infection,10,Infection only
RAI1,Infection,10,Infection only
RPL3,Infection,10,Infection only
S100A4,Infection,10,Infection only
S100A8,Infection,10,Infection only
S100P,Infection,10,Infection only
SEMA4C,Infection,10,Infection only
SERPINA9,Infection,10,Infection only
SHCBP1,Infection,10,Infection only
SIGLEC14,Infection,10,Infection only
SIGLEC5,Infection,10,Infection only
SLC22A15,Infection,10,Infection only
SLC29A2,Infection,10,Infection only
SMIM3,Infection,10,Infection only
SNORD116-21,Infection,10,Infection only
SNORD12B,Infection,10,Infection only
SPINK8,Infection,10,Infection only
SQRDL,Infection,10,Infection only
STARD9,Infection,10,Infection only
STOM,Infection,10,Infection only
SUMO1P1,Infection,10,Infection only
SVBP,Infection,10,Infection only
SYN2,Infection,10,Infection only
TFAP4,Infection,10,Infection only
TMEM132D,Infection,10,Infection only
TOB1,Infection,10,Infection only
TPST1,Infection,10,Infection only
TSHZ1,Infection,10,Infection only
UBALD2,Infection,10,Infection only
UBE2D1,Infection,10,Infection only
UPP1,Infection,10,Infection only
VAPA,Infection,10,Infection only
ZFAS1,Infection,10,Infection only
ZFP41,Infection,10,Infection only
ZNF135,Infection,10,Infection only
ZNF181,Infection,10,Infection only
ZNF471,Infection,10,Infection only
ZNF525,Infection,10,Infection only
ZNF677,Infection,10,Infection only
ZNF703,Infection,10,Infection only
ZNF737,Infection,10,Infection only
ZNF781,Infection,10,Infection only
ZNF790,Infection,10,Infection only
ZNF829,Infection,10,Infection only
PBK,Infection,10,Infection and vaccination
ANKRD22,Infection,10,Infection and vaccination
KRT1,Infection,10,Infection and vaccination
MELK,Infection,10,Infection and vaccination
GPR84,Infection,10,Infection and vaccination
LOC102723766,Infection,10,Infection and vaccination
MIR4434,Infection,10,Infection and vaccination
OTOF,Infection,10,Infection and vaccination
PLK1,Infection,10,Infection and vaccination
SHCBP1,Infection,10,Infection and vaccination
ARGFXP2,Infection,10,Infection and vaccination
CSNK1A1L,Infection,10,Infection and vaccination
HIST1H2BF,Infection,10,Infection and vaccination
LGALSL,Infection,10,Infection and vaccination
PCAT18,Infection,10,Infection and vaccination
S100P,Infection,10,Infection and vaccination
SNORD12B,Infection,10,Infection and vaccination
SYN2,Infection,10,Infection and vaccination
ASB9P1,Infection,10,Infection and vaccination
CKAP4,Infection,10,Infection and vaccination
CNGA4,Infection,10,Infection and vaccination
CTGLF12P,Infection,10,Infection and vaccination
FAP,Infection,10,Infection and vaccination
FGF9,Infection,10,Infection and vaccination
GADD45B,Infection,10,Infection and vaccination
GCM1,Infection,10,Infection and vaccination
GSDMC,Infection,10,Infection and vaccination
HERC5,Infection,10,Infection and vaccination
KCNJ2,Infection,10,Infection and vaccination
KCNJ2-AS1,Infection,10,Infection and vaccination
KLHDC7B,Infection,10,Infection and vaccination
LINC01506,Infection,10,Infection and vaccination
LOC101929698,Infection,10,Infection and vaccination
LONRF2,Infection,10,Infection and vaccination
MIR616,Infection,10,Infection and vaccination
PRRT4,Infection,10,Infection and vaccination
SPINK8,Infection,10,Infection and vaccination
TMEM132D,Infection,10,Infection and vaccination
ZNF135,Infection,10,Infection and vaccination
ZNF471,Infection,10,Infection and vaccination
A2M,Infection,9,Infection only
ABCA3,Infection,9,Infection only
ACSL1,Infection,9,Infection only
ADGRG1,Infection,9,Infection only
AJAP1,Infection,9,Infection only
ALOX15,Infection,9,Infection only
ALOX5AP,Infection,9,Infection only
ANKEF1,Infection,9,Infection only
ANXA1,Infection,9,Infection only
ARPC3,Infection,9,Infection only
ASPRV1,Infection,9,Infection only
ATP8A2,Infection,9,Infection only
BASP1,Infection,9,Infection only
BCL2A1,Infection,9,Infection only
BCL9L,Infection,9,Infection only
BUB1,Infection,9,Infection only
C10orf131,Infection,9,Infection only
C14orf169,Infection,9,Infection only
C1D,Infection,9,Infection only
C5orf30,Infection,9,Infection only
C5orf45,Infection,9,Infection only
C6orf229,Infection,9,Infection only
C9orf66,Infection,9,Infection only
CA6,Infection,9,Infection only
CACNA1A,Infection,9,Infection only
