genes,infection_vaccination,n_conditions,comparison
CDCA7,Infection,2,Infection and vaccination
CEACAM5,Infection,2,Infection and vaccination
CENPP,Infection,2,Infection and vaccination
CEP112,Infection,2,Infection and vaccination
CFLAR-AS1,Infection,2,Infection and vaccination
CHRNG,Infection,2,Infection and vaccination
CORO6,Infection,2,Infection and vaccination
CRAT,Infection,2,Infection and vaccination
CTRC,Infection,2,Infection and vaccination
CYP7B1,Infection,2,Infection and vaccination
DCAF4L1,Infection,2,Infection and vaccination
DISC2,Infection,2,Infection and vaccination
DOCK1,Infection,2,Infection and vaccination
ERBB2,Infection,2,Infection and vaccination
EXOC3L2,Infection,2,Infection and vaccination
FAM20A,Infection,2,Infection and vaccination
FBXO40,Infection,2,Infection and vaccination
FKBP10,Infection,2,Infection and vaccination
FRRS1,Infection,2,Infection and vaccination
GARNL3,Infection,2,Infection and vaccination
GDPD4,Infection,2,Infection and vaccination
GJA3,Infection,2,Infection and vaccination
GPC2,Infection,2,Infection and vaccination
GPR132,Infection,2,Infection and vaccination
GPR146,Infection,2,Infection and vaccination
GPR82,Infection,2,Infection and vaccination
GUCY2D,Infection,2,Infection and vaccination
GYPA,Infection,2,Infection and vaccination
H19,Infection,2,Infection and vaccination
HBD,Infection,2,Infection and vaccination
HIST1H3G,Infection,2,Infection and vaccination
HIST1H4I,Infection,2,Infection and vaccination
HORMAD2-AS1,Infection,2,Infection and vaccination
HSPB7,Infection,2,Infection and vaccination
IER5L,Infection,2,Infection and vaccination
KCNIP4,Infection,2,Infection and vaccination
KDM6B,Infection,2,Infection and vaccination
KIAA1211,Infection,2,Infection and vaccination
KLF14,Infection,2,Infection and vaccination
KPNA5,Infection,2,Infection and vaccination
LAMC2,Infection,2,Infection and vaccination
LINC01002,Infection,2,Infection and vaccination
LINC01089,Infection,2,Infection and vaccination
LINC01271,Infection,2,Infection and vaccination
LOC101927272,Infection,2,Infection and vaccination
LOC113230,Infection,2,Infection and vaccination
LOC441242,Infection,2,Infection and vaccination
LOC641367,Infection,2,Infection and vaccination
LOC643770,Infection,2,Infection and vaccination
LPPR3,Infection,2,Infection and vaccination
LRFN2,Infection,2,Infection and vaccination
MAMSTR,Infection,2,Infection and vaccination
MEP1B,Infection,2,Infection and vaccination
MFN2,Infection,2,Infection and vaccination
MGLL,Infection,2,Infection and vaccination
MIR26A2,Infection,2,Infection and vaccination
MIR378I,Infection,2,Infection and vaccination
MORC4,Infection,2,Infection and vaccination
NEFM,Infection,2,Infection and vaccination
NEGR1,Infection,2,Infection and vaccination
NEXN-AS1,Infection,2,Infection and vaccination
NHLH1,Infection,2,Infection and vaccination
NRXN2,Infection,2,Infection and vaccination
NTN4,Infection,2,Infection and vaccination
PALMD,Infection,2,Infection and vaccination
PGRMC1,Infection,2,Infection and vaccination
PITPNM3,Infection,2,Infection and vaccination
PLCL1,Infection,2,Infection and vaccination
POLR2A,Infection,2,Infection and vaccination
POT1-AS1,Infection,2,Infection and vaccination
PRB3,Infection,2,Infection and vaccination
PROCA1,Infection,2,Infection and vaccination
PROX2,Infection,2,Infection and vaccination
PRR15L,Infection,2,Infection and vaccination
PRSS12,Infection,2,Infection and vaccination
PRSS50,Infection,2,Infection and vaccination
PRUNE2,Infection,2,Infection and vaccination
RAB39A,Infection,2,Infection and vaccination
RAPGEF5,Infection,2,Infection and vaccination
REEP2,Infection,2,Infection and vaccination
RPAP2,Infection,2,Infection and vaccination
SCARNA9L,Infection,2,Infection and vaccination
SERPINC1,Infection,2,Infection and vaccination
SERTAD1,Infection,2,Infection and vaccination
SESN3,Infection,2,Infection and vaccination
SLC2A3,Infection,2,Infection and vaccination
SOD2,Infection,2,Infection and vaccination
SPAG4,Infection,2,Infection and vaccination
SQLE,Infection,2,Infection and vaccination
SRPK3,Infection,2,Infection and vaccination
SSBP3-AS1,Infection,2,Infection and vaccination
STARD13,Infection,2,Infection and vaccination
STK33,Infection,2,Infection and vaccination
STOX1,Infection,2,Infection and vaccination
SYCE2,Infection,2,Infection and vaccination
SYCE3,Infection,2,Infection and vaccination
SYNDIG1L,Infection,2,Infection and vaccination
SYT1,Infection,2,Infection and vaccination
TCTN3,Infection,2,Infection and vaccination
TEDDM1,Infection,2,Infection and vaccination
TFEC,Infection,2,Infection and vaccination
TIMD4,Infection,2,Infection and vaccination
TMC3,Infection,2,Infection and vaccination
TPBGL,Infection,2,Infection and vaccination
TPTEP1,Infection,2,Infection and vaccination
TSPO,Infection,2,Infection and vaccination
TTC7B,Infection,2,Infection and vaccination
U2AF1,Infection,2,Infection and vaccination
USP49,Infection,2,Infection and vaccination
VWA3A,Infection,2,Infection and vaccination
VWA7,Infection,2,Infection and vaccination
VWDE,Infection,2,Infection and vaccination
WARS,Infection,2,Infection and vaccination
WDR64,Infection,2,Infection and vaccination
WNK3,Infection,2,Infection and vaccination
XKR9,Infection,2,Infection and vaccination
ZBTB8A,Infection,2,Infection and vaccination
ZFR2,Infection,2,Infection and vaccination
ZNF112,Infection,2,Infection and vaccination
A1BG,Infection,1,Infection only
A2ML1,Infection,1,Infection only
AASDH,Infection,1,Infection only
AASDHPPT,Infection,1,Infection only
AATK,Infection,1,Infection only
ABALON,Infection,1,Infection only
ABCA10,Infection,1,Infection only
ABCC1,Infection,1,Infection only
ABCC10,Infection,1,Infection only
ABCC13,Infection,1,Infection only
ABCC3,Infection,1,Infection only
ABCC5,Infection,1,Infection only
ABCD4,Infection,1,Infection only
ABCF1,Infection,1,Infection only
ABCF2,Infection,1,Infection only
ABHD16B,Infection,1,Infection only
ABHD17B,Infection,1,Infection only
ABI3,Infection,1,Infection only
ABI3BP,Infection,1,Infection only
ABLIM2,Infection,1,Infection only
ABLIM3,Infection,1,Infection only
ABTB2,Infection,1,Infection only
ACACA,Infection,1,Infection only
ACAP1,Infection,1,Infection only
ACAP3,Infection,1,Infection only
ACAT2,Infection,1,Infection only
ACBD6,Infection,1,Infection only
ACD,Infection,1,Infection only
ACKR2,Infection,1,Infection only
ACO2,Infection,1,Infection only
ACOT7,Infection,1,Infection only
ACOX2,Infection,1,Infection only
ACP2,Infection,1,Infection only
ACP5,Infection,1,Infection only
ACP6,Infection,1,Infection only
ACRBP,Infection,1,Infection only
ACRC,Infection,1,Infection only
ACSBG1,Infection,1,Infection only
ACSF3,Infection,1,Infection only
ACTA2-AS1,Infection,1,Infection only
ACTB,Infection,1,Infection only
ACTG1P4,Infection,1,Infection only
ACTN2,Infection,1,Infection only
ACTN4,Infection,1,Infection only
ACTR1B,Infection,1,Infection only
ACTR5,Infection,1,Infection only
ACTR8,Infection,1,Infection only
ACVR2A,Infection,1,Infection only
ACVR2B-AS1,Infection,1,Infection only
ADAM12,Infection,1,Infection only
ADAM1A,Infection,1,Infection only
ADAM28,Infection,1,Infection only
ADAMTS3,Infection,1,Infection only
ADAMTSL4-AS1,Infection,1,Infection only
ADCK1,Infection,1,Infection only
ADCK3,Infection,1,Infection only
ADCY3,Infection,1,Infection only
ADCY5,Infection,1,Infection only
ADCY6,Infection,1,Infection only
ADGRF3,Infection,1,Infection only
ADO,Infection,1,Infection only
ADPGK,Infection,1,Infection only
ADPGK-AS1,Infection,1,Infection only
ADRA2A,Infection,1,Infection only
ADRA2B,Infection,1,Infection only
AFF1,Infection,1,Infection only
AFMID,Infection,1,Infection only
AGA,Infection,1,Infection only
AGAP2,Infection,1,Infection only
AGAP3,Infection,1,Infection only
AGAP4,Infection,1,Infection only
AGAP5,Infection,1,Infection only
AGAP6,Infection,1,Infection only
AGBL3,Infection,1,Infection only
AGPAT4,Infection,1,Infection only
AGPAT5,Infection,1,Infection only
AGPAT6,Infection,1,Infection only
AHI1,Infection,1,Infection only
AIF1L,Infection,1,Infection only
AIP,Infection,1,Infection only
AIRE,Infection,1,Infection only
AKAP5,Infection,1,Infection only
AKR1C6P,Infection,1,Infection only
AKR1E2,Infection,1,Infection only
AKTIP,Infection,1,Infection only
ALB,Infection,1,Infection only
ALG10B,Infection,1,Infection only
ALG12,Infection,1,Infection only
ALG9,Infection,1,Infection only
ALKBH2,Infection,1,Infection only
ALYREF,Infection,1,Infection only
AMIGO3,Infection,1,Infection only
ANGPT2,Infection,1,Infection only
ANGPT4,Infection,1,Infection only
ANK1,Infection,1,Infection only
ANKAR,Infection,1,Infection only
ANKDD1A,Infection,1,Infection only
ANKDD1B,Infection,1,Infection only
ANKFY1,Infection,1,Infection only
ANKLE1,Infection,1,Infection only
ANKRD33B,Infection,1,Infection only
ANKRD36BP2,Infection,1,Infection only
ANKRD37,Infection,1,Infection only
ANKRD39,Infection,1,Infection only
ANKRD50,Infection,1,Infection only
ANKRD55,Infection,1,Infection only
ANKRD61,Infection,1,Infection only
ANKS1A,Infection,1,Infection only
ANO7,Infection,1,Infection only
ANOS1,Infection,1,Infection only
ANP32A-IT1,Infection,1,Infection only
ANPEP,Infection,1,Infection only
ANXA11,Infection,1,Infection only
ANXA2R,Infection,1,Infection only
ANXA5,Infection,1,Infection only
ANXA9,Infection,1,Infection only
AOC1,Infection,1,Infection only
AOX2P,Infection,1,Infection only
AP1S3,Infection,1,Infection only
AP2A2,Infection,1,Infection only
AP2S1,Infection,1,Infection only
AP3D1,Infection,1,Infection only
AP4B1-AS1,Infection,1,Infection only
AP4M1,Infection,1,Infection only
AP4S1,Infection,1,Infection only
AP5Z1,Infection,1,Infection only
APEH,Infection,1,Infection only
APH1B,Infection,1,Infection only
APLP2,Infection,1,Infection only
APOA1-AS,Infection,1,Infection only
APOBEC3B-AS1,Infection,1,Infection only
APOBEC3G,Infection,1,Infection only
APOBEC4,Infection,1,Infection only
APOBR,Infection,1,Infection only
APOC1,Infection,1,Infection only
APOL4,Infection,1,Infection only
APOM,Infection,1,Infection only
APOO,Infection,1,Infection only
APOOL,Infection,1,Infection only
AQP10,Infection,1,Infection only
AQP7,Infection,1,Infection only
ARF1,Infection,1,Infection only
ARFGAP1,Infection,1,Infection only
ARFIP1,Infection,1,Infection only
ARFRP1,Infection,1,Infection only
ARHGAP18,Infection,1,Infection only
ARHGAP19,Infection,1,Infection only
ARHGAP31-AS1,Infection,1,Infection only
ARHGAP4,Infection,1,Infection only
ARHGAP44,Infection,1,Infection only
ARHGEF25,Infection,1,Infection only
ARHGEF28,Infection,1,Infection only
ARHGEF40,Infection,1,Infection only
ARID4B,Infection,1,Infection only
ARIH1,Infection,1,Infection only
ARL11,Infection,1,Infection only
ARL15,Infection,1,Infection only
ARL5B,Infection,1,Infection only
ARL6IP1,Infection,1,Infection only
ARL6IP4,Infection,1,Infection only
ARMC10,Infection,1,Infection only
ARMC5,Infection,1,Infection only
ARMC7,Infection,1,Infection only
ARMCX5,Infection,1,Infection only
ARNTL,Infection,1,Infection only
ARPC5,Infection,1,Infection only
ARRB1,Infection,1,Infection only
ARRDC1,Infection,1,Infection only
ARRDC4,Infection,1,Infection only
ARSB,Infection,1,Infection only
ART1,Infection,1,Infection only
ASB16,Infection,1,Infection only
ASNA1,Infection,1,Infection only
ASRGL1,Infection,1,Infection only
ASXL2,Infection,1,Infection only
ATF5,Infection,1,Infection only
ATF7IP2,Infection,1,Infection only
ATG10,Infection,1,Infection only
ATG101,Infection,1,Infection only
ATG14,Infection,1,Infection only
ATG4D,Infection,1,Infection only
ATG5,Infection,1,Infection only
ATG9A,Infection,1,Infection only
ATHL1,Infection,1,Infection only
ATM,Infection,1,Infection only
ATP10A,Infection,1,Infection only
ATP10B,Infection,1,Infection only
ATP13A3,Infection,1,Infection only
ATP1B3,Infection,1,Infection only
ATP2B2,Infection,1,Infection only
ATP5J2,Infection,1,Infection only
ATP6V0A1,Infection,1,Infection only
ATP6V1A,Infection,1,Infection only
ATP6V1F,Infection,1,Infection only
ATP7B,Infection,1,Infection only
ATP8B3,Infection,1,Infection only
ATP8B5P,Infection,1,Infection only
ATXN3,Infection,1,Infection only
ATXN7L3B,Infection,1,Infection only
AUNIP,Infection,1,Infection only
AVPR1A,Infection,1,Infection only
AXIN1,Infection,1,Infection only
B3GALNT1,Infection,1,Infection only
B3GALT2,Infection,1,Infection only
B3GALT4,Infection,1,Infection only
B3GNT4,Infection,1,Infection only
B3GNT8,Infection,1,Infection only
BACH1,Infection,1,Infection only
BACH1-IT2,Infection,1,Infection only
BAG1,Infection,1,Infection only
BAHD1,Infection,1,Infection only
BANF1,Infection,1,Infection only
BARD1,Infection,1,Infection only
BBS1,Infection,1,Infection only
BBS12,Infection,1,Infection only
BBS2,Infection,1,Infection only
BCAM,Infection,1,Infection only
BCDIN3D,Infection,1,Infection only
BCKDHA,Infection,1,Infection only
BCL2L1,Infection,1,Infection only
BCL2L11,Infection,1,Infection only
BCL2L14,Infection,1,Infection only
BCL2L2,Infection,1,Infection only
BCL6B,Infection,1,Infection only
BCL7B,Infection,1,Infection only
BDH1,Infection,1,Infection only
BDH2,Infection,1,Infection only
BDNF,Infection,1,Infection only
BEND3,Infection,1,Infection only
BEND6,Infection,1,Infection only
BEST3,Infection,1,Infection only
BFSP1,Infection,1,Infection only
BID,Infection,1,Infection only
BIN3-IT1,Infection,1,Infection only
BIRC2,Infection,1,Infection only
BIRC3,Infection,1,Infection only
BLOC1S4,Infection,1,Infection only
BLOC1S6,Infection,1,Infection only
BMP1,Infection,1,Infection only
BMP10,Infection,1,Infection only
BOD1,Infection,1,Infection only
BOLA1,Infection,1,Infection only
BPGM,Infection,1,Infection only
BPNT1,Infection,1,Infection only
BRCA1,Infection,1,Infection only
BRD2,Infection,1,Infection only
BRE,Infection,1,Infection only
BRE-AS1,Infection,1,Infection only
BRICD5,Infection,1,Infection only
BRK1,Infection,1,Infection only
BRMS1,Infection,1,Infection only
BRPF1,Infection,1,Infection only
BRWD1-IT2,Infection,1,Infection only
BTBD10,Infection,1,Infection only
BTBD3,Infection,1,Infection only
BTG2,Infection,1,Infection only
BTN3A1,Infection,1,Infection only
BTNL2,Infection,1,Infection only
BTRC,Infection,1,Infection only
C10orf95,Infection,1,Infection only
C11orf74,Infection,1,Infection only
C11orf85,Infection,1,Infection only
C12orf49,Infection,1,Infection only
C12orf66,Infection,1,Infection only
C14orf119,Infection,1,Infection only
C15orf53,Infection,1,Infection only
C15orf62,Infection,1,Infection only
C16orf86,Infection,1,Infection only
C16orf89,Infection,1,Infection only
C16orf91,Infection,1,Infection only
C17orf104,Infection,1,Infection only
C17orf107,Infection,1,Infection only
C17orf67,Infection,1,Infection only
C18orf54,Infection,1,Infection only
C19orf47,Infection,1,Infection only
C19orf52,Infection,1,Infection only
C19orf53,Infection,1,Infection only
C19orf60,Infection,1,Infection only
C19orf70,Infection,1,Infection only
C19orf73,Infection,1,Infection only
C1orf100,Infection,1,Infection only
C1orf131,Infection,1,Infection only
C1orf195,Infection,1,Infection only
C1orf43,Infection,1,Infection only
C1orf52,Infection,1,Infection only
C1orf54,Infection,1,Infection only
C22orf34,Infection,1,Infection only
C2CD2L,Infection,1,Infection only
C2orf15,Infection,1,Infection only
C2orf47,Infection,1,Infection only
C2orf50,Infection,1,Infection only
C3orf80,Infection,1,Infection only
C4orf27,Infection,1,Infection only
C4orf33,Infection,1,Infection only
C5AR2,Infection,1,Infection only
C5orf28,Infection,1,Infection only
C5orf51,Infection,1,Infection only
C6orf10,Infection,1,Infection only
C6orf120,Infection,1,Infection only
C7orf13,Infection,1,Infection only
C7orf25,Infection,1,Infection only
C7orf55,Infection,1,Infection only
C8orf58,Infection,1,Infection only
C9orf131,Infection,1,Infection only
C9orf139,Infection,1,Infection only
C9orf47,Infection,1,Infection only
C9orf69,Infection,1,Infection only
C9orf78,Infection,1,Infection only
C9orf84,Infection,1,Infection only
CA3-AS1,Infection,1,Infection only
CA5BP1,Infection,1,Infection only
CABLES2,Infection,1,Infection only
CACFD1,Infection,1,Infection only
CACNA1D,Infection,1,Infection only
CACNA2D4,Infection,1,Infection only
CALB1,Infection,1,Infection only
CALCOCO2,Infection,1,Infection only
CALCRL,Infection,1,Infection only
CALD1,Infection,1,Infection only
CALM2,Infection,1,Infection only
CALY,Infection,1,Infection only
CAMKK1,Infection,1,Infection only
CAMSAP1,Infection,1,Infection only
CAMSAP3,Infection,1,Infection only
CAND1,Infection,1,Infection only
CAP1,Infection,1,Infection only
CAPN10-AS1,Infection,1,Infection only
CAPN8,Infection,1,Infection only
CARF,Infection,1,Infection only
CARS,Infection,1,Infection only
CASD1,Infection,1,Infection only
CASP2,Infection,1,Infection only
CASZ1,Infection,1,Infection only
CATIP-AS2,Infection,1,Infection only
CATSPER1,Infection,1,Infection only
CBFA2T2,Infection,1,Infection only
CBWD2,Infection,1,Infection only
CBX1,Infection,1,Infection only
CBX2,Infection,1,Infection only
CBX3P2,Infection,1,Infection only
CCAT1,Infection,1,Infection only
CCDC101,Infection,1,Infection only
CCDC12,Infection,1,Infection only
CCDC120,Infection,1,Infection only
CCDC130,Infection,1,Infection only
CCDC137,Infection,1,Infection only
CCDC14,Infection,1,Infection only
CCDC148,Infection,1,Infection only
CCDC15,Infection,1,Infection only
CCDC153,Infection,1,Infection only
CCDC162P,Infection,1,Infection only
CCDC167,Infection,1,Infection only
CCDC171,Infection,1,Infection only
CCDC22,Infection,1,Infection only
CCDC50,Infection,1,Infection only
CCDC51,Infection,1,Infection only
CCDC7,Infection,1,Infection only
CCDC73,Infection,1,Infection only
CCDC80,Infection,1,Infection only
CCDC83,Infection,1,Infection only
CCDC87,Infection,1,Infection only
CCDC88A,Infection,1,Infection only
CCL25,Infection,1,Infection only
CCL27,Infection,1,Infection only
CCNJL,Infection,1,Infection only
CCP110,Infection,1,Infection only
CCT6B,Infection,1,Infection only
CCT6P3,Infection,1,Infection only
CCT7,Infection,1,Infection only
CD109,Infection,1,Infection only
CD180,Infection,1,Infection only
CD226,Infection,1,Infection only
CD2AP,Infection,1,Infection only
CD52,Infection,1,Infection only
CD69,Infection,1,Infection only
CDC23,Infection,1,Infection only
CDC37,Infection,1,Infection only
CDC42BPA,Infection,1,Infection only
CDC42BPB,Infection,1,Infection only
CDC42EP4,Infection,1,Infection only
CDC5L,Infection,1,Infection only
CDCA4,Infection,1,Infection only
CDCA7L,Infection,1,Infection only
CDCP1,Infection,1,Infection only
CDH2,Infection,1,Infection only
CDH3,Infection,1,Infection only
CDK19,Infection,1,Infection only
CDK2AP2,Infection,1,Infection only
CDPF1,Infection,1,Infection only
CDR2L,Infection,1,Infection only
CEACAM21,Infection,1,Infection only
CEACAM3,Infection,1,Infection only
CEBPA,Infection,1,Infection only
CEBPA-AS1,Infection,1,Infection only
CECR2,Infection,1,Infection only
CECR5,Infection,1,Infection only
CEL,Infection,1,Infection only
CELA2B,Infection,1,Infection only
CELF2,Infection,1,Infection only
CEMIP,Infection,1,Infection only
CEMP1,Infection,1,Infection only
CEP128,Infection,1,Infection only
CEP78,Infection,1,Infection only
CEP85,Infection,1,Infection only
CES3,Infection,1,Infection only
CETP,Infection,1,Infection only
CFAP43,Infection,1,Infection only
CFAP44,Infection,1,Infection only
CH17-340M24.3,Infection,1,Infection only
CHAC2,Infection,1,Infection only
CHAD,Infection,1,Infection only
CHAF1B,Infection,1,Infection only
CHCHD1,Infection,1,Infection only
CHCHD10,Infection,1,Infection only
CHD3,Infection,1,Infection only
CHD4,Infection,1,Infection only
CHD5,Infection,1,Infection only
CHDH,Infection,1,Infection only
CHID1,Infection,1,Infection only
CHMP1A,Infection,1,Infection only
CHMP1B2P,Infection,1,Infection only
CHMP2A,Infection,1,Infection only
CHMP4C,Infection,1,Infection only
CHP1,Infection,1,Infection only
CHPF,Infection,1,Infection only
CHST14,Infection,1,Infection only
CHST15,Infection,1,Infection only
CHST7,Infection,1,Infection only
CHTF8,Infection,1,Infection only
CHURC1,Infection,1,Infection only
CIC,Infection,1,Infection only
CIPC,Infection,1,Infection only
CKB,Infection,1,Infection only
CKS1B,Infection,1,Infection only
CLDN11,Infection,1,Infection only
CLDN6,Infection,1,Infection only
CLDN7,Infection,1,Infection only
CLEC17A,Infection,1,Infection only
CLEC1A,Infection,1,Infection only
CLEC3B,Infection,1,Infection only
CLIC2,Infection,1,Infection only
CLIP3,Infection,1,Infection only
CLMN,Infection,1,Infection only
CLPP,Infection,1,Infection only
CMSS1,Infection,1,Infection only
CMTM3,Infection,1,Infection only
CMTM5,Infection,1,Infection only
CMTM6,Infection,1,Infection only
CMTM8,Infection,1,Infection only
CNN1,Infection,1,Infection only
CNN3,Infection,1,Infection only
CNNM3,Infection,1,Infection only
CNPY4,Infection,1,Infection only
CNTN4-AS1,Infection,1,Infection only
CNTNAP3,Infection,1,Infection only
COA4,Infection,1,Infection only
COA7,Infection,1,Infection only
COG8,Infection,1,Infection only
COL23A1,Infection,1,Infection only
COL24A1,Infection,1,Infection only
COL4A1,Infection,1,Infection only
COL6A3,Infection,1,Infection only
COL8A2,Infection,1,Infection only
COLCA2,Infection,1,Infection only
COLEC12,Infection,1,Infection only
COMMD10,Infection,1,Infection only
COMMD3,Infection,1,Infection only
COPB2,Infection,1,Infection only
COPE,Infection,1,Infection only
COQ3,Infection,1,Infection only
COQ7,Infection,1,Infection only
CORO2A,Infection,1,Infection only
COX10-AS1,Infection,1,Infection only
COX11,Infection,1,Infection only
COX14,Infection,1,Infection only
COX16,Infection,1,Infection only
COX19,Infection,1,Infection only
COX5A,Infection,1,Infection only
COX6B2,Infection,1,Infection only
CPNE3,Infection,1,Infection only
CPNE5,Infection,1,Infection only
CPNE6,Infection,1,Infection only
CPNE8,Infection,1,Infection only
CPNE9,Infection,1,Infection only
CPOX,Infection,1,Infection only
CPS1,Infection,1,Infection only
CPSF4,Infection,1,Infection only
CPXM1,Infection,1,Infection only
CRB1,Infection,1,Infection only
CREBL2,Infection,1,Infection only
CREG2,Infection,1,Infection only
CRHR2,Infection,1,Infection only
CRLS1,Infection,1,Infection only
CRNDE,Infection,1,Infection only
CROT,Infection,1,Infection only
CRSP8P,Infection,1,Infection only
CRTC1,Infection,1,Infection only
CRYBB1,Infection,1,Infection only
CRYGS,Infection,1,Infection only
CRYM,Infection,1,Infection only
CSF3R,Infection,1,Infection only
CSMD1,Infection,1,Infection only
CSTF2T,Infection,1,Infection only
CTAGE5,Infection,1,Infection only
CTAGE8,Infection,1,Infection only
CTC-338M12.4,Infection,1,Infection only
CTD-2201I18.1,Infection,1,Infection only
CTDP1,Infection,1,Infection only
CTDSP1,Infection,1,Infection only
CTIF,Infection,1,Infection only
CTNND2,Infection,1,Infection only
CTRL,Infection,1,Infection only
CTSB,Infection,1,Infection only
CTTNBP2,Infection,1,Infection only
CTU2,Infection,1,Infection only
CUL1,Infection,1,Infection only
CUTC,Infection,1,Infection only
CXCL16,Infection,1,Infection only
CXXC1,Infection,1,Infection only
CXorf58,Infection,1,Infection only
CYB5A,Infection,1,Infection only
CYC1,Infection,1,Infection only
CYCS,Infection,1,Infection only
CYFIP1,Infection,1,Infection only
CYFIP2,Infection,1,Infection only
CYP2B7P,Infection,1,Infection only
CYP3A4,Infection,1,Infection only
CYP4F12,Infection,1,Infection only
CYR61,Infection,1,Infection only
DAAM1,Infection,1,Infection only
DAB1,Infection,1,Infection only
DAB2,Infection,1,Infection only
DACT3,Infection,1,Infection only
DAZAP1,Infection,1,Infection only
DAZAP2,Infection,1,Infection only
DBF4B,Infection,1,Infection only
DCAF11,Infection,1,Infection only
DCHS2,Infection,1,Infection only
DCTN2,Infection,1,Infection only
DCTPP1,Infection,1,Infection only
DCUN1D1,Infection,1,Infection only
DCXR,Infection,1,Infection only
DDB1,Infection,1,Infection only
DDI1,Infection,1,Infection only
DDIT4,Infection,1,Infection only
DDIT4L,Infection,1,Infection only
DDO,Infection,1,Infection only
DDX11L1,Infection,1,Infection only
DDX21,Infection,1,Infection only
DDX27,Infection,1,Infection only
DDX3X,Infection,1,Infection only
DDX51,Infection,1,Infection only
DDX55,Infection,1,Infection only
DEAF1,Infection,1,Infection only
DEAR,Infection,1,Infection only
DEGS1,Infection,1,Infection only
DENND1C,Infection,1,Infection only
DENND6A,Infection,1,Infection only
DERA,Infection,1,Infection only
DERL3,Infection,1,Infection only
DGCR2,Infection,1,Infection only
DGCR6,Infection,1,Infection only
DGKE,Infection,1,Infection only
DHODH,Infection,1,Infection only
DHRS11,Infection,1,Infection only
DHTKD1,Infection,1,Infection only
DIAPH2,Infection,1,Infection only
DICER1,Infection,1,Infection only
DIRC2,Infection,1,Infection only
DIS3L,Infection,1,Infection only
DIXDC1,Infection,1,Infection only
DKFZP586I1420,Infection,1,Infection only
DLC1,Infection,1,Infection only
DLGAP1-AS1,Infection,1,Infection only
DLGAP2,Infection,1,Infection only
DLGAP4-AS1,Infection,1,Infection only
DLK2,Infection,1,Infection only
DLX4,Infection,1,Infection only
DMTN,Infection,1,Infection only
DNA2,Infection,1,Infection only
DNAH10,Infection,1,Infection only
DNAH12,Infection,1,Infection only
DNAH8,Infection,1,Infection only
DNAJB1,Infection,1,Infection only
DNAJB6,Infection,1,Infection only
DNAJC2,Infection,1,Infection only
DNAJC3-AS1,Infection,1,Infection only
DNAJC9-AS1,Infection,1,Infection only
DNAL1,Infection,1,Infection only
DNAL4,Infection,1,Infection only
DND1,Infection,1,Infection only
DNLZ,Infection,1,Infection only
DNM3,Infection,1,Infection only
DNM3OS,Infection,1,Infection only
DNMT3B,Infection,1,Infection only
DNMT3L,Infection,1,Infection only
DNPEP,Infection,1,Infection only
DNPH1,Infection,1,Infection only
DOC2A,Infection,1,Infection only
DOCK3,Infection,1,Infection only
DPEP2,Infection,1,Infection only
DPH3P1,Infection,1,Infection only
DPH5,Infection,1,Infection only
DPM2,Infection,1,Infection only
DPPA3,Infection,1,Infection only
DPY30,Infection,1,Infection only
DRC7,Infection,1,Infection only
DSEL,Infection,1,Infection only
DSP,Infection,1,Infection only
DTNBP1,Infection,1,Infection only
DTWD2,Infection,1,Infection only
DTX2P1-UPK3BP1-PMS2P11,Infection,1,Infection only
DUOXA1,Infection,1,Infection only
DUS1L,Infection,1,Infection only
DUSP10,Infection,1,Infection only
DUSP16,Infection,1,Infection only
DUSP18,Infection,1,Infection only
DUSP4,Infection,1,Infection only
DUSP5,Infection,1,Infection only
DVL2,Infection,1,Infection only
DYNLL2,Infection,1,Infection only
DYNLT1,Infection,1,Infection only
DYNLT3,Infection,1,Infection only
DYRK3,Infection,1,Infection only
DYRK4,Infection,1,Infection only
E2F4,Infection,1,Infection only
EBF3,Infection,1,Infection only
EBI3,Infection,1,Infection only
ECD,Infection,1,Infection only
ECE1,Infection,1,Infection only
ECI1,Infection,1,Infection only
ECI2,Infection,1,Infection only
EDNRB-AS1,Infection,1,Infection only
EED,Infection,1,Infection only
EEF1D,Infection,1,Infection only
EFCAB14-AS1,Infection,1,Infection only
EFCAB5,Infection,1,Infection only
EFEMP2,Infection,1,Infection only
EFHC2,Infection,1,Infection only
EFHD1,Infection,1,Infection only
EFHD2,Infection,1,Infection only
EFNA2,Infection,1,Infection only
EFR3B,Infection,1,Infection only
EFTUD1P1,Infection,1,Infection only
EGFL8,Infection,1,Infection only
EGLN3,Infection,1,Infection only
EGR2,Infection,1,Infection only
EHD1,Infection,1,Infection only
EHD2,Infection,1,Infection only
EHD3,Infection,1,Infection only
EHD4,Infection,1,Infection only
EID2,Infection,1,Infection only
EIF2AK3,Infection,1,Infection only
EIF2S1,Infection,1,Infection only
EIF4EBP1,Infection,1,Infection only
EIF4G3,Infection,1,Infection only
ELAC1,Infection,1,Infection only
ELAVL4,Infection,1,Infection only
ELK4,Infection,1,Infection only
ELMO1,Infection,1,Infection only
ELMO3,Infection,1,Infection only
ELOVL7,Infection,1,Infection only
ELP2,Infection,1,Infection only
EMC10,Infection,1,Infection only
EMC4,Infection,1,Infection only
EME1,Infection,1,Infection only
EMILIN2,Infection,1,Infection only
EMP3,Infection,1,Infection only
ENHO,Infection,1,Infection only
