genes,condition,log2fold_change,direction,meta_p,fdr,bioprocess
MPC2,"BBIBP (V3, D07)",-0.4083851103555779,NEUTRAL,1.1120103509082632e-4,0.0068219178183694384,Other
MPC2,"BBIBP (V3, D14)",-0.48375201579134064,NEUTRAL,4.9945819549402015e-6,6.56904630896832e-4,Other
MPC2,"BBIBP (V3, D28)",-0.397330236551243,NEUTRAL,1.700134434928327e-4,0.009309554364553732,Other
MPC2,"BNT-I (D26, mild)",-0.974387274046927,NEUTRAL,8.450161290500677e-5,0.005572051172795422,Other
MPC2,"BNT-I (D26, severe)",-1.2292506938398318,DOWN,4.410695167077649e-11,3.929916957695601e-8,Other
MPC2,"BNT-I (D51, severe)",-0.9807032172414297,NEUTRAL,7.673391963770851e-5,0.005204111559575588,Other
MPC2,"BNT-I-BNT (D51, severe)",-0.964640457553156,NEUTRAL,9.496483382511125e-5,0.006078089166062368,Other
MPC2,"I (D26, moderate)",-1.097295823048489,DOWN,4.044778952894316e-12,4.9799160879244455e-9,Other
MPC2,"I (D26, severe)",-1.2243574713803687,DOWN,4.511925777011554e-11,4.001309997238794e-8,Other
MPC2,"I (D51, moderate)",-1.2793895452586967,DOWN,6.4271716585434264e-12,7.559669606580642e-9,Other
MPC2,"I (D51, severe)",-0.9711503033396732,NEUTRAL,1.4853870603568213e-7,3.935657144624187e-5,Other
MPC2,"ZF2001 (V3, D07)",-0.4989159174987931,NEUTRAL,3.0488229129697274e-6,4.4916055116961525e-4,Other
MPC2,"ZF2001 (V3, D14)",-0.41222032701578654,NEUTRAL,1.0222364662940532e-4,0.0064123710514957626,Other
MPC2,"ZF2001 (V3, D28)",-0.36225548174068095,NEUTRAL,6.314250620436655e-4,0.02378753826078974,Other
MPDU1,"ChAd (V1, D3)",0.4144718852268283,NEUTRAL,1.5365034283955998e-13,2.817480689924613e-10,Other
MPDZ,"BNT-MO (V3, D1)",1.7990034423483265,UP,0.0018164975886966737,0.049231763644867185,Other
MPDZ,"I (D26, moderate)",-4.876599453650464,DOWN,0.0012788170638245542,0.03890336076963122,Other
MPEG1,"ChAd (V1, D3)",0.3660191898071193,NEUTRAL,5.323872295655896e-5,0.003963828428178747,Other
MPEG1,"ChAd-BNT (V2, D3)",0.4068239947168054,NEUTRAL,3.3244121285181847e-4,0.01510260930846242,Other
MPEG1,"I (D10, severe)",-1.7196891069789138,DOWN,1.2993170220487725e-6,2.3062719014411146e-4,Other
MPG,"I (D10, severe)",-1.9692239767691198,DOWN,9.885265029237126e-4,0.0325668572361774,Other
MPHOSPH10,"ChAd (V1, D7)",0.22922282601914268,NEUTRAL,3.4359365172700703e-6,4.918967038717743e-4,Other
MPHOSPH6,BNT-I (D1),-0.6913836127862415,NEUTRAL,0.0011578974137245,0.03639263548242928,Other
MPHOSPH6,"BNT-I (D10, mild)",1.3974548949066605,UP,4.4488049733169843e-4,0.018546880121411348,Other
MPHOSPH6,"I (D51, severe)",1.0450880256411985,UP,4.3632683876645935e-4,0.018305140084436865,Other
MPHOSPH8,"ChAd-BNT (V2, D7)",0.23980423232489784,NEUTRAL,2.574093007583133e-4,0.012587270991602461,Other
MPHOSPH9,"ChAd-BNT (V2, D3)",0.26551349380699846,NEUTRAL,4.16657197231827e-5,0.003306528451985696,Other
MPHOSPH9,"ChAd-BNT (V2, D7)",0.3052487515400969,NEUTRAL,5.7942016250976925e-5,0.004227680149947464,Other
MPI,"BNT-I (D26, severe)",0.985570580739187,NEUTRAL,2.6391395352651545e-5,0.0023400296496086863,Other
MPI,"BNT-I (D51, severe)",1.1888257018160566,UP,1.474917231705957e-4,0.008392368458790668,Other
MPI,"BNT-I-BNT (D51, severe)",1.0272728435624403,UP,0.001039687661670076,0.033734195930731986,Other
MPI,"I (D10, moderate)",-0.780891163926185,NEUTRAL,2.0345732090357174e-4,0.010639407182984444,Other
MPI,"I (D26, moderate)",1.1801529657810077,UP,4.0781087306044776e-9,1.912980067736956e-6,Other
MPI,"I (D26, severe)",0.9519115071194056,NEUTRAL,4.870157847466965e-5,0.003717700227645929,Other
MPI,"I (D51, moderate)",0.9889850905685528,NEUTRAL,2.4399905010213666e-5,0.0022060032267747598,Other
