genes,gse_id
AIRE,GSE189039
AIRN,GSE189039
AJAP1,GSE189039
AJUBA,GSE189039
AK1,GSE189039
AK2,GSE189039
AK3,GSE189039
AK4,GSE189039
AK5,GSE189039
AK6,GSE189039
AK7,GSE189039
AK8,GSE189039
AK9,GSE189039
AKAP1,GSE189039
AKAP10,GSE189039
AKAP11,GSE189039
AKAP12,GSE189039
AKAP13,GSE189039
AKAP14,GSE189039
AKAP17A,GSE189039
AKAP2,GSE189039
AKAP3,GSE189039
AKAP4,GSE189039
AKAP5,GSE189039
AKAP6,GSE189039
AKAP7,GSE189039
AKAP8,GSE189039
AKAP8L,GSE189039
AKAP9,GSE189039
AKIP1,GSE189039
AKIRIN1,GSE189039
AKIRIN2,GSE189039
AKNA,GSE189039
AKNAD1,GSE189039
AKR1A1,GSE189039
AKR1B1,GSE189039
AKR1B10,GSE189039
AKR1B15,GSE189039
AKR1C1,GSE189039
AKR1C2,GSE189039
AKR1C3,GSE189039
AKR1C4,GSE189039
AKR1C6P,GSE189039
AKR1C8P,GSE189039
AKR1D1,GSE189039
AKR1E2,GSE189039
AKR7A2,GSE189039
AKR7A2P1,GSE189039
AKR7A3,GSE189039
AKR7L,GSE189039
AKT1,GSE189039
AKT1S1,GSE189039
AKT2,GSE189039
AKT3,GSE189039
AKTIP,GSE189039
ALAD,GSE189039
ALAS1,GSE189039
ALAS2,GSE189039
ALB,GSE189039
ALCAM,GSE189039
ALDH16A1,GSE189039
ALDH18A1,GSE189039
ALDH1A1,GSE189039
ALDH1A2,GSE189039
ALDH1A3,GSE189039
ALDH1B1,GSE189039
ALDH1L1,GSE189039
ALDH1L1-AS1,GSE189039
ALDH1L1-AS2,GSE189039
ALDH1L2,GSE189039
ALDH2,GSE189039
ALDH3A1,GSE189039
ALDH3A2,GSE189039
ALDH3B1,GSE189039
ALDH3B2,GSE189039
ALDH4A1,GSE189039
ALDH5A1,GSE189039
ALDH6A1,GSE189039
ALDH7A1,GSE189039
ALDH8A1,GSE189039
ALDH9A1,GSE189039
ALDOA,GSE189039
ALDOB,GSE189039
ALDOC,GSE189039
ALG1,GSE189039
ALG10,GSE189039
ALG10B,GSE189039
ALG11,GSE189039
ALG12,GSE189039
ALG13,GSE189039
ALG14,GSE189039
ALG1L,GSE189039
ALG1L2,GSE189039
ALG1L9P,GSE189039
ALG2,GSE189039
ALG3,GSE189039
ALG5,GSE189039
ALG6,GSE189039
ALG8,GSE189039
ALG9,GSE189039
ALK,GSE189039
ALKBH1,GSE189039
ALKBH2,GSE189039
ALKBH3,GSE189039
ALKBH3-AS1,GSE189039
ALKBH4,GSE189039
ALKBH5,GSE189039
ALKBH6,GSE189039
ALKBH7,GSE189039
ALKBH8,GSE189039
ALLC,GSE189039
ALMS1,GSE189039
ALMS1-IT1,GSE189039
ALMS1P,GSE189039
ALOX12,GSE189039
ALOX12-AS1,GSE189039
ALOX12B,GSE189039
ALOX12P2,GSE189039
ALOX15,GSE189039
ALOX15B,GSE189039
ALOX15P1,GSE189039
ALOX5,GSE189039
ALOX5AP,GSE189039
ALOXE3,GSE189039
ALPI,GSE189039
ALPK1,GSE189039
ALPK2,GSE189039
ALPK3,GSE189039
ALPL,GSE189039
ALPP,GSE189039
ALPPL2,GSE189039
ALS2,GSE189039
ALS2CL,GSE189039
ALS2CR11,GSE189039
ALS2CR12,GSE189039
ALX1,GSE189039
ALX3,GSE189039
ALX4,GSE189039
ALYREF,GSE189039
AMACR,GSE189039
AMBN,GSE189039
AMBP,GSE189039
AMBRA1,GSE189039
AMD1,GSE189039
AMDHD1,GSE189039
AMDHD2,GSE189039
AMELX,GSE189039
AMELY,GSE189039
AMER1,GSE189039
AMER2,GSE189039
AMER3,GSE189039
AMFR,GSE189039
AMH,GSE189039
AMHR2,GSE189039
AMICA1,GSE189039
AMIGO1,GSE189039
AMIGO2,GSE189039
AMIGO3,GSE189039
AMMECR1,GSE189039
AMMECR1L,GSE189039
AMN,GSE189039
AMN1,GSE189039
AMOT,GSE189039
AMOTL1,GSE189039
AMOTL2,GSE189039
AMPD1,GSE189039
AMPD2,GSE189039
AMPD3,GSE189039
AMPH,GSE189039
AMT,GSE189039
AMTN,GSE189039
AMY1A,GSE189039
AMY1B,GSE189039
AMY1C,GSE189039
AMY2A,GSE189039
AMY2B,GSE189039
AMZ1,GSE189039
AMZ2,GSE189039
AMZ2P1,GSE189039
ANAPC1,GSE189039
ANAPC10,GSE189039
ANAPC11,GSE189039
ANAPC13,GSE189039
ANAPC15,GSE189039
ANAPC16,GSE189039
ANAPC1P1,GSE189039
ANAPC2,GSE189039
ANAPC4,GSE189039
ANAPC5,GSE189039
ANAPC7,GSE189039
ANG,GSE189039
ANGEL1,GSE189039
ANGEL2,GSE189039
ANGPT1,GSE189039
ANGPT2,GSE189039
ANGPT4,GSE189039
ANGPTL1,GSE189039
ANGPTL2,GSE189039
ANGPTL3,GSE189039
ANGPTL4,GSE189039
ANGPTL5,GSE189039
ANGPTL6,GSE189039
ANGPTL7,GSE189039
ANHX,GSE189039
ANK1,GSE189039
ANK2,GSE189039
ANK3,GSE189039
ANKAR,GSE189039
ANKDD1A,GSE189039
ANKDD1B,GSE189039
ANKEF1,GSE189039
ANKFN1,GSE189039
ANKFY1,GSE189039
ANKH,GSE189039
ANKHD1,GSE189039
ANKHD1-EIF4EBP3,GSE189039
ANKIB1,GSE189039
ANKK1,GSE189039
ANKLE1,GSE189039
ANKLE2,GSE189039
ANKMY1,GSE189039
ANKMY2,GSE189039
ANKRA2,GSE189039
ANKRD1,GSE189039
ANKRD10,GSE189039
ANKRD11,GSE189039
ANKRD12,GSE189039
ANKRD13A,GSE189039
ANKRD13B,GSE189039
ANKRD13C,GSE189039
ANKRD13D,GSE189039
ANKRD16,GSE189039
ANKRD17,GSE189039
ANKRD18A,GSE189039
ANKRD18B,GSE189039
ANKRD18DP,GSE189039
ANKRD19P,GSE189039
ANKRD2,GSE189039
ANKRD20A1,GSE189039
ANKRD20A11P,GSE189039
ANKRD20A12P,GSE189039
ANKRD20A19P,GSE189039
ANKRD20A2,GSE189039
ANKRD20A3,GSE189039
ANKRD20A4,GSE189039
ANKRD20A5P,GSE189039
ANKRD20A8P,GSE189039
ANKRD20A9P,GSE189039
ANKRD22,GSE189039
ANKRD23,GSE189039
ANKRD24,GSE189039
ANKRD26,GSE189039
ANKRD26P1,GSE189039
ANKRD26P3,GSE189039
ANKRD27,GSE189039
ANKRD28,GSE189039
ANKRD29,GSE189039
ANKRD30A,GSE189039
ANKRD30B,GSE189039
ANKRD30BL,GSE189039
ANKRD30BP2,GSE189039
ANKRD30BP3,GSE189039
ANKRD31,GSE189039
ANKRD32,GSE189039
ANKRD33,GSE189039
ANKRD33B,GSE189039
ANKRD34A,GSE189039
ANKRD34B,GSE189039
ANKRD34C,GSE189039
ANKRD34C-AS1,GSE189039
ANKRD35,GSE189039
ANKRD36,GSE189039
ANKRD36B,GSE189039
ANKRD36BP1,GSE189039
ANKRD36BP2,GSE189039
ANKRD36C,GSE189039
ANKRD37,GSE189039
ANKRD39,GSE189039
ANKRD40,GSE189039
ANKRD42,GSE189039
ANKRD44,GSE189039
ANKRD44-IT1,GSE189039
ANKRD45,GSE189039
ANKRD46,GSE189039
ANKRD49,GSE189039
ANKRD50,GSE189039
ANKRD52,GSE189039
ANKRD53,GSE189039
ANKRD54,GSE189039
ANKRD55,GSE189039
ANKRD6,GSE189039
ANKRD60,GSE189039
ANKRD61,GSE189039
ANKRD62,GSE189039
ANKRD62P1-PARP4P3,GSE189039
ANKRD63,GSE189039
ANKRD65,GSE189039
ANKRD66,GSE189039
ANKRD7,GSE189039
ANKRD9,GSE189039
ANKS1A,GSE189039
ANKS1B,GSE189039
ANKS3,GSE189039
ANKS4B,GSE189039
ANKS6,GSE189039
ANKUB1,GSE189039
ANKZF1,GSE189039
ANLN,GSE189039
ANO1,GSE189039
ANO1-AS2,GSE189039
ANO10,GSE189039
ANO2,GSE189039
ANO3,GSE189039
ANO4,GSE189039
ANO5,GSE189039
ANO6,GSE189039
ANO7,GSE189039
ANO8,GSE189039
ANO9,GSE189039
ANOS1,GSE189039
ANP32A,GSE189039
ANP32A-IT1,GSE189039
ANP32AP1,GSE189039
ANP32B,GSE189039
ANP32C,GSE189039
ANP32D,GSE189039
ANP32E,GSE189039
ANPEP,GSE189039
ANTXR1,GSE189039
ANTXR2,GSE189039
ANTXRL,GSE189039
ANTXRLP1,GSE189039
ANXA1,GSE189039
ANXA10,GSE189039
ANXA11,GSE189039
ANXA13,GSE189039
ANXA2,GSE189039
ANXA2P1,GSE189039
ANXA2P2,GSE189039
ANXA2P3,GSE189039
ANXA2R,GSE189039
ANXA3,GSE189039
ANXA4,GSE189039
ANXA5,GSE189039
ANXA6,GSE189039
ANXA7,GSE189039
ANXA8,GSE189039
ANXA8L1,GSE189039
ANXA9,GSE189039
AOAH,GSE189039
AOAH-IT1,GSE189039
AOC1,GSE189039
AOC2,GSE189039
AOC3,GSE189039
AOC4P,GSE189039
