genes,cos2,dimension
RAG1,0.7135641557078676,NA
ST6GAL1,0.7120105306866998,NA
ATP8B2,0.7111056329716317,NA
APOBEC3A,0.7104036880122528,NA
ASPH,0.707604931080741,NA
TM6SF1,0.7071672634694114,NA
FCER1G,0.706634056149028,NA
RNASE3,0.706049689016468,NA
PADI4,0.7059740481660749,NA
SIRPG,0.7049912628142935,NA
TRIM64B,0.7046396415440456,NA
RORC,0.7041501082518729,NA
SH2D2A,0.7039819421337228,NA
FKBP1A,0.7031190881928673,NA
ANXA1,0.7030570850595806,NA
ZC3H8,0.7012936456050833,NA
CD177,0.6989242819745587,NA
CORO2A,0.6985552115670582,NA
SLAMF1,0.6982794750669272,NA
ADAM9,0.6972211987209029,NA
CH25H,0.6955217263466099,NA
VNN2,0.6949482029070738,NA
JAG1,0.6948822254832872,NA
CRTAM,0.6947729828360498,NA
APBB1,0.6926904511134434,NA
SVIL,0.6921105516435304,NA
CD81,0.6904237311076777,NA
GPR157,0.690244545051458,NA
ITK,0.6901845639536097,NA
CCND3,0.6892448683472109,NA
TCF7,0.6886683274938115,NA
HLA-C,0.6884929771378705,NA
IL1R2,0.6884279302323207,NA
HLA-E,0.6881716312149864,NA
ANKHD1,0.6850419935475837,NA
NCF2,0.684768281772027,NA
IFNGR1,0.6829660139259983,NA
FAM43A,0.6816427698766129,NA
SARM1,0.6816281482497911,NA
NFKBIA,0.6802218296543201,NA
CXCR3,0.679509361720413,NA
CEBPB,0.6794859683876301,NA
BCL10,0.6785130736009063,NA
LAPTM5,0.6783508989730016,NA
MS4A2,0.6752277374062335,NA
RASGRP1,0.675195780949207,NA
CRISPLD2,0.6747951031327234,NA
RBM47,0.6746517498096153,NA
LRRC8A,0.6745192164369888,NA
PTH2R,0.6735430449842761,NA
WDFY3,0.6725703083939611,NA
DENND3,0.6725073546481293,NA
KLF5,0.6723363618604188,NA
IFITM2,0.668118623670339,NA
DPP4,0.6674855043171948,NA
NPL,0.6661430219597849,NA
TRIB1,0.6660629827696765,NA
STEAP4,0.6657776679634704,NA
GPR171,0.6650304404432151,NA
HRH4,0.6649764251868665,NA
IGFBP7,0.664570170851054,NA
TBXAS1,0.6622028455472674,NA
TOX,0.6599224236823138,NA
PTPN2,0.659155745076595,NA
SH2B1,0.6590499975810822,NA
SLC36A1,0.6589820418187476,NA
TARM1,0.6573908275299063,NA
CACNB3,0.654621896700113,NA
GPM6B,0.6542886394506654,NA
ANO10,0.6541921145281895,NA
DRAM1,0.6532942634305958,NA
FZD5,0.6532179837328165,NA
ETS1,0.6530656706473918,NA
CAMK4,0.6519108411631219,NA
IL4R,0.6517548635563184,NA
ABLIM1,0.6513283652228616,NA
DTX3,0.6511552288559082,NA
APBB1IP,0.6510282484356812,NA
VIM,0.6506821825539547,NA
BASP1,0.6503347421954054,NA
PTPRC,0.6497538123933708,NA
PYHIN1,0.6490163274651843,NA
LRRC4,0.6480027288129343,NA
LEF1,0.6478532565535785,NA
BIN2,0.647174120982985,NA
IL32,0.6466469900243392,NA
PARP9,0.6458853314070827,NA
CD160,0.6448115227729307,NA
CDKN2B,0.644252702202635,NA
PTPRJ,0.6432981789105134,NA
NAV1,0.6429607973017633,NA
SKAP1,0.6427160764799889,NA
SLPI,0.6426344415031368,NA
C1R,0.6421519947494155,NA
