genes,cos2,dimension
AGPAT3,0.5710559579006027,NA
SELL,0.570571051335994,NA
GSN,0.5704917492744106,NA
SIRPA,0.5701116355662335,NA
SLC8A1,0.5696420393306794,NA
CNR2,0.5696420017288297,NA
NPL,0.569032910859245,NA
SPI1,0.5665399639870355,NA
BLVRB,0.5662798864621332,NA
IFITM1,0.5660376839527891,NA
P2RY6,0.5656785577876002,NA
PFKFB4,0.5654677559129867,NA
CASP1,0.5649292663179142,NA
KIT,0.564681507971785,NA
CD34,0.5643981920383552,NA
IL12RB1,0.5641639418679385,NA
C2,0.5625205595504534,NA
AP1S2,0.5614076213264492,NA
MYO7B,0.5613668016463664,NA
AXL,0.5612068543327582,NA
LRRC25,0.5611904846499262,NA
IL15RA,0.5608900114938954,NA
HEPH,0.5598848834335058,NA
OAS3,0.5597764845721389,NA
POU2F2,0.5584134051714751,NA
FGR,0.5583811771502432,NA
ANXA5,0.5582198969249855,NA
PTPN2,0.5582170727091603,NA
P2RX5,0.558138501943934,NA
MSR1,0.5577919010732865,NA
TTYH2,0.557202712415226,NA
MYD88,0.5571263186466433,NA
CD86,0.5556967119020848,NA
ISG15,0.5540066722614305,NA
FGD4,0.5535393234894211,NA
RASSF4,0.5531722632368582,NA
RNASE2,0.5530064482343813,NA
KLF8,0.5506214072075252,NA
GBP1,0.5494609704566903,NA
PTPRK,0.5478451179954641,NA
LILRB1,0.5463899837467622,NA
MFSD6,0.5453052854594317,NA
AIM2,0.5450609419378417,NA
JAM2,0.5448660708165659,NA
CLIP4,0.5444572053847241,NA
STXBP4,0.5439139134739672,NA
SMPDL3A,0.5438964684611457,NA
HPSE,0.5429142346880579,NA
PLAUR,0.5423435595216846,NA
HLA-DQA1,0.5410487548202205,NA
IFNGR2,0.5407136872157633,NA
SLC27A3,0.5401074294426941,NA
FCER2,0.5394963521603586,NA
IL27,0.5392075395958814,NA
LILRB4,0.5391286836969321,NA
DDX60,0.5389845509209286,NA
CPVL,0.538871740842342,NA
MNDA,0.5387182272677595,NA
RHOA,0.534366442080237,NA
EPHB2,0.5343425450316621,NA
MPEG1,0.5338117551603732,NA
IL18,0.5329854565422381,NA
PRRG4,0.5311119126278837,NA
MFSD1,0.5310025628525425,NA
LTBR,0.5308064875135386,NA
GRINA,0.5295743692295244,NA
LPCAT2,0.5284227381732299,NA
CFB,0.5278202812155358,NA
C1orf162,0.5277057452739107,NA
RRAGD,0.5268991442884287,NA
MX2,0.5242710306456535,NA
LY96,0.5231473586768373,NA
TNFSF10,0.521635622870859,NA
CDA,0.5200552770641006,NA
BTNL9,0.5198914900437472,NA
VASP,0.5192690187244128,NA
RIN2,0.5192296819782958,NA
ABCB4,0.5187755186135427,NA
HBEGF,0.5180959871212811,NA
PECAM1,0.5172081439652688,NA
TLR10,0.5159018241365548,NA
IRF7,0.5157712288231151,NA
SLC1A3,0.5155964895590505,NA
TNR,0.5147919913748182,NA
MARCO,0.5145755500640594,NA
TICAM1,0.5141606792692444,NA
IL10RB,0.5126313412731085,NA
OAS2,0.5125570917083592,NA
PARP9,0.5124681354739582,NA
IL1B,0.5119105582196868,NA
TIMP2,0.5113998883355687,NA
EIF2AK2,0.5105133057822531,NA
STXBP2,0.5101383110571754,NA
RSAD2,0.5086233303036836,NA
SLC7A7,0.5083067406886407,NA
PRKCD,0.5071927716314624,NA
FKBP1A,0.5067516976439643,NA
GRAMD1C,0.5063421183328912,NA
RNF130,0.5058590534558918,NA
CYFIP1,0.5052870868452926,NA
PLEKHG1,0.5050920763587422,NA
RASGRP4,0.5048304211380612,NA
HLA-DOB,0.5046146574695709,NA
CXCL10,0.5042721966666426,NA
KIAA0513,0.5040023114156811,NA
RPS6KA1,0.5033953033820788,NA
CACNB4,0.5028577871601017,NA
BRI3,0.5021502989521291,NA
TNS3,0.5018840928598552,NA
IRF9,0.5015348894708704,NA
ADAM8,0.621033982922508,PC2
ADGRG3,0.6818400568108385,PC2
AKT1,0.5169847646662507,PC2
ALPL,0.7661837022220727,PC2
AP3B1,0.5025417219052666,PC2
APEH,0.5066552921364262,PC2
ARHGEF5,0.5356245442682622,PC2
ATP9A,0.6721176877448239,PC2
BASP1,0.5991262470695283,PC2
BCL11B,0.6764717626483837,PC2
BLNK,0.5689295841771762,PC2
BPIFC,0.6210339829225069,PC2
BRCA2,0.5390706849029768,PC2
BTNL8,0.8328186637136763,PC2
C17orf99,0.6112713959525108,PC2
