genes,infection_vaccination,n_conditions,comparison
AXL,Infection,4,Infection only
AZU1,Infection,4,Infection only
B2M,Infection,4,Infection only
BCL2,Infection,4,Infection only
BMI1,Infection,4,Infection only
BST2,Infection,4,Infection only
BTK,Infection,4,Infection only
BTN2A1,Infection,4,Infection only
CCL5,Infection,4,Infection only
CCR1,Infection,4,Infection only
CD1B,Infection,4,Infection only
CD27,Infection,4,Infection only
CD6,Infection,4,Infection only
CD8B,Infection,4,Infection only
CDH26,Infection,4,Infection only
CDK6,Infection,4,Infection only
CEBPG,Infection,4,Infection only
CLU,Infection,4,Infection only
CNR2,Infection,4,Infection only
CR2,Infection,4,Infection only
CRTAM,Infection,4,Infection only
CTLA4,Infection,4,Infection only
CTSG,Infection,4,Infection only
CTSW,Infection,4,Infection only
CXCL1,Infection,4,Infection only
DCAF15,Infection,4,Infection only
DEFB1,Infection,4,Infection only
DHX9,Infection,4,Infection only
DNASE1,Infection,4,Infection only
ELANE,Infection,4,Infection only
EPS8,Infection,4,Infection only
ERCC1,Infection,4,Infection only
F2R,Infection,4,Infection only
FBXO38,Infection,4,Infection only
FKBP1A,Infection,4,Infection only
FLT3,Infection,4,Infection only
FUT4,Infection,4,Infection only
FUT7,Infection,4,Infection only
GAPT,Infection,4,Infection only
GATA3,Infection,4,Infection only
GCNT1,Infection,4,Infection only
GPR15,Infection,4,Infection only
GRB2,Infection,4,Infection only
GRN,Infection,4,Infection only
GTPBP1,Infection,4,Infection only
HCK,Infection,4,Infection only
HLA-F,Infection,4,Infection only
HRH2,Infection,4,Infection only
IFI35,Infection,4,Infection only
IFIT2,Infection,4,Infection only
IL12RB1,Infection,4,Infection only
IL18BP,Infection,4,Infection only
IL20RB,Infection,4,Infection only
IL4R,Infection,4,Infection only
IL7,Infection,4,Infection only
IRF9,Infection,4,Infection only
ITGA1,Infection,4,Infection only
ITPKB,Infection,4,Infection only
KMT2A,Infection,4,Infection only
LFNG,Infection,4,Infection only
LGALS9,Infection,4,Infection only
LILRB1,Infection,4,Infection only
LILRB2,Infection,4,Infection only
LIMK1,Infection,4,Infection only
LRRC8A,Infection,4,Infection only
MAPKAPK2,Infection,4,Infection only
MASP2,Infection,4,Infection only
MAVS,Infection,4,Infection only
MDK,Infection,4,Infection only
METTL3,Infection,4,Infection only
MFSD6,Infection,4,Infection only
MST1R,Infection,4,Infection only
MX2,Infection,4,Infection only
NCK1,Infection,4,Infection only
NCR3LG1,Infection,4,Infection only
NOS2,Infection,4,Infection only
OTUD7B,Infection,4,Infection only
PDE12,Infection,4,Infection only
PDE4B,Infection,4,Infection only
PIK3CA,Infection,4,Infection only
PML,Infection,4,Infection only
PRKCQ,Infection,4,Infection only
PSMB10,Infection,4,Infection only
PSMB8,Infection,4,Infection only
PTPN2,Infection,4,Infection only
PTPN6,Infection,4,Infection only
PTPRJ,Infection,4,Infection only
PYHIN1,Infection,4,Infection only
RAB27A,Infection,4,Infection only
RASGRP1,Infection,4,Infection only
RHOA,Infection,4,Infection only
RNASE4,Infection,4,Infection only
RNF19B,Infection,4,Infection only
ROMO1,Infection,4,Infection only
RPS19,Infection,4,Infection only
SARM1,Infection,4,Infection only
SDHAF4,Infection,4,Infection only
SELP,Infection,4,Infection only
SHMT2,Infection,4,Infection only
SKIL,Infection,4,Infection only
SLC11A1,Infection,4,Infection only
SLC12A2,Infection,4,Infection only
SLC18A2,Infection,4,Infection only
SMAD3,Infection,4,Infection only
SMPD1,Infection,4,Infection only
SOS1,Infection,4,Infection only
SP3,Infection,4,Infection only
SPIRE1,Infection,4,Infection only
SRP54,Infection,4,Infection only
SSC5D,Infection,4,Infection only
ST3GAL1,Infection,4,Infection only
STAT2,Infection,4,Infection only
STAT5B,Infection,4,Infection only
STXBP1,Infection,4,Infection only
SUSD4,Infection,4,Infection only
TAX1BP1,Infection,4,Infection only
TESPA1,Infection,4,Infection only
TICAM1,Infection,4,Infection only
TLR4,Infection,4,Infection only
TMEM229B,Infection,4,Infection only
TNFRSF1B,Infection,4,Infection only
TNFRSF4,Infection,4,Infection only
TNFSF10,Infection,4,Infection only
TNFSF15,Infection,4,Infection only
TNFSF8,Infection,4,Infection only
TOX,Infection,4,Infection only
TRIM23,Infection,4,Infection only
TUBB4B,Infection,4,Infection only
VAMP2,Infection,4,Infection only
VEGFA,Infection,4,Infection only
VNN1,Infection,4,Infection only
XRCC6,Infection,4,Infection only
ZAP70,Infection,4,Infection only
ZBTB46,Infection,4,Infection only
ZNF683,Infection,4,Infection only
APOBEC3F,Infection,3,Infection only
BAX,Infection,3,Infection only
BCR,Infection,3,Infection only
BTN3A2,Infection,3,Infection only
CACNB4,Infection,3,Infection only
CAV1,Infection,3,Infection only
CCL7,Infection,3,Infection only
CCND3,Infection,3,Infection only
CCR2,Infection,3,Infection only
CD164,Infection,3,Infection only
CD247,Infection,3,Infection only
CD300C,Infection,3,Infection only
CD34,Infection,3,Infection only
CD68,Infection,3,Infection only
CD7,Infection,3,Infection only
CD86,Infection,3,Infection only
CD96,Infection,3,Infection only
CHGA,Infection,3,Infection only
CHRNB2,Infection,3,Infection only
CRIP1,Infection,3,Infection only
CSF2RB,Infection,3,Infection only
CSK,Infection,3,Infection only
CTSH,Infection,3,Infection only
CTSK,Infection,3,Infection only
CXCL6,Infection,3,Infection only
CXCR5,Infection,3,Infection only
CYBA,Infection,3,Infection only
DBH,Infection,3,Infection only
DOCK8,Infection,3,Infection only
DPP4,Infection,3,Infection only
EGR1,Infection,3,Infection only
EIF2B2,Infection,3,Infection only
EPB42,Infection,3,Infection only
FAS,Infection,3,Infection only
FCGR2A,Infection,3,Infection only
FCGR2B,Infection,3,Infection only
FER,Infection,3,Infection only
FPR2,Infection,3,Infection only
GNLY,Infection,3,Infection only
GPR89A,Infection,3,Infection only
GSDMD,Infection,3,Infection only
GZMB,Infection,3,Infection only
GZMM,Infection,3,Infection only
HAMP,Infection,3,Infection only
HHEX,Infection,3,Infection only
HOXB4,Infection,3,Infection only
IDO1,Infection,3,Infection only
IFNE,Infection,3,Infection only
IL15,Infection,3,Infection only
IL32,Infection,3,Infection only
IL34,Infection,3,Infection only
IL5RA,Infection,3,Infection only
IPO7,Infection,3,Infection only
IRF2,Infection,3,Infection only
IRGM,Infection,3,Infection only
ITGA4,Infection,3,Infection only
ITGAL,Infection,3,Infection only
ITGB8,Infection,3,Infection only
KAT7,Infection,3,Infection only
KDELR1,Infection,3,Infection only
KIT,Infection,3,Infection only
KLRC3,Infection,3,Infection only
LACC1,Infection,3,Infection only
LAX1,Infection,3,Infection only
LGALS1,Infection,3,Infection only
