genes,infection_vaccination,n_conditions,comparison
MS4A4A,Infection,6,Infection only
MTOR,Infection,6,Infection only
NCF2,Infection,6,Infection only
NELL2,Infection,6,Infection only
NFE2,Infection,6,Infection only
NLRC3,Infection,6,Infection only
NLRC4,Infection,6,Infection only
NOD2,Infection,6,Infection only
NOG,Infection,6,Infection only
ORM1,Infection,6,Infection only
OSCAR,Infection,6,Infection only
OTUD7B,Infection,6,Infection only
PARP1,Infection,6,Infection only
PAWR,Infection,6,Infection only
PFKFB4,Infection,6,Infection only
PGD,Infection,6,Infection only
PIK3AP1,Infection,6,Infection only
PIK3R1,Infection,6,Infection only
PKIA,Infection,6,Infection only
PLBD1,Infection,6,Infection only
PPP2CA,Infection,6,Infection only
PPP3CA,Infection,6,Infection only
PRKCD,Infection,6,Infection only
PTGDR,Infection,6,Infection only
PTGDS,Infection,6,Infection only
PTPRCAP,Infection,6,Infection only
PTPRE,Infection,6,Infection only
PTPRJ,Infection,6,Infection only
PURA,Infection,6,Infection only
PYGL,Infection,6,Infection only
RAB6A,Infection,6,Infection only
RAG1,Infection,6,Infection only
RBP7,Infection,6,Infection only
RC3H1,Infection,6,Infection only
RELB,Infection,6,Infection only
RETN,Infection,6,Infection only
RFPL4A,Infection,6,Infection only
RHOA,Infection,6,Infection only
RHOH,Infection,6,Infection only
RNASE2,Infection,6,Infection only
RNASE3,Infection,6,Infection only
RNF135,Infection,6,Infection only
RNF144B,Infection,6,Infection only
RORC,Infection,6,Infection only
RPS6,Infection,6,Infection only
RPS6KA3,Infection,6,Infection only
RRAGD,Infection,6,Infection only
S100A12,Infection,6,Infection only
S100A7,Infection,6,Infection only
S1PR1,Infection,6,Infection only
SCPEP1,Infection,6,Infection only
SELP,Infection,6,Infection only
SERPINA1,Infection,6,Infection only
SH2B1,Infection,6,Infection only
SH2D2A,Infection,6,Infection only
SLA,Infection,6,Infection only
SLC15A4,Infection,6,Infection only
SLC18A2,Infection,6,Infection only
SLC22A4,Infection,6,Infection only
SLC24A1,Infection,6,Infection only
SLCO4C1,Infection,6,Infection only
SOS2,Infection,6,Infection only
SP100,Infection,6,Infection only
SP3,Infection,6,Infection only
SPN,Infection,6,Infection only
SPOCK2,Infection,6,Infection only
ST6GAL1,Infection,6,Infection only
SUCNR1,Infection,6,Infection only
SVIL,Infection,6,Infection only
TC2N,Infection,6,Infection only
TFE3,Infection,6,Infection only
TFF3,Infection,6,Infection only
THEMIS,Infection,6,Infection only
TIGIT,Infection,6,Infection only
TIMP2,Infection,6,Infection only
TLR2,Infection,6,Infection only
TMEM51,Infection,6,Infection only
TNF,Infection,6,Infection only
TNFAIP3,Infection,6,Infection only
TNFSF11,Infection,6,Infection only
TNR,Infection,6,Infection only
TOP2B,Infection,6,Infection only
TRAF1,Infection,6,Infection only
TRAF3IP3,Infection,6,Infection only
TREML1,Infection,6,Infection only
TRIB1,Infection,6,Infection only
TRIM65,Infection,6,Infection only
UBA7,Infection,6,Infection only
UPP1,Infection,6,Infection only
VAV2,Infection,6,Infection only
VIM,Infection,6,Infection only
WDFY3,Infection,6,Infection only
XCL1,Infection,6,Infection only
ZBTB7A,Infection,6,Infection only
ZFPM1,Infection,6,Infection only
