"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"vaccine","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","BNT","BNT","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"Immune system Process",NA,"0.6097776","8.0874889","7.6236152",NA,"1.5016211","1.8680090","0.8236412",NA,"0.8136220","7.6216977","7.9285056",NA,"6.4545197","4.4651759",NA,NA,NA,NA,NA,"0.6579939","0.7655173",NA,"0.7711531"
"Immunity Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6697395","0.6779223","0.6404912",NA,NA,NA,NA
"Induction of Bacterial agglutination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.130364",NA,NA,NA,NA,NA
"Inflammation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.130436",NA,NA
"Inflammatory response Antigenic stimulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.130436",NA,NA
"Innate immune response",NA,"0.6097776","8.0874889","7.6234592",NA,"4.5134060","4.5365654","3.0707519",NA,"1.6122001","7.5413431","7.9285056",NA,"6.4545197","4.4651759",NA,"0.6661311","0.6697395","1.6716756",NA,"1.5025986",NA,"0.8150919","0.7711531"
"Innate immune response mucosa",NA,NA,NA,NA,NA,"2.3674380","2.4946129","0.9538300",NA,"1.3813321",NA,"1.1105840",NA,NA,NA,NA,NA,"0.6697395","3.4045956","1.3857710","0.6579939","0.9915024",NA,NA
"Isotype switching IgE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9915024",NA,NA
"Killing of bacterium Neutrophil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.381332",NA,NA,"1.911212",NA,NA,NA,NA,NA,"1.039282",NA,NA,NA,NA,NA
"Killing of fungus Neutrophil",NA,NA,NA,NA,NA,NA,"1.0382559",NA,NA,NA,NA,NA,"0.6873129",NA,NA,NA,NA,NA,"1.1303637",NA,NA,NA,NA,NA
"Lineage commitment Th cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6746808",NA,NA,NA,NA,NA
"MHCII Peptide complex",NA,NA,"0.7156073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Migration Inflammatory response Leukocyte",NA,NA,NA,NA,NA,"0.8101954",NA,NA,NA,NA,NA,NA,"0.6873129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Migration Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6697395",NA,NA,NA,"1.0959418",NA,NA
"Migration Lymphonode Lymphocyte",NA,NA,NA,NA,NA,NA,NA,NA,"0.8774738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7655173",NA,NA
"Migration Myeloid leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7233831",NA
"Migration Neutrophil",NA,NA,NA,NA,NA,NA,NA,"0.8428280",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6697395","1.0749881","0.7689354","0.6579939",NA,NA,NA
"Migration T cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.7034164",NA,NA,"1.1304356",NA,"0.8342255"
"Migration Thymocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6697395",NA,NA,"1.1792778","1.3373075",NA,"0.8342255"
