"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"vaccine","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","BNT","BNT","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"PRR TLR4 Pathway",NA,NA,NA,NA,NA,NA,"0.7005937","0.8236412","0.8774738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8150919","0.7711531"
"Proliferation B cell",NA,NA,NA,NA,NA,"0.6938531",NA,NA,"0.8659975","1.4266429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Proliferation Lymphocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9199368",NA,NA
"Proliferation T cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7187038",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8354536",NA,NA
"Proliferation T cell Activated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9915024",NA,NA
"Regulation+ glyProtein Immunological synapse",NA,NA,NA,NA,NA,NA,NA,NA,"0.8774738",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6779223",NA,NA,NA,NA,NA
"Response to Interferon I",NA,NA,NA,NA,NA,NA,"0.9808677",NA,"1.3225255",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9970772",NA,"0.6579939",NA,NA,NA
"Response to Interferon II",NA,NA,"2.2589668","1.2974722",NA,NA,NA,NA,NA,NA,"1.3914442","1.0850753","0.7627224","2.3086651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Selection- T cell Thymic",NA,NA,NA,NA,NA,"1.0893350","1.7119096",NA,"0.8774738",NA,NA,NA,NA,NA,NA,NA,"0.8504557",NA,"1.4450313","0.7654706",NA,NA,NA,NA
"Signaling BCR B cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.6122001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8150919","0.7711531"
"Signaling Interferon I Pathway",NA,"0.6097776","2.1936435","1.5385275",NA,"2.3609274","2.5498131",NA,NA,NA,"1.3973345","3.5433155",NA,"2.3086651","1.5555017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Signaling Interferon II Pathway",NA,NA,"0.8398104",NA,NA,NA,NA,NA,NA,NA,NA,"0.9653987",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8788671",NA,NA
"Signaling PRR",NA,NA,"0.8458672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Signaling T cell",NA,NA,NA,NA,NA,"1.5798251","2.0608521",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6661311",NA,"2.1852748",NA,NA,NA,NA,NA
"T cell-mediated cytotoxicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8167309","0.6846961",NA,NA,NA,NA
"T cell-mediated immunity",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.139192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T cells",NA,NA,NA,NA,NA,"1.1373861","1.6170059",NA,NA,NA,NA,"0.9794582",NA,NA,NA,NA,"1.0057113","0.6697395","2.1852748",NA,NA,NA,NA,"0.7711531"
"Tolerance Induction LPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6579939","1.1667504",NA,NA
"killing of Gram+ bacterium Neutrophil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.313789",NA,NA,NA,NA,NA
"killing of Gram- bacterium Neutrophil",NA,NA,NA,NA,NA,NA,"1.0382559",NA,NA,NA,NA,NA,"0.6873129",NA,NA,NA,NA,NA,"1.1303637",NA,NA,NA,NA,NA
