"","BBIBP (V3 D14)","BBIBP (V3 D28)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I (D4)","BNT-I-BNT (D51 mild)","BNT-I-BNT (D51 severe)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D6)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd (V2 D3)","ChAd (V2 D7)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 moderate)","I (D51 severe)","I-I (D1)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"BCL2",NA,NA,NA,NA,NA,NA,"-2.53111960685389","-1.68222590681406","-1.5091287031777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.05391843632182",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCL3",NA,NA,NA,NA,NA,"1.49036807933722","1.98526175570483","1.20365189612976","2.12549338859005",NA,"1.38603433379553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.10403065291689","1.65223688276777",NA,"1.24709754208668",NA,"2.44640949124867",NA,"-1.97976589306848",NA,NA
"BCL6",NA,NA,NA,NA,NA,NA,"2.59559626871128","2.23586658975912","2.02910828065387",NA,"1.32860423298513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.56609428045226","2.26200855155127","1.23067129647583","2.05828247688852",NA,"1.63250848613501",NA,"-1.46967670247537",NA,NA
"BCR",NA,NA,NA,NA,NA,NA,"-1.12703862467007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.05038529266373",NA,NA,"-1.01497255049163",NA,NA,NA,NA,NA,NA
"BMX",NA,NA,NA,NA,"1.1467282075715",NA,"2.16330604678448","2.35351069453298",NA,NA,"2.50994022482988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.90455936559819","2.66803426477772","1.39865896220221","2.12282325464114",NA,"1.62695105152828",NA,NA,NA,NA
"BPI",NA,NA,NA,NA,NA,NA,"3.09450415947166","4.70918300509114","3.56040302534266","2.43167595459252",NA,NA,"3.71825807980163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.88892012756236","3.12174895073519","4.83676560084799","4.3664737010428","3.12072382693839","3.05995617607111",NA,NA,NA,NA
"BPIFB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.63200716504843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BSG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.12763281898614",NA,NA,NA,NA
"BST2",NA,NA,NA,"1.12335232590805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.16431332303003",NA,NA,NA,"1.30578534503735",NA,NA,"1.01366876906669",NA,"1.15964092232829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTLA",NA,NA,NA,NA,NA,NA,NA,NA,"-1.85262687546531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN2A1",NA,NA,NA,NA,NA,NA,NA,"1.00394819640046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTNL8",NA,NA,NA,NA,NA,NA,NA,"1.70996813363189",NA,NA,NA,NA,NA,NA,NA,"-1.60705562098305",NA,NA,NA,NA,NA,NA,"-2.26443180869529",NA,NA,"1.46950179406396",NA,NA,NA,NA,NA,NA,NA,NA
