"","genes","9","8","7","6","5","4","3","2","1"
"258","IL31RA"," "," "," "," "," "," "," ","INFLAMMATION","INNATE IMMUNE SYSTEM"
"259","IL33"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","MACROPHAGES","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"260","IL34"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"261","IL4R"," "," "," "," ","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"262","IL5RA"," "," "," "," "," "," "," ","INFLAMMATION","INNATE IMMUNE SYSTEM"
"263","IL7"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"264","IL7R"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"265","IPO7"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"266","IRF1"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"267","IRF2BP2"," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"268","IRGM"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"269","ITGA1"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"270","ITGA4"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"271","ITGAM"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"272","ITGB7"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"273","ITGB8"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"274","ITK"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"275","ITPKB"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"276","JAG1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"277","JAK3"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"278","JMJD6"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","MACROPHAGES","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"279","KAT7"," "," "," "," "," "," "," ","NK CELL","INNATE IMMUNE SYSTEM"
"280","KIR3DL1"," "," "," "," "," "," "," ","NK CELL","INNATE IMMUNE SYSTEM"
"281","KITLG"," "," "," "," ","T CELLS","MAST CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"282","KLRC1"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"283","KLRC2"," "," "," "," "," ","NK CELL","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"284","KLRC3"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"285","KLRF2"," "," "," "," "," "," "," ","NK CELL","INNATE IMMUNE SYSTEM"
"286","KLRK1"," "," "," ","T CELLS","NK CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"287","KMT2A"," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"288","LAG3"," "," "," ","T CELLS","NK CELL","DENDRITIC CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"289","LAX1"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"290","LCN2"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"291","LCP1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"292","LFNG"," "," "," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"293","LGALS3"," "," "," "," ","NEUTROPHIL","MONOCYTES","EOSINOPHIL","MACROPHAGES","INNATE IMMUNE SYSTEM"
"294","LGALS9"," "," "," "," "," "," ","NK CELL","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"295","LILRA3"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"296","LILRA4"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"297","LILRA5"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"298","LILRA6"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"299","LILRB1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"300","LILRB4"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"301","LIMK1"," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"302","LMO4"," "," "," "," "," "," "," ","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"303","LRP1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"304","LRRC8A"," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"305","LY86"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"306","LYL1"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"307","MAP2K6"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"308","MAP3K8"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"309","MAPK3"," "," "," "," "," "," "," ","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"310","MAPKAPK2"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"311","MAPT"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"312","MASP1"," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"313","MCOLN2"," "," "," "," "," ","NEUTROPHIL","MACROPHAGES","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"314","MDK"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"315","MEN1"," "," "," "," "," "," "," ","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"316","MERTK"," "," "," "," "," ","NK CELL","NEUTROPHIL","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"317","MFSD6"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"318","MILR1"," "," "," "," "," "," "," ","MAST CELL","INNATE IMMUNE SYSTEM"
"319","MMP2"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"320","MPL"," ","NEUTROPHIL","MONOCYTES","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","HUMORAL ADAPTIVE IMMUNE SYSTEM","EOSINOPHIL","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"321","MRC1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"322","MS4A1"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"323","MSH2"," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"324","MT1G"," "," "," "," "," "," "," ","MONOCYTES","INNATE IMMUNE SYSTEM"
"325","MX1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"326","MX2"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"327","MYB"," "," "," "," "," "," "," ","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"328","MYO1G"," "," "," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"329","NCAPH2"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"330","NCF1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"331","NCF2"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"332","NCR3LG1"," "," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM"
"333","NEDD4"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"334","NFAM1"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"335","NFKB2"," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"336","NFKBIA"," "," "," "," "," ","B CELLS","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"337","NFKBID"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"338","NKX2-3"," "," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"339","NLRC3"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"340","NLRC5"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"341","NLRP6"," "," "," "," "," ","NEUTROPHIL","INFLAMMATION","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"342","NLRP9"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"343","NOS2"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"344","NRARP"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"345","OAS2"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"346","OTUD7B"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"347","PARP1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"348","PARP9"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"349","PAX5"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"350","PBX1"," "," "," "," ","NK CELL","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"351","PDE4B"," "," "," "," ","T CELLS","NEUTROPHIL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"352","PF4V1"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"353","PI3"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"354","PIK3AP1"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
