"","genes","9","8","7","6","5","4","3","2","1"
"427","SPN"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"428","SPNS2"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"429","SRC"," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"430","SRF"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"431","SSC5D"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"432","STAT1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"433","STAT2"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"434","STAT3"," "," "," "," "," "," "," ","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"435","STAT5B"," "," ","T CELLS","NK CELL","MAST CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"436","STXBP1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"437","STXBP3"," "," "," "," "," "," ","NEUTROPHIL","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"438","STXBP4"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"439","SUSD4"," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"440","TAP1"," "," "," "," "," "," ","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"441","TAP2"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"442","TARM1"," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"443","TBKBP1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
