"2","day",NA,NA,"14","28"," 6"," 1"," 1"," 1","10","10","26","26"," 3"," 4","51","51"," 1"," 3"," 6"," 7"," 1"," 3"," 7"," 3"," 7"," 1","10","10","26","26","51","51"," 1"," 7","14","28"
"3","week",NA,NA," 2"," 4"," 1"," 1"," 1"," 1"," 2"," 2"," 4"," 4"," 1"," 1"," 7"," 7"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 4"," 4"," 7"," 7"," 1"," 1"," 2"," 4"
"4","dose",NA,NA," 3"," 3"," 1"," 2"," 3"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 3"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 3"," 3"
"5","infection",NA,NA," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 0"," 0"," 0"
"6","type",NA,NA,"IN","IN","RNA","RNA","RNA","I","I","I","I","I","I","I","RNA","RNA","RNA","VV","VV","VV","VV","VV","VV","RNA","RNA","RNA","I","I","I","I","I","I","I","SU","SU","SU"
"7","disease_vac",NA,NA,"V","V","V","V","V","I","I","I","I","I","I","I","I","I","V","V","V","V","V","V","V","V","V","V","I","I","I","I","I","I","I","V","V","V"
"290","V283","C5AR1","NEUTROPHIL",NA,NA,NA,NA,NA,"1.16506516070052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","V284","C5AR1","NEUTROPHIL",NA,NA,NA,NA,NA,"1.16506516070052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","V285","LAX1","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.28560666784407","-2.80110702270904","-1.01482611941191","-1.9642083568842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.10381395119507",NA,NA,NA,NA,NA,NA,NA
"293","V286","LAX1","B CELLS",NA,NA,NA,NA,NA,"-1.28560666784407","-2.80110702270904","-1.01482611941191","-1.9642083568842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.10381395119507",NA,NA,NA,NA,NA,NA,NA
"294","V287","MSH2","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.10985490368152","-1.73687494876613",NA,"-1.68170511463037",NA,NA,NA,"-1.575509909347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","V288","MSH2","B CELLS",NA,NA,NA,NA,NA,"-1.10985490368152","-1.73687494876613",NA,"-1.68170511463037",NA,NA,NA,"-1.575509909347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","V289","MSH2","B CELLS",NA,NA,NA,NA,NA,"-1.10985490368152","-1.73687494876613",NA,"-1.68170511463037",NA,NA,NA,"-1.575509909347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","V290","MSH2","B CELLS",NA,NA,NA,NA,NA,"-1.10985490368152","-1.73687494876613",NA,"-1.68170511463037",NA,NA,NA,"-1.575509909347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","V291","MSH2","B CELLS",NA,NA,NA,NA,NA,"-1.10985490368152","-1.73687494876613",NA,"-1.68170511463037",NA,NA,NA,"-1.575509909347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","V292","MSH2","B CELLS",NA,NA,NA,NA,NA,"-1.10985490368152","-1.73687494876613",NA,"-1.68170511463037",NA,NA,NA,"-1.575509909347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","V293","MSH2","B CELLS",NA,NA,NA,NA,NA,"-1.10985490368152","-1.73687494876613",NA,"-1.68170511463037",NA,NA,NA,"-1.575509909347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","V294","MSH2","HUMORAL ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.10985490368152","-1.73687494876613",NA,"-1.68170511463037",NA,NA,NA,"-1.575509909347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","V295","SOX4","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.25083493400807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","V296","SOX4","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.25083493400807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","V297","SOX4","T CELLS",NA,NA,NA,NA,NA,"1.25083493400807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","V298","C1R","COMPLEMENT IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.26735759683564","1.90014509706467","1.20295193293771","1.88488097435375",NA,"1.18713459913893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1562538042048","1.58341371478304","1.04838406785519",NA,NA,"1.37630462076411",NA,NA,NA,NA
"306","V299","C1R","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.26735759683564","1.90014509706467","1.20295193293771","1.88488097435375",NA,"1.18713459913893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1562538042048","1.58341371478304","1.04838406785519",NA,NA,"1.37630462076411",NA,NA,NA,NA
"307","V300","BCL3","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.49036807933722","1.98526175570483","1.20365189612976","2.12549338859005",NA,"1.38603433379553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.10403065291689","1.65223688276777",NA,"1.24709754208668",NA,"2.44640949124867",NA,"-1.97976589306848",NA,NA
"308","V301","BCL3","B CELLS",NA,NA,NA,NA,NA,"1.49036807933722","1.98526175570483","1.20365189612976","2.12549338859005",NA,"1.38603433379553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.10403065291689","1.65223688276777",NA,"1.24709754208668",NA,"2.44640949124867",NA,"-1.97976589306848",NA,NA
"309","V302","BCL3","B CELLS",NA,NA,NA,NA,NA,"1.49036807933722","1.98526175570483","1.20365189612976","2.12549338859005",NA,"1.38603433379553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.10403065291689","1.65223688276777",NA,"1.24709754208668",NA,"2.44640949124867",NA,"-1.97976589306848",NA,NA
"310","V303","BCL3","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.49036807933722","1.98526175570483","1.20365189612976","2.12549338859005",NA,"1.38603433379553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.10403065291689","1.65223688276777",NA,"1.24709754208668",NA,"2.44640949124867",NA,"-1.97976589306848",NA,NA
"311","V304","BCL3","HUMORAL ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.49036807933722","1.98526175570483","1.20365189612976","2.12549338859005",NA,"1.38603433379553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.10403065291689","1.65223688276777",NA,"1.24709754208668",NA,"2.44640949124867",NA,"-1.97976589306848",NA,NA
"312","V305","MPL","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","V306","MPL","B CELLS",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","V307","MPL","EOSINOPHIL",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","V308","MPL","EOSINOPHIL",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","V309","MPL","EOSINOPHIL",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","V310","MPL","EOSINOPHIL",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","V311","MPL","HUMORAL ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","V312","MPL","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","V313","MPL","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","V314","MPL","MONOCYTES",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","V315","MPL","MONOCYTES",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","V316","MPL","MONOCYTES",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","V317","MPL","MONOCYTES",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","V318","MPL","NEUTROPHIL",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","V319","MPL","NEUTROPHIL",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","V320","MPL","NEUTROPHIL",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","V321","MPL","NEUTROPHIL",NA,NA,NA,NA,NA,"1.16018456419462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06399504642187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","V322","CD40LG","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.2283674016748","-3.08663410723056","-3.24049036096002","-3.36677445232264",NA,NA,NA,"-2.20484813592312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.98611544146123","-2.82655510664254","-1.79022657891684","-2.1735985628872",NA,"-2.90293471499318",NA,NA,NA,NA
"330","V323","CD40LG","B CELLS",NA,NA,NA,NA,NA,"-1.2283674016748","-3.08663410723056","-3.24049036096002","-3.36677445232264",NA,NA,NA,"-2.20484813592312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.98611544146123","-2.82655510664254","-1.79022657891684","-2.1735985628872",NA,"-2.90293471499318",NA,NA,NA,NA
"331","V324","CD40LG","B CELLS",NA,NA,NA,NA,NA,"-1.2283674016748","-3.08663410723056","-3.24049036096002","-3.36677445232264",NA,NA,NA,"-2.20484813592312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.98611544146123","-2.82655510664254","-1.79022657891684","-2.1735985628872",NA,"-2.90293471499318",NA,NA,NA,NA
"332","V325","CD40LG","B CELLS",NA,NA,NA,NA,NA,"-1.2283674016748","-3.08663410723056","-3.24049036096002","-3.36677445232264",NA,NA,NA,"-2.20484813592312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.98611544146123","-2.82655510664254","-1.79022657891684","-2.1735985628872",NA,"-2.90293471499318",NA,NA,NA,NA
"333","V326","CD40LG","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.2283674016748","-3.08663410723056","-3.24049036096002","-3.36677445232264",NA,NA,NA,"-2.20484813592312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.98611544146123","-2.82655510664254","-1.79022657891684","-2.1735985628872",NA,"-2.90293471499318",NA,NA,NA,NA
"334","V327","CD40LG","HUMORAL ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.2283674016748","-3.08663410723056","-3.24049036096002","-3.36677445232264",NA,NA,NA,"-2.20484813592312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.98611544146123","-2.82655510664254","-1.79022657891684","-2.1735985628872",NA,"-2.90293471499318",NA,NA,NA,NA
"335","V328","CD40LG","T CELLS",NA,NA,NA,NA,NA,"-1.2283674016748","-3.08663410723056","-3.24049036096002","-3.36677445232264",NA,NA,NA,"-2.20484813592312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.98611544146123","-2.82655510664254","-1.79022657891684","-2.1735985628872",NA,"-2.90293471499318",NA,NA,NA,NA
"336","V329","EOMES","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.77661789803611","-3.8607601486715","-2.36750514077325","-2.57512456679783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.2651243270003",NA,"-1.76230571077626","-1.69431680512376",NA,NA,NA,NA,NA,NA
"337","V330","EOMES","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.77661789803611","-3.8607601486715","-2.36750514077325","-2.57512456679783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.2651243270003",NA,"-1.76230571077626","-1.69431680512376",NA,NA,NA,NA,NA,NA
"338","V331","EOMES","T CELLS",NA,NA,NA,NA,NA,"-1.77661789803611","-3.8607601486715","-2.36750514077325","-2.57512456679783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.2651243270003",NA,"-1.76230571077626","-1.69431680512376",NA,NA,NA,NA,NA,NA
"339","V332","PURA","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.08545267594411","-1.73270823035252","-1.29239196600438","-1.64209874192438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.12920596649086",NA,NA,NA,NA,NA,NA,NA,NA
"340","V333","CD83","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.89779474953653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.17395366269005","1.84655853084197",NA,NA,NA,NA,NA,NA,NA,"-2.20891402063021",NA,NA
"341","V334","CD83","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.89779474953653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.17395366269005","1.84655853084197",NA,NA,NA,NA,NA,NA,NA,"-2.20891402063021",NA,NA
"342","V335","CD83","T CELLS",NA,NA,NA,NA,NA,"1.89779474953653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.17395366269005","1.84655853084197",NA,NA,NA,NA,NA,NA,NA,"-2.20891402063021",NA,NA
"343","V336","RAP1GAP","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"2.61923994482002",NA,NA,"2.38230015602826",NA,"2.78927956404975","4.94180113219643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.06522289380397",NA,NA,"2.2602834753536",NA,NA,NA,"2.27653592606076",NA,NA,NA,NA
"344","V337","RAB43","ANTIVIRAL AND INTERFERON",NA,NA,NA,NA,NA,"1.33803695021477",NA,NA,NA,NA,"1.47903881755065",NA,NA,NA,NA,NA,NA,NA,NA,"2.37876119117684",NA,"2.27734668574632",NA,NA,NA,"1.46776809719097",NA,"1.21109040708801",NA,NA,NA,NA,NA,NA
"345","V338","RAB43","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.33803695021477",NA,NA,NA,NA,"1.47903881755065",NA,NA,NA,NA,NA,NA,NA,NA,"2.37876119117684",NA,"2.27734668574632",NA,NA,NA,"1.46776809719097",NA,"1.21109040708801",NA,NA,NA,NA,NA,NA
"346","V339","CAMP","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.7011891248694","2.56356279987325","3.38080688732958","3.16043923233378",NA,NA,NA,"3.32104561039756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.61134267189947","2.74539179857039","3.64702017659455","2.54945068848907",NA,"2.97754733577487",NA,NA,NA,NA
"347","V340","CAMP","NEUTROPHIL",NA,NA,NA,NA,NA,"1.7011891248694","2.56356279987325","3.38080688732958","3.16043923233378",NA,NA,NA,"3.32104561039756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.61134267189947","2.74539179857039","3.64702017659455","2.54945068848907",NA,"2.97754733577487",NA,NA,NA,NA
"348","V341","CAMP","NEUTROPHIL",NA,NA,NA,NA,NA,"1.7011891248694","2.56356279987325","3.38080688732958","3.16043923233378",NA,NA,NA,"3.32104561039756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.61134267189947","2.74539179857039","3.64702017659455","2.54945068848907",NA,"2.97754733577487",NA,NA,NA,NA
"349","V342","CAMP","NEUTROPHIL",NA,NA,NA,NA,NA,"1.7011891248694","2.56356279987325","3.38080688732958","3.16043923233378",NA,NA,NA,"3.32104561039756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.61134267189947","2.74539179857039","3.64702017659455","2.54945068848907",NA,"2.97754733577487",NA,NA,NA,NA
"350","V343","CAMP","NEUTROPHIL",NA,NA,NA,NA,NA,"1.7011891248694","2.56356279987325","3.38080688732958","3.16043923233378",NA,NA,NA,"3.32104561039756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.61134267189947","2.74539179857039","3.64702017659455","2.54945068848907",NA,"2.97754733577487",NA,NA,NA,NA
"351","V344","ADGRG3","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.4893662201853","1.3024878569334",NA,"1.47814372880295",NA,"1.86399169594418",NA,NA,NA,NA,"-1.44534668566554",NA,NA,NA,NA,NA,"-1.42419944090513","-2.03913355857959",NA,NA,"1.54081503790983",NA,NA,NA,"1.45735071952261",NA,NA,NA,NA
"352","V345","ADGRG3","B CELLS",NA,NA,NA,NA,NA,"1.4893662201853","1.3024878569334",NA,"1.47814372880295",NA,"1.86399169594418",NA,NA,NA,NA,"-1.44534668566554",NA,NA,NA,NA,NA,"-1.42419944090513","-2.03913355857959",NA,NA,"1.54081503790983",NA,NA,NA,"1.45735071952261",NA,NA,NA,NA
"353","V346","CHGA","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.68349596399042",NA,"1.16032849541152",NA,NA,"1.6217019579494",NA,NA,NA,NA,NA,NA,NA,NA,"2.25269575526831",NA,NA,NA,NA,NA,"1.5064960268208",NA,NA,NA,"2.25307234528548",NA,NA,NA,NA
"354","V347","CHGA","MAST CELL",NA,NA,NA,NA,NA,"1.68349596399042",NA,"1.16032849541152",NA,NA,"1.6217019579494",NA,NA,NA,NA,NA,NA,NA,NA,"2.25269575526831",NA,NA,NA,NA,NA,"1.5064960268208",NA,NA,NA,"2.25307234528548",NA,NA,NA,NA
"355","V348","CHGA","MAST CELL",NA,NA,NA,NA,NA,"1.68349596399042",NA,"1.16032849541152",NA,NA,"1.6217019579494",NA,NA,NA,NA,NA,NA,NA,NA,"2.25269575526831",NA,NA,NA,NA,NA,"1.5064960268208",NA,NA,NA,"2.25307234528548",NA,NA,NA,NA
"356","V349","CHGA","MAST CELL",NA,NA,NA,NA,NA,"1.68349596399042",NA,"1.16032849541152",NA,NA,"1.6217019579494",NA,NA,NA,NA,NA,NA,NA,NA,"2.25269575526831",NA,NA,NA,NA,NA,"1.5064960268208",NA,NA,NA,"2.25307234528548",NA,NA,NA,NA
"357","V350","CHGA","MAST CELL",NA,NA,NA,NA,NA,"1.68349596399042",NA,"1.16032849541152",NA,NA,"1.6217019579494",NA,NA,NA,NA,NA,NA,NA,NA,"2.25269575526831",NA,NA,NA,NA,NA,"1.5064960268208",NA,NA,NA,"2.25307234528548",NA,NA,NA,NA
"358","V351","TUBB4B","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.14669984700751",NA,NA,"1.69445427608037","1.16277852617004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.47398806733985",NA,NA,NA,"1.45807247518938",NA,NA,NA,NA
"359","V352","TUBB4B","NK CELL",NA,NA,NA,NA,NA,"1.14669984700751",NA,NA,"1.69445427608037","1.16277852617004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.47398806733985",NA,NA,NA,"1.45807247518938",NA,NA,NA,NA
"360","V353","TUBB4B","NK CELL",NA,NA,NA,NA,NA,"1.14669984700751",NA,NA,"1.69445427608037","1.16277852617004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.47398806733985",NA,NA,NA,"1.45807247518938",NA,NA,NA,NA
"361","V354","TUBB4B","NK CELL",NA,NA,NA,NA,NA,"1.14669984700751",NA,NA,"1.69445427608037","1.16277852617004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.47398806733985",NA,NA,NA,"1.45807247518938",NA,NA,NA,NA
"362","V355","TUBB4B","NK CELL",NA,NA,NA,NA,NA,"1.14669984700751",NA,NA,"1.69445427608037","1.16277852617004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.47398806733985",NA,NA,NA,"1.45807247518938",NA,NA,NA,NA
"363","V356","SLC18A2","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"1.35367775264099",NA,NA,"1.54196661849938","1.24332664629198","1.52320762388545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.48743385851764","1.36186484243799","1.3570175752283",NA,NA,NA,NA,NA,NA
"364","V357","SLC18A2","MAST CELL",NA,NA,NA,NA,NA,"1.35367775264099",NA,NA,"1.54196661849938","1.24332664629198","1.52320762388545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.48743385851764","1.36186484243799","1.3570175752283",NA,NA,NA,NA,NA,NA
"365","V358","SLC18A2","MAST CELL",NA,NA,NA,NA,NA,"1.35367775264099",NA,NA,"1.54196661849938","1.24332664629198","1.52320762388545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.48743385851764","1.36186484243799","1.3570175752283",NA,NA,NA,NA,NA,NA
"366","V359","SLC18A2","MAST CELL",NA,NA,NA,NA,NA,"1.35367775264099",NA,NA,"1.54196661849938","1.24332664629198","1.52320762388545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.48743385851764","1.36186484243799","1.3570175752283",NA,NA,NA,NA,NA,NA
"367","V360","SLC18A2","MAST CELL",NA,NA,NA,NA,NA,"1.35367775264099",NA,NA,"1.54196661849938","1.24332664629198","1.52320762388545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.48743385851764","1.36186484243799","1.3570175752283",NA,NA,NA,NA,NA,NA
"368","V361","IL7R","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.10330255894196","-4.45542329368802","-3.15254021510509","-2.81839077678947",NA,NA,NA,"-2.29393406466978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.66859865303735","-2.30282761542549","-1.37961699775711","-2.07729448637134",NA,"-1.91560395163985",NA,NA,NA,NA
"369","V362","IL7R","B CELLS",NA,NA,NA,NA,NA,"-1.10330255894196","-4.45542329368802","-3.15254021510509","-2.81839077678947",NA,NA,NA,"-2.29393406466978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.66859865303735","-2.30282761542549","-1.37961699775711","-2.07729448637134",NA,"-1.91560395163985",NA,NA,NA,NA
"370","V363","IL7R","B CELLS",NA,NA,NA,NA,NA,"-1.10330255894196","-4.45542329368802","-3.15254021510509","-2.81839077678947",NA,NA,NA,"-2.29393406466978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.66859865303735","-2.30282761542549","-1.37961699775711","-2.07729448637134",NA,"-1.91560395163985",NA,NA,NA,NA
"371","V364","IL7R","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,"-1.10330255894196","-4.45542329368802","-3.15254021510509","-2.81839077678947",NA,NA,NA,"-2.29393406466978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.66859865303735","-2.30282761542549","-1.37961699775711","-2.07729448637134",NA,"-1.91560395163985",NA,NA,NA,NA
