"genes","cluster","gene_set"
"NCF2","cluster 2","Immune genes"
"SIRPA","cluster 2","Immune genes"
"DEFA1","cluster 2","Immune genes"
"ACOD1","cluster 2","Immune genes"
"CEACAM8","cluster 2","Immune genes"
"CRISP3","cluster 2","Immune genes"
"PRTN3","cluster 2","Immune genes"
"EDNRB","cluster 2","Immune genes"
"CD276","cluster 2","Immune genes"
"GBP7","cluster 2","Immune genes"
"LILRA5","cluster 2","Immune genes"
"MDK","cluster 2","Immune genes"
"CLEC4G","cluster 2","Immune genes"
"GPR65","cluster 2","Immune genes"
"IL10","cluster 2","Immune genes"
"EGR1","cluster 2","Immune genes"
"FOSL1","cluster 2","Immune genes"
"PDE4B","cluster 2","Immune genes"
"RGS1","cluster 2","Immune genes"
"FPR3","cluster 2","Immune genes"
"CCL7","cluster 2","Immune genes"
"CCL4","cluster 2","Immune genes"
"FPR2","cluster 2","Immune genes"
"IFITM2","cluster 2","Immune genes"
"HP","cluster 2","Immune genes"
"BST1","cluster 2","Immune genes"
"LTBR","cluster 2","Immune genes"
"PSMB10","cluster 2","Immune genes"
"CTSS","cluster 2","Immune genes"
"GSDMD","cluster 2","Immune genes"
"ANXA3","cluster 2","Immune genes"
"ADM","cluster 2","Immune genes"
"FPR1","cluster 2","Immune genes"
"BCL6","cluster 2","Immune genes"
"IGSF6","cluster 2","Immune genes"
"IFNGR2","cluster 2","Immune genes"
"HLA-DPA1","cluster 2","Immune genes"
"CASP4","cluster 2","Immune genes"
"PYHIN1","cluster 2","Immune genes"
"CD40","cluster 2","Immune genes"
"CIITA","cluster 2","Immune genes"
"NLRC5","cluster 2","Immune genes"
"FCGR2C","cluster 2","Immune genes"
"SP100","cluster 2","Immune genes"
"FCGR2B","cluster 2","Immune genes"
"CD80","cluster 2","Immune genes"
"CD44","cluster 2","Immune genes"
"CD58","cluster 2","Immune genes"
"CD68","cluster 2","Immune genes"
"CD38","cluster 2","Immune genes"
"CCNB2","cluster 2","Immune genes"
"TNFRSF17","cluster 2","Immune genes"
"IGLL5","cluster 2","Immune genes"
"CAV1","cluster 2","Immune genes"
"SCNN1B","cluster 2","Immune genes"
"SPACA3","cluster 2","Immune genes"
"IL15","cluster 2","Immune genes"
"LGALS9","cluster 2","Immune genes"
"SRC","cluster 2","Immune genes"
"PSME1","cluster 2","Immune genes"
"CD300C","cluster 2","Immune genes"
"ADA","cluster 2","Immune genes"
"APOBEC3F","cluster 2","Immune genes"
"RNF135","cluster 2","Immune genes"
"ADAR","cluster 2","Immune genes"
"UBA7","cluster 2","Immune genes"
"ZC3HAV1","cluster 2","Immune genes"
"FCER1A","cluster 2","Immune genes"
"FCGR2A","cluster 2","Immune genes"
"CDC42","cluster 2","Immune genes"
"HLA-DMB","cluster 2","Immune genes"
"HLA-DMA","cluster 2","Immune genes"
"LILRB4","cluster 2","Immune genes"
"CD1B","cluster 2","Immune genes"
"CD81","cluster 2","Immune genes"
"CD1C","cluster 2","Immune genes"
"CD1D","cluster 2","Immune genes"
"TIRAP","cluster 2","Immune genes"
"CCR2","cluster 2","Immune genes"
"TLR4","cluster 2","Immune genes"
"FCER1G","cluster 2","Immune genes"
"CD86","cluster 2","Immune genes"
"GRN","cluster 2","Immune genes"
"CX3CR1","cluster 2","Immune genes"
"EPHB2","cluster 2","Immune genes"
"DEFB1","cluster 2","Immune genes"
"CCL1","cluster 2","Immune genes"
"AXL","cluster 2","Immune genes"
"HAMP","cluster 2","Immune genes"
"CYBA","cluster 2","Immune genes"
"CFD","cluster 2","Immune genes"
"LYL1","cluster 2","Immune genes"
"RAB43","cluster 2","Immune genes"
