"","...1","condition","genes"
"13211",13211,"CHAD63-KH (H24)","BEND7"
"13212",13212,"CHAD63-KH (H24)","BFSP1"
"13213",13213,"CHAD63-KH (H24)","GPRASP3"
"13214",13214,"CHAD63-KH (H24)","BHLHE40-AS1"
"13215",13215,"CHAD63-KH (H24)","BICD1"
"13216",13216,"CHAD63-KH (H24)","BIN1"
"13217",13217,"CHAD63-KH (H24)","BIVM"
"13218",13218,"CHAD63-KH (H24)","BLM"
"13219",13219,"CHAD63-KH (H24)","BMS1P4"
"13220",13220,"CHAD63-KH (H24)","BNC2"
"13221",13221,"CHAD63-KH (H24)","BOK-AS1"
"13222",13222,"CHAD63-KH (H24)","BRD1"
"13223",13223,"CHAD63-KH (H24)","BRI3BP"
"13224",13224,"CHAD63-KH (H24)","BRICD5"
"13225",13225,"CHAD63-KH (H24)","BRPF3"
"13226",13226,"CHAD63-KH (H24)","BRWD1"
"13227",13227,"CHAD63-KH (H24)","BTBD7"
"13228",13228,"CHAD63-KH (H24)","BTBD8"
"13229",13229,"CHAD63-KH (H24)","BTG1"
"13230",13230,"CHAD63-KH (H24)","KCNJ5-AS1"
"13231",13231,"CHAD63-KH (H24)","TMEM263"
"13232",13232,"CHAD63-KH (H24)","C12orf42"
"13233",13233,"CHAD63-KH (H24)","C12orf57"
"13234",13234,"CHAD63-KH (H24)","MTRFR"
"13235",13235,"CHAD63-KH (H24)","C14orf132"
"13236",13236,"CHAD63-KH (H24)","C14orf28"
"13237",13237,"CHAD63-KH (H24)","CDIN1"
"13238",13238,"CHAD63-KH (H24)","MOSMO"
"13239",13239,"CHAD63-KH (H24)","C16orf74"
"13240",13240,"CHAD63-KH (H24)","C18orf54"
"13241",13241,"CHAD63-KH (H24)","BRME1"
"13242",13242,"CHAD63-KH (H24)","C1QTNF3"
"13243",13243,"CHAD63-KH (H24)","C1orf21"
"13244",13244,"CHAD63-KH (H24)","C1orf35"
"13245",13245,"CHAD63-KH (H24)","LINC02910"
"13246",13246,"CHAD63-KH (H24)","RTL10"
"13247",13247,"CHAD63-KH (H24)","C22orf39"
"13248",13248,"CHAD63-KH (H24)","C3orf33"
"13249",13249,"CHAD63-KH (H24)","HMCES"
"13250",13250,"CHAD63-KH (H24)","CTBP1-DT"
"13251",13251,"CHAD63-KH (H24)","C5orf34"
"13252",13252,"CHAD63-KH (H24)","C5orf63"
"13253",13253,"CHAD63-KH (H24)","C6orf163"
"13254",13254,"CHAD63-KH (H24)","ERMARD"
"13255",13255,"CHAD63-KH (H24)","SUGCT"
"13256",13256,"CHAD63-KH (H24)","C7orf25"
"13257",13257,"CHAD63-KH (H24)","CYREN"
"13258",13258,"CHAD63-KH (H24)","FMC1-LUC7L2"
"13259",13259,"CHAD63-KH (H24)","DMAC1"
"13260",13260,"CHAD63-KH (H24)","TRMO"
"13261",13261,"CHAD63-KH (H24)","CA4"
"13262",13262,"CHAD63-KH (H24)","CA5B"
"13263",13263,"CHAD63-KH (H24)","CABIN1"
"13264",13264,"CHAD63-KH (H24)","CACHD1"
"13265",13265,"CHAD63-KH (H24)","CALCB"
"13266",13266,"CHAD63-KH (H24)","CALM1"
"13267",13267,"CHAD63-KH (H24)","CAMK2G"
"13268",13268,"CHAD63-KH (H24)","CAMK4"
"13269",13269,"CHAD63-KH (H24)","CAMSAP1"
"13270",13270,"CHAD63-KH (H24)","CAMTA1"
"13271",13271,"CHAD63-KH (H24)","CAPN14"
"13272",13272,"CHAD63-KH (H24)","CAPN7"
"13273",13273,"CHAD63-KH (H24)","CARF"
"13274",13274,"CHAD63-KH (H24)","CASD1"
"13275",13275,"CHAD63-KH (H24)","CASK"
"13276",13276,"CHAD63-KH (H24)","CASP2"
"13277",13277,"CHAD63-KH (H24)","CASS4"
"13278",13278,"CHAD63-KH (H24)","CATSPERB"
"13279",13279,"CHAD63-KH (H24)","CBLB"
"13280",13280,"CHAD63-KH (H24)","CBR4"
"13281",13281,"CHAD63-KH (H24)","CBX1"
"13282",13282,"CHAD63-KH (H24)","CBX7"
"13283",13283,"CHAD63-KH (H24)","CBX8"
"13284",13284,"CHAD63-KH (H24)","CBY1"
"13285",13285,"CHAD63-KH (H24)","CCDC102A"
"13286",13286,"CHAD63-KH (H24)","CCDC102B"
"13287",13287,"CHAD63-KH (H24)","CFAP36"
"13288",13288,"CHAD63-KH (H24)","CCDC125"
"13289",13289,"CHAD63-KH (H24)","CCDC136"
"13290",13290,"CHAD63-KH (H24)","CCDC14"
"13291",13291,"CHAD63-KH (H24)","CCDC141"
"13292",13292,"CHAD63-KH (H24)","CCDC152"
"13293",13293,"CHAD63-KH (H24)","CCDC153"
"13294",13294,"CHAD63-KH (H24)","CCDC171"
"13295",13295,"CHAD63-KH (H24)","CEP83"
"13296",13296,"CHAD63-KH (H24)","CCDC57"
"13297",13297,"CHAD63-KH (H24)","MIX23P5"
"13298",13298,"CHAD63-KH (H24)","CCDC65"
"13299",13299,"CHAD63-KH (H24)","CCDC7"
"13300",13300,"CHAD63-KH (H24)","CCDC89"
"13301",13301,"CHAD63-KH (H24)","CCDC92"
"13302",13302,"CHAD63-KH (H24)","CCL5"
"13303",13303,"CHAD63-KH (H24)","CCNB1IP1"
"13304",13304,"CHAD63-KH (H24)","CCNJL"
"13305",13305,"CHAD63-KH (H24)","CCSER2"
"13306",13306,"CHAD63-KH (H24)","CD160"
"13307",13307,"CHAD63-KH (H24)","CD1C"
"13308",13308,"CHAD63-KH (H24)","CD1E"
"13309",13309,"CHAD63-KH (H24)","CD2"
"13310",13310,"CHAD63-KH (H24)","CD200R1"
"13311",13311,"CHAD63-KH (H24)","CD244"
"13312",13312,"CHAD63-KH (H24)","CD247"
"13313",13313,"CHAD63-KH (H24)","CD27"
"13314",13314,"CHAD63-KH (H24)","CD28"
"13315",13315,"CHAD63-KH (H24)","CD3E"
"13316",13316,"CHAD63-KH (H24)","CD3G"
"13317",13317,"CHAD63-KH (H24)","CD40LG"
"13318",13318,"CHAD63-KH (H24)","CD44"
"13319",13319,"CHAD63-KH (H24)","CD6"
"13320",13320,"CHAD63-KH (H24)","CD8B"
"13321",13321,"CHAD63-KH (H24)","CD96"
"13322",13322,"CHAD63-KH (H24)","CD99"
"13323",13323,"CHAD63-KH (H24)","CDC14A"
"13324",13324,"CHAD63-KH (H24)","CDC42BPG"
"13325",13325,"CHAD63-KH (H24)","CDH2"
"13326",13326,"CHAD63-KH (H24)","CDH26"
"13327",13327,"CHAD63-KH (H24)","CDHR3"
"13328",13328,"CHAD63-KH (H24)","CDK5R1"
"13329",13329,"CHAD63-KH (H24)","CDKN2B"
"13330",13330,"CHAD63-KH (H24)","CDNF"
"13331",13331,"CHAD63-KH (H24)","CDON"
"13332",13332,"CHAD63-KH (H24)","CDR2"
"13333",13333,"CHAD63-KH (H24)","CDRT4"
"13334",13334,"CHAD63-KH (H24)","CEACAM19"
"13335",13335,"CHAD63-KH (H24)","CENPC"
"13336",13336,"CHAD63-KH (H24)","CENPV"
"13337",13337,"CHAD63-KH (H24)","CEP120"
"13338",13338,"CHAD63-KH (H24)","CEP170"
"13339",13339,"CHAD63-KH (H24)","CEP170P1"
"13340",13340,"CHAD63-KH (H24)","CEP250"
"13341",13341,"CHAD63-KH (H24)","CEP290"
"13342",13342,"CHAD63-KH (H24)","CEP44"
"13343",13343,"CHAD63-KH (H24)","CEP57"
"13344",13344,"CHAD63-KH (H24)","CEP68"
"13345",13345,"CHAD63-KH (H24)","CEP70"
"13346",13346,"CHAD63-KH (H24)","CEP78"
"13347",13347,"CHAD63-KH (H24)","CEP85L"
"13348",13348,"CHAD63-KH (H24)","CEP95"
"13349",13349,"CHAD63-KH (H24)","CERK"
"13350",13350,"CHAD63-KH (H24)","CERS4"
"13351",13351,"CHAD63-KH (H24)","CFAP70"
"13352",13352,"CHAD63-KH (H24)","CFL2"
"13353",13353,"CHAD63-KH (H24)","CHCHD6"
"13354",13354,"CHAD63-KH (H24)","CHD1L"
"13355",13355,"CHAD63-KH (H24)","CHD3"
"13356",13356,"CHAD63-KH (H24)","CHD6"
"13357",13357,"CHAD63-KH (H24)","CHIC1"
"13358",13358,"CHAD63-KH (H24)","CHMP7"
"13359",13359,"CHAD63-KH (H24)","CILP"
"13360",13360,"CHAD63-KH (H24)","CLDN12"
"13361",13361,"CHAD63-KH (H24)","CLEC2D"
"13362",13362,"CHAD63-KH (H24)","CLYBL"
"13363",13363,"CHAD63-KH (H24)","CMC1"
"13364",13364,"CHAD63-KH (H24)","CMSS1"
"13365",13365,"CHAD63-KH (H24)","CMTM4"
"13366",13366,"CHAD63-KH (H24)","CNIH1"
"13367",13367,"CHAD63-KH (H24)","CNKSR2"
"13368",13368,"CHAD63-KH (H24)","CNNM3"
"13369",13369,"CHAD63-KH (H24)","CNOT6"
"13370",13370,"CHAD63-KH (H24)","CNPY4"
"13371",13371,"CHAD63-KH (H24)","CNTNAP3"
"13372",13372,"CHAD63-KH (H24)","CNTNAP3B"
"13373",13373,"CHAD63-KH (H24)","COG6"
"13374",13374,"CHAD63-KH (H24)","COL13A1"
"13375",13375,"CHAD63-KH (H24)","COL5A2"
"13376",13376,"CHAD63-KH (H24)","COL6A2"
"13377",13377,"CHAD63-KH (H24)","COL9A3"
"13378",13378,"CHAD63-KH (H24)","COLEC12"
"13379",13379,"CHAD63-KH (H24)","COLGALT2"
"13380",13380,"CHAD63-KH (H24)","COPS8"
"13381",13381,"CHAD63-KH (H24)","COQ10A"
"13382",13382,"CHAD63-KH (H24)","COX10-DT"
"13383",13383,"CHAD63-KH (H24)","COX11"
"13384",13384,"CHAD63-KH (H24)","COX19"
"13385",13385,"CHAD63-KH (H24)","CPAMD8"
"13386",13386,"CHAD63-KH (H24)","CPNE2"
"13387",13387,"CHAD63-KH (H24)","CPSF6"
"13388",13388,"CHAD63-KH (H24)","CR1"
"13389",13389,"CHAD63-KH (H24)","CREB3L4"
"13390",13390,"CHAD63-KH (H24)","CREBZF"
"13391",13391,"CHAD63-KH (H24)","CRIM1"
"13392",13392,"CHAD63-KH (H24)","CROCCP3"
"13393",13393,"CHAD63-KH (H24)","CROT"
"13394",13394,"CHAD63-KH (H24)","CRTAM"
"13395",13395,"CHAD63-KH (H24)","CRY1"
"13396",13396,"CHAD63-KH (H24)","CRYGS"
"13397",13397,"CHAD63-KH (H24)","CRYZL1"
"13398",13398,"CHAD63-KH (H24)","CSGALNACT1"
"13399",13399,"CHAD63-KH (H24)","KAT14"
"13400",13400,"CHAD63-KH (H24)","CST7"
"13401",13401,"CHAD63-KH (H24)","CTNNBIP1"
"13402",13402,"CHAD63-KH (H24)","CTPS2"
"13403",13403,"CHAD63-KH (H24)","CTSF"
"13404",13404,"CHAD63-KH (H24)","CUBN"
"13405",13405,"CHAD63-KH (H24)","CUTC"
"13406",13406,"CHAD63-KH (H24)","CXCL1"
"13407",13407,"CHAD63-KH (H24)","CXCL6"
"13408",13408,"CHAD63-KH (H24)","CXCR6"
"13409",13409,"CHAD63-KH (H24)","RADX"
"13410",13410,"CHAD63-KH (H24)","CYBRD1"
"13411",13411,"CHAD63-KH (H24)","CYCSP32"
"13412",13412,"CHAD63-KH (H24)","CYCSP34"
"13413",13413,"CHAD63-KH (H24)","CYFIP2"
"13414",13414,"CHAD63-KH (H24)","CYP27A1"
"13415",13415,"CHAD63-KH (H24)","CYP2D8P"
"13416",13416,"CHAD63-KH (H24)","CYP4F12"
"13417",13417,"CHAD63-KH (H24)","CYTH3"
"13418",13418,"CHAD63-KH (H24)","DAAM1"
"13419",13419,"CHAD63-KH (H24)","DACH1"
"13420",13420,"CHAD63-KH (H24)","DANCR"
"13421",13421,"CHAD63-KH (H24)","DAPK2"
"13422",13422,"CHAD63-KH (H24)","DBF4"
"13423",13423,"CHAD63-KH (H24)","DBP"
"13424",13424,"CHAD63-KH (H24)","DCAF17"
"13425",13425,"CHAD63-KH (H24)","DCHS1"
"13426",13426,"CHAD63-KH (H24)","DCP1B"
"13427",13427,"CHAD63-KH (H24)","DCUN1D2"
"13428",13428,"CHAD63-KH (H24)","DDHD2"
"13429",13429,"CHAD63-KH (H24)","DDIT4"
"13430",13430,"CHAD63-KH (H24)","DDX12P"
"13431",13431,"CHAD63-KH (H24)","DDX20"
"13432",13432,"CHAD63-KH (H24)","DDX31"
"13433",13433,"CHAD63-KH (H24)","DDX42"
"13434",13434,"CHAD63-KH (H24)","DEF6"
"13435",13435,"CHAD63-KH (H24)","DEF8"
"13436",13436,"CHAD63-KH (H24)","DENND11"
"13437",13437,"CHAD63-KH (H24)","DENND2D"
"13438",13438,"CHAD63-KH (H24)","DENND4C"
"13439",13439,"CHAD63-KH (H24)","DEPDC7"
"13440",13440,"CHAD63-KH (H24)","DEPTOR"
"13441",13441,"CHAD63-KH (H24)","DGKA"
"13442",13442,"CHAD63-KH (H24)","DGKD"
"13443",13443,"CHAD63-KH (H24)","DGKE"
"13444",13444,"CHAD63-KH (H24)","DGKG"
"13445",13445,"CHAD63-KH (H24)","DHRS3"
"13446",13446,"CHAD63-KH (H24)","DHRS7"
"13447",13447,"CHAD63-KH (H24)","DIP2A"
"13448",13448,"CHAD63-KH (H24)","SLC49A4"
"13449",13449,"CHAD63-KH (H24)","DIS3L"
"13450",13450,"CHAD63-KH (H24)","DIXDC1"
"13451",13451,"CHAD63-KH (H24)","DKK3"
"13452",13452,"CHAD63-KH (H24)","DLEC1"
"13453",13453,"CHAD63-KH (H24)","DLEU2L"
"13454",13454,"CHAD63-KH (H24)","DLG1"
"13455",13455,"CHAD63-KH (H24)","DLG2"
"13456",13456,"CHAD63-KH (H24)","DLGAP1-AS1"
"13457",13457,"CHAD63-KH (H24)","DLGAP1-AS2"
"13458",13458,"CHAD63-KH (H24)","DMAP1"
"13459",13459,"CHAD63-KH (H24)","DMKN"
"13460",13460,"CHAD63-KH (H24)","DNAH6"
"13461",13461,"CHAD63-KH (H24)","DNAJC19"
"13462",13462,"CHAD63-KH (H24)","DNAJC21"
"13463",13463,"CHAD63-KH (H24)","DNAJC24"
"13464",13464,"CHAD63-KH (H24)","DNAJC3-DT"
"13465",13465,"CHAD63-KH (H24)","DNAJC9"
"13466",13466,"CHAD63-KH (H24)","DNM1P47"
"13467",13467,"CHAD63-KH (H24)","DNMBP"
"13468",13468,"CHAD63-KH (H24)","DOCK3"
"13469",13469,"CHAD63-KH (H24)","DOK4"
"13470",13470,"CHAD63-KH (H24)","DPEP2"
"13471",13471,"CHAD63-KH (H24)","DPEP3"
"13472",13472,"CHAD63-KH (H24)","DPH5"
"13473",13473,"CHAD63-KH (H24)","DPH6"
"13474",13474,"CHAD63-KH (H24)","DPH7"
"13475",13475,"CHAD63-KH (H24)","DPP4"
"13476",13476,"CHAD63-KH (H24)","DPY19L2"
"13477",13477,"CHAD63-KH (H24)","DPY19L2P1"
"13478",13478,"CHAD63-KH (H24)","DPY19L2P2"
"13479",13479,"CHAD63-KH (H24)","DPY19L2P4"
"13480",13480,"CHAD63-KH (H24)","DPY19L3"
"13481",13481,"CHAD63-KH (H24)","DPY19L4"
"13482",13482,"CHAD63-KH (H24)","DSC1"
"13483",13483,"CHAD63-KH (H24)","DSEL"
"13484",13484,"CHAD63-KH (H24)","DSTN"
"13485",13485,"CHAD63-KH (H24)","DSTYK"
"13486",13486,"CHAD63-KH (H24)","DTD1"
"13487",13487,"CHAD63-KH (H24)","DTHD1"
"13488",13488,"CHAD63-KH (H24)","DUS2"
"13489",13489,"CHAD63-KH (H24)","DYNC2H1"
"13490",13490,"CHAD63-KH (H24)","DYRK2"
"13491",13491,"CHAD63-KH (H24)","DZANK1"
"13492",13492,"CHAD63-KH (H24)","DZIP3"
"13493",13493,"CHAD63-KH (H24)","EDAR"
"13494",13494,"CHAD63-KH (H24)","EEF2K"
"13495",13495,"CHAD63-KH (H24)","EEPD1"
"13496",13496,"CHAD63-KH (H24)","EFCAB5"
"13497",13497,"CHAD63-KH (H24)","EFCAB7"
"13498",13498,"CHAD63-KH (H24)","EFHC1"
"13499",13499,"CHAD63-KH (H24)","EFHC2"
"13500",13500,"CHAD63-KH (H24)","EHBP1"
"13501",13501,"CHAD63-KH (H24)","EIF3EP1"
"13502",13502,"CHAD63-KH (H24)","EIF3F"
"13503",13503,"CHAD63-KH (H24)","EIF3J-DT"
"13504",13504,"CHAD63-KH (H24)","EIF3L"
"13505",13505,"CHAD63-KH (H24)","EIF4B"
"13506",13506,"CHAD63-KH (H24)","EIF4BP6"
"13507",13507,"CHAD63-KH (H24)","ELAPOR2"
"13508",13508,"CHAD63-KH (H24)","ELOVL4"
"13509",13509,"CHAD63-KH (H24)","ELP2"
"13510",13510,"CHAD63-KH (H24)","EML5"
"13511",13511,"CHAD63-KH (H24)","ADGRE3"
"13512",13512,"CHAD63-KH (H24)","ADGRE4P"
"13513",13513,"CHAD63-KH (H24)","ENDOV"
"13514",13514,"CHAD63-KH (H24)","ENO2"
"13515",13515,"CHAD63-KH (H24)","ENOSF1"
"13516",13516,"CHAD63-KH (H24)","ENPP4"
"13517",13517,"CHAD63-KH (H24)","ENPP5"
"13518",13518,"CHAD63-KH (H24)","EOMES"
"13519",13519,"CHAD63-KH (H24)","EPB41L4A-AS1"
"13520",13520,"CHAD63-KH (H24)","EPHA4"
"13521",13521,"CHAD63-KH (H24)","EPHX2"
"13522",13522,"CHAD63-KH (H24)","EPM2AIP1"
"13523",13523,"CHAD63-KH (H24)","EPN2"
"13524",13524,"CHAD63-KH (H24)","ERBB2"
"13525",13525,"CHAD63-KH (H24)","ERCC6"
"13526",13526,"CHAD63-KH (H24)","ERMN"
"13527",13527,"CHAD63-KH (H24)","ERMP1"
"13528",13528,"CHAD63-KH (H24)","ERN1"
"13529",13529,"CHAD63-KH (H24)","ERP27"
"13530",13530,"CHAD63-KH (H24)","ESPNL"
"13531",13531,"CHAD63-KH (H24)","ESYT2"
"13532",13532,"CHAD63-KH (H24)","ETS1"
"13533",13533,"CHAD63-KH (H24)","EXD2"
"13534",13534,"CHAD63-KH (H24)","EXOSC2"
"13535",13535,"CHAD63-KH (H24)","EXOSC7"
"13536",13536,"CHAD63-KH (H24)","EXOSC8"
"13537",13537,"CHAD63-KH (H24)","EXTL2"
"13538",13538,"CHAD63-KH (H24)","EZH1"
"13539",13539,"CHAD63-KH (H24)","FABP7P1"
"13540",13540,"CHAD63-KH (H24)","FAF1"
"13541",13541,"CHAD63-KH (H24)","FAHD2A"
"13542",13542,"CHAD63-KH (H24)","FCMR"
"13543",13543,"CHAD63-KH (H24)","FALEC"
"13544",13544,"CHAD63-KH (H24)","RFLNB"
"13545",13545,"CHAD63-KH (H24)","EEIG1"
"13546",13546,"CHAD63-KH (H24)","FAM107B"
"13547",13547,"CHAD63-KH (H24)","FAM110C"
"13548",13548,"CHAD63-KH (H24)","RETREG1"
"13549",13549,"CHAD63-KH (H24)","FAM153A"
"13550",13550,"CHAD63-KH (H24)","FAM161A"
"13551",13551,"CHAD63-KH (H24)","FAM162A"
"13552",13552,"CHAD63-KH (H24)","FAM168B"
"13553",13553,"CHAD63-KH (H24)","FAM169A"
"13554",13554,"CHAD63-KH (H24)","FAM171B"
"13555",13555,"CHAD63-KH (H24)","ATPSCKMT"
"13556",13556,"CHAD63-KH (H24)","TOGARAM1"
"13557",13557,"CHAD63-KH (H24)","FAM184A"
"13558",13558,"CHAD63-KH (H24)","FAM185A"
"13559",13559,"CHAD63-KH (H24)","ATOSA"
"13560",13560,"CHAD63-KH (H24)","FAM216A"
"13561",13561,"CHAD63-KH (H24)","FAM217B"
"13562",13562,"CHAD63-KH (H24)","FAM218A"
"13563",13563,"CHAD63-KH (H24)","FAM219B"
"13564",13564,"CHAD63-KH (H24)","FAM3D"
"13565",13565,"CHAD63-KH (H24)","FAM43A"
"13566",13566,"CHAD63-KH (H24)","MINDY2"
"13567",13567,"CHAD63-KH (H24)","FAM66B"
"13568",13568,"CHAD63-KH (H24)","FAM66C"
"13569",13569,"CHAD63-KH (H24)","DIPK1A"
"13570",13570,"CHAD63-KH (H24)","FAM98B"
"13571",13571,"CHAD63-KH (H24)","FAN1"
"13572",13572,"CHAD63-KH (H24)","FANCD2"
"13573",13573,"CHAD63-KH (H24)","FANCG"
"13574",13574,"CHAD63-KH (H24)","FAT4"
"13575",13575,"CHAD63-KH (H24)","FAUP1"
"13576",13576,"CHAD63-KH (H24)","FBXL13"
"13577",13577,"CHAD63-KH (H24)","FBXL17"
"13578",13578,"CHAD63-KH (H24)","FBXL20"
"13579",13579,"CHAD63-KH (H24)","FBXL4"
"13580",13580,"CHAD63-KH (H24)","FBXO25"
"13581",13581,"CHAD63-KH (H24)","FBXO3"
"13582",13582,"CHAD63-KH (H24)","FBXO32"
"13583",13583,"CHAD63-KH (H24)","FBXO47"
"13584",13584,"CHAD63-KH (H24)","FBXW2"
"13585",13585,"CHAD63-KH (H24)","FCGBP"
"13586",13586,"CHAD63-KH (H24)","FCHO1"
"13587",13587,"CHAD63-KH (H24)","FEZ1"
"13588",13588,"CHAD63-KH (H24)","FGF7"
"13589",13589,"CHAD63-KH (H24)","FGF9"
"13590",13590,"CHAD63-KH (H24)","FGFBP2"
"13591",13591,"CHAD63-KH (H24)","FGFBP3"
"13592",13592,"CHAD63-KH (H24)","CEP43"
"13593",13593,"CHAD63-KH (H24)","FGGY"
"13594",13594,"CHAD63-KH (H24)","FIGNL1"
"13595",13595,"CHAD63-KH (H24)","FILIP1L"
"13596",13596,"CHAD63-KH (H24)","FITM2"
"13597",13597,"CHAD63-KH (H24)","FKBP14"
"13598",13598,"CHAD63-KH (H24)","FKTN"
"13599",13599,"CHAD63-KH (H24)","FLNB"
"13600",13600,"CHAD63-KH (H24)","FNBP1P1"
"13601",13601,"CHAD63-KH (H24)","FOCAD"
"13602",13602,"CHAD63-KH (H24)","FOXO1"
"13603",13603,"CHAD63-KH (H24)","FOXP1"
"13604",13604,"CHAD63-KH (H24)","FRA10AC1"
"13605",13605,"CHAD63-KH (H24)","FRMPD3"
"13606",13606,"CHAD63-KH (H24)","FSBP"
"13607",13607,"CHAD63-KH (H24)","FTX"
"13608",13608,"CHAD63-KH (H24)","FUT8"
"13609",13609,"CHAD63-KH (H24)","FYN"
"13610",13610,"CHAD63-KH (H24)","FZD3"
"13611",13611,"CHAD63-KH (H24)","GAB3"
"13612",13612,"CHAD63-KH (H24)","GABPB1-AS1"
"13613",13613,"CHAD63-KH (H24)","GALNT12"
"13614",13614,"CHAD63-KH (H24)","GALNT14"
"13615",13615,"CHAD63-KH (H24)","GALNT7"
"13616",13616,"CHAD63-KH (H24)","GAN"
"13617",13617,"CHAD63-KH (H24)","GAS5"
"13618",13618,"CHAD63-KH (H24)","GATA3"
"13619",13619,"CHAD63-KH (H24)","GCFC2"
"13620",13620,"CHAD63-KH (H24)","GCHFR"
"13621",13621,"CHAD63-KH (H24)","GCNT4"
"13622",13622,"CHAD63-KH (H24)","GDF11"
"13623",13623,"CHAD63-KH (H24)","GEMIN8"
"13624",13624,"CHAD63-KH (H24)","GFI1"
"13625",13625,"CHAD63-KH (H24)","GGT8P"
"13626",13626,"CHAD63-KH (H24)","GINS4"
"13627",13627,"CHAD63-KH (H24)","GJB6"
"13628",13628,"CHAD63-KH (H24)","GK5"
"13629",13629,"CHAD63-KH (H24)","GKN2"
"13630",13630,"CHAD63-KH (H24)","GLCCI1"
"13631",13631,"CHAD63-KH (H24)","GLIS3"
"13632",13632,"CHAD63-KH (H24)","GLMN"
"13633",13633,"CHAD63-KH (H24)","GLS2"
"13634",13634,"CHAD63-KH (H24)","NOP53"
"13635",13635,"CHAD63-KH (H24)","GMCL1"
"13636",13636,"CHAD63-KH (H24)","GNG2"
"13637",13637,"CHAD63-KH (H24)","GNPDA2"
"13638",13638,"CHAD63-KH (H24)","GOLGA2P5"
"13639",13639,"CHAD63-KH (H24)","GOLGA6L9"
"13640",13640,"CHAD63-KH (H24)","GOLGA7B"
"13641",13641,"CHAD63-KH (H24)","GOLGA8A"
"13642",13642,"CHAD63-KH (H24)","GOLGA8B"
"13643",13643,"CHAD63-KH (H24)","GOLGA8O"
"13644",13644,"CHAD63-KH (H24)","GOLGA8Q"
"13645",13645,"CHAD63-KH (H24)","GOLGA8R"
"13646",13646,"CHAD63-KH (H24)","GOLGA8S"
"13647",13647,"CHAD63-KH (H24)","GPA33"
"13648",13648,"CHAD63-KH (H24)","GPAM"
"13649",13649,"CHAD63-KH (H24)","GPATCH11"
"13650",13650,"CHAD63-KH (H24)","GPCPD1"
"13651",13651,"CHAD63-KH (H24)","GPD1L"
"13652",13652,"CHAD63-KH (H24)","ADGRA3"
"13653",13653,"CHAD63-KH (H24)","ADGRD1"
"13654",13654,"CHAD63-KH (H24)","GPR174"
"13655",13655,"CHAD63-KH (H24)","GPR183"
"13656",13656,"CHAD63-KH (H24)","GPR27"
"13657",13657,"CHAD63-KH (H24)","GPR34"
"13658",13658,"CHAD63-KH (H24)","ADGRG1"
"13659",13659,"CHAD63-KH (H24)","GPRASP1"
"13660",13660,"CHAD63-KH (H24)","GPRASP2"
"13661",13661,"CHAD63-KH (H24)","GPRIN3"
"13662",13662,"CHAD63-KH (H24)","GRAMD1C"
"13663",13663,"CHAD63-KH (H24)","GRAMD2B"
"13664",13664,"CHAD63-KH (H24)","GRAP"
"13665",13665,"CHAD63-KH (H24)","GRIK3"
"13666",13666,"CHAD63-KH (H24)","GRPEL2"
"13667",13667,"CHAD63-KH (H24)","GSTA4"
"13668",13668,"CHAD63-KH (H24)","GSTM2"
"13669",13669,"CHAD63-KH (H24)","GTDC1"
"13670",13670,"CHAD63-KH (H24)","GTF2IRD2B"
"13671",13671,"CHAD63-KH (H24)","GTPBP8"
"13672",13672,"CHAD63-KH (H24)","GUF1"
"13673",13673,"CHAD63-KH (H24)","GUSBP9"
"13674",13674,"CHAD63-KH (H24)","GZMA"
"13675",13675,"CHAD63-KH (H24)","GZMK"
"13676",13676,"CHAD63-KH (H24)","H1-10-AS1"
"13677",13677,"CHAD63-KH (H24)","H2AZ2"
"13678",13678,"CHAD63-KH (H24)","HABP4"
"13679",13679,"CHAD63-KH (H24)","HACD3"
"13680",13680,"CHAD63-KH (H24)","HACE1"
"13681",13681,"CHAD63-KH (H24)","HADH"
"13682",13682,"CHAD63-KH (H24)","HAGHL"
"13683",13683,"CHAD63-KH (H24)","HAVCR1"
"13684",13684,"CHAD63-KH (H24)","HCG18"
"13685",13685,"CHAD63-KH (H24)","HDAC2"
"13686",13686,"CHAD63-KH (H24)","HEATR5A"
"13687",13687,"CHAD63-KH (H24)","HELLS"
"13688",13688,"CHAD63-KH (H24)","HENMT1"
"13689",13689,"CHAD63-KH (H24)","HGSNAT"
"13690",13690,"CHAD63-KH (H24)","HIBCH"
"13691",13691,"CHAD63-KH (H24)","HIP1R"
"13692",13692,"CHAD63-KH (H24)","H1-2"
"13693",13693,"CHAD63-KH (H24)","H1-3"
"13694",13694,"CHAD63-KH (H24)","H4C5"
"13695",13695,"CHAD63-KH (H24)","ZNF875"
"13696",13696,"CHAD63-KH (H24)","HLCS"
"13697",13697,"CHAD63-KH (H24)","HLF"
"13698",13698,"CHAD63-KH (H24)","HLTF"
"13699",13699,"CHAD63-KH (H24)","HMOX2"
"13700",13700,"CHAD63-KH (H24)","HNRNPA1P5"
"13701",13701,"CHAD63-KH (H24)","HNRNPCP1"
"13702",13702,"CHAD63-KH (H24)","HNRNPDL"
"13703",13703,"CHAD63-KH (H24)","HNRNPH1"
"13704",13704,"CHAD63-KH (H24)","HNRNPU"
"13705",13705,"CHAD63-KH (H24)","HOOK1"
"13706",13706,"CHAD63-KH (H24)","HOPX"
"13707",13707,"CHAD63-KH (H24)","HOXB-AS3"
"13708",13708,"CHAD63-KH (H24)","HPCAL4"
"13709",13709,"CHAD63-KH (H24)","HPGD"
