"","vaccine","study","gse_id","genes","process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","base_mean","l2fc","lfcse","stat","pvalue","padj","direction","filter"
"1161","BNT","BNT-MO (V3, D1)","GSE199750","CD8B","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,519.460020010111,-0.673348849511083,0.209104698662633,-3.22015169347033,0.00128122780847312,0.00696023704819493,"NEUTRAL","p<0.05"
"1162","ChAd","ChAd-BNT (V3, D1)","GSE199750","CLEC6A","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,22.1824034535906,1.67356240784109,0.40553566605889,4.12679462722784,3.67854630541061e-05,0.00143643689968022,"UP","p<0.05"
"1163","BNT","BNT-MO (V3, D1)","GSE199750","CLEC6A","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,22.1824034535906,1.7960029896099,0.266534912310988,6.73834048244439,1.60205807759053e-11,1.4875850290508e-09,"UP","p<0.05"
"1164","BNT","BNT (V2, D1)","GSE199750","CLEC6A","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,22.1824034535906,1.39128575039137,0.1394345989568,9.9780525120772,1.90162423236549e-23,1.7064144354193e-21,"UP","p<0.05"
"1165","ChAd","ChAd (V2, D1)","GSE199750","CLEC6A","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,22.1824034535906,1.18535709967906,0.308940534923384,3.83684549511454,0.00012462482332498,0.00230643032766771,"UP","p<0.05"
"1166","BNT","BNT (V3, D1)","GSE199750","CLEC6A","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,22.1824034535906,1.41729313858524,0.201422012227131,7.03643620135741,1.97218888426116e-12,1.51162899281661e-10,"UP","p<0.05"
"1167","BNT","BNT (V3, D1)","GSE199750","CSK","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,3931.87773254911,0.194106058307957,0.0528666968052042,3.6716131333715,0.00024102434129374,0.00216183449608065,"NEUTRAL","p<0.05"
"1168","BNT","BNT-MO (V3, D1)","GSE199750","CSK","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,3931.87773254911,0.206461280503134,0.0717936911208108,2.87575798485847,0.00403058618496044,0.0175675549227866,"NEUTRAL","p<0.05"
"1169","BNT","BNT (V3, D1)","GSE199750","CTSH","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,869.338242256308,0.488761284589793,0.0930848468638324,5.25070729615927,1.51516283006874e-07,4.10496171364897e-06,"NEUTRAL","p<0.05"
"1170","BNT","BNT (V2, D1)","GSE199750","CTSH","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,869.338242256308,0.35026242418535,0.0672136831954469,5.21117736052109,1.87645951164968e-07,2.30243392168977e-06,"NEUTRAL","p<0.05"
