"cell_name","marker","Type"
"Plasmacytoid dendritic cell(pDC)","HLA-DR,CD11c,HLA-DR,CD123,CD123,ILT7,TLR7,BDCA2,CLEC4C,CD4,BDCA4,IRF7,TLR9,TCF4,HLA-DR,CD123,BDCA-4,CD123,CD45RA,CCR7,BDCA-2,CD123,CD19,CD38,CD27,CD20,CD123,HLADR,MZB1,ITM2C,CLEC4C,LILRA4,CD123,HLA-DR,CD123,HLA-DR,CD45RA,GZMB,ITM2C,SERPINF1,IL3RA,CYTL1,GATA2,BDCA2,CLEC4C,IL3RA,IRF8,JCHAIN,MPEG1,IL3RA,IL3RA,GZMB,LILRA4,CD123,CD45,HLA-DR,LILRA4,IL3RA,TCF4,CD303,CD123,CD123,LILRA4,GATA2,CD34,LILRA4,CD2AP,CLEC4C,IL-3Rα,IL3RA,CD123,CLEC4A,LILRA4,CLEC4C,LILRA4","Innate"
"CD141+ myeloid dendritic cell","CD11c,CD141,HLA-DR","Innate"
"CD1c+ myeloid dendritic cell","CD11c,CD1c,HLA-DR","Innate"
"Conventional dendritic cell 2-A (cDC2-A)","CD1c,CD32b,CD33,CD11c,CD11b,SIRPα,HLA-DR,CD5","Innate"
"CD16+ dendritic cell (CD16+ DC)","CD11c,HLA-DR,CD16,CD86,Slan","Innate"
"Axl+ CD123+ Plasmacytoid dendritic cell (CD123+ Axl+DC)","HLA-DR,Axl,BDCA-2,Siglec2,CD123,Siglec1,Siglec6,CD2,CD45RA,CD5","Innate"
"Conventional dendritic cell 1(cDC1)","CADM1,Clec9a,HLA-DR,CD141,CD33,XCR1,CLEC9A,CD370,CD141","Innate"
"Conventional dendritic cell 2-B (cDC2-B)","HLA-DR,CD33,CD163,CD11c,CD36,CD11b,CD1c","Innate"
"Axl+ CD11c+ Plasmacytoid dendritic cell (CD11c+ Axl+DC)","Siglec6,CD5,CD11c,CD33,Siglec2,HLA-DR,CD2","Innate"
"Fully activated dendritic cell","CD14","Innate"
"Conventional dendritic cell 2(cDC2)","FcεRIα,HLA-DQ,CD1c,PPA1,FCER1A,HLA-DQA1,CD1C,HLA-DQB1,CDIC,CD1c","Innate"
"Conventional dendritic cell(cDC)","CD11c,HLADR,CD11c,HLADR","Innate"
"Dendritic cell lineage","SIGLEC6,CD123,AXL,CD33,CD2,SIRPA","Innate"
"Transitional dendritic cell","Ax1,CD5,CD33,CD11c,BDCA3,CX3CR1","Innate"
"Conventional dendritic cell","CD172a,CD33,ID2,HLA-DR,CD11c","Innate"
"Myeloid dendritic cell 1","CD11c,CD45,HLA-DR","Innate"
"Mature dendritic cell","CD14,CD1C","Innate"
"Macrophage","CD68,CD68,CD11b,F4/80,CD11c,CSF1r,CD68,CD11b,CD68,CD14,CD11b,CD68,CD68,CD206,CD115,LYZ,CD68,CD68,F4/80,CSF1R,CD14,FCGR3A,CD68,CD163,CD14,CD19,CD68,CD204,CD163,CD206,CD68,LYZ,LYS,LGALS3,TREM2,CD9,SPP1,CTSB,ADGRE1,ITGAM,MARCO,CD14,CD16,YAP,F4/80,CD163,CD163,CD11A,CD40,CD274,fatty acid binding protein 4,CD11B,CD11C,GBP1,CD14,CD68,MS4A7,CD14,CD68,CD163,CD14,VSIG4,MARCO,CD14,CD68,CD64,CD33,CD14,LIN28B,CD83,HLA-DR,CD163,DHRS9,CD68,TGF-α,S100A12,OSM,IL18,CD87,CD163,IL-10,CD163,CD83,STAT1,TNF,IFI6,CD36,IL1B,CD16,CD11b,CD86,CD68,CD163,CD14","Innate"
"M2 macrophage","CD163,DCIR,CD206,CD23,IL-1,TRAIL,FIZZ1,CD184,CD209,CLACSF13,CD36,M60,CD163,C-type lectin-like receptor dectin-1,CD163,CD14,CD163,IL10,CD206,ARG1,CHI3L1,CD163,CD206,MS4A4A,HLA-DR","Innate"
"M1 macrophage","CCR7,CD86,TLR2,TLR4,IL-15R,CD16,IL-1R-1,IL-17R,CXCL10,CD64,IL-2R,CD80,CD32,CD62,CD127,TNFα,CD86,CD80,CD68,CD86,CD68,HLA-DR,CD86,CCL4","Innate"
"Pan-macrophage","CD68","Innate"
"Pro-inflammatory macrophage","MARCO,CD14","Innate"
"Tissue resident macrophage","KLF4,PTPRC,SIGLEC1","Innate"
"M2c macrophage","CD163","Innate"
"M2a macrophage","CD206","Innate"
"Mast cell","KIT,tryptase,CD117,CD69,TPSAB1,CCL4","Innate"
"Natural killer T (NKT) cell","CD16,CD56,CD45,CD3,Granzyme,NK1.1,CD8A,ZNF683,CD8B","Innate"
"Natural killer cell","CD56,CD3,CD56,NKG2D,NKG2A,CD16,CD56,CD16,CD56,CD3,CD56,CD16,CD45,CD3,CD56,CD3D,NKG7,CD49a,CXCR6,CD94,NCAM1,FCGR3B,KLRD1,KLRC1,KLRF1,KLRK1,FCGR3A,KLRB1,NKG7,GZMB,GNLY,CD160,CCL3,CD247,CD3,CD2,CD94,NKG2A,CD19,CD11b,CD56,CD16,CD56,CD28H,CD56,CD56,CD56,CD56,CD56,CD57,CD7,CD56,CD56,CD57,CD56,CD94,NKG7,NKp80,GNLY,CD56,CD16,KLRB1,CD161,CD56,CD45,GNLY,TBX21,NKG2D,CD40L,CD94,perforin,granzymes,CD56,CD16,KLRF1,GNLY,CD56,CD4,CD8A,CD3E,NCAM1,CD56,CD69,NKG2D,GNLY,NKG7,CD4,CD56,CD8,CD3,CD56,XCL1,KLRF1,KLRF1,NKG7,CD56,NCR3,NKG7,KLRD1,CD57,NKG7,CD16,CD56,CD3,NKG7,CD56,CD16,CD45,NCAM1,KLRK1,KLRC1,GNLY,KLRD1,IL2RB,GZMA,KLRF1,CD57,CD56,CD56,CD337,CD69,ZNF683,NCAM1,GNLY,CD25,CD69,NKp46,CD96,IL2RB,CD3D,GZMB,NKG7,GNLY,SPON2,NCAM1,FCGR3A,CD56,CD56,CD16,CD56,CD56,CD16,CD56,NKG7,CD247,GNLY,CD247,GZMB,KLRF1,CD56,CD56,CD16,CD161,CD56,CD16,CD45,NCAM1,CD16,CD56,GNLY,CD56,NCAM1,KLRF1,CD56,CD56,NKP44,CD16,CD27,CD19,CD94,KIR2DL5,LAG3,CD137,PD-1,NKP80,CD14,CD8,KR2DS4,MIPLA,CD3,CD25,CD62L,TNF,CD56,CISPLATIN,CD57,NKG2C,KIR3DL1,KNG2A,CD11B,KIR2DL2-2DL3CD127,CD107A,CD69,NKP46,KIR2DL1-2DS1,CD45,KNG2D,IFN-G,TIM-3,PDL1-PDL2,NKP30,CD56,CD158e1e2,NKp46,2DL3,PD-1,CD117,NKG2A,CD127,CD158e,CD158a,KIR2DL2,NKG2C,NKp30,2DS2,CD56,CD57,CRTh2,CD158b1b2j,CD16,CD8,CD16,CD56,NKG7,CD7,GZMB,CD56,CCL5,GNLY,KLRC2,FGFBP2,IP-10,IFN-γ,CD56,IL-10,TNF-α,CD3,GNLY,NKG7,GZMB,CD16,CD3,CD56,NKG7,KLRB1,CD56,NCAM1,NKG7,NKG7,MKI67,GNLY,NKG7,KLRF1,GNLY,CD16,CD56,CD56,CD79B,KLRF1,CD56,CD7,CD160,CD94,TYROBP,NKG7,GNLY,NCAM1,GNLY,CD56,CD16,GNLY,GNLY,NKG7,DUSP1,CD44,GZMK,CD69,FOS,KLRC1,JUN,XCL1,SELL,IL7R,NCR1,CD56,IL2RB,SELL,CX3CR1,GZMB,TRGC2,FOS,CD3,ZFP36,CD3D,TRAC,SPON2,TRGC1,FCER1G,IL18RAP,CD160,CD3E,ZBTB16,CD52,CXXC5,TRDC,PRSS23,CD3G,CHST2,NCAM1,FCGR3A,NCR1,NKG7,KLRD1,CD3E,KLRC1,GNLY,CD4,CD56,CD8,CD3,CCL4,CD56,GNLY,NKG7,CD3D,CD16,SPON2,XCL2,XCL1,FGFBP2,FCGR3A,KLRF1,GNLY,FCGR3A,NKG7,GZMK,XCL1,KLRF1,KLRC1,KLRD1,NKG7,FCGR3A,CD56,TRGC1,CD16,CD38,NKG7,NCAM1,FCGR3A,CD56,CD62L,GZMB,KIR2DL1,CD57,CX3CR1,CD62L,NCAM,CD69,NKG2C,CD94,CD49e,NKp46,CD16,CD56,KIR2DS1,NKG2D,CD56,CD16,KLRF1,KLRF1,FCGR3A,KLRD1","Innate"
"Cytokine induced killer cell","CD56,CD56,CD56,CD56,CD3,CD3,CD3,CD3","Innate"
"Pro-Natural killer cell (pro-NK cell)","ID2","Innate"
"CD56+ natural killer cell","NKG7","Innate"
"Natural killer T(NKT) cell","CD56,CD3,CD16,NK-T,CD3,CD56,CD3,Vα24,Vβ11,CD8A,CD3D,TYROBP,CD3E,CD3,CD56,CD3D,CD2,NKG7,CD3E,NCR3,KLRD1,CD3,CD56,TRAC,STMN1,NCAM1,KLRB1,CD8A,CD56,CD3,CD3,CD56,CD3,CD56","Innate"
"Regulatory natural killer cell","CD56","Innate"
"CD56bright Natural killer cell","CD82,CD62L,CD55,NKG2A,CD253","Innate"
"CD56dim Natural killer cell","CD58,CX3CR1,CD298,CD147,CD57,CXCR1,HLA-E","Innate"
"Activated natural killer cell","ILT2,CD56,NKG2C,CD57,CD2,CD56,CD69","Innate"
"Immunoregulatory natural killer cell","CD56,CD45","Innate"
"Platelet","CD9,CD36,CD47,CD48,CD63,CD69,CD151,CSF3R,CD46,CCL5,CD84,CD226,CD109,CD147,CD193,GARP,CD32,CD102,CD49f,CD41,CD51,CD29,CD61,CD107b,CD31,CD62P,CD43,VEGF,CD258,c-Src,CD323,CD41b,CD42b,CD49b,Fc-epsilon RI-alpha,Lyn,PDGF,CD41,CD61,CD62P,CD154,CD41,CD41,CD14,CD41,CD62P,CD42,PPBP,GPIb,CD62P,integrin αIIbβ3,CD128,CD42,CD154,PPBP,PPBP,PF4,PPBP,PPBP,GATA2,CD41,CD62P,CD41,PS,CD63,CD274,PPBP,PPBP,PPBP,GP9,CD41a","Innate"
"Eosinophil","SIGLEC8,CD66b,CD193,CD16,CD15,CD11b,CD9,IL-3R-alpha,IL-5R-alpha,CD125,CD114,CD124,CD123,CD126,CD116,CD44,IL-3 receptor alpha subunit,CD66e,CD25,CD11c,CD11b,CD66b,CD16,CD15,CD14,HLA-DR,CD123,CD33,CD11b,CD69,HLA-DR,CD48,CD81,CD44,CD54,IL-13,CD69,IL-5,IL-8,IL-4,CD11b,CCR3,IL-5Rα,CD11b,EMR1,Siglec-8,Siglec8,CCR3,CD9,CD15,CD45,SSC","Innate"
"Basophil","CD15,CD123,CD117,CD203c,CD11b,BSP1,CD19,CD22,HLA-DR,CD203c,CD203c,CD123,CD63,CD203c,CD63,CD69,CD63,CD63,CD203c,CD203c,CD63,CD63,CD203c,CCR3,CD45,CD203c,CD63,CD203c,CD63,CD63,CD63,CD203c,CD63,CCR3,CD123,CD203c,CD63,CD123,FceR1,CD123,MS4A2,CLC,CPA3,GATA2","Innate"
"Granulocyte","CD66b,CD14,CD45,HLA-DR,CD16,CD203c,CD11c,CD15,CD11b,CD63,CCR3,CD49d,CD44,CD66b,CD33,CD123,CD15,Gr1,CD66b,CD11b,FCGR3B,MPO,AZU1,PRTN3,GATA2,CD66b","Innate"
