"cell_name","marker","Type"
"Naive CD8+ T cell","FAM102A,ZNF101,ACTN1,THAP7,ABLIM1,SPINT2,TRMT1,FAM60A,TCF7,C1orf228,PRKCQ-AS1,MAML2,PIK3IP1,APBA2,ARHGEF18,NPAT,LEF1-AS1,GCSAM,ITFG2,OXNAD1,FOXP1,CCR7,NT5E,CAMK4,RIC3,SPTBN1,GPR155,SNURF,SELL,EIF3L,RACK1,TRAP1,MYC,PDK1,SNED1,TMEM204,NPM1,AIF1,MLXIP,TMEM63A,CEP68,RPS8,PDE3B,CA6,SCML4,VIPR1,GAS5,GIMAP2,TPCN1,THEM4,APEX1,GPR183,R3HDM4,LDHB,NELL2,CD248,SH3YL1,LRRC75A,LRRN3,STMN3,FAM117B,PSIP1,TNFSF8,TMEM123,IGF1R,DGKA,EIF3E,UBQLN2,NDFIP1,CD55,SMAP2,EPHX2,LINC01550,PASK,LRRC75A-AS1,EXOSC8,LEF1,LDLRAP1,TXK,PLEKHB1,NOG,BACH2,C6orf48,BEX4,NOSIP,SGSM3,COQ8A,RASGRP2,LMO7,C1orf162,FKBP5,SERINC5,ARHGAP45,MAL,TRABD2A,ATM,RCAN3,TOMM7,WDR43,EEF2,GLTSCR2,CD45RA,CCR7,CCR7,CD8,CD45RA,CD3,CD3,CD8,CD45RA,CD27,CCR7,TCF7,LEF1,CCR7,CCR7,CD8,CD45RA,RCAN3,MAL,NOSIP,LEF1,SELL,TCF7,SOCS3,TSHZ2,MYC,CCR7,CD28,CD3E,LEF1,SELL,CD8A,CD4,CD8B,CD27,CCR7,TCF7,S1PR1,SELL,CCR7,LEF1,TCF7,NELL2,FOXP1,IL7R,CD8B,S100A4,CD3D,CD8A,CCR7,SELL,TCF7,LEF1,CD8,CD3,CCR7,CD45RA,CCR7,CD45RA,TCF7,SELL,CCR7,LEF1,CCR7,CD3,CD8,CD45RA,CD8a,CD3,CD27,TCF7,CD197,CD8A,CD3D,CD3E,LEF1","Adaptive"
"Effector CD8+ memory T (Tem) cell","PATL2,SRPK2,CAPN2,SLC9A3R1,GZMB,GNLY,EFHD2,TTC16,FGFBP2,SPON2,SYNE1,RGS19,TTC38,ARHGAP25,FUT11,AGTPBP1,AHNAK,VEZF1,PLEKHG3,FCGR3A,ZEB2,C12orf75,C1orf21,LPCAT1,FLNA,S1PR5,MYO1F,CX3CR1,TM4SF19-TCTEX1D2,LGALS1,CD300A,PRSS23,RAP2B,SLC2A1,SLCO4C1,WDR37,FCRL6,RAP1B,KCNAB2,ZEB2-AS1,SH3BP5,ARL4C,MBP,TPST2,KLRD1,LLGL2,RNF166,GZMH,ZNF600,PXN,TAGLN2,FGR,MYO1G,CEP78,USP28,ADGRG1,MTSS1,LUZP6,STK10,GAB3,DSTN,ADRB2,GK5,PIK3R5,TBX21,ITGAM,GLUL,RASSF1,SH3BP5-AS1,PRKCB,PLEK,TM4SF19,KLRF1,SAMD3,VCL,FCGR3B,LILRB1,ADAM8,LITAF,OSBPL5,TGFBR3,EMP3,CASP8,BIN2,RAP1GAP2","Adaptive"
"Central memory CD8+ T cell","CCR7,CD45RO,CD8,CD3,CCR7,CD8,CCR7,CD27,CD3,MYC,SELL,MAL,SOCS3,LEF1,NOSIP,RCAN3,TCF7,TSHZ2,CCR7,SELL,CD27,CCR7,CD3,CD45RO,CD8,CCR7,CD8a,CD3,CD27","Adaptive"
"Effector memory CD8+ T cell","CD8,CD3,CD45RO,CD8,CD45RO,CD8A,CD52,CXCR3,CD8B,ITGA1,CXCR4,CD44,CD8A,CD3E,CD4,GZMK,CXCR3,CD8B,CD3,CD8,CD45RO,FGFBP2,CD8,CD3,CD45RO,CD8,CD8a,CD3","Adaptive"
"Effector CD8+ T cell","CD8,CD45RA,CD3,CD8A,GZMB,PRF1,CX3CR1,S100A4,GPR183,CD8A,GNLY,PRF1,GZMB,CD3D,CD3E,PRDM1","Adaptive"
"Effector (EMRA) CD8+ T cell","CD45RA,CD45RO,CCR7,CD27","Adaptive"
"CD8 T cell","CD8B,CD3E,CD8A,CD8B,CD3D,CD8A","Adaptive"
"Revertant memory CD8+ T(TEMRA) cell","CD8,CD3,CD45RA,CX3CR1,PTPRC","Adaptive"
"Memory CD8+ T cell","FGFBP2,GZMH,GNLY,CD3E,CD3D,CD8A,AQP3,CD69,GZMK,CD8,CD38,CD127,HLADR,CD3,CCL5,TRGC2,CXCR4,CD69,GZMK,KLRG1","Adaptive"
"Memory CD8 T cell","CD8A","Adaptive"
