"","condition","genes"
"2021","I (D51, severe)","CACNB4"
"2022","I-I (D0)","CACNB4"
"2023","I-I (D1)","CACNB4"
"2024","I-I (D3)","CACNB4"
"2025","I-I (D5)","CACNB4"
"2026","ZF2001 (V3, D07)","CACNB4"
"2027","BNT-I (D10, mild)","CAMLG"
"2028","BNT-I (D26, mild)","CAMLG"
"2029","BBIBP (V3, D14)","CAMP"
"2030","BNT-I (D1)","CAMP"
"2031","BNT-I (D10, mild)","CAMP"
"2032","BNT-I (D10, severe)","CAMP"
"2033","BNT-I (D2)","CAMP"
"2034","BNT-I (D26, mild)","CAMP"
"2035","BNT-I (D26, severe)","CAMP"
"2036","BNT-I-BNT (D51, mild)","CAMP"
"2037","I (D10, moderate)","CAMP"
"2038","I (D10, severe)","CAMP"
"2039","I (D26, moderate)","CAMP"
"2040","I (D26, severe)","CAMP"
"2041","I (D51, moderate)","CAMP"
"2042","I (D51, severe)","CAMP"
"2043","I-I (D0)","CAMP"
"2044","ZF2001 (V3, D07)","CAMP"
"2045","ZF2001 (V3, D14)","CAMP"
"2046","BNT-I (D10, mild)","CASP1"
"2047","BNT-I (D10, severe)","CASP1"
"2048","BNT-I (D26, mild)","CASP1"
"2049","I (D1)","CASP1"
"2050","I (D10, moderate)","CASP1"
"2051","I-I (D1)","CASP1"
"2052","I-I (D5)","CASP1"
"2053","BNT-I (D10, mild)","CASP4"
"2054","BNT-I (D10, severe)","CASP4"
"2055","BNT-I (D26, mild)","CASP4"
"2056","BNT-I (D51, severe)","CASP4"
"2057","I (D1)","CASP4"
"2058","BNT-I (D26, mild)","CASP6"
"2059","BNT-I-BNT (D51, mild)","CASP6"
"2060","BNT-I-BNT (D51, severe)","CASP6"
"2061","I (D10, severe)","CASP6"
"2062","BNT-I (D1)","CAV1"
"2063","BNT-I (D10, mild)","CAV1"
"2064","BNT-I (D10, severe)","CAV1"
"2065","BNT-I (D2)","CAV1"
"2066","BNT-I (D26, severe)","CAV1"
"2067","BNT-I-BNT (D51, mild)","CAV1"
"2068","BNT-I-BNT (D51, severe)","CAV1"
"2069","ChAd (V1, D7)","CAV1"
"2070","ChAd-BNT (V2, D7)","CAV1"
"2071","I (D10, moderate)","CAV1"
"2072","I (D26, moderate)","CAV1"
"2073","I (D26, severe)","CAV1"
"2074","I-I (D2)","CAV1"
"2075","I-I (D5)","CAV1"
"2076","BBIBP (V3, D07)","CCL1"
"2077","BNT-I (D1)","CCL1"
"2078","BNT-I (D10, mild)","CCL1"
"2079","BNT-I (D10, severe)","CCL1"
"2080","BNT-I (D26, mild)","CCL1"
"2081","BNT-I (D26, severe)","CCL1"
"2082","BNT-I-BNT (D51, mild)","CCL1"
"2083","BNT-I-BNT (D51, severe)","CCL1"
"2084","ChAd (V2, D1)","CCL1"
"2085","ChAd (V2, D3)","CCL1"
"2086","ChAd (V2, D7)","CCL1"
"2087","ChAd-BNT (V2, D3)","CCL1"
"2088","I (D1)","CCL1"
"2089","I (D26, moderate)","CCL1"
"2090","I-I (D0)","CCL1"
"2091","I-I (D1)","CCL1"
"2092","I-I (D3)","CCL1"
"2093","I-I (D5)","CCL1"
"2094","ZF2001 (V3, D07)","CCL1"
"2095","BNT-I (D10, mild)","CCL18"
"2096","BNT-I (D2)","CCL18"
"2097","BNT-I (D3)","CCL18"
"2098","BNT-I (D51, severe)","CCL18"
"2099","ChAd (V2, D3)","CCL18"
"2100","ChAd (V2, D7)","CCL18"
"2101","I (D10, moderate)","CCL18"
"2102","I (D10, severe)","CCL18"
"2103","I (D51, moderate)","CCL18"
"2104","I-I (D1)","CCL18"
"2105","I-I (D2)","CCL18"
"2106","I-I (D3)","CCL18"
"2107","ZF2001 (V3, D07)","CCL18"
"2108","ZF2001 (V3, D28)","CCL18"
"2109","BNT-I (D10, mild)","CCL2"
"2110","BNT-I (D26, mild)","CCL2"
"2111","BNT-I (D51, severe)","CCL2"
"2112","BNT-I-BNT (D51, mild)","CCL2"
"2113","ChAd (V2, D3)","CCL2"
"2114","ChAd (V2, D7)","CCL2"
"2115","ChAd-BNT (V2, D3)","CCL2"
"2116","ChAd-BNT (V2, D7)","CCL2"
"2117","I (D1)","CCL2"
"2118","I (D10, severe)","CCL2"
"2119","I (D26, moderate)","CCL2"
"2120","I (D26, severe)","CCL2"
"2121","I (D51, moderate)","CCL2"
"2122","I-I (D0)","CCL2"
"2123","I-I (D1)","CCL2"
"2124","I-I (D2)","CCL2"
"2125","I-I (D3)","CCL2"
"2126","I-I (D5)","CCL2"
"2127","ZF2001 (V3, D07)","CCL2"
"2128","ZF2001 (V3, D14)","CCL2"
"2129","BBIBP (V3, D07)","CCL20"
"2130","BBIBP (V3, D14)","CCL20"
"2131","BBIBP (V3, D28)","CCL20"
"2132","BNT-I (D10, severe)","CCL20"
"2133","BNT-I (D26, mild)","CCL20"
"2134","BNT-I (D51, severe)","CCL20"
"2135","BNT-I-BNT (D51, mild)","CCL20"
"2136","BNT-I-BNT (D51, severe)","CCL20"
"2137","ChAd (V1, D3)","CCL20"
"2138","ChAd (V1, D7)","CCL20"
"2139","ChAd (V2, D7)","CCL20"
"2140","ChAd-BNT (V2, D7)","CCL20"
"2141","I (D10, moderate)","CCL20"
"2142","I (D10, severe)","CCL20"
"2143","I (D26, moderate)","CCL20"
"2144","I (D26, severe)","CCL20"
"2145","I (D51, severe)","CCL20"
"2146","ZF2001 (V3, D07)","CCL20"
"2147","ZF2001 (V3, D28)","CCL20"
"2148","BBIBP (V3, D07)","CCL23"
"2149","BBIBP (V3, D28)","CCL23"
"2150","BNT-I (D10, mild)","CCL23"
"2151","BNT-I (D10, severe)","CCL23"
"2152","BNT-I (D2)","CCL23"
"2153","BNT-I (D26, mild)","CCL23"
"2154","BNT-I-BNT (D51, mild)","CCL23"
"2155","BNT-I-BNT (D51, severe)","CCL23"
"2156","I (D1)","CCL23"
"2157","I (D10, moderate)","CCL23"
"2158","I (D26, severe)","CCL23"
"2159","I (D51, moderate)","CCL23"
"2160","I-I (D3)","CCL23"
"2161","ZF2001 (V3, D07)","CCL23"
"2162","ZF2001 (V3, D28)","CCL23"
"2163","BNT-I (D1)","CCL24"
"2164","BNT-I (D10, severe)","CCL24"
"2165","BNT-I (D3)","CCL24"
"2166","BNT-I (D51, severe)","CCL24"
"2167","BNT-I-BNT (D51, mild)","CCL24"
"2168","BNT-MO (V3, D1)","CCL24"
"2169","I (D1)","CCL24"
"2170","I (D10, moderate)","CCL24"
"2171","I (D10, severe)","CCL24"
"2172","I (D26, moderate)","CCL24"
"2173","I (D51, severe)","CCL24"
"2174","I-I (D0)","CCL24"
"2175","I-I (D3)","CCL24"
"2176","BBIBP (V3, D07)","CCL3"
"2177","BBIBP (V3, D14)","CCL3"
"2178","BBIBP (V3, D28)","CCL3"
"2179","BNT-I (D3)","CCL3"
"2180","BNT-I (D51, severe)","CCL3"
"2181","ChAd (V1, D7)","CCL3"
"2182","ChAd (V2, D3)","CCL3"
"2183","ChAd (V2, D7)","CCL3"
"2184","ChAd-BNT (V2, D7)","CCL3"
"2185","I (D10, severe)","CCL3"
"2186","I (D51, moderate)","CCL3"
"2187","I (D51, severe)","CCL3"
"2188","ZF2001 (V3, D07)","CCL3"
"2189","ZF2001 (V3, D28)","CCL3"
"2190","BBIBP (V3, D14)","CCL3L1"
"2191","BBIBP (V3, D28)","CCL3L1"
"2192","BNT-I (D1)","CCL3L1"
"2193","BNT-I (D10, mild)","CCL3L1"
"2194","BNT-I (D10, severe)","CCL3L1"
"2195","BNT-I (D26, mild)","CCL3L1"
"2196","BNT-I (D3)","CCL3L1"
"2197","BNT-I (D51, severe)","CCL3L1"
"2198","BNT-I-BNT (D51, mild)","CCL3L1"
"2199","BNT-I-BNT (D51, severe)","CCL3L1"
"2200","ChAd (V1, D3)","CCL3L1"
"2201","ChAd (V2, D7)","CCL3L1"
"2202","ChAd-BNT (V2, D7)","CCL3L1"
"2203","ChAd-BNT (V3, D1)","CCL3L1"
"2204","I (D10, moderate)","CCL3L1"
"2205","I (D10, severe)","CCL3L1"
"2206","I (D26, severe)","CCL3L1"
"2207","I (D51, moderate)","CCL3L1"
"2208","I (D51, severe)","CCL3L1"
"2209","I-I (D0)","CCL3L1"
"2210","I-I (D1)","CCL3L1"
"2211","ZF2001 (V3, D07)","CCL3L1"
"2212","BNT-I (D1)","CCL4"
"2213","BNT-I (D10, mild)","CCL4"
"2214","BNT-I (D10, severe)","CCL4"
"2215","BNT-I (D2)","CCL4"
"2216","BNT-I (D26, mild)","CCL4"
"2217","BNT-I (D3)","CCL4"
"2218","BNT-I (D51, severe)","CCL4"
"2219","BNT-I-BNT (D51, mild)","CCL4"
"2220","BNT-I-BNT (D51, severe)","CCL4"
"2221","ChAd (V2, D7)","CCL4"
"2222","ChAd-BNT (V2, D7)","CCL4"
"2223","I (D10, moderate)","CCL4"
"2224","I (D26, severe)","CCL4"
"2225","I (D51, moderate)","CCL4"
"2226","I (D51, severe)","CCL4"
"2227","ZF2001 (V3, D07)","CCL4"
"2228","BNT-I (D1)","CCL4L1"
"2229","BNT-I (D10, mild)","CCL4L1"
"2230","BNT-I (D10, severe)","CCL4L1"
"2231","BNT-I (D26, mild)","CCL4L1"
"2232","BNT-I (D3)","CCL4L1"
"2233","BNT-I (D51, severe)","CCL4L1"
"2234","BNT-I-BNT (D51, mild)","CCL4L1"
"2235","ChAd (V2, D3)","CCL4L1"
"2236","ChAd (V2, D7)","CCL4L1"
"2237","I (D1)","CCL4L1"
"2238","I (D10, moderate)","CCL4L1"
"2239","I (D26, moderate)","CCL4L1"
"2240","I (D26, severe)","CCL4L1"
"2241","I (D51, moderate)","CCL4L1"
"2242","I (D51, severe)","CCL4L1"
"2243","I-I (D1)","CCL4L1"
"2244","I-I (D2)","CCL4L1"
"2245","I-I (D3)","CCL4L1"
"2246","BNT-I (D10, mild)","CCL5"
"2247","BNT-I (D10, severe)","CCL5"
"2248","BNT-I (D26, mild)","CCL5"
"2249","BNT-I (D26, severe)","CCL5"
"2250","BNT-I-BNT (D51, mild)","CCL5"
"2251","I (D10, moderate)","CCL5"
"2252","I (D10, severe)","CCL5"
"2253","I (D26, moderate)","CCL5"
"2254","I (D26, severe)","CCL5"
"2255","BNT-I (D10, mild)","CCL7"
"2256","BNT-I (D10, severe)","CCL7"
"2257","BNT-I (D2)","CCL7"
"2258","BNT-I (D26, mild)","CCL7"
"2259","BNT-I (D26, severe)","CCL7"
"2260","BNT-I (D51, severe)","CCL7"
"2261","BNT-I-BNT (D51, mild)","CCL7"
"2262","BNT-I-BNT (D51, severe)","CCL7"
"2263","ChAd (V2, D7)","CCL7"
"2264","ChAd-BNT (V2, D3)","CCL7"
"2265","ChAd-BNT (V2, D7)","CCL7"
"2266","I (D1)","CCL7"
"2267","I (D10, moderate)","CCL7"
"2268","I (D10, severe)","CCL7"
"2269","I (D26, severe)","CCL7"
"2270","I (D51, severe)","CCL7"
"2271","I-I (D0)","CCL7"
"2272","I-I (D1)","CCL7"
"2273","I-I (D5)","CCL7"
"2274","ZF2001 (V3, D07)","CCL7"
"2275","BBIBP (V3, D07)","CCL8"
"2276","BBIBP (V3, D14)","CCL8"
"2277","BNT-I (D10, mild)","CCL8"
"2278","BNT-I (D10, severe)","CCL8"
"2279","BNT-I (D26, mild)","CCL8"
"2280","BNT-I (D26, severe)","CCL8"
"2281","BNT-I (D3)","CCL8"
"2282","BNT-I (D51, severe)","CCL8"
"2283","BNT-I-BNT (D51, mild)","CCL8"
"2284","BNT-I-BNT (D51, severe)","CCL8"
"2285","ChAd (V1, D6)","CCL8"
"2286","ChAd (V2, D3)","CCL8"
"2287","ChAd (V2, D7)","CCL8"
"2288","ChAd-BNT (V2, D7)","CCL8"
"2289","I (D1)","CCL8"
"2290","I (D10, moderate)","CCL8"
"2291","I (D10, severe)","CCL8"
"2292","I (D26, moderate)","CCL8"
"2293","I (D26, severe)","CCL8"
"2294","I (D51, moderate)","CCL8"
"2295","I (D51, severe)","CCL8"
"2296","I-I (D0)","CCL8"
"2297","I-I (D1)","CCL8"
"2298","I-I (D2)","CCL8"
"2299","I-I (D3)","CCL8"
"2300","I-I (D5)","CCL8"
"2301","ZF2001 (V3, D07)","CCL8"
"2302","BNT-I (D10, mild)","CCNB2"
"2303","BNT-I (D10, severe)","CCNB2"
"2304","BNT-I (D26, mild)","CCNB2"
"2305","BNT-I (D26, severe)","CCNB2"
"2306","BNT-I (D3)","CCNB2"
"2307","BNT-I (D51, severe)","CCNB2"
"2308","BNT-I-BNT (D51, mild)","CCNB2"
"2309","BNT-I-BNT (D51, severe)","CCNB2"
"2310","ChAd (V1, D7)","CCNB2"
"2311","ChAd (V2, D7)","CCNB2"
"2312","ChAd-BNT (V2, D7)","CCNB2"
"2313","I (D10, moderate)","CCNB2"
"2314","I (D10, severe)","CCNB2"
"2315","I (D26, moderate)","CCNB2"
"2316","I (D26, severe)","CCNB2"
"2317","I (D51, moderate)","CCNB2"
"2318","I (D51, severe)","CCNB2"
"2319","I-I (D1)","CCNB2"
"2320","I-I (D5)","CCNB2"
"2321","BNT-I (D10, severe)","CCND3"
"2322","I (D10, severe)","CCND3"
"2323","BNT-I (D26, severe)","CCR1"
"2324","BNT-I (D51, severe)","CCR1"
"2325","ChAd (V2, D7)","CCR1"
"2326","ChAd-BNT (V2, D7)","CCR1"
"2327","I (D1)","CCR1"
"2328","I (D10, severe)","CCR1"
"2329","I (D26, severe)","CCR1"
"2330","I-I (D5)","CCR1"
"2331","ZF2001 (V3, D07)","CCR1"
"2332","BNT-I-BNT (D51, severe)","CCR10"
"2333","I-I (D1)","CCR10"
"2334","ZF2001 (V3, D07)","CCR10"
"2335","BNT-I (D26, severe)","CCR2"
"2336","BNT-I (D3)","CCR2"
"2337","BNT-I (D51, severe)","CCR2"
"2338","I (D10, moderate)","CCR2"
"2339","I (D10, severe)","CCR2"
"2340","I (D26, moderate)","CCR2"
"2341","I (D26, severe)","CCR2"
"2342","I (D51, severe)","CCR2"
"2343","BNT-I (D1)","CCR7"
"2344","BNT-I (D10, mild)","CCR7"
"2345","BNT-I (D10, severe)","CCR7"
"2346","BNT-I (D2)","CCR7"
"2347","BNT-I (D26, mild)","CCR7"
"2348","BNT-I (D26, severe)","CCR7"
"2349","BNT-I-BNT (D51, mild)","CCR7"
"2350","BNT-I-BNT (D51, severe)","CCR7"
"2351","I (D10, moderate)","CCR7"
"2352","I (D10, severe)","CCR7"
"2353","I (D26, moderate)","CCR7"
"2354","I (D26, severe)","CCR7"
"2355","I (D51, severe)","CCR7"
"2356","I-I (D0)","CCR7"
"2357","I-I (D1)","CCR7"
"2358","I-I (D2)","CCR7"
"2359","BNT-I (D1)","CD14"
"2360","I (D10, severe)","CD14"
"2361","I (D26, severe)","CD14"
"2362","BNT-I (D1)","CD151"
"2363","I-I (D0)","CD151"
"2364","I-I (D1)","CD151"
"2365","BNT-I (D10, mild)","CD160"
"2366","BNT-I (D10, severe)","CD160"
"2367","BNT-I (D26, mild)","CD160"
"2368","BNT-I (D26, severe)","CD160"
"2369","I (D10, moderate)","CD160"
"2370","I (D10, severe)","CD160"
"2371","I (D26, moderate)","CD160"
"2372","I (D26, severe)","CD160"
"2373","BNT-I (D10, mild)","CD164"
"2374","BNT-I-BNT (D51, mild)","CD164"
"2375","I-I (D1)","CD164"
"2376","BBIBP (V3, D14)","CD177"
"2377","BNT-I (D1)","CD177"
"2378","BNT-I (D10, mild)","CD177"
"2379","BNT-I (D10, severe)","CD177"
"2380","BNT-I (D2)","CD177"
"2381","BNT-I (D26, mild)","CD177"
"2382","BNT-I (D26, severe)","CD177"
"2383","BNT-I-BNT (D51, mild)","CD177"
"2384","BNT-I-BNT (D51, severe)","CD177"
"2385","ChAd (V2, D1)","CD177"
"2386","ChAd (V2, D7)","CD177"
"2387","ChAd-BNT (V3, D1)","CD177"
"2388","I (D1)","CD177"
"2389","I (D10, moderate)","CD177"
"2390","I (D10, severe)","CD177"
"2391","I (D26, moderate)","CD177"
"2392","I (D26, severe)","CD177"
"2393","I (D51, moderate)","CD177"
"2394","I (D51, severe)","CD177"
"2395","I-I (D0)","CD177"
"2396","I-I (D2)","CD177"
"2397","I-I (D3)","CD177"
"2398","I-I (D5)","CD177"
"2399","ZF2001 (V3, D07)","CD177"
"2400","ZF2001 (V3, D28)","CD177"
"2401","BNT-I (D1)","CD19"
"2402","BNT-I (D10, mild)","CD19"
"2403","BNT-I (D26, mild)","CD19"
"2404","BNT-I (D26, severe)","CD19"
"2405","BNT-I-BNT (D51, mild)","CD19"
"2406","I-I (D1)","CD19"
"2407","I-I (D3)","CD19"
"2408","BNT-I (D10, mild)","CD1B"
"2409","BNT-I (D10, severe)","CD1B"
"2410","BNT-I (D2)","CD1B"
"2411","BNT-I (D26, mild)","CD1B"
"2412","BNT-I (D26, severe)","CD1B"
"2413","BNT-I (D3)","CD1B"
"2414","BNT-I-BNT (D51, mild)","CD1B"
"2415","BNT-I-BNT (D51, severe)","CD1B"
"2416","ChAd-BNT (V3, D1)","CD1B"
"2417","I (D1)","CD1B"
"2418","I (D26, severe)","CD1B"
"2419","I-I (D1)","CD1B"
"2420","I-I (D5)","CD1B"
"2421","BNT-I (D1)","CD1C"
"2422","BNT-I (D10, mild)","CD1C"
"2423","BNT-I (D10, severe)","CD1C"
"2424","BNT-I (D2)","CD1C"
"2425","BNT-I (D26, mild)","CD1C"
"2426","I (D1)","CD1C"
"2427","I (D10, moderate)","CD1C"
"2428","I (D10, severe)","CD1C"
"2429","I (D26, severe)","CD1C"
"2430","I (D51, severe)","CD1C"
"2431","I-I (D0)","CD1C"
"2432","I-I (D1)","CD1C"
"2433","I-I (D5)","CD1C"
"2434","BNT-I (D10, mild)","CD1E"
"2435","BNT-I (D10, severe)","CD1E"
"2436","BNT-I (D2)","CD1E"
"2437","BNT-I (D26, mild)","CD1E"
"2438","BNT-I (D26, severe)","CD1E"
"2439","BNT-I-BNT (D51, mild)","CD1E"
"2440","I (D1)","CD1E"
"2441","I (D10, moderate)","CD1E"
"2442","I (D10, severe)","CD1E"
"2443","I (D26, moderate)","CD1E"
"2444","I (D26, severe)","CD1E"
"2445","I (D51, moderate)","CD1E"
"2446","I (D51, severe)","CD1E"
"2447","I-I (D1)","CD1E"
"2448","I-I (D5)","CD1E"
"2449","BNT-I (D1)","CD22"
"2450","BNT-I (D10, mild)","CD22"
"2451","BNT-I (D26, mild)","CD22"
"2452","BNT-I (D26, severe)","CD22"
"2453","BNT-I-BNT (D51, mild)","CD22"
"2454","I-I (D1)","CD22"
"2455","I-I (D3)","CD22"
"2456","BNT-I (D1)","CD24"
"2457","BNT-I (D10, mild)","CD24"
"2458","BNT-I (D10, severe)","CD24"
"2459","BNT-I (D26, mild)","CD24"
"2460","BNT-I (D26, severe)","CD24"
"2461","BNT-I-BNT (D51, mild)","CD24"
"2462","I (D10, moderate)","CD24"
"2463","I (D10, severe)","CD24"
"2464","I (D26, moderate)","CD24"
"2465","I (D26, severe)","CD24"
"2466","I (D51, moderate)","CD24"
"2467","I (D51, severe)","CD24"
"2468","BNT-I (D10, mild)","CD247"
"2469","BNT-I (D10, severe)","CD247"
"2470","BNT-I (D26, mild)","CD247"
"2471","BNT-I-BNT (D51, mild)","CD247"
"2472","I (D10, moderate)","CD247"
"2473","I (D26, moderate)","CD247"
"2474","I (D26, severe)","CD247"
"2475","BNT-I (D10, mild)","CD27"
"2476","BNT-I (D26, mild)","CD27"
"2477","I (D10, severe)","CD27"
"2478","I (D26, moderate)","CD27"
"2479","I (D26, severe)","CD27"
"2480","I-I (D1)","CD27"
"2481","BBIBP (V3, D14)","CD276"
"2482","BNT-I (D1)","CD276"
"2483","BNT-I (D2)","CD276"
"2484","BNT-I-BNT (D51, mild)","CD276"
"2485","BNT-I-BNT (D51, severe)","CD276"
"2486","BNT-MO (V3, D1)","CD276"
"2487","ChAd (V2, D7)","CD276"
"2488","I (D1)","CD276"
"2489","I (D10, moderate)","CD276"
"2490","I (D10, severe)","CD276"
"2491","I (D26, moderate)","CD276"
"2492","I (D26, severe)","CD276"
"2493","I-I (D3)","CD276"
"2494","ZF2001 (V3, D07)","CD276"
"2495","BNT-I (D10, mild)","CD28"
"2496","BNT-I (D10, severe)","CD28"
"2497","BNT-I (D26, mild)","CD28"
"2498","I (D10, moderate)","CD28"
"2499","I (D10, severe)","CD28"
"2500","I-I (D0)","CD28"
"2501","I-I (D1)","CD28"
"2502","I (D1)","CD300C"
"2503","I (D10, severe)","CD300C"
"2504","I (D26, severe)","CD300C"
"2505","I-I (D5)","CD300C"
"2506","BNT-I (D51, severe)","CD300LB"
"2507","I (D10, severe)","CD300LB"
"2508","I (D26, severe)","CD300LB"
"2509","BNT-I (D1)","CD300LD"
"2510","BNT-I (D10, severe)","CD300LD"
"2511","BNT-I (D51, severe)","CD300LD"
"2512","BNT-I-BNT (D51, mild)","CD300LD"
"2513","ChAd (V2, D7)","CD300LD"
"2514","ChAd-BNT (V2, D7)","CD300LD"
"2515","ChAd-BNT (V3, D1)","CD300LD"
"2516","I (D1)","CD300LD"
"2517","I (D10, severe)","CD300LD"
"2518","I (D26, moderate)","CD300LD"
"2519","I (D51, severe)","CD300LD"
"2520","I-I (D1)","CD300LD"
"2521","I-I (D3)","CD300LD"
"2522","BBIBP (V3, D14)","CD300LG"
"2523","BNT-I (D1)","CD300LG"
"2524","BNT-I (D3)","CD300LG"
"2525","BNT-I-BNT (D51, severe)","CD300LG"
"2526","BNT-MO (V3, D1)","CD300LG"
"2527","ChAd (V2, D3)","CD300LG"
"2528","I (D10, moderate)","CD300LG"
"2529","I (D51, moderate)","CD300LG"
"2530","I-I (D1)","CD300LG"
"2531","I-I (D2)","CD300LG"
"2532","I-I (D3)","CD300LG"
"2533","ZF2001 (V3, D07)","CD300LG"
"2534","BNT-I (D1)","CD34"
"2535","BNT-I (D10, mild)","CD34"
"2536","BNT-I (D10, severe)","CD34"
"2537","BNT-I (D26, mild)","CD34"
"2538","I (D1)","CD34"
"2539","I (D10, moderate)","CD34"
"2540","I (D10, severe)","CD34"
"2541","I-I (D3)","CD34"
"2542","I-I (D5)","CD34"
"2543","BNT-I (D1)","CD38"
"2544","BNT-I (D10, mild)","CD38"
"2545","BNT-I (D10, severe)","CD38"
"2546","ChAd (V1, D7)","CD38"
"2547","ChAd-BNT (V2, D3)","CD38"
"2548","ChAd-BNT (V2, D7)","CD38"
"2549","I (D1)","CD38"
"2550","I (D10, moderate)","CD38"
"2551","I (D26, severe)","CD38"
"2552","I (D51, severe)","CD38"
"2553","I-I (D0)","CD38"
"2554","I-I (D1)","CD38"
"2555","I-I (D3)","CD38"
"2556","I-I (D5)","CD38"
"2557","BNT-I (D10, mild)","CD3G"
"2558","BNT-I (D10, severe)","CD3G"
"2559","BNT-I (D26, mild)","CD3G"
"2560","BNT-I (D26, severe)","CD3G"
"2561","BNT-I-BNT (D51, mild)","CD3G"
"2562","BNT-I-BNT (D51, severe)","CD3G"
"2563","I (D10, moderate)","CD3G"
"2564","I (D10, severe)","CD3G"
"2565","I (D26, moderate)","CD3G"
"2566","I (D26, severe)","CD3G"
"2567","I (D51, moderate)","CD3G"
"2568","I (D51, severe)","CD3G"
"2569","BNT-I (D26, mild)","CD40"
"2570","BNT-I-BNT (D51, mild)","CD40"
"2571","I (D10, severe)","CD40"
"2572","BNT-I (D10, mild)","CD40LG"
"2573","BNT-I (D10, severe)","CD40LG"
"2574","BNT-I (D26, mild)","CD40LG"
"2575","BNT-I (D26, severe)","CD40LG"
"2576","BNT-I (D51, severe)","CD40LG"
"2577","BNT-I-BNT (D51, mild)","CD40LG"
"2578","BNT-I-BNT (D51, severe)","CD40LG"
"2579","I (D1)","CD40LG"
"2580","I (D10, moderate)","CD40LG"
"2581","I (D10, severe)","CD40LG"
"2582","I (D26, moderate)","CD40LG"
"2583","I (D26, severe)","CD40LG"
"2584","I (D51, moderate)","CD40LG"
"2585","I (D51, severe)","CD40LG"
"2586","I-I (D1)","CD40LG"
"2587","BNT-I (D10, mild)","CD46"
"2588","BNT-I (D26, mild)","CD46"
"2589","BNT-I (D26, severe)","CD46"
"2590","BNT-I (D3)","CD46"
"2591","BNT-I-BNT (D51, mild)","CD46"
"2592","I (D10, severe)","CD46"
"2593","I (D51, severe)","CD46"
"2594","BNT-I (D10, mild)","CD55"
"2595","BNT-I (D10, severe)","CD55"
"2596","BNT-I (D26, mild)","CD55"
"2597","I (D10, severe)","CD55"
"2598","I (D26, moderate)","CD55"
"2599","I (D26, severe)","CD55"
"2600","I (D51, severe)","CD55"
"2601","BNT-I (D10, mild)","CD58"
"2602","BNT-I (D10, severe)","CD58"
"2603","BNT-I (D26, mild)","CD58"
"2604","I (D10, moderate)","CD58"
"2605","I (D10, severe)","CD58"
"2606","I (D26, severe)","CD58"
"2607","BNT-I (D1)","CD6"
"2608","BNT-I (D10, mild)","CD6"
"2609","BNT-I (D10, severe)","CD6"
"2610","BNT-I (D26, mild)","CD6"
"2611","BNT-I (D26, severe)","CD6"
"2612","BNT-I-BNT (D51, mild)","CD6"
"2613","I (D10, moderate)","CD6"
"2614","I (D10, severe)","CD6"
"2615","I (D26, moderate)","CD6"
"2616","I (D26, severe)","CD6"
"2617","I-I (D1)","CD6"
"2618","BNT-I (D2)","CD68"
"2619","BNT-I (D3)","CD68"
"2620","I (D1)","CD68"
"2621","I (D26, severe)","CD68"
"2622","I-I (D0)","CD68"
"2623","I-I (D1)","CD68"
"2624","I-I (D2)","CD68"
"2625","I-I (D5)","CD68"
"2626","BNT-I (D2)","CD7"
"2627","BNT-I (D3)","CD7"
"2628","I (D10, moderate)","CD7"
"2629","I (D26, moderate)","CD7"
"2630","I (D26, severe)","CD7"
"2631","BNT-I (D10, mild)","CD70"
"2632","BNT-I (D26, mild)","CD70"
"2633","BNT-I (D26, severe)","CD70"
"2634","BNT-I (D3)","CD70"
"2635","BNT-I (D51, severe)","CD70"
"2636","BNT-I-BNT (D51, mild)","CD70"
"2637","BNT-I-BNT (D51, severe)","CD70"
"2638","ChAd (V2, D7)","CD70"
"2639","I-I (D0)","CD70"
"2640","I-I (D3)","CD70"
"2641","BNT-I (D1)","CD79A"
"2642","BNT-I (D10, mild)","CD79A"
"2643","BNT-I (D26, mild)","CD79A"
"2644","BNT-I (D26, severe)","CD79A"
"2645","BNT-I-BNT (D51, mild)","CD79A"
"2646","BNT-I-BNT (D51, severe)","CD79A"
"2647","I (D51, severe)","CD79A"
"2648","I-I (D1)","CD79A"
"2649","I-I (D3)","CD79A"
"2650","BNT-I (D10, mild)","CD79B"
"2651","BNT-I (D26, mild)","CD79B"
"2652","BNT-I (D26, severe)","CD79B"
"2653","BNT-I-BNT (D51, mild)","CD79B"
"2654","BNT-I-BNT (D51, severe)","CD79B"
"2655","I (D10, severe)","CD79B"
"2656","I (D26, severe)","CD79B"
"2657","I-I (D1)","CD80"
"2658","BNT-I (D10, mild)","CD81"
"2659","I (D10, moderate)","CD81"
"2660","I (D10, severe)","CD81"
"2661","I (D26, severe)","CD81"
"2662","BBIBP (V3, D07)","CD83"
"2663","BBIBP (V3, D14)","CD83"
"2664","BBIBP (V3, D28)","CD83"
"2665","BNT-I (D1)","CD83"
"2666","BNT-I-BNT (D51, severe)","CD83"
"2667","ChAd (V2, D7)","CD83"
"2668","ChAd-BNT (V2, D7)","CD83"
"2669","I (D26, severe)","CD83"
"2670","I (D51, severe)","CD83"
"2671","I-I (D0)","CD83"
"2672","I-I (D1)","CD83"
"2673","I-I (D3)","CD83"
"2674","I-I (D5)","CD83"
"2675","ZF2001 (V3, D07)","CD83"
"2676","BNT-I (D10, mild)","CD86"
"2677","I (D10, severe)","CD86"
"2678","I (D51, severe)","CD86"
"2679","I-I (D1)","CD86"
