"","genes","process","gene_set_short","go_term","immune_system","immune_sub_system","immune_tissue","set_size"
"430","CDK6","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"431","JMJD6","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"432","TESPA1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"433","TICAM1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"434","BANK1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"435","CXCR5","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"436","TBC1D10C","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"437","CD79A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"438","CHRNA4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"439","CHRNA7","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"440","MS4A1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"441","RASGRP1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"442","CD22","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"443","CHRNB2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"444","TXLNA","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"445","BST2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"446","AKAP17A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"447","EPHB2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"448","HDAC4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"449","MAP2K1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"450","HAND2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"451","MAP2K2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"452","FOXI3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"453","SOD1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"454","TGFBR1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"455","MAPK3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"456","EPHB3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"457","LMO4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"458","MAPK1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"459","TYR","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"460","IL9","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"461","CTPS1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"462","CD38","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"463","FOSL2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"464","WNT3A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"465","PSMB10","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"466","FKBP1B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"467","KITLG","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"468","LMBR1L","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"469","TNFRSF4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"470","IDO1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"471","CD151","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"472","SCGB1A1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"473","CCND3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"474","KDELR1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"475","DTX1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"476","SOX4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"477","PTPN2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"478","LEPR","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"479","GPR89A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"480","LEP","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"481","EGR1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"482","PKNOX1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"483","PIK3R1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"484","NRARP","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"485","SP3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"486","GPR89B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"487","BCAR1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"488","CTLA4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"489","CD79B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"490","GRB2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"491","MNDA","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"492","BMX","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"493","NFKBIA","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"494","TEC","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"495","NFAM1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"496","NFKB1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"497","WAS","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"498","RBX1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"499","NCK1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"500","SMAD3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"501","PPP3CA","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"502","LAG3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"503","NLRC3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"504","FKBP1A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"505","MFAP3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"506","TNFAIP8L2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"507","CD7","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"508","CD276","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"509","CD44","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"510","DCAF12","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"511","CD8B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"512","DDOST","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"513","PAX5","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"514","TOP2B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"515","ADGRG3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"516","FZD9","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"517","EP300","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"518","PTPRJ","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"519","LYL1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"520","CEBPG","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"521","ZBTB7A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"522","ITGA4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"523","IL11","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"524","TPD52","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"525","RBPJ","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"526","HHEX","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"527","VCAM1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"528","SKAP1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"529","THEMIS2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"530","KHDRBS1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"531","CACNB3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"532","PDE4B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"533","PDE4D","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"534","UBE2N","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"535","NFKBID","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"536","DENND1B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"537","TXK","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"538","VTCN1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"539","FYB2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"540","BTNL8","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"541","BCL10","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"542","BTNL10P","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"543","ZNF683","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"544","PLCG1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"545","EIF2B2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"546","BTNL9","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"547","BTNL3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"548","BTN2A1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"549","HLA-DRB3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"550","IL9R","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"551","MPL","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"552","IL2RB","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"553","CD27","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"554","CSF2RB","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"555","HLA-DOB","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"556","FBXO38","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"557","P0DOX7","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"558","OTUD7B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"559","HLA-C","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"560","CLEC6A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"561","CD1B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"562","LILRB2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"563","HLA-DMB","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"564","NLRP10","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"565","P0DOX6","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"566","P0DOX8","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"567","CTSS","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"568","RAPGEF3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"569","CX3CR1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"570","LILRA6","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"571","BTLA","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"572","KLRC2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"573","RAP1GAP2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"574","TAP1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"575","LAIR1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"576","RAP1GAP","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"577","ARG2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"578","ERAP2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"579","MCOLN2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"580","LILRA3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"581","RNF19B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"582","CD1E","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"583","P0DOX5","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"584","HLA-DRB4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"585","P0DOX2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"586","CD8B2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"587","CLEC10A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"588","TFEB","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"589","C1QBP","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"590","HLA-DPA1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"591","TARM1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"592","P0DOX4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"593","HMHB1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"594","HLA-DMA","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"595","P0DOX3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"596","FGL1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"597","TFE3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"598","CD247","ALPHA-BETA T CELL ACTIVATION","Activation, abT cell","GO:0046631","Adaptive","Cellular","T cell",3
"599","CD3G","ALPHA-BETA T CELL ACTIVATION","Activation, abT cell","GO:0046631","Adaptive","Cellular","T cell",3
"600","RPL22","ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, abT cell","GO:0046632","Adaptive","Cellular","T cell",6
"601","BRAF","ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, abT cell","GO:0046632","Adaptive","Cellular","T cell",6
"602","GLI3","ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, abT cell","GO:0046632","Adaptive","Cellular","T cell",6
"603","ADA","ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, abT cell","GO:0046632","Adaptive","Cellular","T cell",6
"604","ABL1","ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, abT cell","GO:0046632","Adaptive","Cellular","T cell",6
"605","ZAP70","ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, abT cell","GO:0046632","Adaptive","Cellular","T cell",6
"606","RHOA","ALPHA-BETA T CELL LINEAGE COMMITMENT","Lineage commitment, abT cell","GO:0002363","Adaptive","Cellular","T cell",1
"607","CLEC4G","ALPHA-BETA T CELL PROLIFERATION","Proliferation, abT cell","GO:0046633","Adaptive","Cellular","T cell",2
"608","PTPRC","ALPHA-BETA T CELL PROLIFERATION","Proliferation, abT cell","GO:0046633","Adaptive","Cellular","T cell",2
"609","HLA-E","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"610","TAC1","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"611","DEFA4","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"612","B2M","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"613","DEFB1","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"614","SEMG2","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"615","CAMP","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"616","DEFA1","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"617","H2BC10","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"618","DEFA3","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"619","BPI","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"620","RNASE3","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"621","RNASE4","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"622","WFDC13","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"623","CTSG","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"624","DEFA6","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"625","WFDC11","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"626","H2BC12L","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"627","RPL39","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"628","WFDC3","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"629","PI3","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"630","FAU","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"631","DEFA5","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"632","ADM","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"633","WFDC9","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"634","SPRR2A","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"635","WFDC10B","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"636","NCR3LG1","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"637","TFEB","ANTIBACTERIAL INNATE IMMUNE RESPONSE","Antibacterial innate immune response","GO:0140367","Innate","Innate","Undefined",1
"638","LGALS4","ANTIBACTERIAL PEPTIDE BIOSYNTHETIC PROCESS","Biosynthetic process, Antibacterial peptide","GO:0002780","Innate","Innate","Undefined",1
"639","FCGR3A","ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY","ADCC","GO:0001788","General","ADCC","Undefined",2
"640","FCGR1A","ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY","ADCC","GO:0001788","General","ADCC","Undefined",2
"641","FAM3A","ANTIFUNGAL HUMORAL RESPONSE","Antifungal humoral response","GO:0019732","General","Humoral","Antimicrobial",4
"642","TAC1","ANTIFUNGAL HUMORAL RESPONSE","Antifungal humoral response","GO:0019732","General","Humoral","Antimicrobial",4
"643","DEFA4","ANTIFUNGAL HUMORAL RESPONSE","Antifungal humoral response","GO:0019732","General","Humoral","Antimicrobial",4
"644","CAMP","ANTIFUNGAL HUMORAL RESPONSE","Antifungal humoral response","GO:0019732","General","Humoral","Antimicrobial",4
"645","CX3CR1","ANTIFUNGAL INNATE IMMUNE RESPONSE","Antifungal innate immune response","GO:0061760","Innate","Antifungal","Undefined",6
"646","CLEC6A","ANTIFUNGAL INNATE IMMUNE RESPONSE","Antifungal innate immune response","GO:0061760","Innate","Antifungal","Undefined",6
"647","PLCG2","ANTIFUNGAL INNATE IMMUNE RESPONSE","Antifungal innate immune response","GO:0061760","Innate","Antifungal","Undefined",6
"648","BCL10","ANTIFUNGAL INNATE IMMUNE RESPONSE","Antifungal innate immune response","GO:0061760","Innate","Antifungal","Undefined",6
"649","DEFB119","ANTIFUNGAL INNATE IMMUNE RESPONSE","Antifungal innate immune response","GO:0061760","Innate","Antifungal","Undefined",6
"650","DEFB106A","ANTIFUNGAL INNATE IMMUNE RESPONSE","Antifungal innate immune response","GO:0061760","Innate","Antifungal","Undefined",6
"651","HLA-DRB4","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"652","RAB27A","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"653","HLA-DRB3","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"654","HLA-DMA","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"655","HLA-DOB","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"656","CTSH","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"657","RELB","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"658","AP3B1","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"659","CTSS","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"660","HLA-DMB","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"661","HLA-DPA1","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"662","RAB4A","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"663","HLA-E","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"664","PSMB8","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"665","RAB5B","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"666","HLA-C","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"667","WDFY4","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"668","RAB3B","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"669","RAB10","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"670","RAB6A","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"671","TAP2","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","APP, MHC I, endogenous peptide","GO:0019885","Innate","APP","All",5
