"cell_name","marker","Type"
"Granulocyte-monocyte progenitor","PIFO","Innate"
"Granulocyte-monocyte progenitor","VPREB1","Innate"
"Granulocyte-monocyte progenitor","CP","Innate"
"Granulocyte-monocyte progenitor","LRPPRC","Innate"
"Granulocyte-monocyte progenitor","FNDC3B","Innate"
"Granulocyte-monocyte progenitor","IGFBP7","Innate"
"Granulocyte-monocyte progenitor","METTL7B","Innate"
"Granulocyte-monocyte progenitor","MCM10","Innate"
"Granulocyte-monocyte progenitor","CLEC12A","Innate"
"Granulocyte-monocyte progenitor","PTPN14","Innate"
"Granulocyte-monocyte progenitor","IL1RAP","Innate"
"Granulocyte-monocyte progenitor","ALDH4A1","Innate"
"Granulocyte-monocyte progenitor","MGST1","Innate"
"Granulocyte-monocyte progenitor","ELANE","Innate"
"Granulocyte-monocyte progenitor","MS4A2","Innate"
"Granulocyte-monocyte progenitor","CRNDE","Innate"
"Granulocyte-monocyte progenitor","APLP2","Innate"
"Granulocyte-monocyte progenitor","CCNE2","Innate"
"Granulocyte-monocyte progenitor","RAB3D","Innate"
"Granulocyte-monocyte progenitor","MS4A3","Innate"
"Granulocyte-monocyte progenitor","PYGL","Innate"
"Granulocyte-monocyte progenitor","MYBL2","Innate"
"Granulocyte-monocyte progenitor","LDHA","Innate"
"Granulocyte-monocyte progenitor","CASQ1","Innate"
"Granulocyte-monocyte progenitor","CDKN3","Innate"
"Granulocyte-monocyte progenitor","PDE3B","Innate"
"Granulocyte-monocyte progenitor","FCGR2A","Innate"
"Granulocyte-monocyte progenitor","DEPDC7","Innate"
"Granulocyte-monocyte progenitor","PEG3","Innate"
"Granulocyte-monocyte progenitor","ANXA1","Innate"
"Granulocyte-monocyte progenitor","TRGC2","Innate"
"Granulocyte-monocyte progenitor","FAM96A","Innate"
"Granulocyte-monocyte progenitor","NUCB2","Innate"
"Granulocyte-monocyte progenitor","MCM4","Innate"
"Granulocyte-monocyte progenitor","ZFP37","Innate"
"Granulocyte-monocyte progenitor","GCNT1","Innate"
"Granulocyte-monocyte progenitor","APPL1","Innate"
"Granulocyte-monocyte progenitor","MPO","Innate"
"Granulocyte-monocyte progenitor","UBTD2","Innate"
"Granulocyte-monocyte progenitor","SDC4","Innate"
"Granulocyte-monocyte progenitor","UBE2J1","Innate"
"Granulocyte-monocyte progenitor","BTF3L4","Innate"
"Granulocyte-monocyte progenitor","PLD1","Innate"
"Granulocyte-monocyte progenitor","VDAC1","Innate"
"Granulocyte-monocyte progenitor","MTND4P15","Innate"
"Granulocyte-monocyte progenitor","KIAA0101","Innate"
"Granulocyte-monocyte progenitor","MCM6","Innate"
"Granulocyte-monocyte progenitor","CCDC181","Innate"
"Granulocyte-monocyte progenitor","SUCNR1","Innate"
"Granulocyte-monocyte progenitor","TNFSF13B","Innate"
"Granulocyte-monocyte progenitor","TPSAB1","Innate"
"Granulocyte-monocyte progenitor","FAM129A","Innate"
"Granulocyte-monocyte progenitor","UHRF1","Innate"
"Granulocyte-monocyte progenitor","GAPDHP42","Innate"
"Granulocyte-monocyte progenitor","CD38","Innate"
"Granulocyte-monocyte progenitor","SERPINB1","Innate"
"Granulocyte-monocyte progenitor","TLR4","Innate"
"Granulocyte-monocyte progenitor","HGF","Innate"
"Granulocyte-monocyte progenitor","CSF3R","Innate"
"CD14+CD16+ monocyte","CD68","Innate"
"Monocyte derived dendritic cell","FCER1A","Innate"
"CD14+CD16+ monocyte","S100A12","Innate"
"CD14+CD16+ monocyte","CD16","Innate"
"Monocyte derived dendritic cell","CST3","Innate"
"Monocyte derived dendritic cell","CD1C","Innate"
"CD14+CD16+ monocyte","CD14","Innate"
"Monocyte","CD20","Innate"
"Monocyte","CD19","Innate"
"Monocyte","CD38","Innate"
"Monocyte","IgA","Innate"
"Monocyte","CD27","Innate"
"Monocyte","CD3","Innate"
"Monocyte","IgG","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD56","Innate"
"Monocyte","NKG2A","Innate"
"Monocyte","CD16","Innate"
"Monocyte","CD2","Innate"
"Monocyte","CD3","Innate"
"Monocyte","CD11b","Innate"
"Monocyte","CD19","Innate"
"Monocyte","CD94","Innate"
"Classical monocyte","HLA-DR","Innate"
"CD16+ monocyte","CD61","Innate"
"CD16+ monocyte","CD16","Innate"
"Classical monocyte","CD9","Innate"
"Classical monocyte","CD93","Innate"
"CD16+ monocyte","CD36","Innate"
"Classical monocyte","CD16","Innate"
"CD16+ monocyte","HLA-DR","Innate"
"Classical monocyte","CD11a","Innate"
"CD16+ monocyte","Slan","Innate"
"Monocyte","CD16","Innate"
"Monocyte","CD14","Innate"
"CD16+ monocyte","CD9","Innate"
"Classical monocyte","CD61","Innate"
"Classical monocyte","CD14","Innate"
"CD16+ monocyte","CCR2","Innate"
"CD16+ monocyte","CD14","Innate"
"Monocyte","Mac 1","Innate"
"CD14+ monocyte","CD14","Innate"
"Classical monocyte","CD14","Innate"
"Non-classical monocyte","CD16","Innate"
"Classical monocyte","HLA-DR","Innate"
"Non-classical monocyte","HLA-DR","Innate"
"Intermediate monocyte","CD14","Innate"
"Intermediate monocyte","CD16","Innate"
"Intermediate monocyte","HLA-DR","Innate"
"Classical monocyte","CD14","Innate"
"Inflammatory monocyte","CD16","Innate"
"Inflammatory monocyte","CD14","Innate"
"Monocyte","Csf1r","Innate"
"Monocyte","Irf8","Innate"
"Monocyte","Ctsg","Innate"
"Monocyte","CD14","Innate"
"CD14 monocyte","S100A8","Innate"
"CD14 monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Classical monocyte","CD14","Innate"
"Monocyte","CD61","Innate"
"Monocyte","CD14","Innate"
"Intermediate monocyte","CD14","Innate"
"Non-classical monocyte","CD16","Innate"
"Classical monocyte","CD14","Innate"
"Non-classical monocyte","DR","Innate"
"Monocyte","HLA-DR","Innate"
"Intermediate monocyte","DR","Innate"
"Intermediate monocyte","CD16","Innate"
"Classical monocyte","DR","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Classical monocyte","CD88","Innate"
"Classical monocyte","CD14","Innate"
"Classical monocyte","CD89","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD64","Innate"
"Monocyte","HLADR","Innate"
"Monocyte","CD14","Innate"
"CD14+ monocyte","S100A9","Innate"
"Classical monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD16","Innate"
"Monocyte","CD8","Innate"
"Monocyte","CD4","Innate"
"Monocyte","CD14","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD11c","Innate"
"Monocyte","MT-CO3","Innate"
"Monocyte","HLA-DOA1","Innate"
"Monocyte","CCR2","Innate"
"Monocyte","SOD2","Innate"
"Monocyte","S100A12","Innate"
"Monocyte","S100A8","Innate"
"Monocyte","S100A9","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD88","Innate"
"Monocyte","CD64","Innate"
"Monocyte","GOS2","Innate"
"Monocyte","VCAN","Innate"
"Monocyte","C5AR1","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD16","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","MS4A7","Innate"
"Classical monocyte","CD14","Innate"
"Non-classical monocyte","CD14","Innate"
"Non-classical monocyte","CD16","Innate"
"Monocyte precursor","MS4A6A","Innate"
"Monocyte","CCL3","Innate"
"Monocyte precursor","CCL3","Innate"
"Monocyte","S100A8","Innate"
"Monocyte","S100A9","Innate"
"Monocyte precursor","CST3","Innate"
"Monocyte precursor","LYZ","Innate"
"Monocyte precursor","S100A9","Innate"
"Monocyte","CST3","Innate"
"Monocyte","FCN1","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","CD68","Innate"
"CD16+ monocyte","LYZ","Innate"
"CD14+ monocyte","CD14","Innate"
"Monocyte derived dendritic cell","CD1C","Innate"
"CD16+ monocyte","CD14","Innate"
"CD14+ monocyte","LYZ","Innate"
"Monocyte","CD95","Innate"
"Monocyte","CD38","Innate"
"Monocyte","CXCR3","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte lineage","CD56","Innate"
"Monocyte lineage","CD3","Innate"
"Monocyte lineage","CD1a","Innate"
"Monocyte lineage","CD14","Innate"
"Monocyte lineage","CD19","Innate"
"Monocyte","CD16","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD16","Innate"
"Monocyte","Ly6c","Innate"
"Monocyte","LYZ","Innate"
"Intermediate monocyte","CD16","Innate"
"Intermediate monocyte","HLA-DR","Innate"
"Monocyte Myeloid-derived suppressor cell (M-MDSC)","CD14","Innate"
"Monocyte Myeloid-derived suppressor cell (M-MDSC)","CD11b","Innate"
"Monocyte","CD14","Innate"
"Monocyte Myeloid-derived suppressor cell (M-MDSC)","CD33","Innate"
"Patrolling monocyte","HLA-DR","Innate"
"Patrolling monocyte","CD16","Innate"
"Monocyte","A100A9","Innate"
"Monocyte","CD14","Innate"
"Monocyte","S100A8","Innate"
"Monocyte","ITGAM","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD33","Innate"
"Monocyte progenitor cell","CD33","Innate"
"Monocyte","GATA2","Innate"
"Monocyte progenitor cell","MPEG1","Innate"
"Monocyte progenitor cell","CD14","Innate"
"Monocyte","MPEG1","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD63","Innate"
"Monocyte","HDC","Innate"
"CD16+ monocyte","FCGR3A","Innate"
"CD14 monocyte","LYZ","Innate"
"CD16+ monocyte","LYZ","Innate"
"CD16 monocyte","LYZ","Innate"
"CD16 monocyte","FCGR3A","Innate"
"CD14+ monocyte","LYZ","Innate"
"Monocyte","CD163","Innate"
"Non-classical monocyte","FCGR3A","Innate"
"Classical monocyte","CD14","Innate"
"Non-classical monocyte","CD16","Innate"
"Intermediate monocyte","CD16","Innate"
"Classical monocyte","CD14","Innate"
"Intermediate monocyte","CD14","Innate"
"Intermediate monocyte","CD14","Innate"
"Classical monocyte","CD14","Innate"
"Non-classical monocyte","CD16","Innate"
"Intermediate monocyte","CD16","Innate"
"Monocyte","CD14","Innate"
"CD14+ monocyte","SL00A8","Innate"
"CD14+ monocyte","CD14","Innate"
"CD14+ monocyte","SL00A9","Innate"
"Monocyte","CD16","Innate"
"Monocyte","CD14","Innate"
"Monocyte","IL-1β","Innate"
"Monocyte","IL-18","Innate"
"Monocyte","FCN1","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","VCAN","Innate"
"Monocyte","CD14","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","CD45","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD11c","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Intermediate monocyte","CD14","Innate"
"Intermediate monocyte","CD16","Innate"
"Classical monocyte","CD14","Innate"
"Non-classical monocyte","CD16","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD33","Innate"
"Monocyte","CD14","Innate"
"Classical monocyte","CD45","Innate"
"Non-classical monocyte","CD16","Innate"
"Non-classical monocyte","CD45","Innate"
"Monocyte","CD36","Innate"
"Monocyte","IL17RA","Innate"
"Monocyte","HLA-DR","Innate"
"Monocyte","CD16","Innate"
"Monocyte","FCGR2A","Innate"
"Monocyte","CSF3R","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD31","Innate"
"Monocyte","CD64","Innate"
"Monocyte","CEBPA","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD11b","Innate"
"Monocyte","CD112","Innate"
"Monocyte","MPO","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CCR2","Innate"
"Monocyte","CD4","Innate"
"Monocyte","CD163","Innate"
"Monocyte","CD16","Innate"
"Monocyte","HLA-DR","Innate"
"Monocyte","PLAC8","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD16","Innate"
"Monocyte","CD14","Innate"
"Monocyte","PSAP","Innate"
"Monocyte","S100A6","Innate"
"Monocyte","TYROBP","Innate"
"Monocyte","CST3","Innate"
"Monocyte","OAZ1","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","HLA-DR","Innate"
"Monocyte","TLR-2","Innate"
"Intermediate monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","IL-6","Innate"
"Intermediate monocyte","CD16","Innate"
"Monocyte","TNF-α","Innate"
"Monocyte","IP-10","Innate"
"Monocyte","IL-10","Innate"
"Non-classical monocyte","CD16","Innate"
"Monocyte","CD14","Innate"
"Monocyte","S100A9","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","S100A8","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD68","Innate"
"Monocyte","CD16","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","CD14","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","CD1C","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","S100A12","Innate"
"Monocyte","TGF-α","Innate"
"Monocyte","OSM","Innate"
"Monocyte","IL18","Innate"
"CD16+ monocyte","MS4A7","Innate"
"CD16+ monocyte","FCGR3A","Innate"
"CD14+ monocyte","CD14","Innate"
"CD14+ monocyte","LYZ","Innate"
"Monocyte","CD14","Innate"
"Monocyte","IBA1","Innate"
"Monocyte","TMEM119","Innate"
"Monocyte","AIF1","Innate"
"Monocyte","GZMH","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","CST3","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","LYZ","Innate"
"Monocyte derived dendritic cell","CD1C","Innate"
"Monocyte","CD68","Innate"
"Monocyte","CD14","Innate"
"Monocyte","MNDA","Innate"
"Monocyte","FCGR3A","Innate"
"Intermediate monocyte cell","CD14","Innate"
"Intermediate monocyte cell","APOBEC3A","Innate"
"Intermediate monocyte cell","GBP4","Innate"
"Intermediate monocyte cell","MARCO","Innate"
"Monocyte","S100A8","Innate"
"Monocyte","CLU","Innate"
"Non-classical monocyte","CD16","Innate"
"Non-classical monocyte","TNFRFA1","Innate"
"Intermediate monocyte cell","MARCKSL1","Innate"
"Monocyte","CD14","Innate"
"Non-classical monocyte","CD14","Innate"
"Monocyte","VCAN","Innate"
"Intermediate monocyte cell","CD16","Innate"
"Intermediate monocyte cell","TNFRFB2","Innate"
"Monocyte","CD163","Innate"
"Non-classical monocyte","TNFRFB2","Innate"
"Intermediate monocyte cell","HLA-DR","Innate"
"Monocyte","ALOX5AP","Innate"
"Monocyte","CREG1","Innate"
"Monocyte","SELL","Innate"
"Monocyte","A12","Innate"
"Monocyte","PLAC8","Innate"
"Monocyte","A9","Innate"
"Monocyte","CD16","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD87","Innate"
"Monocyte","MS4A7","Innate"
"Monocyte","CD14","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","IL6","Innate"
"Monocyte","TNF","Innate"
"Monocyte","IL1B","Innate"
"Classical monocyte","BASP1","Innate"
"Classical monocyte","CXCL8","Innate"
"Classical monocyte","S100A9","Innate"
"Classical monocyte","IFITM3","Innate"
"Classical monocyte","S100A8","Innate"
"Classical monocyte","VNN2","Innate"
"Classical monocyte","IFIT3","Innate"
"Classical monocyte","ALOX5AP","Innate"
"Classical monocyte","S100A12","Innate"
"Classical monocyte","HLA-DQA1","Innate"
"Classical monocyte","IFI6","Innate"
"Classical monocyte","HLA-DRB1","Innate"
"Classical monocyte","HLA-DRA","Innate"
"Classical monocyte","GPR183","Innate"
"Classical monocyte","ISG15","Innate"
"Classical monocyte","CD74","Innate"
"Classical monocyte","PLBD1","Innate"
"Classical monocyte","QAS3","Innate"
"Classical monocyte","IFIT2","Innate"
"Classical monocyte","HLA-DPB1","Innate"
"Classical monocyte","IFI44L","Innate"
"Classical monocyte","ITGA4","Innate"
"Classical monocyte","MX1","Innate"
"Classical monocyte","CYP1B1","Innate"
"Classical monocyte","HLA-DPA1","Innate"
"Classical monocyte","PADI4","Innate"
"Classical monocyte","EPSTI1","Innate"
"Classical monocyte","HLA-DQB1","Innate"
"Classical monocyte","XAF1","Innate"
"Classical monocyte","CDKN1A","Innate"
"Monocyte","FGL2","Innate"
"Monocyte","MS4A7","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","S100A9","Innate"
"Monocyte","CD14","Innate"
"Monocyte","HLADR","Innate"
"Monocyte","CD14","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CST3","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD163","Innate"
"Monocyte","IL1B","Innate"
"Monocyte","TNF","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","MS4A7","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","S100A8","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","CD14","Innate"
"Monocyte","FCGR3A","Innate"
"Classical monocyte","LYZ","Innate"
"Classical monocyte","FCN1","Innate"
"Classical monocyte","CD14","Innate"
"Classical monocyte","FCGR3A","Innate"
"Non-classical monocyte","FCGR3A","Innate"
"Classical monocyte","VCAN","Innate"
"Non-classical monocyte","CSF1R","Innate"
"Non-classical monocyte","FCN1","Innate"
"Non-classical monocyte","CDKN1C","Innate"
"Non-classical monocyte","LYZ","Innate"
"CD16+ monocyte","HES4","Innate"
"CD14+ monocyte","CD9g","Innate"
"CD14+ monocyte","IL1R2","Innate"
"CD14+ monocyte","F5","Innate"
"CD16+ monocyte","TCF7L2","Innate"
"CD16+ monocyte","LYN","Innate"
"CD16+ monocyte","CX3CR1","Innate"
"CD14+ monocyte","ALOX5AP","Innate"
"CD16+ monocyte","MTSS1","Innate"
"CD14+ monocyte","THBS1","Innate"
"Monocyte","IL1B","Innate"
"Monocyte","FCGR3A","Innate"
"Monocyte","CD14","Innate"
"CD14+ monocyte","NR4A1","Innate"
"CD14+ monocyte","CD14","Innate"
"CD14+ monocyte","CD4","Innate"
"CD16+ monocyte","CD16","Innate"
"CD16+ monocyte","NR4A1","Innate"
"CD16+ monocyte","CX3CR1","Innate"
"CD16+ monocyte","FCGR3A","Innate"
"CD16+ monocyte","CD4","Innate"
"Non-classical monocyte","CD16","Innate"
"Classical monocyte","CD14","Innate"
"Monocyte derived dendritic cell","CD1C","Innate"
"CD14+ monocyte","CD14","Innate"
"CD14+ monocyte","LYZ","Innate"
"CD14+ monocyte","FCGR3A","Innate"
"CD14+ monocyte","LYZ","Innate"
"CD16+ monocyte","FCGR3A","Innate"
"CD16+ monocyte","LYZ","Innate"
"CD14+ monocyte","CD14","Innate"
"Monocyte","ISG15","Innate"
"Monocyte","IFI44L","Innate"
"Monocyte","IFI44","Innate"
"Monocyte","CD169","Innate"
"Classical monocyte","CD16","Innate"
"Monocyte","CD14","Innate"
"Monocyte","PRF1","Innate"
"Monocyte","LYZ","Innate"
"Monocyte","GNLY","Innate"
"Monocyte","CSF3R","Innate"
"Monocyte","IL32","Innate"
"Monocyte","IFITM1","Innate"
"Monocyte","STAB1","Innate"
"Monocyte","FCN1","Innate"
"Monocyte","CTSW","Innate"
"Myeloid dendritic cell","CD4","Innate"
"Plasmacytoid dendritic cell","CD4","Innate"
"Myeloid dendritic cell","CD80","Innate"
"Plasmacytoid dendritic cell","CD80","Innate"
"Myeloid dendritic cell","CD86","Innate"
"Plasmacytoid dendritic cell","CD86","Innate"
"Myeloid dendritic cell","CD40","Innate"
"Plasmacytoid dendritic cell","CD40","Innate"
"Myeloid dendritic cell","CD83","Innate"
"Plasmacytoid dendritic cell","CD83","Innate"
"Myeloid dendritic cell","CD209","Innate"
"Myeloid dendritic cell","CD207","Innate"
"Plasmacytoid dendritic cell","CD8","Innate"
"Myeloid dendritic cell","CD197","Innate"
"Plasmacytoid dendritic cell","CD197","Innate"
"Plasmacytoid dendritic cell","CD123","Innate"
"Myeloid dendritic cell","CD205","Innate"
"Plasmacytoid dendritic cell","CD45R","Innate"
"Myeloid dendritic cell","CD304","Innate"
"Plasmacytoid dendritic cell","CD304","Innate"
"Plasmacytoid dendritic cell","CD85g","Innate"
"Myeloid dendritic cell","CD273","Innate"
"Plasmacytoid dendritic cell","CD273","Innate"
"Plasmacytoid dendritic cell","CD303","Innate"
"Myeloid dendritic cell","CD11b","Innate"
"Myeloid dendritic cell","CD11c","Innate"
"Myeloid dendritic cell","CD1a","Innate"
"Myeloid dendritic cell","CD1b","Innate"
"Myeloid dendritic cell","CD1c","Innate"
"Myeloid dendritic cell","CD49d","Innate"
"Myeloid dendritic cell","F4/80","Innate"
"Myeloid dendritic cell","HLA-DR","Innate"
"Myeloid dendritic cell","MHC Class II","Innate"
"Plasmacytoid dendritic cell","CD11b","Innate"
"Plasmacytoid dendritic cell","CD11c","Innate"
"Plasmacytoid dendritic cell","CD1a","Innate"
"Plasmacytoid dendritic cell","CD1b","Innate"
"Plasmacytoid dendritic cell","CD1c","Innate"
"Plasmacytoid dendritic cell","CD49d","Innate"
"Plasmacytoid dendritic cell","33D1","Innate"
"Plasmacytoid dendritic cell","F4/80","Innate"
"Plasmacytoid dendritic cell","HLA-DR","Innate"
"Plasmacytoid dendritic cell","MHC Class II","Innate"
"Plasmacytoid dendritic cell","Siglec H","Innate"
"Dendritic cell","CD83","Innate"
"Dendritic cell","CD83","Innate"
"Dendritic cell","CD11c","Innate"
"Dendritic cell","CLEC9A","Innate"
"Plasmacytoid dendritic cell","BDCA2","Innate"
"Myeloid dendritic cell","BDCA1","Innate"
"Myeloid dendritic cell","CD11c","Innate"
"Plasmacytoid dendritic cell","CD123","Innate"
"Dendritic cell","CD86","Innate"
"Dendritic cell","CD80","Innate"
"Dendritic cell","CD86","Innate"
"Dendritic cell","MHC class II","Innate"
"Dendritic cell","CD83","Innate"
"CD16+ dendritic cell","CD123","Innate"
"Monocyte derived dendritic cell","CD123","Innate"
"CD16+ dendritic cell","CD11b","Innate"
"CD16+ dendritic cell","CD14","Innate"
"CD16+ dendritic cell","CD66b","Innate"
"Monocyte derived dendritic cell","CD15","Innate"
"Monocyte derived dendritic cell","CD33","Innate"
"Monocyte derived dendritic cell","CD14","Innate"
"CD16+ dendritic cell","CD33","Innate"
"CD16+ dendritic cell","CD11c","Innate"
"Monocyte derived dendritic cell","CD11b","Innate"
"CD16+ dendritic cell","HLA-DR","Innate"
"Monocyte derived dendritic cell","CD66b","Innate"
"Monocyte derived dendritic cell","CD16","Innate"
"Monocyte derived dendritic cell","HLA-DR","Innate"
"CD16+ dendritic cell","CD15","Innate"
"CD16+ dendritic cell","CD16","Innate"
"Monocyte derived dendritic cell","CD11c","Innate"
"Dendritic cell","CD34","Innate"
"AXL+SIGLEC6+ dendritic cell","SUCLA2","Innate"
"Plasmacytoid dendritic cell","SORL1","Innate"
"CD1C-CD141- dendritic cell","BLOC1S3","Innate"
"CD141+CLEC9A+ dendritic cell","LOC645638","Innate"
"AXL+SIGLEC6+ dendritic cell","CEP95","Innate"
"CD1C-CD141- dendritic cell","PELI1","Innate"
"CD1C-CD141- dendritic cell","SPN","Innate"
"Plasmacytoid dendritic cell","CUX2","Innate"
"CD1C+_A dendritic cell","AGPAT9","Innate"
"CD1C-CD141- dendritic cell","LRRC25","Innate"
"CD1C-CD141- dendritic cell","SIGLEC10","Innate"
"AXL+SIGLEC6+ dendritic cell","RAD1","Innate"
"Plasmacytoid dendritic cell","GAS6","Innate"
"CD141+CLEC9A+ dendritic cell","LRRC18","Innate"
"CD1C+_B dendritic cell","FCN1","Innate"
"AXL+SIGLEC6+ dendritic cell","ALDH2","Innate"
"CD141+CLEC9A+ dendritic cell","C1ORF54","Innate"
"AXL+SIGLEC6+ dendritic cell","SLC35C2","Innate"
"CD1C-CD141- dendritic cell","PTPRC","Innate"
"CD1C-CD141- dendritic cell","FAM126A","Innate"
"AXL+SIGLEC6+ dendritic cell","BAIAP2","Innate"
"CD1C-CD141- dendritic cell","CCM2","Innate"
"CD141+CLEC9A+ dendritic cell","LOC541471","Innate"
"CD141+CLEC9A+ dendritic cell","FNBP1","Innate"
"Plasmacytoid dendritic cell","HPS4","Innate"
"CD1C-CD141- dendritic cell","CLEC7A","Innate"
"Plasmacytoid dendritic cell","MCOLN2","Innate"
"Plasmacytoid dendritic cell","CTNS","Innate"
"Plasmacytoid dendritic cell","PTPRS","Innate"
"CD1C-CD141- dendritic cell","IRF1","Innate"
"CD1C-CD141- dendritic cell","VMP1","Innate"
"CD1C-CD141- dendritic cell","LCP2","Innate"
"CD141+CLEC9A+ dendritic cell","DUSP10","Innate"
"CD1C-CD141- dendritic cell","MAGED2","Innate"
"CD1C-CD141- dendritic cell","UNC13D","Innate"
"CD1C+_B dendritic cell","LOC284454","Innate"
"Plasmacytoid dendritic cell","GPR183","Innate"
"Plasmacytoid dendritic cell","ITPR1","Innate"
"CD141+CLEC9A+ dendritic cell","ACSS2","Innate"
"Plasmacytoid dendritic cell","SPCS1","Innate"
"CD1C-CD141- dendritic cell","SLC7A7","Innate"
"CD1C-CD141- dendritic cell","MAFB","Innate"
"Plasmacytoid dendritic cell","CCS","Innate"
"Plasmacytoid dendritic cell","SLC23A2","Innate"
"Plasmacytoid dendritic cell","STAG3L3","Innate"
"CD141+CLEC9A+ dendritic cell","TGM2","Innate"
"Plasmacytoid dendritic cell","PTCRA","Innate"
"Plasmacytoid dendritic cell","PTK7","Innate"
"CD1C+_B dendritic cell","HBEGF","Innate"
"Plasmacytoid dendritic cell","NFATC2IP","Innate"
"Plasmacytoid dendritic cell","LMAN1","Innate"
"CD141+CLEC9A+ dendritic cell","HLA-DPB1","Innate"
"CD1C-CD141- dendritic cell","WARS","Innate"
"CD1C-CD141- dendritic cell","FCN1","Innate"
"Plasmacytoid dendritic cell","TPM2","Innate"
"CD141+CLEC9A+ dendritic cell","DUSP2","Innate"
"CD141+CLEC9A+ dendritic cell","AX747832","Innate"
"CD141+CLEC9A+ dendritic cell","WHAMMP3","Innate"
"Plasmacytoid dendritic cell","TP53I13","Innate"
"CD1C-CD141- dendritic cell","TUBA1A","Innate"
"CD141+CLEC9A+ dendritic cell","ASAP1","Innate"
"Plasmacytoid dendritic cell","SIVA1","Innate"
"Plasmacytoid dendritic cell","ST3GAL4","Innate"
"CD1C-CD141- dendritic cell","CALML4","Innate"
"CD1C-CD141- dendritic cell","CHST15","Innate"
"CD1C+_B dendritic cell","RETN","Innate"
"Plasmacytoid dendritic cell","KRT5","Innate"
"AXL+SIGLEC6+ dendritic cell","SLC41A2","Innate"
"CD141+CLEC9A+ dendritic cell","BATF3","Innate"
"CD141+CLEC9A+ dendritic cell","ADAM28","Innate"
"CD141+CLEC9A+ dendritic cell","KIAA1598","Innate"
"Plasmacytoid dendritic cell","CYTH4","Innate"
"CD1C-CD141- dendritic cell","FAM46A","Innate"
"Plasmacytoid dendritic cell","NPC2","Innate"
"CD1C-CD141- dendritic cell","TCF7L2","Innate"
"CD141+CLEC9A+ dendritic cell","SLC9A9","Innate"
"Plasmacytoid dendritic cell","PCNX","Innate"
"Plasmacytoid dendritic cell","SYS1","Innate"
"AXL+SIGLEC6+ dendritic cell","SUSD1","Innate"
"CD1C-CD141- dendritic cell","RNF149","Innate"
"AXL+SIGLEC6+ dendritic cell","MGLL","Innate"
"CD1C-CD141- dendritic cell","PNPLA6","Innate"
"CD1C-CD141- dendritic cell","DPEP2","Innate"
"Plasmacytoid dendritic cell","PPFIBP1","Innate"
"CD1C-CD141- dendritic cell","MT2A","Innate"
