"cell_name","marker","Type"
"Naive B cell","TCL1B","Adaptive"
"Naive B cell","YBX3","Adaptive"
"Naive B cell","TCL1A","Adaptive"
"Activated memory B cell","DHRS9","Adaptive"
"Activated memory B cell","POU4F1","Adaptive"
"Activated memory B cell","FCER1G","Adaptive"
"Naive B cell","IL21R","Adaptive"
"Naive B cell","IL4R","Adaptive"
"Memory B cell","TCF7","Adaptive"
"Activated memory B cell","CD86","Adaptive"
"Memory B cell","AIM2","Adaptive"
"Memory B cell","TFEC","Adaptive"
"Memory B cell","KLK1","Adaptive"
"Memory B cell","CD27","Adaptive"
"Naive B cell","PCDH9","Adaptive"
"Activated memory B cell","AICDA","Adaptive"
"Naive B cell","SATB1","Adaptive"
"Activated memory B cell","ITGAX","Adaptive"
"Memory B cell","KLF10","Adaptive"
"Activated memory B cell","STAC3","Adaptive"
"Naive B cell","HOXB2","Adaptive"
"Activated memory B cell","KREMEN2","Adaptive"
"Memory B cell","EBI3","Adaptive"
"Memory B cell","CD70","Adaptive"
"Naive B cell","GCNT1","Adaptive"
"Activated memory B cell","HES4","Adaptive"
"Memory B cell","ZBTB32","Adaptive"
"Activated memory B cell","TBX21","Adaptive"
"Naive B cell","CXCR4","Adaptive"
"Activated memory B cell","FCRL4","Adaptive"
"Memory B cell","CXCR3","Adaptive"
"Naive B cell","PAX5","Adaptive"
"Naive B cell","BCL7A","Adaptive"
"Naive B cell","CD79A","Adaptive"
"Mature naive B cell","CD23","Adaptive"
"Immature B cell","CD23","Adaptive"
"Memory B cell","IgD","Adaptive"
"Immature B cell","IgD","Adaptive"
"Memory B cell","IgM","Adaptive"
"Mature naive B cell","CD38","Adaptive"
"Immature B cell","CD38","Adaptive"
"Immature B cell","IgM","Adaptive"
"Mature naive B cell","IgM","Adaptive"
"Mature naive B cell","IgD","Adaptive"
"Memory B cell","CD27","Adaptive"
"Naive B cell","CD79A","Adaptive"
"B cell","ADAM28","Adaptive"
"B cell","IGJ","Adaptive"
"B cell","CXCR4","Adaptive"
"B cell","FCER2","Adaptive"
"B cell","BANK1","Adaptive"
"B cell","TCF4","Adaptive"
"B cell","PMAIP1","Adaptive"
"B cell","CR1P1","Adaptive"
"B cell","VPREB3","Adaptive"
"B cell","TCL1A","Adaptive"
"B cell","CD19","Adaptive"
"Naive B cell","PLPP5","Adaptive"
"Naive B cell","IGHD","Adaptive"
"Naive B cell","APLP2","Adaptive"
"Plasma cell","JCHAIN","Adaptive"
"Plasma cell","DPEP1","Adaptive"
"Naive B cell","IGHM","Adaptive"
"Naive B cell","CXCR4","Adaptive"
"Naive B cell","TCL1A","Adaptive"
"Naive B cell","IL4R","Adaptive"
"Naive B cell","FCER2","Adaptive"
"Plasma cell","IGKC","Adaptive"
"Plasma cell","IGHA2","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD19","Adaptive"
"Memory B cell","CD8+","Adaptive"
"Memory B cell","RT-ICB","Adaptive"
"Memory B cell","Ki-67+","Adaptive"
"B cell","HLA-DOA1","Adaptive"
"B cell","MS4A1","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","CD19","Adaptive"
"B cell","B220","Adaptive"
"Plasma cell","CD138","Adaptive"
"Plasma cell","CD38","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD19","Adaptive"
"B cell","ZCCHC7","Adaptive"
"B cell","CD79B","Adaptive"
"B cell","CD79A","Adaptive"
"Activated B cell","CD69","Adaptive"
"Memory B cell","CD27","Adaptive"
"Memory B cell","CD27","Adaptive"
"B cell","MS4A1","Adaptive"
"Plasma cell","IGHG1","Adaptive"
"Plasma cell","MZB1","Adaptive"
