"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size","gene_set_short_2","process_2","immune_system_2","immune_sub_system_2","immune_tissue_2","go_term_2","genes_2","set_size_2"
"ADAPTIVE IMMUNE SYSTEM","CCL20","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CORO1A","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ACOD1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","STAT5B","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","IL2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","FAS","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","RPS6","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","AKT1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CD247","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CD3G","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ZAP70","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","SYK","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PSMB11","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","IRF1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","TNFSF8","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CRTAM","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","MYH9","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CDH17","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","IRF8","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","BCL3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ZP3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","TCF3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
