"process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","genes"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"CD79A"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"HSPD1"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"CD40LG"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"IFNA8"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"IL10"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"ABL1"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"IL7"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"CR2"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"PRKCD"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"CTPS1"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"IL7R"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"CD38"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"IFNE"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"FOSL2"
"B CELL PROLIFERATION","Proliferation, B cell","Adaptive","Humoral","B cell","GO:0042100",26,"WNT3A"
"B CELL PROLIFERATION INVOLVED IN IMMUNE RESPONSE","Proliferation, Immune response, B cell","Adaptive","Humoral","B cell","GO:0002322",4,"ABL1"
"B CELL PROLIFERATION INVOLVED IN IMMUNE RESPONSE","Proliferation, Immune response, B cell","Adaptive","Humoral","B cell","GO:0002322",4,"CD19"
"B CELL PROLIFERATION INVOLVED IN IMMUNE RESPONSE","Proliferation, Immune response, B cell","Adaptive","Humoral","B cell","GO:0002322",4,"TLR4"
"B CELL PROLIFERATION INVOLVED IN IMMUNE RESPONSE","Proliferation, Immune response, B cell","Adaptive","Humoral","B cell","GO:0002322",4,"GAPT"
"B CELL RECEPTOR APOPTOTIC SIGNALING PATHWAY","Apoptotic signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:1990117",1,"BAX"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"CD79A"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"BTK"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"ABL1"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"BCAR1"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"BCL2"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"CTLA4"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"CD79B"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"SYK"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"GRB2"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"CD19"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"MEF2C"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"MNDA"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"PLCG2"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"PTPRC"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"NCKAP1L"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"SOS1"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"ITK"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"MAPK1"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"BMX"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"NFKBIA"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"PTPN6"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"MS4A1"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"TEC"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"CD38"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"NFAM1"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"NFKB1"
"B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","Humoral","B cell","GO:0050853",31,"BANK1"
"B-1 B CELL DIFFERENTIATION","Differentiation, B-1 B cell","Adaptive","Humoral","B cell","GO:0001923",1,"CD19"
"B-1 B CELL HOMEOSTASIS","Homeostasis, B-1 B cell","Adaptive","Humoral","B cell","GO:0001922",2,"TNFAIP3"
"B-1 B CELL HOMEOSTASIS","Homeostasis, B-1 B cell","Adaptive","Humoral","B cell","GO:0001922",2,"ABL1"
"BASOPHIL CHEMOTAXIS","Chemotaxis, Basophil","Innate","Innate","Basophil","GO:0002575",1,"VEGFA"
"BASOPHIL HOMEOSTASIS","Homeostasis, Basophil","Innate","Innate","Basophil","GO:1990960",1,"MPL"
"BETA SELECTION","Selection, Beta","Adaptive","Cellular","T cell","GO:0043366",3,"ZAP70"
"BETA SELECTION","Selection, Beta","Adaptive","Cellular","T cell","GO:0043366",3,"SYK"
"BETA SELECTION","Selection, Beta","Adaptive","Cellular","T cell","GO:0043366",3,"RHOA"
"BIOSYNTHETIC PROCESS OF ANTIBACTERIAL PEPTIDES ACTIVE AGAINST GRAM-NEGATIVE BACTERIA","Biosynthesis, Antibacterial peptides against Gram-","Undefined","Undefined","Undefined","GO:0002812",1,"ELANE"
"BONE MARROW DEVELOPMENT","Development, Bone marrow","Adaptive","Organ","Bone marrow","GO:0048539",5,"LRRC17"
"BONE MARROW DEVELOPMENT","Development, Bone marrow","Adaptive","Organ","Bone marrow","GO:0048539",5,"ASXL1"
"BONE MARROW DEVELOPMENT","Development, Bone marrow","Adaptive","Organ","Bone marrow","GO:0048539",5,"LIPA"
"BONE MARROW DEVELOPMENT","Development, Bone marrow","Adaptive","Organ","Bone marrow","GO:0048539",5,"HOXB4"
"BONE MARROW DEVELOPMENT","Development, Bone marrow","Adaptive","Organ","Bone marrow","GO:0048539",5,"PTPRC"
"CD4-POSITIVE OR CD8-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","Lineage commitment, CD4+ OR CD8+, abT cell","Adaptive","Cellular","T cell","GO:0043369",1,"BRAF"
"CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION","Activation, CD4+, abT cell","Adaptive","Cellular","T cell","GO:0035710",1,"CDH26"
"CD4-POSITIVE, ALPHA-BETA T CELL COSTIMULATION","Costimulation, CD4+, abT cell","Adaptive","Cellular","T cell","GO:0035783",1,"CD81"
"CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, CD4+ T cell","Adaptive","Cellular","T cell","GO:0043367",2,"CD83"
"CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, CD4+ T cell","Adaptive","Cellular","T cell","GO:0043367",2,"BRAF"
"CD4-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","Lineage commitment, CD4+, abT cell","Adaptive","Cellular","T cell","GO:0043373",1,"TOX"
"CD4-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","Proliferation, CD4+, abT cell","Adaptive","Cellular","T cell","GO:0035739",2,"PRKCQ"
"CD4-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","Proliferation, CD4+, abT cell","Adaptive","Cellular","T cell","GO:0035739",2,"CD28"
"CD4-POSITIVE, CD25-POSITIVE, ALPHA-BETA REGULATORY T CELL DIFFERENTIATION","Differentiation, CD4+, CD25+, abTreg","Adaptive","Cellular","T cell","GO:0002361",2,"FUT7"
"CD4-POSITIVE, CD25-POSITIVE, ALPHA-BETA REGULATORY T CELL DIFFERENTIATION","Differentiation, CD4+, CD25+, abTreg","Adaptive","Cellular","T cell","GO:0002361",2,"IL2RG"
"CD4-POSITIVE, CD25-POSITIVE, ALPHA-BETA REGULATORY T CELL LINEAGE COMMITMENT","Lineage commitment, CD4+, CD25+, abTreg","Adaptive","Cellular","T cell","GO:0002362",1,"TOX"
"CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION","Activation, CD8+, abT cell","Adaptive","Cellular","T cell","GO:0036037",2,"HLA-E"
"CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION","Activation, CD8+, abT cell","Adaptive","Cellular","T cell","GO:0036037",2,"WDFY4"
"CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, CD8+, abT cell","Adaptive","Cellular","T cell","GO:0043374",3,"PSMB11"
"CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, CD8+, abT cell","Adaptive","Cellular","T cell","GO:0043374",3,"IRF1"
"CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, CD8+, abT cell","Adaptive","Cellular","T cell","GO:0043374",3,"TNFSF8"
"CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE","Differentiation, Immune response, CD8+, abT cell","Adaptive","Cellular","T cell","GO:0002302",1,"EOMES"
"CD8-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","Lineage commitment, CD8+, abT cell","Adaptive","Cellular","T cell","GO:0043375",2,"TOX"
"CD8-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","Lineage commitment, CD8+, abT cell","Adaptive","Cellular","T cell","GO:0043375",2,"BCL2"
"CD8-POSITIVE, GAMMA-DELTA INTRAEPITHELIAL T CELL DIFFERENTIATION","Differentiation, CD8+, gdT cell, Intraepithelial","Adaptive","Cellular","T cell","GO:0002305",1,"KLRC1"
"CELL SURFACE PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","PRR, Cell surface, Pathway","Innate","PRR","All","GO:0002752",3,"MBL2"
"CELL SURFACE PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","PRR, Cell surface, Pathway","Innate","PRR","All","GO:0002752",3,"LBP"
"CELL SURFACE PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","PRR, Cell surface, Pathway","Innate","PRR","All","GO:0002752",3,"CD14"
"CELLULAR EXTRAVASATION","Cellular extravasation","General","General","Leukocyte","GO:0045123",3,"ITGA1"
"CELLULAR EXTRAVASATION","Cellular extravasation","General","General","Leukocyte","GO:0045123",3,"AZU1"
"CELLULAR EXTRAVASATION","Cellular extravasation","General","General","Leukocyte","GO:0045123",3,"JAM2"
"CELLULAR RESPONSE TO TYPE I INTERFERON","Cellular response to Interferon I","Innate","Interferon","Undefined","GO:0071357",1,"IFIT1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"DAPK1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"WAS"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL5"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL4"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"STXBP1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"NOS2"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"AQP4"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL8"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"STXBP4"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CD47"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"STX4"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"STAT1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CLDN1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"GBP6"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"GBP2"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL3"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"GBP1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL4L1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL3L1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"ACTG1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"RAB43"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL18"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL2"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"FCAR"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"IL12RB1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"RPS6KB1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"MRC1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CX3CL1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"XCL1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"TDGF1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"TLR4"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"IRF8"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CDC42"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"RPL13A"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL20"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"LGALS9"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"STXBP3"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"MYO1C"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"ACTR2"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL24"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"ACTR3"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CASP1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"FASLG"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"SIRPA"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL7"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CCL23"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"KIF5B"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"VIM"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CD58"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"CALM1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"GBP7"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"IL12B"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"WNT5A"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"HLA-DPA1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"PDE12"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"ACOD1"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"ADAMTS13"
"CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346",59,"AIF1"
"CHRONIC INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Antigen, Chronic, Inflammatory response","Innate","Inflammation","Undefined","GO:0002439",1,"IL10"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"C4B"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"CFHR2"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"C7"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"CFH"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"C4A"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"C6"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"CFD"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"CFHR3"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"MASP1"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"CFHR1"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"C1S"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"CLU"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"C1R"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"MASP2"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"CFP"
"COMPLEMENT ACTIVATION","Activation, Complement","Complement","Complement","Undefined","GO:0006956",16,"CFB"
"COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Complement, Alternative pathway","Complement","Complement","Undefined","GO:0006957",7,"CFD"
"COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Complement, Alternative pathway","Complement","Complement","Undefined","GO:0006957",7,"CR1"
"COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Complement, Alternative pathway","Complement","Complement","Undefined","GO:0006957",7,"CFP"
"COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Complement, Alternative pathway","Complement","Complement","Undefined","GO:0006957",7,"CFB"
"COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Complement, Alternative pathway","Complement","Complement","Undefined","GO:0006957",7,"CR2"
"COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Complement, Alternative pathway","Complement","Complement","Undefined","GO:0006957",7,"CFH"
"COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Complement, Alternative pathway","Complement","Complement","Undefined","GO:0006957",7,"C7"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"SUSD4"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"C1QBP"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"C6"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"CD46"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"MBL2"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"C4BPB"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"C1R"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"CD55"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"C1S"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"NCR3LG1"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"CR1"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"C4A"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"C7"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"C4B"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"CR2"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"CLU"
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","Complement","Complement","Undefined","GO:0006958",17,"MASP2"
"COMPLEMENT ACTIVATION, LECTIN PATHWAY","Complement, Lectin pathway","Complement","Complement","Undefined","GO:0001867",3,"MASP1"
"COMPLEMENT ACTIVATION, LECTIN PATHWAY","Complement, Lectin pathway","Complement","Complement","Undefined","GO:0001867",3,"MBL2"
"COMPLEMENT ACTIVATION, LECTIN PATHWAY","Complement, Lectin pathway","Complement","Complement","Undefined","GO:0001867",3,"MASP2"
"COMPLEMENT COMPONENT C5A SIGNALING PATHWAY","Complement, C5a pathway","Complement","Complement","Undefined","GO:0038178",1,"C5AR1"
"COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Complement, Pathway","Complement","Complement","Undefined","GO:0002430",8,"C5AR1"
"COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Complement, Pathway","Complement","Complement","Undefined","GO:0002430",8,"FPR1"
"COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Complement, Pathway","Complement","Complement","Undefined","GO:0002430",8,"GPLD1"
"COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Complement, Pathway","Complement","Complement","Undefined","GO:0002430",8,"GPR32P1"
"COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Complement, Pathway","Complement","Complement","Undefined","GO:0002430",8,"CR1"
"COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Complement, Pathway","Complement","Complement","Undefined","GO:0002430",8,"FPR2"
"COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Complement, Pathway","Complement","Complement","Undefined","GO:0002430",8,"FPR3"
"COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Complement, Pathway","Complement","Complement","Undefined","GO:0002430",8,"CR2"
