"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"ACTIVATION OF INNATE IMMUNE RESPONSE","MNDA","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","CGAS","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","TLR4","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","CASP6","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","XRCC6","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","SFPQ","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","PYHIN1","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","MATR3","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","HEXIM1","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","GBP2","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","PRKDC","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","HMGB1","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","FAS","GO:0006924","Adaptive","Cellular","Cell death, Activation-induced, T cell","T cell",3
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","RPS6","GO:0006924","Adaptive","Cellular","Cell death, Activation-induced, T cell","T cell",3
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","AKT1","GO:0006924","Adaptive","Cellular","Cell death, Activation-induced, T cell","T cell",3
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","NLRP6","GO:0002438","Innate","Inflammation","Acute inflammatory response to antigenic stimulus","Undefined",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","ELANE","GO:0002438","Innate","Inflammation","Acute inflammatory response to antigenic stimulus","Undefined",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","IL31RA","GO:0002438","Innate","Inflammation","Acute inflammatory response to antigenic stimulus","Undefined",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","CD6","GO:0002438","Innate","Inflammation","Acute inflammatory response to antigenic stimulus","Undefined",5
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","CXCR2","GO:0002438","Innate","Inflammation","Acute inflammatory response to antigenic stimulus","Undefined",5
"ADAPTIVE IMMUNE RESPONSE","TAP2","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","HLA-DOB","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","FBXO38","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","P0DOX7","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","MYO1G","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","BTN3A2","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","HLA-E","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","CD19","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","OTUD7B","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","HLA-C","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","CLEC6A","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","CD1B","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","LILRB2","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
