"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"62","MONOV INFLUENZA A_UP","FLUAD_UP",36,341,4,377,40,"ANKRD22, ATF3, BATF2, SMCO4, CD274, CXCL10, EPSTI1, ETV7, CALHM6, FBXO6, FCGR1A, FCGR1BP, GBP1, GBP4, GBP5, ICAM1, IDO1, IFI35, IFI44L, IL15, KREMEN1, LAMP3, LAP3, LHFPL2, MYOF, OAS3, PSTPIP2, RSAD2, SCARF1, SERPING1, SORT1, STAT1, TFEC, TYMP, VAMP5, WARS1",9.55,90,0.000105747555522139,3.97572966305946
"63","MONOV INFLUENZA A_UP","TIV INFLUENZA_DOWN",12,365,331,377,347,"CD14, CXCL16, EPB41L3, KLF4, LILRB3, MARCO, SERPINA1, SQOR, STK32B, TLR1, TNFAIP2, ZMYND15",3.18,3.46,5.02569866767475e-190,189.29880355452
"64","MONOV INFLUENZA A_UP","TIV INFLUENZA_UP",0,377,226,377,226,"",0,0,1.78734892910722e-172,171.747790655556
"65","MONOV INFLUENZA A_UP","MENVEO ACWYVAX_DOWN",11,366,233,377,244,"ALDH1A1, DPYD, DSE, FPR2, GBP1, IFIH1, KLF4, LILRB2, MARCKS, RBM47, TLR2",2.92,4.51,7.28933443619746e-157,156.137312123792
"66","MONOV INFLUENZA A_UP","MENVEO ACWYVAX_UP",3,374,143,377,146,"AIF1, APOL1, TYMP",0.8,2.05,1.92815629800649e-126,125.714857764722
"67","MONOV INFLUENZA A_UP","MVA85A_UP",66,311,144,377,232,"ADM, AIM2, AK4, ANKRD22, APOBEC3A, AQP9, BCL2A1, C3AR1, CARD16, CARD17P, CASP1, CD14, CTSL, CXCL10, CYP1B1, DRAM1, ETV7, EXT1, CALHM6, FBXO6, FCGR1A, FCGR1BP, FPR2, GBP1, GBP4, GBP5, HLX, ICAM1, IDO1, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFITM3, IL1RN, IL4I1, ISG15, ITPRIPL2, KLF4, KYNU, LYN, MARCO, MX1, PARP9, PSMB9, PSME2, NECTIN2, RBM47, RSAD2, S100A8, S100A9, SERPING1, SOD2, SRC, STAT1, TAP1, TLR1, TNFSF10, TYMP, UBE2L6, WARS1, XAF1",17.51,28.45,3.67390019800212e-77,76.4348726455386
"68","MONOV INFLUENZA A_UP","INFLUENZA_DOWN",11,366,47,377,61,"ADM, ANKRD22, BATF2, C2, CDKN1A, HBEGF, KCNJ15, LIPN, RAB20, SDC3, ZMYND15",2.92,18.03,2.71594355056472e-52,51.5660792608764
"69","MONOV INFLUENZA A_UP","INFLUENZA_UP",2,375,85,377,92,"CLEC6A, TLR4",0.53,2.17,1.28761265918483e-91,90.8902147621922
"70","MONOV INFLUENZA A_UP","PANDEMRIX_UP",9,368,41,377,56,"CD38, IRF1, IRF7, NOD2, STAT1, TAP1, TLR1, TLR2, TLR4",2.39,16.07,2.16760824118469e-48,47.6640192064813
"71","MONOV INFLUENZA A_UP","FLUARIX_UP",0,377,58,377,61,"",0,0,1.16695104273023e-73,72.9329473635931
"72","MONOV INFLUENZA A_UP","PFALCIPARUM RTSS_UP",4,373,6,377,10,"IFI44L, IFI6, SERPING1, SIGLEC1",1.06,40,4.98253171979658e-11,10.3025499278129
"73","MONOV INFLUENZA A_UP","ATTENUVAX_DOWN",0,377,19,377,19,"",0,0,8.30640048862689e-33,32.0805871334467
"74","MONOV INFLUENZA A_UP","ATTENUVAX_UP",1,376,50,377,51,"ADAM9",0.27,1.96,9.25387255747042e-65,64.0336764858139
"75","MONOV INFLUENZA A_UP","WETVAX_UP",128,249,330,377,598,"ACP3, ADAP2, ADM, AIF1, AIM2, ALDH1A1, ANKRD22, APOBEC3B, APOL1, APOL3, AQP9, ATF3, ATF5, ATP6V1B2, BACH1, BCL2A1, BCL6, BLVRA, BST1, C1QA, C1QB, C2, C3AR1, CASP1, CASP5, CASP7, CCR1, CD36, CES1, CTSB, CTSL, CTSS, CXCL10, DHRS9, DPYD, DSC2, DTX3L, DYSF, EMILIN2, EPB41L3, ETV7, FCGR1A, FCN1, FGL2, FPR1, FPR2, GBP1, GBP2, GCA, GCH1, GNB4, GNG10, HCK, HERC5, HLX, HP, ICAM1, IDO1, IFI30, IFI35, IFI44, IFI44L, IFI6, IFIT1, IFIT2, IFIT3, IFITM3, IFNGR2, IGSF6, IL15, IL15RA, IL1RN, IRF1, IRF7, ISG15, JAK2, KCNJ15, KLF4, LAP3, LHFPL2, LILRA3, LILRB1, LILRB3, LMO2, LTBR, LYN, MARCKS, MARCO, MNDA, MTHFD2, MX1, NAMPT, NCF1, NLRP3, NPC2, OAS1, OAS2, PFKFB3, PLSCR1, PSMA4, PSMB9, PSME2, RSAD2, S100A9, SCARB2, SEPTIN4, SERPINA1, SERPING1, SLAMF8, SLC31A2, SLC8A1, SNX10, SOCS3, SOD2, SORT1, SRGN, STAT1, STAT2, TAP1, TFEC, TLR1, TLR2, TNFSF10, TRAFD1, UBE2L6, VRK2, WARS1, XAF1",33.95,21.4,7.18295435698313e-95,94.1436968932177
"76","MONOV INFLUENZA A_UP","YF VAX_DOWN",1,376,244,377,287,"ACVRL1",0.27,0.35,1.47124430515906e-177,176.832315205197
"77","MONOV INFLUENZA A_UP","YF VAX_UP",52,325,304,377,421,"APOBEC3A, APOBEC3B, BLVRA, CHST15, CMPK2, DSE, FPR2, GBP5, HERC5, IFI30, IFI44, IFI44L, IFI6, IFIT1, IFIT2, IFIT3, IFITM3, IL1RN, ISG15, LAP3, LILRB2, LMO2, MAFB, MARCKS, MPEG1, MT2A, MX1, NMI, OAS1, OAS2, OAS3, OASL, PARP9, PLSCR1, PSMA4, PSMB9, PSME2, RTP4, SAMD9L, SCO2, SDC3, SERPINA1, SERPING1, SRC, TAP1, TMEM106A, TNFAIP2, TNFSF10, TNFSF13B, VRK2, WDR49, XAF1",13.79,12.35,2.17322215072504e-139,138.662895877038
"78","MONOV INFLUENZA A_UP","RVSV EBOV_DOWN",0,377,6,377,6,"",0,0,2.37263415228408e-13,12.6247692225468
