"source","target","value","type"
"BNT (V2, D1)","F3",1,"Directed"
"BNT (V2, D1)","CFAP157",-1,"Directed"
"BNT (V2, D1)","PLSCR2",1,"Directed"
"BNT (V2, D1)","CARD16",1,"Directed"
"BNT (V2, D1)","CARD17P",1,"Directed"
"BNT (V2, D1)","RXFP1",1,"Directed"
"BNT (V2, D1)","TDRD7",1,"Directed"
"BNT (V2, D1)","RNU4ATAC",-1,"Directed"
"BNT (V2, D1)","XAF1",1,"Directed"
"BNT (V2, D1)","LIF",1,"Directed"
"BNT (V2, D1)","GBP1",1,"Directed"
"BNT (V2, D1)","OAS1",1,"Directed"
"BNT (V2, D1)","SAMD9",1,"Directed"
"BNT (V2, D1)","LPCAT2",1,"Directed"
"BNT (V2, D1)","SNORA73B",-1,"Directed"
"BNT (V2, D1)","SNORD15B",-1,"Directed"
"BNT (V2, D1)","SNORD3A",-1,"Directed"
"BNT (V2, D1)","KCTD14",1,"Directed"
"BNT (V2, D1)","YAP1",-1,"Directed"
"BNT (V2, D1)","HESX1",1,"Directed"
"BNT (V2, D1)","GCK",-1,"Directed"
"BNT (V2, D1)","GRAMD1B",1,"Directed"
"BNT (V2, D1)","TYMS",1,"Directed"
"BNT (V2, D1)","MSR1",1,"Directed"
"BNT (V2, D1)","OR52B4",1,"Directed"
"BNT (V2, D1)","RNU5A-1",-1,"Directed"
"BNT (V2, D1)","KPTN",1,"Directed"
"BNT (V2, D1)","RNU6-1",-1,"Directed"
"BNT (V2, D1)","TRIM22",1,"Directed"
"BNT (V2, D1)","PSME2",1,"Directed"
"BNT (V2, D1)","FRMD3",1,"Directed"
"BNT (V2, D1)","SLC7A10",-1,"Directed"
"BNT (V2, D1)","SIGLEC11",1,"Directed"
"BNT (V2, D1)","GLDN",1,"Directed"
"BNT (V2, D1)","LAMP3",1,"Directed"
"BNT (V2, D1)","FBXO39",1,"Directed"
"BNT (V2, D1)","P2RX7",1,"Directed"
"BNT (V2, D1)","GLIS2",-1,"Directed"
"BNT (V2, D1)","PRDM12",-1,"Directed"
"BNT (V2, D1)","P2RY14",1,"Directed"
"BNT (V2, D1)","HTR3A",-1,"Directed"
"BNT (V2, D1)","GBP5",1,"Directed"
"BNT (V2, D1)","TNFSF10",1,"Directed"
"BNT (V2, D1)","TNFSF13B",1,"Directed"
"BNT (V2, D1)","MAGED4B",-1,"Directed"
"BNT (V2, D1)","GABRB2",-1,"Directed"
"BNT (V2, D1)","OAS3",1,"Directed"
"BNT (V2, D1)","TLR7",1,"Directed"
"BNT (V2, D1)","SNORA5A",-1,"Directed"
"BNT (V2, D1)","ZDHHC19",1,"Directed"
"BNT (V2, D1)","NFATC4",-1,"Directed"
"BNT (V2, D1)","SNORD13",-1,"Directed"
"BNT (V2, D1)","SEPTIN4",1,"Directed"
"BNT (V2, D1)","PHF24",-1,"Directed"
"BNT (V2, D1)","GAS2L2",-1,"Directed"
"BNT (V2, D1)","PARP14",1,"Directed"
"BNT (V2, D1)","TRAFD1",1,"Directed"
"BNT (V2, D1)","DTX3L",1,"Directed"
"BNT (V2, D1)","TTC23L",-1,"Directed"
"BNT (V2, D1)","NGFR",1,"Directed"
"BNT (V2, D1)","SNORA22C",-1,"Directed"
"BNT (V2, D1)","PCDHGA1",-1,"Directed"
"BNT (V2, D1)","GK",1,"Directed"
"BNT (V2, D1)","TIFA",1,"Directed"
"BNT (V2, D1)","PCLO",-1,"Directed"
"BNT (V2, D1)","GPR84",1,"Directed"
"BNT (V2, D1)","VAMP5",1,"Directed"
"BNT (V2, D1)","WARS1",1,"Directed"
"BNT (V2, D1)","SLIT2",1,"Directed"
"BNT (V2, D1)","NMI",1,"Directed"
"BNT (V2, D1)","SCARF1",1,"Directed"
"BNT (V2, D1)","RNU1-4",-1,"Directed"
"BNT (V2, D1)","RNU4-1",-1,"Directed"
"BNT (V2, D1)","PLSCR1",1,"Directed"
"BNT (V2, D1)","CEACAM1",1,"Directed"
"BNT (V2, D1)","MOV10",1,"Directed"
"BNT (V2, D1)","CFAP97D1",1,"Directed"
"BNT (V2, D1)","PLAAT4",1,"Directed"
"BNT (V2, D1)","GADD45G",1,"Directed"
"BNT (V2, D1)","SLC6A12",1,"Directed"
"BNT (V2, D1)","WDFY1",1,"Directed"
"BNT (V2, D1)","OR2C3",1,"Directed"
"BNT (V2, D1)","IRF7",1,"Directed"
"BNT (V2, D1)","HUNK",-1,"Directed"
"BNT (V2, D1)","LHFPL2",1,"Directed"
"BNT (V2, D1)","RNU5B-1",-1,"Directed"
"BNT (V2, D1)","CDHR5",1,"Directed"
"BNT (V2, D1)","RNF213",1,"Directed"
"BNT (V2, D1)","SAT1",1,"Directed"
"BNT (V2, D1)","SMTNL1",1,"Directed"
"BNT (V2, D1)","SLC1A3",1,"Directed"
"BNT (V2, D1)","RMI2",1,"Directed"
"BNT (V2, D1)","NEBL",-1,"Directed"
"BNT (V2, D1)","USP18",1,"Directed"
"BNT (V2, D1)","GEM",-1,"Directed"
"BNT (V2, D1)","ORM2",-1,"Directed"
"BNT (V2, D1)","INSC",-1,"Directed"
"BNT (V2, D1)","GBP4",1,"Directed"
"BNT (V2, D1)","PLEKHG4B",-1,"Directed"
"BNT (V2, D1)","HERC5",1,"Directed"
"BNT (V2, D1)","SNORD3C",-1,"Directed"
"BNT (V2, D1)","SCARNA1",-1,"Directed"
"BNT (V2, D1)","SLC8A2",1,"Directed"
"BNT (V2, D1)","FAP",1,"Directed"
"BNT (V2, D1)","RUFY4",1,"Directed"
"BNT (V2, D1)","NPBWR1",-1,"Directed"
"BNT (V2, D1)","GARIN4",1,"Directed"
"BNT (V2, D1)","SIGLEC16",1,"Directed"
"BNT (V3, D1)","GBP1",1,"Directed"
"BNT (V3, D1)","IFITM3",1,"Directed"
"BNT (V3, D1)","DOCK4",1,"Directed"
"BNT (V3, D1)","CCL2",1,"Directed"
"BNT (V3, D1)","TNFSF10",1,"Directed"
"BNT (V3, D1)","EGR2",1,"Directed"
"BNT (V3, D1)","CFB",1,"Directed"
"BNT (V3, D1)","IFITM1",1,"Directed"
"BNT (V3, D1)","SYNPO2",1,"Directed"
"BNT (V3, D1)","GSDMC",1,"Directed"
"BNT (V3, D1)","RSAD2",1,"Directed"
"BNT (V3, D1)","SAMD4A",1,"Directed"
"BNT (V3, D1)","KPTN",1,"Directed"
"BNT (V3, D1)","HP",1,"Directed"
"BNT (V3, D1)","PML",1,"Directed"
"BNT (V3, D1)","FOSL1",1,"Directed"
"BNT (V3, D1)","ATF3",1,"Directed"
"BNT (V3, D1)","CXCL9",1,"Directed"
"BNT (V3, D1)","PARP14",1,"Directed"
"BNT (V3, D1)","HTR3A",-1,"Directed"
"BNT (V3, D1)","GRIN3A",1,"Directed"
"BNT (V3, D1)","GBP2",1,"Directed"
"BNT (V3, D1)","SDC3",1,"Directed"
"BNT (V3, D1)","FAS",1,"Directed"
"BNT (V3, D1)","FRMD3",1,"Directed"
