genes,cos2,dimension
MYBL1,0.8424684248512164,NA
RNF130,0.8418727487143024,NA
RPL22,0.8417054210191429,NA
CD53,0.8412964850066418,NA
CXCR3,0.8407236448048531,NA
PTPN4,0.8401289526128939,NA
TM6SF1,0.8400209339725686,NA
AES,0.8395842468399398,NA
ADD2,0.8393208146131669,NA
CRISP3,0.839308005195302,NA
CD40LG,0.838865346328155,NA
TRIM25,0.8363856089120254,NA
FCER1A,0.8357447197412585,NA
TLR2,0.8353625536311607,NA
PYGL,0.8333410777377563,NA
MBOAT2,0.8307672540583377,NA
TESPA1,0.8286694297392558,NA
JMJD6,0.8285276443304448,NA
SPOCK2,0.827653268880536,NA
SLC37A3,0.8271010742107847,NA
PLD4,0.8269481455807269,NA
LAMP2,0.8263848940170923,NA
IL10RB,0.8258874983171819,NA
CD4,0.8256819340065864,NA
MMP8,0.8256676404243931,NA
CD8A,0.825301182745001,NA
TC2N,0.824219347352065,NA
FGD4,0.8240930638810723,NA
SELL,0.8240604880348259,NA
LPCAT2,0.8216832866730549,NA
CRTAM,0.8215492534335421,NA
MEGF9,0.8215227774596839,NA
CD24,0.8214829294236848,NA
SMAD3,0.8214447109196118,NA
CCL5,0.8210277298493334,NA
SP3,0.8207968802830796,NA
HAL,0.8194623032846968,NA
IL1R1,0.8182847273859464,NA
RBPJ,0.8182606320740786,NA
KMT2A,0.8180843989019702,NA
B3GNT5,0.8177715964544671,NA
CEACAM8,0.8174255383463799,NA
DEFA4,0.8172377004162341,NA
ST3GAL6,0.8171217263958768,NA
GPR87,0.8169856797410799,NA
IL27RA,0.816936314085609,NA
LILRA6,0.8166881491793462,NA
GPR89B,0.8150647415617056,NA
THEMIS,0.8144171239725325,NA
BST1,0.8143094869068369,NA
FAR2,0.813987228897637,NA
KLF12,0.8133522508264895,NA
NRBP1,0.8133398056726053,NA
CDA,0.8128648494798147,NA
HP,0.812354422676855,NA
CAMP,0.8105351587954278,NA
ITGB7,0.8095843834314047,NA
TRAT1,0.809490205154129,NA
RNF144B,0.8075521023417525,NA
HLA-DQA1,0.8063313378357846,NA
LCN2,0.8057282615672094,NA
FLT3LG,0.8042557331002759,NA
BCL10,0.803939281542965,NA
TLR5,0.8036396874519416,NA
HLA-DOA,0.8036348381040483,NA
LY9,0.8022662691201379,NA
CD55,0.801737733669327,NA
MGST1,0.8012963509680561,NA
ZBTB46,0.8000134746332032,NA
CEBPD,0.7992190536733925,NA
SERPINB10,0.798491031734968,NA
RHOA,0.7984364505530562,NA
IL21R,0.7984004998210958,NA
ZMYND11,0.7979428342588154,NA
TIGIT,0.7975430829697011,NA
RAB31,0.7951162057313623,NA
RNF24,0.7945983177977305,NA
LAT,0.7932158307200848,NA
CRISPLD2,0.7931198461719285,NA
GALNT6,0.7923829048671458,NA
CD3D,0.7923304559627135,NA
LCP1,0.7923106440547403,NA
PURA,0.7922554490567068,NA
VASP,0.7911644587940687,NA
ABCA13,0.7909109549835333,NA
VNN2,0.789821407901747,NA
IFNGR2,0.7884897132188498,NA
TMEM71,0.7879009526084211,NA
PADI4,0.7872866907246003,NA
ITK,0.7870302268948166,NA
PLCG1,0.7861690099811093,NA
CST7,0.7860292878347049,NA
FCER1G,0.785251417012912,NA
LRRK2,0.7834031007967157,NA
MFSD1,0.7827270651172484,NA
AIM2,0.7824413781769165,NA
ENG,0.7820182306379149,NA
IL18R1,0.7808249898721704,NA
