"condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction","vaccine","day","dose","infection","type","vac_infec","regimen","variant","severity","prior_infection","previous_vaccination","gse_id","participants","bioprocess"
"BBIBP (V3, D14)","SLFN11",0.74691052061568,2.6301905335924,1.12672992267029,2.3343575782198,0.0195770061311184,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","PTPN11",5.65606018470882,-1.7978013030199,0.841057438266162,-2.13754878231155,0.0325533824419439,1,"DOWN","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","PARP9",6.89092367005579,0.989729932650727,0.389359493256284,2.5419437558166,0.0110237911098051,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","DCLRE1A",1.6975468420627,1.66965386706334,0.798259743321756,2.09161727248764,0.0364727661674131,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","DIS3L2",4.40303524412177,0.948517893151693,0.45858267567743,2.06836835201094,0.0386053988305122,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","SYCP2L",9.75417298940701,0.643624894378278,0.32770327089353,1.96404781869691,0.0495245467217979,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CTC1",83.9970772770213,-0.348144684727026,0.1442532901669,-2.41342630261137,0.0158033234821207,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","TFPT",3.99785983493458,0.987546701729984,0.502667399201425,1.96461259134544,0.0494590935229163,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","FOXJ2",502.089553278788,-0.915261607681179,0.40220382222509,-2.27561638429423,0.0228689798320552,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","INTS3",346.470146697592,-0.324026627771416,0.119369772828419,-2.71447804660874,0.00663802998342299,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","NEDD9",5.75876676392391,1.10420599509243,0.491197982986628,2.2479856052717,0.0245771078199045,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","PIK3C3",63.3869812392412,-0.456213683486868,0.130385983900875,-3.4989472782113,0.00046709893101239,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CHMP5",9.87395814405105,0.827008722122426,0.334754314069263,2.47049459070246,0.0134926359526929,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","EXOC2",15.7538340964035,1.01795844901751,0.354211196979578,2.87387428093132,0.00405470328451584,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","PIN1",84.9845425944654,-0.204293225345829,0.101984819520517,-2.00317288696803,0.0451587347815842,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CDC5L",155.212302878845,-1.30252534244731,0.425047839062109,-3.06442057280282,0.00218092076934285,1,"DOWN","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","DAB2IP",41.3076708612773,-0.269242791120908,0.134829287184989,-1.99691622452546,0.0458342843899292,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
